Year	Region	Area	Commodity	Type	Revenue
2011	Gulf	Central Gulf of Mexico	Oil & Gas	Other Revenues	2025978.06
2011	Gulf	Central Gulf of Mexico	Gas	Other Royalties	486359.05
2011	Gulf	Central Gulf of Mexico	NGL	Other Royalties	-110214.57
2011	Gulf	Central Gulf of Mexico	Oil	Other Royalties	3539846.84
2011	Gulf	Central Gulf of Mexico	Oil & Gas	Other Royalties	23811073.73
2011	Gulf	Central Gulf of Mexico	Oil & Gas	Rents	133768569.16
2011	Gulf	Central Gulf of Mexico	Gas	Royalties	587662974.01
2011	Gulf	Central Gulf of Mexico	NGL	Royalties	224723564.16
2011	Gulf	Central Gulf of Mexico	Oil	Royalties	4363982482.64
2012	Gulf	Central Gulf of Mexico	Oil & Gas	Bonus	1681578390.00
2012	Gulf	Central Gulf of Mexico	Oil & Gas	Other Revenues	2117170.09
2012	Gulf	Central Gulf of Mexico	Gas	Other Royalties	646546.43
2012	Gulf	Central Gulf of Mexico	NGL	Other Royalties	144586.80
2012	Gulf	Central Gulf of Mexico	Oil	Other Royalties	8040239.14
2012	Gulf	Central Gulf of Mexico	Oil & Gas	Other Royalties	17637767.87
2012	Gulf	Central Gulf of Mexico	Oil & Gas	Rents	148685899.00
2012	Gulf	Central Gulf of Mexico	Gas	Royalties	339816709.55
2012	Gulf	Central Gulf of Mexico	NGL	Royalties	182036353.71
2012	Gulf	Central Gulf of Mexico	Oil	Royalties	4337769802.39
2012	Gulf	Central Gulf of Mexico	Oil & Gas	Royalties	-2.00
2013	Gulf	Central Gulf of Mexico	Oil & Gas	Bonus	1199052037.00
2013	Gulf	Central Gulf of Mexico	Oil & Gas	Other Revenues	23735914.70
2013	Gulf	Central Gulf of Mexico	Gas	Other Royalties	256573.22
2013	Gulf	Central Gulf of Mexico	NGL	Other Royalties	-50737.38
2013	Gulf	Central Gulf of Mexico	Oil	Other Royalties	6490374.43
2013	Gulf	Central Gulf of Mexico	Oil & Gas	Other Royalties	-5766331.47
2013	Gulf	Central Gulf of Mexico	Oil & Gas	Rents	148814257.51
2013	Gulf	Central Gulf of Mexico	Gas	Royalties	391088142.07
2013	Gulf	Central Gulf of Mexico	NGL	Royalties	134670606.42
