Company	Revenue Type	Commodity	Revenue
RIO GRANDE SILVER INC	BLM - Permit Fees	Locatable Minerals	$100,004.00
RISING NATURAL RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	$800,000.00
RISING NATURAL RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$126,720.00
RIVER VIEW COAL LLC                                         	OSMRE - AML Fees including Audits and Late Charges 	Coal	$1,106,122.29
RIVERSTONE HOLDINGS LLC	BLM - Permit Fees	Oil & Gas	$13,350.00
RIVERSTONE HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	$6,792.53
RIVERSTONE HOLDINGS LLC	ONRR - Royalties	Gas	$43,479.66
RIVERSTONE HOLDINGS LLC	ONRR - Royalties	Oil	$69,194.52
RIVERSTONE HOLDINGS LLC	ONRR/BLM - Bonus	Oil & Gas	$7,442,500.00
RIVERSTONE HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	$761,326.00
RKI EXPLORATION & PRODUCTION LLC	BLM - Permit Fees	Oil & Gas	$465,507.00
RKI EXPLORATION & PRODUCTION LLC	ONRR - Other Revenues	Oil & Gas	$1,903,078.98
RKI EXPLORATION & PRODUCTION LLC	ONRR - Royalties	Gas	$3,025,062.82
RKI EXPLORATION & PRODUCTION LLC	ONRR - Royalties	Oil	$13,939,222.95
RMR OPERATING LLC	BLM - Permit Fees	Oil & Gas	$64,105.00
RMR OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$1,489.00
RMR OPERATING LLC	ONRR - Royalties	Gas	$110,790.96
RMR OPERATING LLC	ONRR - Royalties	Oil	$908,302.81
ROBERT L BAYLESS PRODUCER	BLM - Permit Fees	Oil & Gas	$7,430.00
ROBERT L BAYLESS PRODUCER	ONRR - Other Revenues	Oil & Gas	$13,553.45
ROBERT L BAYLESS PRODUCER	ONRR - Royalties	Gas	$840,225.10
ROBERT L BAYLESS PRODUCER	ONRR - Royalties	Oil	$961,023.79
ROBERT L BAYLESS PRODUCER	ONRR/BLM - Bonus	Oil & Gas	$35,316.00
ROBERT L BAYLESS PRODUCER	ONRR/BLM - Rents	Oil & Gas	$83,042.00
ROBINSON NEVADA MINING CO	BLM - Permit Fees	Locatable Minerals	$149,730.00
ROCK SPRINGS MINERAL PROCESSING	BLM - Permit Fees	Locatable Minerals	$159,323.00
ROCKIES STANDARD OIL CO LLC	BLM - Permit Fees	Oil & Gas	$20,880.00
ROCKIES STANDARD OIL CO LLC	ONRR/BLM - Rents	Oil & Gas	$168,699.00
ROCKSOURCE GULF OF MEXICO CORP	ONRR/BLM - Rents	Oil & Gas	$560,313.00
RODDY PRODUCTION CO LLC	BLM - Permit Fees	Oil & Gas	$250.00
RODDY PRODUCTION CO LLC	ONRR - Other Revenues	Oil & Gas	($662.56)
RODDY PRODUCTION CO LLC	ONRR - Royalties	Gas	$188,439.57
RODDY PRODUCTION CO LLC	ONRR - Royalties	Oil	$3,457.81
ROOSTER OIL & GAS	ONRR - Other Revenues	Oil & Gas	($220,399.23)
ROOSTER OIL & GAS	ONRR - Royalties	Gas	$1,809,666.40
ROOSTER OIL & GAS	ONRR - Royalties	Oil	$7,653,520.40
ROOSTER OIL & GAS	ONRR/BLM - Bonus	Oil & Gas	$251,172.00
ROOSTER OIL & GAS	ONRR/BLM - Rents	Oil & Gas	$57,582.00
ROSEBUD MINING CO                                           	OSMRE - AML Fees including Audits and Late Charges 	Coal	$826,872.91
ROSEMONT COPPER CO	BLM - Permit Fees	Locatable Minerals	$148,589.00
ROSETTA RESOURCES OPERATING LP	BLM - Permit Fees	Oil & Gas	$1,977.00
ROSETTA RESOURCES OPERATING LP	ONRR - Other Revenues	N/A	$761.00
ROSETTA RESOURCES OPERATING LP	ONRR - Other Revenues	Oil & Gas	$13,057.00
ROSETTA RESOURCES OPERATING LP	ONRR - Royalties	Gas	$1,518.18
ROSETTA RESOURCES OPERATING LP	ONRR - Royalties	Oil	$377,376.69
ROSETTA RESOURCES OPERATING LP	ONRR/BLM - Rents	Oil & Gas	$4,842.00
ROSEWOOD RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$13,671.15
ROSEWOOD RESOURCES INC	ONRR - Royalties	Gas	$405,425.77
ROSEWOOD RESOURCES INC	ONRR - Royalties	Oil	$42,424.95
ROSEWOOD RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$13,138.00
ROSS EXPLORATIONS INC	ONRR - Other Revenues	Oil & Gas	$5,416.15
