Land Category	CY	St	County Name	FIPS	Revenue Type	Commodity	Product	 Royalty/Revenue
Fed Onshore	2004	AR	Pope	05115	Other Revenues	Oil & Gas		 $400.00 
Fed Onshore	2004	AR	Pope	05115	Rents	Oil & Gas		" $206,597.73 "
Fed Onshore	2004	AR	Pope	05115	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $9,514.10 "
Fed Onshore	2004	AR	Prairie	05117	Rents	Oil & Gas		 $280.00 
Fed Onshore	2004	AR	Scott	05127	Bonus	Oil & Gas		" $50,023.72 "
Fed Onshore	2004	AR	Scott	05127	Rents	Oil & Gas		" $430,820.12 "
Fed Onshore	2004	AR	Sebastian	05131	Bonus	Oil & Gas		" $21,296.00 "
Fed Onshore	2004	AR	Sebastian	05131	Other Revenues	Oil & Gas		" $(26,866.28)"
Fed Onshore	2004	AR	Sebastian	05131	Rents	Oil & Gas		" $38,983.77 "
Fed Onshore	2004	AR	Sebastian	05131	Royalties	Gas (mcf)	Coal Bed Methane	" $4,097.62 "
Fed Onshore	2004	AR	Sebastian	05131	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $1,989,207.39 "
Fed Onshore	2004	AR	Van Buren	05141	Rents	Oil & Gas		" $43,089.45 "
Fed Onshore	2004	AR	Washington	05143	Other Revenues	Oil & Gas		 $160.00 
Fed Onshore	2004	AR	Yell	05149	Bonus	Oil & Gas		" $211,268.00 "
Fed Onshore	2004	AR	Yell	05149	Other Revenues	Oil & Gas		" $88,590.12 "
Fed Onshore	2004	AR	Yell	05149	Rents	Oil & Gas		" $99,199.06 "
Fed Onshore	2004	AR	Yell	05149	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $737,072.99 "
Fed Onshore	2004	AZ	Apache	04001	Rents	Oil & Gas		" $2,214.00 "
Fed Onshore	2004	AZ	Cochise	04003	Rents	Oil & Gas		" $6,224.00 "
Fed Onshore	2004	AZ	Coconino	04005	Rents	Oil & Gas		" $11,640.00 "
Fed Onshore	2004	AZ	Maricopa	04013	Other Revenues	Sodium		 $36.00 
Fed Onshore	2004	AZ	Maricopa	04013	Rents	Sodium		 $4.00 
Fed Onshore	2004	AZ	Maricopa	04013	Royalties	Other Products	Salt	 $118.85 
Fed Onshore	2004	AZ	Mohave	04015	Rents	Oil & Gas		" $80,170.50 "
Fed Onshore	2004	CA	Contra Costa	06013	Other Revenues	Oil & Gas		 $55.00 
Fed Onshore	2004	CA	Contra Costa	06013	Rents	Oil & Gas		 $42.00 
Fed Onshore	2004	CA	Contra Costa	06013	Royalties	Gas (mcf)	Processed (Residue) Gas	 $204.59 
Fed Onshore	2004	CA	Contra Costa	06013	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $1,860.90 "
Fed Onshore	2004	CA	Fresno	06019	Other Revenues	Oil & Gas		 $606.13 
Fed Onshore	2004	CA	Fresno	06019	Rents	Oil & Gas		" $69,184.35 "
Fed Onshore	2004	CA	Fresno	06019	Royalties	Gas (mcf)	Processed (Residue) Gas	" $52,197.80 "
Fed Onshore	2004	CA	Fresno	06019	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $221,952.28 "
Fed Onshore	2004	CA	Fresno	06019	Royalties	NGL (gal)	Gas Plant Products	" $8,204.93 "
Fed Onshore	2004	CA	Fresno	06019	Royalties	Oil (bbl)	Oil	" $122,746.65 "
Fed Onshore	2004	CA	Glenn	06021	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $4,094.69 "
Fed Onshore	2004	CA	Imperial	06025	Other Revenues	Geothermal		" $7,584,696.97 "
Fed Onshore	2004	CA	Imperial	06025	Rents	Geothermal		" $8,066.00 "
Fed Onshore	2004	CA	Imperial	06025	Royalties	Geothermal	"Geothermal - Electrical Generation, Kilowatt Hours"	" $31,447.00 "
Fed Onshore	2004	CA	Imperial	06025	Royalties	Geothermal	"Geothermal - Electrical Generation, Other"	 $992.16 
Fed Onshore	2004	CA	Inyo	06027	Rents	Geothermal		" $4,862.00 "
Fed Onshore	2004	CA	Inyo	06027	Royalties	Geothermal	"Geothermal - Electrical Generation, Kilowatt Hours"	" $3,546,438.88 "
Fed Onshore	2004	CA	Kern	06029	Bonus	Oil & Gas		" $66,600.50 "
Fed Onshore	2004	CA	Kern	06029	Other Revenues	Oil & Gas		" $11,143.42 "
Fed Onshore	2004	CA	Kern	06029	Rents	Oil & Gas		" $229,207.82 "
Fed Onshore	2004	CA	Kern	06029	Royalties	Gas (mcf)	Gas Lost - Flared or Vented	" $3,600.00 "
Fed Onshore	2004	CA	Kern	06029	Royalties	Gas (mcf)	Processed (Residue) Gas	" $675,270.67 "
Fed Onshore	2004	CA	Kern	06029	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $117,298.07 "
Fed Onshore	2004	CA	Kern	06029	Royalties	NGL (gal)	Gas Plant Products	" $54,993.12 "
Fed Onshore	2004	CA	Kern	06029	Royalties	Oil (bbl)	Condensate	" $23,546.85 "
Fed Onshore	2004	CA	Kern	06029	Royalties	Oil (bbl)	Fuel Oil	 $221.85 
Fed Onshore	2004	CA	Kern	06029	Royalties	Oil (bbl)	Oil	" $20,048,697.80 "
Fed Onshore	2004	CA	Kings	06031	Other Revenues	Oil & Gas		" $2,265.34 "
Fed Onshore	2004	CA	Kings	06031	Rents	Oil & Gas		" $27,149.68 "
Fed Onshore	2004	CA	Kings	06031	Royalties	Gas (mcf)	Processed (Residue) Gas	" $65,595.09 "
Fed Onshore	2004	CA	Kings	06031	Royalties	NGL (gal)	Gas Plant Products	" $10,229.69 "
Fed Onshore	2004	CA	Kings	06031	Royalties	Oil (bbl)	Oil	" $82,145.15 "
Fed Onshore	2004	CA	Lake	06033	Royalties	Geothermal	"Geothermal - Electrical Generation, Thousands of Pounds"	" $2,689,982.36 "
Fed Onshore	2004	CA	Lassen	06035	Royalties	Geothermal	"Geothermal - Direct Utilization, Millions of BTUs"	" $39,865.28 "
Fed Onshore	2004	CA	Los Angeles	06037	Other Revenues	Oil & Gas		" $20,125.43 "
Fed Onshore	2004	CA	Los Angeles	06037	Rents	Oil & Gas		 $21.00 
Fed Onshore	2004	CA	Los Angeles	06037	Royalties	Gas (mcf)	Gas Lost - Flared or Vented	" $5,329.59 "
Fed Onshore	2004	CA	Los Angeles	06037	Royalties	Gas (mcf)	Processed (Residue) Gas	 $328.58 
Fed Onshore	2004	CA	Los Angeles	06037	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $35,825.15 "
Fed Onshore	2004	CA	Los Angeles	06037	Royalties	Oil (bbl)	Condensate	" $70,646.03 "
Fed Onshore	2004	CA	Los Angeles	06037	Royalties	Oil (bbl)	Oil	" $1,761,039.64 "
Fed Onshore	2004	CA	Merced	06047	Rents	Oil & Gas		" $1,444.50 "
Fed Onshore	2004	CA	Mono	06051	Other Revenues	Geothermal		" $(91,680.00)"
Fed Onshore	2004	CA	Mono	06051	Rents	Geothermal		" $156,334.00 "
Fed Onshore	2004	CA	Mono	06051	Royalties	Geothermal	"Geothermal - Electrical Generation, Kilowatt Hours"	" $186,978.74 "
Fed Onshore	2004	CA	Monterey	06053	Rents	Oil & Gas		" $13,399.51 "
Fed Onshore	2004	CA	Monterey	06053	Royalties	Oil (bbl)	Oil	" $7,516.59 "
Fed Onshore	2004	CA	San Benito	06069	Other Revenues	Oil & Gas		 $40.30 
Fed Onshore	2004	CA	San Benito	06069	Rents	Oil & Gas		" $31,459.65 "
Fed Onshore	2004	CA	San Benito	06069	Royalties	Oil (bbl)	Oil	 $876.24 
Fed Onshore	2004	CA	San Bernardn	06071	Other Revenues	Potassium		" $3,996.00 "
Fed Onshore	2004	CA	San Bernardn	06071	Other Revenues	Sodium		 $72.39 
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Anhydrous Sodium Sulfate	" $191,938.20 "
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Borax-Anhydrous	" $30,980.53 "
Fed Onshore	2004	CA	San Bernardn	06071	Royalties	Other Products	Borax-Decahydrate	" $109,756.82 "
