Company	Revenue Type	Commodity	Revenue
BARRICK GOLD CORP	ONRR - Other Revenues	Geothermal	15327
BARRICK GOLD CORP	ONRR/BLM - Rents	Geothermal	13813
BASA RESOURCES INC	BLM - Permit Fees	Oil & Gas	180
BASA RESOURCES INC	ONRR - Royalties	Oil	354965
BASELINE MINERALS INC	BLM - Permit Fees	Oil & Gas	465
BASELINE MINERALS INC	ONRR/BLM - Bonus	Oil & Gas	4470585
BASELINE MINERALS INC	ONRR/BLM - Rents	Oil & Gas	1989
BAYSWATER EXPL & PROD LLC	BLM - Permit Fees	Oil & Gas	26180
BAYSWATER EXPL & PROD LLC	ONRR - Other Revenues	Oil & Gas	9571
BAYSWATER EXPL & PROD LLC	ONRR - Royalties	Gas	97279
BAYSWATER EXPL & PROD LLC	ONRR - Royalties	Oil	306781
BAYSWATER EXPL & PROD LLC	ONRR/BLM - Rents	Oil & Gas	59051
BC OPERATING INC	BLM - Permit Fees	Oil & Gas	288500
BEARCAT ENERGY LLC	BLM - Permit Fees	Oil & Gas	2109
BEARCAT ENERGY LLC	ONRR - Other Revenues	Oil & Gas	8841
BEARCAT ENERGY LLC	ONRR - Royalties	Gas	364650
BEARCAT ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	13553
BEARTOOTH OIL & GAS CO	ONRR - Other Revenues	Oil & Gas	2228
BEARTOOTH OIL & GAS CO	ONRR - Royalties	Gas	141160
BEARTOOTH OIL & GAS CO	ONRR - Royalties	Oil	10720
BEARTOOTH OIL & GAS CO	ONRR/BLM - Rents	Oil & Gas	13356
BEECH FORK PROCESSING INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	115396
BENNU OIL & GAS LLC	ONRR - Inspection Fees	Oil & Gas	136000
BENNU OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	-913479
BENNU OIL & GAS LLC	ONRR - Royalties	Gas	1395
BENNU OIL & GAS LLC	ONRR - Royalties	Oil	18183306
BENNU OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	611183
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Civil Penalties	N/A	45960
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	Oil & Gas	3964
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Gas	302309
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Oil	413823
BENSON-MONTIN-GREER DRILLING CORP	ONRR/BLM - Rents	Oil & Gas	2773
BENTONITE PERFORMANCE MINERALS LLC	BLM - Permit Fees	Locatable Minerals	181822
BERENERGY CORP	BLM - Permit Fees	Oil & Gas	90
BERENERGY CORP	ONRR - Other Revenues	Oil & Gas	537
BERENERGY CORP	ONRR - Royalties	Gas	80019
BERENERGY CORP	ONRR - Royalties	Oil	33378
BERENERGY CORP	ONRR/BLM - Rents	Oil & Gas	1120
BETA OPERATING COMPANY LLC	ONRR - Inspection Fees	Oil & Gas	244300
BETA OPERATING COMPANY LLC	ONRR - Royalties	Oil	20859027
BH MINERALS USA INC	BLM - Permit Fees	Locatable Minerals	141205
BHP BILLITON LTD	BLM - Permit Fees	Locatable Minerals	154621
BHP BILLITON LTD	BLM - Permit Fees	Oil & Gas	155
BHP BILLITON LTD	ONRR - Inspection Fees	Oil & Gas	340000
BHP BILLITON LTD	ONRR - Other Revenues	Coal	52662
BHP BILLITON LTD	ONRR - Other Revenues	N/A	3700
BHP BILLITON LTD	ONRR - Other Revenues	Oil & Gas	14885118
BHP BILLITON LTD	ONRR - Royalties	Coal	Withheld
BHP BILLITON LTD	ONRR - Royalties	Gas	4263180
BHP BILLITON LTD	ONRR - Royalties	Oil	151880106
BHP BILLITON LTD	ONRR/BLM - Bonus	Oil & Gas	40220168
BHP BILLITON LTD	ONRR/BLM - Rents	Coal	52716
