Reporting Companies	Royalties Government	Royalties Company	Royalties Variance $	Royalties Variance %	Rents Government	Rents Company	Rents Variance $	Rents Variance %	Bonus Government	Bonus Company	Bonus Variance $	Bonus Variance %	Other Revenue Government	Other Revenue Company	Other Revenue Variance $	Other Revenue Variance %	Offshore Inspection Fee Government	Offshore Inspection Fee Company	Offshore Inspection Fee Variance $	Offshore Inspection Fee Variance %	ONRR Civil Penalties Government	ONRR Civil Penalties Company	ONRR Civil Penalties Variance $	ONRR Civil Penalties Variance %	Bonus & 1st Year Rental Government	Bonus & 1st Year Rental Company	Bonus & 1st Year Rental Variance $	Bonus & 1st Year Rental Variance %	Permit Fees Government	Permit Fees Company	Permit Fees Variance $	Permit Fees Variance %	Renewables Government	Renewables Company	Renewables Variance $	Renewables Variance %	AML Fees Government	AML Fees Company	AML Fees Variance $	AML Fees Variance %	OSMRE Civil Penalties Government	OSMRE Civil Penalties Company	OSMRE Civil Penalties Variance $	OSMRE Civil Penalties Variance %	Corporate Income Tax Company
Concho Resources, Inc.	 $ 89,435,693 	 DNP 	 N/A 	N/A	 $ 100,167 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ (108,215)	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 887,802 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
ConocoPhillips	 $ 261,150,468 	 $ 262,682,834 	 $ 1,532,366 	0.6%	 $ 24,411,479 	 $ 24,609,486 	 $ 198,007 	1%	 $ 131,941,971 	 $ 131,781,972 	 $ 159,999 	0.1%	 $ 2,632,282 	 $ 2,914,786 	 $ 282,504 	10.7%	 $ 322,000 	 $ 352,500 	 $ 30,500 	9.5%	 $ - 	 $ - 	 $ - 	0.0%	 $ 117,347 	 $ 117,347 	 $ - 	0.0%	 $ 659,300 	 $ 851,500 	 $ 192,200 	29.2%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Continental Resources, Inc.	 $ 25,752,648 	 DNP 	 N/A 	N/A	 $ 96,131 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 29,792 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 26,499,990 	 DNP 	 N/A 	N/A	 $ 303,460 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Devon Energy Corporation	 $ 122,680,600 	 $ 122,554,109 	 $ 126,491 	0.1%	 $ 370,479 	 $ 379,276 	 $ 8,797 	2%	 $ - 	 $ - 	 $ - 	0.0%	 $ 2,580,410 	 $ 2,504,376 	 $ 76,034 	3.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 10,889,200 	 $ 10,889,200 	 $ - 	0.0%	 $ 1,605,762 	 $ 1,602,291 	 $ 3,471 	0.2%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Encana Corporation	 $ 158,698,597 	 DNP 	 N/A 	N/A	 $ 960,140 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 4,280,944 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 2,041,480 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Energy XXI	 $ 206,116,211 	 $ 206,116,211 	 $ - 	0.0%	 $ 195,740 	 $ 185,978 	 $ 9,762 	5%	 $ 302,242 	 $ 302,242 	 $ - 	0.0%	 $ 1,984,809 	 $ 1,954,584 	 $ 30,225 	1.5%	 $ 684,700 	 $ 684,700 	 $ - 	0.0%	 $ 40,000 	 $ 40,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
EPL Oil & Gas, Inc.	 $ 106,133,424 	 $ 105,996,710 	 $ 136,714 	0.1%	 $ 378,149 	 $ 349,766 	 $ 28,383 	8%	 $ 2,143,100 	 $ 2,205,358 	 $ 62,258 	2.9%	 $ 2,099,041 	 $ 2,115,823 	 $ 16,782 	0.8%	 $ 588,400 	 $ 605,100 	 $ 16,700 	2.8%	 $ 33,000 	 $ 33,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 196,424
ENI Petroleum	 $ 105,748,539 	 $ 105,748,539 	 $ - 	0.0%	 $ 6,765,903 	 $ 6,765,903 	 $ - 	0%	 $ 4,023,000 	 $ 4,023,000 	 $ - 	0.0%	 $ (803,695)	 $ (803,695)	 $ - 	0.0%	 $ 1,185,500 	 $ 1,185,500 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 19,674
EOG Resources, Inc.	 $ 92,398,882 	 DNP 	 N/A 	N/A	 $ 500,155 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 797,477 	 DNP 	 N/A 	N/A	 $ 10,500 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 809,140 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Exxon Mobil Corporation	 $ 474,509,808 	 $ 474,364,629 	 $ 145,179 	0.0%	 $ 16,978,503 	 $ 17,005,977 	 $ 27,474 	0%	 $ 226,166,445 	 $ 224,984,045 	 $ 1,182,400 	0.5%	 $ 24,422,341 	 $ 13,190,341 	 $ 11,232,000 	46.0%	 $ 850,000 	 $ 839,500 	 $ 10,500 	1.2%	 $ - 	 $ - 	 $ - 	0.0%	 $ 903,700 	 $ 903,700 	 $ - 	0.0%	 $ 910,679 	 $ 887,250 	 $ 23,429 	2.6%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Fieldwood Energy LLC	 $ 47,608,965 	 DNP 	 N/A 	N/A	 $ 4,482,901 	 DNP 	 N/A 	N/A	 $ 26,208,867 	 DNP 	 N/A 	N/A	 $ 507,387 	 DNP 	 N/A 	N/A	 $ 7,572,400 	 DNP 	 N/A 	N/A	 $ 695,000 	 DNP 	 N/A 	N/A	 $ 176,600 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Freeport-McMoRan Inc.	 $ 312,946,187 	 $ 312,946,187 	 $ - 	0.0%	 $ 4,285,169 	 $ 4,066,778 	 $ 218,391 	5%	 $ 83,880,250 	 $ 83,873,645 	 $ 6,605 	0.0%	 $ (264,552)	 $ (288,024)	 $ 23,472 	8.9%	 $ 2,128,285 	 $ 2,098,756 	 $ 29,529 	1.4%	 $ 84,750 	 $ 84,750 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 2,203,711 	 $ 2,185,400 	 $ 18,311 	0.8%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 135,071,332
Hess Corporation	 $ 196,061,653 	 $ 196,096,387 	 $ 34,734 	0.0%	 $ 7,217,114 	 $ 7,284,097 	 $ 66,983 	1%	 $ 4,000,000 	 $ 4,000,000 	 $ - 	0.0%	 $ 1,025,053 	 $ 1,042,464 	 $ 17,411 	1.7%	 $ 885,500 	 $ 885,000 	 $ 500 	0.1%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 76,701 	 $ 75,000 	 $ 1,701 	2.2%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Linn Energy, LLC	 $ 82,821,666 	 DNP 	 N/A 	N/A	 $ 10,157 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 552,525 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 2,488,643 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
LLOG Exploration Company LLC	 $ 190,596,220 	 DNP 	 N/A 	N/A	 $ 3,094,544 	 DNP 	 N/A 	N/A	 $ 125,091,801 	 DNP 	 N/A 	N/A	 $ (134,548)	 DNP 	 N/A 	N/A	 $ 904,800 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Marathon Oil Company	 $ 126,113,758 	 $ 126,121,724 	 $ 7,966 	0.0%	 $ 3,086,739 	 $ 3,085,628 	 $ 1,111 	0%	 $ 32,802,916 	 $ 32,802,916 	 $ - 	0.0%	 $ 432,879 	 $ 412,358 	 $ 20,521 	4.7%	 $ 123,000 	 $ 123,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 4,391,750 	 $ 4,394,447 	 $ 2,697 	0.1%	 $ 159,515 	 $ 156,000 	 $ 3,515 	2.2%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Newfield Exploration Company	 $ 56,885,635 	 $ 56,965,192 	 $ 79,557 	0.1%	 $ 228,598 	 $ 240,521 	 $ 11,923 	5%	 $ 4,180 	 $ - 	 $ 4,180 	100.0%	 $ 1,737,830 	 $ 1,733,496 	 $ 4,334 	0.3%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 2,307,330 	 $ 2,073,500 	 $ 233,830 	10.1%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Noble Energy, Inc.	 $ 96,060,667 	 $ 95,768,855 	 $ 291,812 	0.3%	 $ 4,467,818 	 $ 4,415,783 	 $ 52,035 	1%	 $ - 	 $ - 	 $ - 	0.0%	 $ (1,927,906)	 $ (1,945,151)	 $ 17,245 	0.9%	 $ 213,500 	 $ 183,000 	 $ 30,500 	14.3%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 62,399 	 $ 86,115 	 $ 23,716 	38.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Oxy USA, Inc.	 $ 74,972,292 	 DNP 	 N/A 	N/A	 $ 332,555 	 DNP 	 N/A 	N/A	 $ 190,982 	 DNP 	 N/A 	N/A	 $ (24,291)	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 89,305 	 DNP 	 N/A 	N/A	 $ 803,490 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Peabody Energy Corporation	 $ 188,130,401 	 $ 196,437,152 	 $ 8,306,751 	4.4%	 $ 192,199 	 $ 192,199 	 $ - 	0%	 $ 276,773,916 	 $ 276,773,916 	 $ - 	0.0%	 $ 337,707 	 $ 336,597 	 $ 1,110 	0.3%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 475,590 	 $ 475,590 	 $ - 	0.0%	 $ 3,217 	 $ 10,305 	 $ 7,088 	220.3%	 $ - 	 $ - 	 $ - 	0.0%	 $ 48,492,478 	 $ 48,532,180 	 $ 39,702 	0.1%	 $ 2,760 	 $ 2,760 	 $ - 	0.0%	 DNR
QEP Resources, Inc.	 $ 95,653,947 	 DNP 	 N/A 	N/A	 $ 463,665 	 DNP 	 N/A 	N/A	 $ 23,710 	 DNP 	 N/A 	N/A	 $ (329,129)	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 1,967,395 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Repsol E&P USA Inc.	 $ 43,988,033 	 $ 43,988,033 	 $ - 	0.0%	 $ 5,699,607 	 $ 5,699,607 	 $ - 	0%	 $ 611,351 	 $ 611,351 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 N/A
SandRidge Energy, Inc.	 $ 132,997,664 	 DNP 	 N/A 	N/A	 $ 261,311 	 DNP 	 N/A 	N/A	 $ 458,360 	 DNP 	 N/A 	N/A	 $ (2,277,445)	 DNP 	 N/A 	N/A	 $ 2,805,399 	 DNP 	 N/A 	N/A	 $ 780,300 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 13,000 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Shell E&P Company	 $ 737,334,054 	 $ 737,334,054 	 $ - 	0.0%	 $ 26,648,489 	 $ 26,570,830 	 $ 77,659 	0%	 $ 142,229,840 	 $ 142,619,480 	 $ 389,640 	0.3%	 $ 615,584 	 $ 608,954 	 $ 6,630 	1.1%	 $ 3,742,000 	 $ 3,742,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 673,069 	 $ 661,319 	 $ 11,750 	1.8%	 $ 22,247 	 $ 19,537 	 $ 2,710 	12.2%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ (60,000,000)
Statoil Gulf of Mexico	 $ 92,607,958 	 $ 86,991,402 	 $ 5,616,556 	6.1%	 $ 10,173,404 	 $ 10,007,698 	 $ 165,706 	2%	 $ 106,091,454 	 $ 106,091,454 	 $ - 	0.0%	 $ (385,042)	 $ (389,316)	 $ 4,274 	1.1%	 $ 152,500 	 $ 152,500 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 104,335 	 $ 104,335 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ -
Stone Energy Corporation	 $ 124,046,998 	 $ 124,046,998 	 $ - 	0.0%	 $ 3,862,272 	 $ 3,862,032 	 $ 240 	0%	 $ 17,802,096 	 $ 17,802,096 	 $ - 	0.0%	 $ 2,525,739 	 $ 2,525,739 	 $ - 	0.0%	 $ 2,051,200 	 $ 2,051,200 	 $ - 	0.0%	 $ 35,000 	 $ 35,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 3,315 	 $ 1,780 	 $ 1,535 	46.3%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ (15,102,744)
Talos Energy LLC	 $ 65,725,741 	 DNP 	 N/A 	N/A	 $ 1,664,388 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ (882,726)	 DNP 	 N/A 	N/A	 $ 1,185,000 	 DNP 	 N/A 	N/A	 $ 75,000 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Ultra Resources Inc.	 $ 101,631,395 	 $ 100,592,803 	 $ 1,038,592 	1.0%	 $ 8,699 	 $ 8,021 	 $ 678 	8%	 $ - 	 $ - 	 $ - 	0.0%	 $ 671,847 	 $ 677,785 	 $ 5,938 	0.9%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 1,079,450 	 $ 1,072,950 	 $ 6,500 	0.6%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 7,500,000
