Year	Commodity	Product	Volume
2010	Other Products	Purge Liquor (ton)	108835
2010	Other Products	Sodium Bisulfite (ton)	705
2010	Other Products	Sodium Sesquicarbonate (ton)	89071
2010	Other Products	Sulfide (ton)	22152
2010	Other Products	Trona Ore (ton)	117377
2011	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	738571206.6199999
2011	Oil (bbl)	Oil (bbl)	102484668.77
2011	Gas (mcf)	Processed (Residue) Gas (mcf)	1591511846.0600002
2011	NGL (gal)	Gas Plant Products (gal)	3421732118.1699996
2011	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	3216.69
2011	Other Products	Sulfur (lton)	464281.6800000001
2011	Coal (ton)	Coal (ton)	452882294
2011	Oil (bbl)	Condensate (bbl)	12889050.05
2011	Gas (mcf)	Coal Bed Methane (mcf)	559813255.24
2011	Gas (mcf)	Fuel Gas (mcf)	1830286.79
2011	Other Products	Quartz Crystal (lb)	158
2011	Other Products	Salt (ton)	874457
2011	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	2004451294.28
2011	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	19883.37
2011	Geothermal	Geothermal - sulfur (lton)	3469.89
2011	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	389484.19999999995
2011	Oil (bbl)	Drip or Scrubber Condensate (bbl)	187477.87
2011	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2603301430.28
2011	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	228010.63
2011	Other Products	Anhydrous Sodium Sulfate (ton)	163158
2011	Other Products	Borax-Anhydrous (ton)	2075
2011	Other Products	Borax-Decahydrate (ton)	52637
2011	Other Products	Borax-Pentahydrate (ton)	72986
2011	Other Products	Boric Acid (ton)	31623
2011	Other Products	Soda Ash (ton)	7677704
2011	Other Products	Sodium Bi-Carbonate (ton)	229316
2011	Other Products	Helium (bbl)	513.33
2011	Other Products	Carbon Dioxide Gas (CO2) (mcf)	457421547.85999995
2011	Oil (bbl)	Inlet Scrubber (bbl)	31961.719999999994
2011	Other Products	Phosphate Raw Ore (ton)	4749534
2011	Gas (mcf)	Nitrogen (mcf)	26115.18
2011	Other Products	Copper Concentrate (ton)	10532.99
2011	Other Products	Lead Concentrate (ton)	179777.99
2011	Other Products	Zinc Concentrate (ton)	42988
2011	Oil (bbl)	Sweet Crude (bbl)	6610.32
2011	Other Products	Leonardite (ton)	8496
2011	Other Products	Langbeinite (ton)	769590
2011	Other Products	Muriate Of Potash-Granular (ton)	405867
2011	Other Products	Muriate Of Potash-Standard (ton)	118255
2011	Other Products	Potash (ton)	325482
2011	Other Products	Sylvite-Raw Ore (ton)	525897
2011	Oil (bbl)	Fuel Oil (bbl)	1.56
2011	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	131014604
2011	Gas (mcf)	Flash Gas (mcf)	390.32
2011	Other Products	Clay (ton)	20788
2011	Other Products	Magnesium Chloride Brine (ton)	73522
2011	Other Products	Manure Salts (ton)	684
2011	Other Products	Gilsonite (ton)	23433
2011	Other Products	Limestone (ton)	174574
2011	Other Products	Purge Liquor (ton)	104745
2011	Other Products	Sodium Bisulfite (ton)	1927
2011	Other Products	Sodium Sesquicarbonate (ton)	105102
2011	Other Products	Sulfide (ton)	51234
2011	Other Products	Trona Ore (ton)	240887
2012	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	780050033.29
2012	Oil (bbl)	Oil (bbl)	115544678.62
2012	Gas (mcf)	Processed (Residue) Gas (mcf)	1540023665.1499999
2012	NGL (gal)	Gas Plant Products (gal)	3393088924.8599997
2012	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	2923.3
2012	Other Products	Sulfur (lton)	376920.86
2012	Coal (ton)	Coal (ton)	422055558
2012	Oil (bbl)	Condensate (bbl)	12833589.91
2012	Gas (mcf)	Coal Bed Methane (mcf)	506559453.26
2012	Gas (mcf)	Fuel Gas (mcf)	3551667.26
2012	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	3403428.69
2012	Other Products	Quartz Crystal (lb)	205
2012	Other Products	Salt (ton)	735988
2012	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	2132181179
2012	Geothermal	Geothermal - sulfur (lton)	2598.09
2012	Oil (bbl)	Drip or Scrubber Condensate (bbl)	183654.67
2012	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2501855609.96
2012	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	271469.64
2012	Other Products	Anhydrous Sodium Sulfate (ton)	145333
2012	Other Products	Borax-Decahydrate (ton)	51898
2012	Other Products	Borax-Pentahydrate (ton)	67759
2012	Other Products	Boric Acid (ton)	26459
2012	Other Products	Soda Ash (ton)	5460218
2012	Other Products	Sodium Bi-Carbonate (ton)	209735
2012	Other Products	Helium (bbl)	496.08
2012	Other Products	Carbon Dioxide Gas (CO2) (mcf)	500303985.08
2012	Oil (bbl)	Inlet Scrubber (bbl)	17090.01
2012	Other Products	Phosphate Raw Ore (ton)	5680156
2012	Gas (mcf)	Nitrogen (mcf)	31446.079999999998
2012	Other Products	Copper Concentrate (ton)	22517.01
2012	Other Products	Lead Concentrate (ton)	152155.00999999998
2012	Other Products	Zinc Concentrate (ton)	33736
2012	Oil (bbl)	Sweet Crude (bbl)	2761.2
2012	Other Products	Leonardite (ton)	2040
2012	Other Products	Langbeinite (ton)	806217
