Year	Company	Type	Government Reported	Company Reported	Variance Dollars	Variance Percent
2013	ANKOR Energy LLC	AML Fees	0	0	0	0
2013	ANKOR Energy LLC	OSMRE Civil Penalties	0	0	0	0
2013	ANKOR Energy LLC	Corporate Income Tax	0	N/A	N/A	N/A
2013	Apache Corporation	Royalties	438589423	did not participate	N/A	N/A
2013	Apache Corporation	Rents	3500972	did not participate	N/A	N/A
2013	Apache Corporation	Bonus	33478000	did not participate	N/A	N/A
2013	Apache Corporation	Other Revenue	2595866	did not participate	N/A	N/A
2013	Apache Corporation	Offshore Inspection Fee	122000	did not participate	N/A	N/A
2013	Apache Corporation	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	Apache Corporation	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
2013	Apache Corporation	Permit Fees	450253	did not participate	N/A	N/A
2013	Apache Corporation	Renewables	0	did not participate	N/A	N/A
2013	Apache Corporation	AML Fees	0	did not participate	N/A	N/A
2013	Apache Corporation	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	Apache Corporation	Corporate Income Tax	0	did not participate	N/A	N/A
2013	Arch Coal, Inc.	Royalties	182167078	182167078	0	0
2013	Arch Coal, Inc.	Rents	232049	250989	-18940	8.16
2013	Arch Coal, Inc.	Bonus	60000202	60000202	0	0
2013	Arch Coal, Inc.	Other Revenue	3583453	3583453	0	0
2013	Arch Coal, Inc.	Offshore Inspection Fee	0	0	0	0
2013	Arch Coal, Inc.	ONRR Civil Penalties	0	0	0	0
2013	Arch Coal, Inc.	Bonus & 1st Year Rental	440313	440313	0	0
2013	Arch Coal, Inc.	Permit Fees	734	734	0	0
2013	Arch Coal, Inc.	Renewables	0	0	0	0
2013	Arch Coal, Inc.	AML Fees	34025339	34025339	0	0
2013	Arch Coal, Inc.	OSMRE Civil Penalties	0	0	0	0
2013	Arch Coal, Inc.	Corporate Income Tax	0	did not report	N/A	N/A
2013	Arena Energy, LLC	Royalties	85536515	85549962	-13447	0.02
2013	Arena Energy, LLC	Rents	1182340	1180362	1978	0.17
2013	Arena Energy, LLC	Bonus	1307000	1307000	0	0
2013	Arena Energy, LLC	Other Revenue	81422	81908	-486	0.6
2013	Arena Energy, LLC	Offshore Inspection Fee	2030000	2030000	0	0
2013	Arena Energy, LLC	ONRR Civil Penalties	90000	90000	0	0
2013	Arena Energy, LLC	Bonus & 1st Year Rental	0	0	0	0
2013	Arena Energy, LLC	Permit Fees	0	0	0	0
2013	Arena Energy, LLC	Renewables	0	0	0	0
2013	Arena Energy, LLC	AML Fees	0	0	0	0
2013	Arena Energy, LLC	OSMRE Civil Penalties	0	0	0	0
2013	Arena Energy, LLC	Corporate Income Tax	0	N/A	N/A	N/A
2013	BHP Billiton LTD	Royalties	290943513	290876410	67103	0.02
2013	BHP Billiton LTD	Rents	11531065	11715699	-184634	1.6
2013	BHP Billiton LTD	Bonus	121705398	123566486	-1861088	1.53
2013	BHP Billiton LTD	Other Revenue	190198	192928	-2730	1.44
2013	BHP Billiton LTD	Offshore Inspection Fee	505980	506128	-148	0.03
2013	BHP Billiton LTD	ONRR Civil Penalties	0	0	0	0
2013	BHP Billiton LTD	Bonus & 1st Year Rental	0	0	0	0
2013	BHP Billiton LTD	Permit Fees	92644	92644	0	0
2013	BHP Billiton LTD	Renewables	0	0	0	0
2013	BHP Billiton LTD	AML Fees	2895555	2895555	0	0
2013	BHP Billiton LTD	OSMRE Civil Penalties	0	0	0	0
2013	BHP Billiton LTD	Corporate Income Tax	0	did not report	N/A	N/A
2013	BOPCO, LP	Royalties	78674576	did not participate	N/A	N/A
2013	BOPCO, LP	Rents	52115	did not participate	N/A	N/A
2013	BOPCO, LP	Bonus	0	did not participate	N/A	N/A
2013	BOPCO, LP	Other Revenue	32680	did not participate	N/A	N/A
2013	BOPCO, LP	Offshore Inspection Fee	0	did not participate	N/A	N/A
2013	BOPCO, LP	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	BOPCO, LP	Bonus & 1st Year Rental	6432000	did not participate	N/A	N/A
2013	BOPCO, LP	Permit Fees	378214	did not participate	N/A	N/A
2013	BOPCO, LP	Renewables	0	did not participate	N/A	N/A
2013	BOPCO, LP	AML Fees	0	did not participate	N/A	N/A
2013	BOPCO, LP	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	BOPCO, LP	Corporate Income Tax	0	did not participate	N/A	N/A
2013	BP America	Royalties	847156065	847036243	119822	0.01
2013	BP America	Rents	25739425	25199393	540032	2.1
2013	BP America	Bonus	0	0	0	0
2013	BP America	Other Revenue	3004327	2943014	61313	2.04
2013	BP America	Offshore Inspection Fee	1944000	1944000	0	0
2013	BP America	ONRR Civil Penalties	60000	60000	0	0
2013	BP America	Bonus & 1st Year Rental	0	0	0	0
2013	BP America	Permit Fees	130935	130500	435	0.33
2013	BP America	Renewables	0	0	0	0
2013	BP America	AML Fees	0	0	0	0
2013	BP America	OSMRE Civil Penalties	0	0	0	0
2013	BP America	Corporate Income Tax	85000000	85000000	0	0
2013	Chevron Corporation	Royalties	827397767	772842106	54555661	6.59
2013	Chevron Corporation	Rents	19149064	19003698	145366	0.76
2013	Chevron Corporation	Bonus	101636143	101636143	0	0
2013	Chevron Corporation	Other Revenue	3164566	3158448	6118	0.19
2013	Chevron Corporation	Offshore Inspection Fee	7394900	7364400	30500	0.41
2013	Chevron Corporation	ONRR Civil Penalties	40000	40000	0	0
2013	Chevron Corporation	Bonus & 1st Year Rental	0	0	0	0
2013	Chevron Corporation	Permit Fees	218878	215043	3835	1.75
2013	Chevron Corporation	Renewables	0	0	0	0
2013	Chevron Corporation	AML Fees	0	0	0	0
2013	Chevron Corporation	OSMRE Civil Penalties	13680	13680	0	0
2013	Chevron Corporation	Corporate Income Tax	0	did not report	N/A	N/A
2013	Cimarex Energy Co.	Royalties	67020156	67020148	8	0
2013	Cimarex Energy Co.	Rents	45254	47972	-2718	6.01
2013	Cimarex Energy Co.	Bonus	0	0	0	0
2013	Cimarex Energy Co.	Other Revenue	3711779	3712145	-366	0.01
2013	Cimarex Energy Co.	Offshore Inspection Fee	134800	134800	0	0
2013	Cimarex Energy Co.	ONRR Civil Penalties	327450	327450	0	0
2013	Cimarex Energy Co.	Bonus & 1st Year Rental	8266400	8268117	-1717	0.02
2013	Cimarex Energy Co.	Permit Fees	1075805	1121342	-45537	4.23
2013	Cimarex Energy Co.	Renewables	0	0	0	0
2013	Cimarex Energy Co.	AML Fees	0	0	0	0
2013	Cimarex Energy Co.	OSMRE Civil Penalties	0	0	0	0
2013	Cimarex Energy Co.	Corporate Income Tax	-427025	-427025	0	0
2013	Cloud Peak Energy Resources, LLC	Royalties	120674727	120674728	-1	0
2013	Cloud Peak Energy Resources, LLC	Rents	100997	104484	-3487	3.45
2013	Cloud Peak Energy Resources, LLC	Bonus	79026630	79026631	-1	0
2013	Cloud Peak Energy Resources, LLC	Other Revenue	214	0	214	100
2013	Cloud Peak Energy Resources, LLC	Offshore Inspection Fee	0	0	0	0
2013	Cloud Peak Energy Resources, LLC	ONRR Civil Penalties	0	0	0	0
2013	Cloud Peak Energy Resources, LLC	Bonus & 1st Year Rental	0	3614	-3614	100
2013	Cloud Peak Energy Resources, LLC	Permit Fees	222366	218752	3614	1.63
2013	Cloud Peak Energy Resources, LLC	Renewables	0	0	0	0
2013	Cloud Peak Energy Resources, LLC	AML Fees	24335853	24335853	0	0
2013	Cloud Peak Energy Resources, LLC	OSMRE Civil Penalties	0	0	0	0
2013	Cloud Peak Energy Resources, LLC	Corporate Income Tax	9500000	9500000	0	0
2013	Cobalt International Energy, Inc.	Royalties	0	0	0	0
2013	Cobalt International Energy, Inc.	Rents	9848675	9958115	-109440	1.11
2013	Cobalt International Energy, Inc.	Bonus	54536650	54536650	0	0
2013	Cobalt International Energy, Inc.	Other Revenue	0	0	0	0
2013	Cobalt International Energy, Inc.	Offshore Inspection Fee	335500	335500	0	0
2013	Cobalt International Energy, Inc.	ONRR Civil Penalties	0	0	0	0
2013	Cobalt International Energy, Inc.	Bonus & 1st Year Rental	0	0	0	0
2013	Cobalt International Energy, Inc.	Permit Fees	0	0	0	0
2013	Cobalt International Energy, Inc.	Renewables	0	0	0	0
2013	Cobalt International Energy, Inc.	AML Fees	0	0	0	0
2013	Cobalt International Energy, Inc.	OSMRE Civil Penalties	0	0	0	0
2013	Cobalt International Energy, Inc.	Corporate Income Tax	0	did not report	N/A	N/A
2013	Concho Resources, Inc.	Royalties	89435693	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Rents	100167	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Bonus	0	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Other Revenue	-108215	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Offshore Inspection Fee	0	did not participate	N/A	N/A
2013	Concho Resources, Inc.	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Permit Fees	887802	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Renewables	0	did not participate	N/A	N/A
2013	Concho Resources, Inc.	AML Fees	0	did not participate	N/A	N/A
2013	Concho Resources, Inc.	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	Concho Resources, Inc.	Corporate Income Tax	0	did not participate	N/A	N/A
2013	ConocoPhillips	Royalties	261150468	262682834	-1532366	0.59
2013	ConocoPhillips	Rents	24411479	24609486	-198007	0.81
2013	ConocoPhillips	Bonus	131941971	131781972	159999	0.12
2013	ConocoPhillips	Other Revenue	2632282	2914786	-282504	10.73
2013	ConocoPhillips	Offshore Inspection Fee	322000	352500	-30500	9.47
2013	ConocoPhillips	ONRR Civil Penalties	0	0	0	0
2013	ConocoPhillips	Bonus & 1st Year Rental	117347	117347	0	0
2013	ConocoPhillips	Permit Fees	659300	851500	-192200	29.15
2013	ConocoPhillips	Renewables	0	0	0	0
2013	ConocoPhillips	AML Fees	0	0	0	0
2013	ConocoPhillips	OSMRE Civil Penalties	0	0	0	0
2013	ConocoPhillips	Corporate Income Tax	0	did not report	N/A	N/A
2013	Continental Resources, Inc.	Royalties	25752648	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Rents	96131	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Bonus	0	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Other Revenue	29792	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Offshore Inspection Fee	0	did not participate	N/A	N/A
2013	Continental Resources, Inc.	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Bonus & 1st Year Rental	26499990	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Permit Fees	303460	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Renewables	0	did not participate	N/A	N/A
2013	Continental Resources, Inc.	AML Fees	0	did not participate	N/A	N/A
2013	Continental Resources, Inc.	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	Continental Resources, Inc.	Corporate Income Tax	0	did not participate	N/A	N/A
2013	Devon Energy Corporation	Royalties	122680600	122554109	126491	0.1
2013	Devon Energy Corporation	Rents	370479	379276	-8797	2.37
2013	Devon Energy Corporation	Bonus	0	0	0	0
2013	Devon Energy Corporation	Other Revenue	2580410	2504376	76034	2.95
2013	Devon Energy Corporation	Offshore Inspection Fee	0	0	0	0
2013	Devon Energy Corporation	ONRR Civil Penalties	0	0	0	0
2013	Devon Energy Corporation	Bonus & 1st Year Rental	10889200	10889200	0	0
2013	Devon Energy Corporation	Permit Fees	1605762	1602291	3471	0.22
2013	Devon Energy Corporation	Renewables	0	0	0	0
2013	Devon Energy Corporation	AML Fees	0	0	0	0
2013	Devon Energy Corporation	OSMRE Civil Penalties	0	0	0	0
2013	Devon Energy Corporation	Corporate Income Tax	0	did not report	N/A	N/A
2013	Encana Corporation	Royalties	158698597	did not participate	N/A	N/A
2013	Encana Corporation	Rents	960140	did not participate	N/A	N/A
2013	Encana Corporation	Bonus	0	did not participate	N/A	N/A
2013	Encana Corporation	Other Revenue	4280944	did not participate	N/A	N/A
2013	Encana Corporation	Offshore Inspection Fee	0	did not participate	N/A	N/A
2013	Encana Corporation	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	Encana Corporation	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
2013	Encana Corporation	Permit Fees	2041480	did not participate	N/A	N/A
2013	Encana Corporation	Renewables	0	did not participate	N/A	N/A
2013	Encana Corporation	AML Fees	0	did not participate	N/A	N/A
2013	Encana Corporation	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	Encana Corporation	Corporate Income Tax	0	did not participate	N/A	N/A
2013	Energy XXI	Royalties	206116211	206116211	0	0
2013	Energy XXI	Rents	195740	185978	9762	4.99
2013	Energy XXI	Bonus	302242	302242	0	0
2013	Energy XXI	Other Revenue	1984809	1954584	30225	1.52
2013	Energy XXI	Offshore Inspection Fee	684700	684700	0	0
2013	Energy XXI	ONRR Civil Penalties	40000	40000	0	0
2013	Energy XXI	Bonus & 1st Year Rental	0	0	0	0
2013	Energy XXI	Permit Fees	0	0	0	0
2013	Energy XXI	Renewables	0	0	0	0
2013	Energy XXI	AML Fees	0	0	0	0
2013	Energy XXI	OSMRE Civil Penalties	0	0	0	0
2013	Energy XXI	Corporate Income Tax	0	did not report	N/A	N/A
2013	EPL Oil & Gas, Inc.	Royalties	106133424	105996710	136714	0.13
2013	EPL Oil & Gas, Inc.	Rents	378149	349766	28383	7.51
2013	EPL Oil & Gas, Inc.	Bonus	2143100	2205358	-62258	2.91
2013	EPL Oil & Gas, Inc.	Other Revenue	2099041	2115823	-16782	0.8
2013	EPL Oil & Gas, Inc.	Offshore Inspection Fee	588400	605100	-16700	2.84
2013	EPL Oil & Gas, Inc.	ONRR Civil Penalties	33000	33000	0	0
2013	EPL Oil & Gas, Inc.	Bonus & 1st Year Rental	0	0	0	0
2013	EPL Oil & Gas, Inc.	Permit Fees	0	0	0	0
2013	EPL Oil & Gas, Inc.	Renewables	0	0	0	0
2013	EPL Oil & Gas, Inc.	AML Fees	0	0	0	0
2013	EPL Oil & Gas, Inc.	OSMRE Civil Penalties	0	0	0	0
2013	EPL Oil & Gas, Inc.	Corporate Income Tax	N/A	196424	NaN	N/A
2013	ENI Petroleum	Royalties	105748539	105748539	0	0
2013	ENI Petroleum	Rents	6765903	6765903	0	0
2013	ENI Petroleum	Bonus	4023000	4023000	0	0
2013	ENI Petroleum	Other Revenue	-803695	-803695	0	0
2013	ENI Petroleum	Offshore Inspection Fee	1185500	1185500	0	0
2013	ENI Petroleum	ONRR Civil Penalties	0	0	0	0
2013	ENI Petroleum	Bonus & 1st Year Rental	0	0	0	0
2013	ENI Petroleum	Permit Fees	0	0	0	0
2013	ENI Petroleum	Renewables	0	0	0	0
2013	ENI Petroleum	AML Fees	0	0	0	0
2013	ENI Petroleum	OSMRE Civil Penalties	0	0	0	0
2013	ENI Petroleum	Corporate Income Tax	N/A	19674	NaN	N/A
2013	EOG Resources, Inc.	Royalties	92398882	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Rents	500155	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Bonus	0	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Other Revenue	797477	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Offshore Inspection Fee	10500	did not participate	N/A	N/A
2013	EOG Resources, Inc.	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Permit Fees	809140	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Renewables	0	did not participate	N/A	N/A
2013	EOG Resources, Inc.	AML Fees	0	did not participate	N/A	N/A
2013	EOG Resources, Inc.	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	EOG Resources, Inc.	Corporate Income Tax	0	did not participate	N/A	N/A
2013	Exxon Mobil Corporation	Royalties	474509808	474364629	145179	0.03
2013	Exxon Mobil Corporation	Rents	16978503	17005977	-27474	0.16
2013	Exxon Mobil Corporation	Bonus	226166445	224984045	1182400	0.52
2013	Exxon Mobil Corporation	Other Revenue	24422341	13190341	11232000	45.99
2013	Exxon Mobil Corporation	Offshore Inspection Fee	850000	839500	10500	1.24
2013	Exxon Mobil Corporation	ONRR Civil Penalties	0	0	0	0
2013	Exxon Mobil Corporation	Bonus & 1st Year Rental	903700	903700	0	0
2013	Exxon Mobil Corporation	Permit Fees	910679	887250	23429	2.57
2013	Exxon Mobil Corporation	Renewables	0	0	0	0
2013	Exxon Mobil Corporation	AML Fees	0	0	0	0
2013	Exxon Mobil Corporation	OSMRE Civil Penalties	0	0	0	0
2013	Exxon Mobil Corporation	Corporate Income Tax	0	did not report	N/A	N/A
2013	Fieldwood Energy LLC	Royalties	47608965	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Rents	4482901	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Bonus	26208867	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Other Revenue	507387	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Offshore Inspection Fee	7572400	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	ONRR Civil Penalties	695000	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Bonus & 1st Year Rental	176600	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Permit Fees	0	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Renewables	0	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	AML Fees	0	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	Fieldwood Energy LLC	Corporate Income Tax	0	did not participate	N/A	N/A
2013	Freeport-McMoRan Inc.	Royalties	312946187	312946187	0	0
2013	Freeport-McMoRan Inc.	Rents	4285169	4066778	218391	5.1
2013	Freeport-McMoRan Inc.	Bonus	83880250	83873645	6605	0.01
2013	Freeport-McMoRan Inc.	Other Revenue	-264552	-288024	23472	8.87
2013	Freeport-McMoRan Inc.	Offshore Inspection Fee	2128285	2098756	29529	1.39
2013	Freeport-McMoRan Inc.	ONRR Civil Penalties	84750	84750	0	0
2013	Freeport-McMoRan Inc.	Bonus & 1st Year Rental	0	0	0	0
2013	Freeport-McMoRan Inc.	Permit Fees	2203711	2185400	18311	0.83
2013	Freeport-McMoRan Inc.	Renewables	0	0	0	0
2013	Freeport-McMoRan Inc.	AML Fees	0	0	0	0
2013	Freeport-McMoRan Inc.	OSMRE Civil Penalties	0	0	0	0
2013	Freeport-McMoRan Inc.	Corporate Income Tax	N/A	135071332	NaN	N/A
2013	Hess Corporation	Royalties	196061653	196096387	-34734	0.02
2013	Hess Corporation	Rents	7217114	7284097	-66983	0.93
2013	Hess Corporation	Bonus	4000000	4000000	0	0
2013	Hess Corporation	Other Revenue	1025053	1042464	-17411	1.7
2013	Hess Corporation	Offshore Inspection Fee	885500	885000	500	0.06
2013	Hess Corporation	ONRR Civil Penalties	0	0	0	0
2013	Hess Corporation	Bonus & 1st Year Rental	0	0	0	0
2013	Hess Corporation	Permit Fees	76701	75000	1701	2.22
2013	Hess Corporation	Renewables	0	0	0	0
2013	Hess Corporation	AML Fees	0	0	0	0
2013	Hess Corporation	OSMRE Civil Penalties	0	0	0	0
2013	Hess Corporation	Corporate Income Tax	0	did not report	N/A	N/A
2013	Linn Energy, LLC	Royalties	82821666	did not participate	N/A	N/A
2013	Linn Energy, LLC	Rents	10157	did not participate	N/A	N/A
2013	Linn Energy, LLC	Bonus	0	did not participate	N/A	N/A
2013	Linn Energy, LLC	Other Revenue	552525	did not participate	N/A	N/A
2013	Linn Energy, LLC	Offshore Inspection Fee	0	did not participate	N/A	N/A
2013	Linn Energy, LLC	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	Linn Energy, LLC	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
2013	Linn Energy, LLC	Permit Fees	2488643	did not participate	N/A	N/A
2013	Linn Energy, LLC	Renewables	0	did not participate	N/A	N/A
2013	Linn Energy, LLC	AML Fees	0	did not participate	N/A	N/A
2013	Linn Energy, LLC	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	Linn Energy, LLC	Corporate Income Tax	0	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Royalties	190596220	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Rents	3094544	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Bonus	125091801	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Other Revenue	-134548	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Offshore Inspection Fee	904800	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Permit Fees	0	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Renewables	0	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	AML Fees	0	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	LLOG Exploration Company LLC	Corporate Income Tax	0	did not participate	N/A	N/A
2013	Marathon Oil Company	Royalties	126113758	126121724	-7966	0.01
2013	Marathon Oil Company	Rents	3086739	3085628	1111	0.04
2013	Marathon Oil Company	Bonus	32802916	32802916	0	0
2013	Marathon Oil Company	Other Revenue	432879	412358	20521	4.74
2013	Marathon Oil Company	Offshore Inspection Fee	123000	123000	0	0
2013	Marathon Oil Company	ONRR Civil Penalties	0	0	0	0
2013	Marathon Oil Company	Bonus & 1st Year Rental	4391750	4394447	-2697	0.06
2013	Marathon Oil Company	Permit Fees	159515	156000	3515	2.2
2013	Marathon Oil Company	Renewables	0	0	0	0
2013	Marathon Oil Company	AML Fees	0	0	0	0
2013	Marathon Oil Company	OSMRE Civil Penalties	0	0	0	0
2013	Marathon Oil Company	Corporate Income Tax	0	did not report	N/A	N/A
2013	Newfield Exploration Company	Royalties	56885635	56965192	-79557	0.14
2013	Newfield Exploration Company	Rents	228598	240521	-11923	5.22
2013	Newfield Exploration Company	Bonus	4180	0	4180	100
2013	Newfield Exploration Company	Other Revenue	1737830	1733496	4334	0.25
2013	Newfield Exploration Company	Offshore Inspection Fee	0	0	0	0
2013	Newfield Exploration Company	ONRR Civil Penalties	0	0	0	0
2013	Newfield Exploration Company	Bonus & 1st Year Rental	0	0	0	0
2013	Newfield Exploration Company	Permit Fees	2307330	2073500	233830	10.13
2013	Newfield Exploration Company	Renewables	0	0	0	0
2013	Newfield Exploration Company	AML Fees	0	0	0	0
2013	Newfield Exploration Company	OSMRE Civil Penalties	0	0	0	0
2013	Newfield Exploration Company	Corporate Income Tax	0	did not report	N/A	N/A
2013	Noble Energy, Inc.	Royalties	96060667	95768855	291812	0.3
2013	Noble Energy, Inc.	Rents	4467818	4415783	52035	1.16
2013	Noble Energy, Inc.	Bonus	0	0	0	0
2013	Noble Energy, Inc.	Other Revenue	-1927906	-1945151	17245	0.89
2013	Noble Energy, Inc.	Offshore Inspection Fee	213500	183000	30500	14.29
2013	Noble Energy, Inc.	ONRR Civil Penalties	0	0	0	0
2013	Noble Energy, Inc.	Bonus & 1st Year Rental	0	0	0	0
2013	Noble Energy, Inc.	Permit Fees	62399	86115	-23716	38.01
2013	Noble Energy, Inc.	Renewables	0	0	0	0
2013	Noble Energy, Inc.	AML Fees	0	0	0	0
2013	Noble Energy, Inc.	OSMRE Civil Penalties	0	0	0	0
2013	Noble Energy, Inc.	Corporate Income Tax	0	did not report	N/A	N/A
2013	Oxy USA, Inc.	Royalties	74972292	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Rents	332555	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Bonus	190982	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Other Revenue	-24291	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Offshore Inspection Fee	0	did not participate	N/A	N/A
2013	Oxy USA, Inc.	ONRR Civil Penalties	0	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Bonus & 1st Year Rental	89305	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Permit Fees	803490	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Renewables	0	did not participate	N/A	N/A
2013	Oxy USA, Inc.	AML Fees	0	did not participate	N/A	N/A
2013	Oxy USA, Inc.	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2013	Oxy USA, Inc.	Corporate Income Tax	0	did not participate	N/A	N/A
2013	Peabody Energy Corporation	Royalties	188130401	196437152	-8306751	4.42
2013	Peabody Energy Corporation	Rents	192199	192199	0	0
2013	Peabody Energy Corporation	Bonus	276773916	276773916	0	0
2013	Peabody Energy Corporation	Other Revenue	337707	336597	1110	0.33
2013	Peabody Energy Corporation	Offshore Inspection Fee	0	0	0	0
2013	Peabody Energy Corporation	ONRR Civil Penalties	0	0	0	0
2013	Peabody Energy Corporation	Bonus & 1st Year Rental	475590	475590	0	0
2013	Peabody Energy Corporation	Permit Fees	3217	10305	-7088	220.33
2013	Peabody Energy Corporation	Renewables	0	0	0	0
