CY	Onshore/Offshore	County Code	St	County	Revenue Type	Commodity	Product	Royalty/Revenue
2004	Onshore	05007	CO	Archuleta	Royalties	Gas	Unprocessed (Wet) Gas	 $ 135,238.58 
2004	Onshore	05009	CO	Baca	Other Revenues	Oil & Gas		 $ 14,718.53 
2004	Onshore	05009	CO	Baca	Other Roy Vals	Oil & Gas		 $ 150.00 
2004	Onshore	05009	CO	Baca	Royalties	Gas	Unprocessed (Wet) Gas	 $ 31,746.27 
2004	Onshore	05009	CO	Baca	Royalties	Oil	Oil	 $ 158,792.62 
2004	Onshore	05011	CO	Bent	Royalties	Gas	Unprocessed (Wet) Gas	 $ 22,794.16 
2004	Onshore	05011	CO	Bent	Royalties	Oil	Condensate	 $ 29.40 
2004	Onshore	05011	CO	Bent	Royalties	Oil	Oil	 $ 10.73 
2004	Onshore	05014	CO	Broomfield	Royalties	Gas	Unprocessed (Wet) Gas	 $ 230.11 
2004	Onshore	05014	CO	Broomfield	Royalties	Oil	Oil	 $ 121.04 
2004	Onshore	05017	CO	Cheyenne	Other Revenues	Oil & Gas		 $ 76.50 
2004	Onshore	05017	CO	Cheyenne	Royalties	Gas	Gas Plant Products	 $ 10,292.06 
2004	Onshore	05017	CO	Cheyenne	Royalties	Oil	Oil	 $ 66,462.60 
2004	Onshore	05029	CO	Delta	Other Revenues	Oil & Gas		 $ 2,280.00 
2004	Onshore	05029	CO	Delta	Royalties	Gas	Unprocessed (Wet) Gas	 $ 9,430.23 
2004	Onshore	05029	CO	Delta	Royalties	Oil	Condensate	 $ 12.77 
2004	Onshore	05033	CO	Dolores	Other Revenues	Oil & Gas		 $ 41,763.86 
2004	Onshore	05033	CO	Dolores	Other Roy Vals	Oil & Gas		 $ 30,967.44 
2004	Onshore	05033	CO	Dolores	Royalties	Gas	Gas Plant Products	 $ 16,624.77 
2004	Onshore	05033	CO	Dolores	Royalties	Gas	Processed (Residue) Gas	 $ 77,469.12 
2004	Onshore	05033	CO	Dolores	Royalties	Gas	Unprocessed (Wet) Gas	 $ 118,746.55 
