Land Category	Calendar Year	Ofshore Region	Planning Area	Offshore Area	Protraction	Volume Type	Commodity	Product	 Sales Volumes 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  9,371,051.56 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	NGL	Gas Plant Products (gal)	  8,679,734.77 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	Oil	Condensate (bbl)	  353,053.52 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  48,834.18 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	Oil	Inlet Scrubber (bbl)	  55.80 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	Oil	Oil (bbl)	  13,037,368.30 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Gas	Flash Gas (mcf)	  5,165.48 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Gas	Fuel Gas (mcf)	  2,162,340.51 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Gas	Gas Lost - Flared or Vented (mcf)	  110,036.36 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Gas	Processed (Residue) Gas (mcf)	  10,253,993.62 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  12,911,584.78 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	NGL	Gas Plant Products (gal)	  12,481,117.37 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Oil	Condensate (bbl)	  1,144,250.16 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  4,481.65 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Oil	Inlet Scrubber (bbl)	  0.00 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalty	Oil	Oil (bbl)	  7,899,031.40 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalty	Gas	Flash Gas (mcf)	  25,145.00 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalty	Gas	Processed (Residue) Gas (mcf)	  294,837.70 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  29,747,950.09 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalty	NGL	Gas Plant Products (gal)	  31,072,715.46 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalty	Oil	Condensate (bbl)	  432,859.91 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  19,874.64 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalty	Oil	Oil (bbl)	  770,237.16 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Gas	Flash Gas (mcf)	  48,568.46 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Gas	Fuel Gas (mcf)	  0.00 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Gas	Processed (Residue) Gas (mcf)	  62,692,718.19 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  79,952,426.07 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	NGL	Gas Plant Products (gal)	  197,625,735.54 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Oil	Condensate (bbl)	  1,367,503.86 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  139,499.18 
