State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Rhode Island	ELEC.GEN.GEO-RI-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Rhode Island	ELEC.GEN.BIO-RI-99.A	ELEC.GEN.BIO	Biomass (total)	102	0	149	155	158	145	137	127	101	48
Rhode Island	ELEC.GEN.WWW-RI-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
Rhode Island	ELEC.GEN.WAS-RI-99.A	ELEC.GEN.WAS	Other biomass	102	0	149	155	158	145	137	127	101	48
Vermont	ELEC.GEN.ALL-VT-99.A	ELEC.GEN.ALL	General
Vermont	ELEC.GEN.HYC-VT-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1187	1211	1519	647	1493	1486	1347	1425	1109	1286
Vermont	ELEC.GEN.AOR-VT-99.A	ELEC.GEN.AOR	All Other Renewables	404	422	450	464	425	429	482	433	465	745
Vermont	ELEC.GEN.WND-VT-99.A	ELEC.GEN.WND	Wind	11	11	11	11	10	12	14	33	107	236
Vermont	ELEC.GEN.SUN-VT-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	2	5	17
Vermont	ELEC.GEN.GEO-VT-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Vermont	ELEC.GEN.BIO-VT-99.A	ELEC.GEN.BIO	Biomass (total)	393	410	439	453	415	417	468	398	353	491
Vermont	ELEC.GEN.WWW-VT-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	393	410	439	453	415	393	443	372	328	466
Vermont	ELEC.GEN.WAS-VT-99.A	ELEC.GEN.WAS	Other biomass	--	--	--	--	0	24	25	25	26	26
Middle Atlantic	ELEC.GEN.ALL-MAT-99.A	ELEC.GEN.ALL	General
New Jersey	ELEC.GEN.ALL-NJ-99.A	ELEC.GEN.ALL	General
New Jersey	ELEC.GEN.HYC-NJ-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	38	31	35	21	26	32	18	24	11	18
New Jersey	ELEC.GEN.AOR-NJ-99.A	ELEC.GEN.AOR	All Other Renewables	806	875	917	844	905	960	850	956	1281	1447
New Jersey	ELEC.GEN.WND-NJ-99.A	ELEC.GEN.WND	Wind	--	--	16	20	21	21	13	11	12	11
New Jersey	ELEC.GEN.SUN-NJ-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	3	11	21	69	304	437
New Jersey	ELEC.GEN.GEO-NJ-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
New Jersey	ELEC.GEN.BIO-NJ-99.A	ELEC.GEN.BIO	Biomass (total)	806	875	901	823	882	928	816	876	965	999
New Jersey	ELEC.GEN.WWW-NJ-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
New Jersey	ELEC.GEN.WAS-NJ-99.A	ELEC.GEN.WAS	Other biomass	806	875	901	823	882	928	816	876	965	999
New York	ELEC.GEN.ALL-NY-99.A	ELEC.GEN.ALL	General
New York	ELEC.GEN.HYC-NY-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	23990	25783	27345	25253	26723	27615	25472	27997	24652	24973
New York	ELEC.GEN.AOR-NY-99.A	ELEC.GEN.AOR	All Other Renewables	1912	1988	2597	2775	3319	4467	4815	4896	5192	5888
New York	ELEC.GEN.WND-NY-99.A	ELEC.GEN.WND	Wind	116	103	655	833	1251	2266	2596	2828	2992	3539
New York	ELEC.GEN.SUN-NY-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	6	53	67
