Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Coal Supply Region	Production (short tons)	Average Employees	Labor Hours
2014	1202147	Francisco Mine	Indiana	Gibson	Active	Underground	Operating Subsidiary	Preparation Plant	Peabody Midwest Mining, Llc	7100 Eagle Crest Blvd. Ste 100, Evansville, IN 47715		Illinois Basin	0	40	85,480
2014	1202207	Somerville	Indiana	Gibson	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	United Minerals Co Llc	P.O. Box 400, Huntingburg, IN 47542		Illinois Basin	663,855	33	100,927
2014	1202215	Gibson Mine	Indiana	Gibson	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Gibson County Coal Llc	P.O. Box 1269, Princeton, IN 47670		Illinois Basin	3,768,695	384	976,719
2014	1202258	Somerville Central Mine	Indiana	Gibson	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Peabody Midwest Mining, Llc	7100 Eagle Crest Blvd  Ste 100, Evansville, IN 47715		Illinois Basin	1,859,379	161	390,766
2014	1202295	Francisco Underground Pit	Indiana	Gibson	Active	Underground	Operating Subsidiary	Mine only	Peabody Midwest Mining, Llc	P.O. Box 347, Francisco, IN 47649		Illinois Basin	3,049,919	298	717,262
2014	1202325	Hurricane Creek	Indiana	Gibson	Temporarily closed	Surface	Operating Subsidiary	Mine only	Triad Mining Inc	1216 E. Cr 900 S., Oakland City, IN 47660		Illinois Basin	118,195	17	28,637
2014	1202388	Gibson South	Indiana	Gibson	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Gibson County Coal, Llc	P.O. Box 1269, Princeton, IN 47670		Illinois Basin	791,635	151	357,984
2014	1202431	Gold Star Mine	Indiana	Greene	Active, men working, not producing	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Erc Mining Indiana Corp	15127 W. 700 N, Jasonville, IN 47438		Illinois Basin	96,244	63	168,288
2014	1202167	Freelandville Mine	Indiana	Knox	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Triad Mining Inc	14521 E State Road 58, Edwardsport, IN 47528		Illinois Basin	8,025	4	12,127
2014	1202167	Freelandville Mine	Indiana	Knox	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Triad Mining Inc	14521 E State Road 58, Edwardsport, IN 47528		Illinois Basin	0	13	23,049
2014	1202339	Freelandville East	Indiana	Knox	Active	Surface	Indepedent Producer Operator	Mine only	Triad Mining Inc	14521 E State Road 58, Edwardsport, IN 47528		Illinois Basin	237,685	23	48,912
2014	1202394	Oaktown Fuels Mine No 1	Indiana	Knox	Active	Underground	Operating Subsidiary	Mine only	Sunrise Coal, Llc	12661 N. Agricare Road, Oaktown, IN 47561		Illinois Basin	3,341,067	292	738,926
2014	1202418	Oaktown Fuels Mine No 2	Indiana	Knox	Active	Underground	Indepedent Producer Operator	Mine only	Sunrise Coal, Llc	12661 N. Agricare Road, Oaktown, IN 47561		Illinois Basin	2,091,533	153	378,396
2014	1202423	Freelandville West Underground	Indiana	Knox	Active	Underground	Indepedent Producer Operator	Mine only	Triad Underground Mining Llc	13333 E Hartsburg Rd, Edwardsport, IN 47528		Illinois Basin	595,171	92	217,676
2014	1202462	Oaktown Fuels Preparation Plan	Indiana	Knox	Active	Underground	Indepedent Producer Operator	Preparation Plant	Sunrise Coal, Llc	1183 East Canvasback Dr., Terre Haute, IN 47802		Illinois Basin	0	66	160,073
2014	1200330	Log Creek Loadout Facility	Indiana	Pike	Active	Surface	Indepedent Producer Operator	Preparation Plant	Triad Mining Inc.	14521 E State Rd 58, Edwardsport, IN 47528		Illinois Basin	0	12	25,514
2014	1201978	Solar Sources Preparation Plan	Indiana	Pike	Active, men working, not producing	Surface	Indepedent Producer Operator	Preparation Plant	Solar Sources Inc	Post Office Box 7, Petersburg, IN 47567		Illinois Basin	0	19	47,502
2014	1202249	Prosperity Mine	Indiana	Pike	Active, men working, not producing	Underground	Operating Subsidiary	Mine and Preparation Plant	Sunrise Coal, Llc	12661 N. Agricare Rd., Oaktown, IN 47561		Illinois Basin	1,321,377	299	747,592
2014	1202320	Augusta Mine	Indiana	Pike	Active	Surface	Indepedent Producer Operator	Mine only	Triad Mining Llc	14521 E. State Road 58, Edwardsport, IN 47528		Illinois Basin	188,377	12	29,596
2014	1202368	Charter #1	Indiana	Pike	Active	Surface	Indepedent Producer Operator	Preparation Plant	T & T Washing Co. Inc.	P.O. Box 183, Madisonville, KY 42431		Illinois Basin	0	9	14,701
2014	1202410	Log Creek Surface	Indiana	Pike	Active	Surface	Indepedent Producer Operator	Mine only	Triad Mining Llc	14521 E. State Road 58, Edwardsport, IN 47528		Illinois Basin	694,328	54	135,577
2014	1202433	Hilsmeyer #2	Indiana	Pike	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	Sun Energy Group, Llc	2701 West 1100 S., Huntingburg, IN 47542		Illinois Basin	42,873	7	10,503
2014	1202446	Cardinal Mine	Indiana	Pike	Active	Surface	Indepedent Producer Operator	Mine only	United Minerals Co, Llc	P.O. Box 400, Huntingburg, IN 47542		Illinois Basin	859,869	34	99,416
2014	1202349	Carlisle Mine	Indiana	Sullivan	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Sunrise Coal Llc	1183 E Canvasback Dr, Terre Haute, IN 47802		Illinois Basin	0	1	632
2014	1202349	Carlisle Mine	Indiana	Sullivan	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Sunrise Coal Llc	1183 E Canvasback Dr, Terre Haute, IN 47802		Illinois Basin	3,049,522	321	762,692
2014	1202422	Bear Run Mine	Indiana	Sullivan	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Peabody Bear Run Mining Llc	7255 East County Road 600s, Carlisle, IN 47838		Illinois Basin	8,446,135	611	1,426,607
2014	1202465	Carlisle Preparation Plant	Indiana	Sullivan	Active	Surface	Indepedent Producer Operator	Preparation Plant	Sunrise Coal, Llc	1466 E St Rd 58, Carlisle, IN 47838		Illinois Basin	0	0	483
2014	1202465	Carlisle Preparation Plant	Indiana	Sullivan	Active	Underground	Indepedent Producer Operator	Preparation Plant	Sunrise Coal, Llc	1466 E St Rd 58, Carlisle, IN 47838		Illinois Basin	0	29	47,841
