Year	State	Commodity	Product	Volume
2005	CO	Oil	Condensate (bbl)	397931.40
2005	CO	Oil	Oil (bbl)	4891288.58
2005	CO	Gas	Coal Bed Methane (mcf)	6545440.28
2005	CO	Gas	Unprocessed (Wet) Gas (mcf)	159972216.74
2005	CO	NGL	Gas Plant Products (gal)	45671676.95
2005	CO	Coal	Coal (ton)	24279872.00
2005	CO	Gas	Processed (Residue) Gas (mcf)	30907102.73
2005	CO	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	286120547.14
2005	CO	Oil	Drip or Scrubber Condensate (bbl)	490.32
2005	CO	Gas	Fuel Gas (mcf)	35528.08
2005	CO	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	87749.00
2005	FL	Phosphate Raw Ore	Phosphate Raw Ore (ton)	551502.00
2005	ID	Phosphate Raw Ore	Phosphate Raw Ore (ton)	3629611.00
2005	ID	Gold	Gold (ton)	43.00
2005	IL	Oil	Oil (bbl)	34339.65
2005	IN	Oil	Oil (bbl)	1201.44
2005	KS	Gas	Unprocessed (Wet) Gas (mcf)	7397878.04
2005	KS	Gas	Fuel Gas (mcf)	388.77
2005	KS	Gas	Processed (Residue) Gas (mcf)	1523268.32
2005	KS	NGL	Gas Plant Products (gal)	3457168.26
2005	KS	Oil	Oil (bbl)	299078.89
2005	KS	Oil	Condensate (bbl)	316.32
2005	KS	Helium	Helium (bbl)	9.24
2005	KY	Gas	Unprocessed (Wet) Gas (mcf)	253152.30
2005	KY	Oil	Oil (bbl)	13038.97
2005	KY	Coal	Coal (ton)	41640.00
2005	LA	Gas	Unprocessed (Wet) Gas (mcf)	7443773.91
2005	LA	Oil	Oil (bbl)	292890.51
2005	LA	Gas	Processed (Residue) Gas (mcf)	23797039.07
2005	LA	Oil	Condensate (bbl)	122168.47
2005	LA	NGL	Gas Plant Products (gal)	14381632.85
2005	LA	Oil	Drip or Scrubber Condensate (bbl)	2044.04
2005	LA	Gas	Flash Gas (mcf)	0.01
2005	MI	Gas	Processed (Residue) Gas (mcf)	1865013.82
2005	MI	Oil	Oil (bbl)	24250.29
2005	MI	Gas	Unprocessed (Wet) Gas (mcf)	2239675.22
2005	MI	Oil	Condensate (bbl)	96.11
2005	MI	NGL	Gas Plant Products (gal)	809877.59
2005	MO	Copper Concentrate	Copper Concentrate (ton)	13450.99
2005	MO	Lead Concentrate	Lead Concentrate (ton)	215452.00
2005	MO	Zinc Concentrate	Zinc Concentrate (ton)	51436.00
2005	MS	Oil	Oil (bbl)	393438.68
2005	MS	Gas	Unprocessed (Wet) Gas (mcf)	1098147.02
2005	MS	Gas	Processed (Residue) Gas (mcf)	135897.67
2005	MS	Oil	Condensate (bbl)	13332.27
2005	MT	Coal	Coal (ton)	24273593.00
2005	MT	Gas	Coal Bed Methane (mcf)	3660467.72
2005	MT	Gas	Fuel Gas (mcf)	1235.31
2005	MT	Gas	Processed (Residue) Gas (mcf)	601768.71
2005	MT	Gas	Unprocessed (Wet) Gas (mcf)	25207217.50
2005	MT	NGL	Gas Plant Products (gal)	3308832.64
2005	MT	Oil	Oil (bbl)	3698771.76
2005	MT	Sulfur	Sulfur (lton)	1404.90
2005	MT	Oil	Drip or Scrubber Condensate (bbl)	367.34
2005	MT	Oil	Condensate (bbl)	25240.14
2005	ND	Gas	Processed (Residue) Gas (mcf)	1648106.49
2005	ND	Gas	Unprocessed (Wet) Gas (mcf)	7522667.45
2005	ND	NGL	Gas Plant Products (gal)	5676232.74
2005	ND	Oil	Condensate (bbl)	18418.82
2005	ND	Oil	Drip or Scrubber Condensate (bbl)	7954.56
2005	ND	Oil	Oil (bbl)	6409939.93
2005	ND	Gas	Gas Lost - Flared or Vented (mcf)	13544.90
2005	ND	Gas	Nitrogen (mcf)	56901.54
2005	ND	Sulfur	Sulfur (lton)	230.10
2005	ND	Coal	Coal (ton)	2194466.00
