Year	Region	Area	Commodity	Product	Type	Revenue	Count
2011	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Other Royalties	50473.68	13
2011	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Other Royalties	-110214.57	13
2011	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Other Royalties	583269.81	26
2011	Gulf	Central Gulf of Mexico	Oil	 Drip or Scrubber Condensate 	Other Royalties	29273.88	9
2011	Gulf	Central Gulf of Mexico	Oil	 Oil 	Other Royalties	2927303.15	30
2011	Gulf	Central Gulf of Mexico	Oil & Gas		Other Royalties	23811073.73	36
2011	Gulf	Central Gulf of Mexico	Oil & Gas		Rents	133768569.16	41
2011	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Royalties	-11907358.96	27
2011	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Royalties	5355892.59	16
2011	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Royalties	256214.05	10
2011	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	434807999.16	34
2011	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	159149876.94	34
2011	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	224723564.16	33
2011	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Royalties	368489936.40	35
2011	Gulf	Central Gulf of Mexico	Oil	 Drip or Scrubber Condensate 	Royalties	8422647.41	29
2011	Gulf	Central Gulf of Mexico	Oil	 Oil 	Royalties	3985647051.71	32
2012	Gulf	Central Gulf of Mexico	Oil & Gas		Bonus	1681578390.00	36
2012	Gulf	Central Gulf of Mexico	Oil & Gas		Other Revenues	2117170.09	29
2012	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Other Royalties	194.60	9
2012	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Other Royalties	88820.16	13
2012	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Other Royalties	476559.06	14
2012	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Other Royalties	79745.78	13
2012	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Other Royalties	144586.80	15
2012	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Other Royalties	409391.66	28
2012	Gulf	Central Gulf of Mexico	Oil	 Oil 	Other Royalties	7589405.39	28
2012	Gulf	Central Gulf of Mexico	Oil & Gas		Other Royalties	17637767.87	37
2012	Gulf	Central Gulf of Mexico	Oil & Gas		Rents	148685899.00	42
2012	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Royalties	-1705421.36	28
2012	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Royalties	3864932.08	14
2012	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Royalties	-311042.31	11
2012	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	294713683.35	34
2012	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	43254647.73	36
2012	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	182036353.71	34
2012	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Royalties	380405039.69	36
2012	Gulf	Central Gulf of Mexico	Oil	 Drip or Scrubber Condensate 	Royalties	3007463.91	28
2012	Gulf	Central Gulf of Mexico	Oil	 Oil 	Royalties	3952666288.31	33
2012	Gulf	Central Gulf of Mexico	Oil & Gas		Royalties	-2.00	2
2013	Gulf	Central Gulf of Mexico	Oil & Gas		Bonus	1199052037.00	33
2013	Gulf	Central Gulf of Mexico	Oil & Gas		Other Revenues	23735914.70	23
2013	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Other Royalties	57.16	9
2013	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Other Royalties	30258.48	13
2013	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Other Royalties	210136.38	17
2013	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Other Royalties	15311.50	13
2013	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Other Royalties	-50737.38	19
2013	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Other Royalties	639085.25	27
2013	Gulf	Central Gulf of Mexico	Oil	 Oil 	Other Royalties	5836859.54	31
2013	Gulf	Central Gulf of Mexico	Oil & Gas		Other Royalties	-5766331.47	35
2013	Gulf	Central Gulf of Mexico	Oil & Gas		Rents	148814257.51	42
2013	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Royalties	1379692.65	26
2013	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Royalties	3550751.07	18
2013	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	313203464.79	34
2013	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	72790722.26	36
2013	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	134670606.42	34
2013	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Royalties	345765341.88	36
2013	Gulf	Central Gulf of Mexico	Oil	 Drip or Scrubber Condensate 	Royalties	5373709.44	27
2013	Gulf	Central Gulf of Mexico	Oil	 Oil 	Royalties	4289962729.61	34
2004	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	199321.29	22
2005	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Royalties	6935269.66	17
2005	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	138995.37	18
2006	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	-84264.27	14
2007	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	19750.54	16
2008	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	190054.55	20
2009	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	212414.81	19
2010	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	1208796.57	22
2011	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	1392463.72	24
2012	Gulf	Central Gulf of Mexico	Oil	 Drip or Scrubber Condensate 	Other Royalties	40579.30	11
2012	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	1635730.10	27
2013	Gulf	Central Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	2544477.98	27
2004	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	22221.06	1
2004	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	3445.30	1
2005	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	10547.43	1
2005	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	2809.80	1
2006	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	10838.00	1
2006	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	2828.58	1
2007	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	11624.84	1
2007	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	939.16	1
2008	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	12709.04	1
2008	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	803.13	2
2009	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	12631.84	1
2009	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	1160.80	1
2010	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	12551.32	1
2010	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	1039.84	1
2011	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	12670.72	1
2011	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	1015.82	1
2012	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	12429.60	1
2012	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	1954.90	1
2013	Gulf	Central Gulf of Mexico	Sulfur		Other Revenues	11186.00	1
2013	Gulf	Central Gulf of Mexico	Other	 Salt 	Royalties	2658.90	1
2004	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	-2190576.17	18
2004	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	373480049.83	14
2004	Gulf	Western Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	579419410.82	17
2004	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	15122835.33	14
2004	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	17973773.71	17
2005	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	467074816.81	15
2005	Gulf	Western Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	424708271.18	18
2005	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	24813971.54	14
2005	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	41109147.27	18
2006	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	-6347355.22	15
2006	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	543618726.82	17
2006	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	23139031.65	15
2006	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	34356068.80	18
2007	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	7989836.93	16
2007	Gulf	Western Gulf of Mexico	Gas	 Flash Gas 	Royalties	1607456.87	14
2007	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	394607362.04	16
2007	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	27011533.01	15
2007	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	34431680.33	17
2008	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	-2060710.85	16
2008	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	429076924.13	14
2008	Gulf	Western Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	172758672.67	19
2008	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	36810352.58	14
2008	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	47396933.76	16
2009	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	-4694391.59	17
2009	Gulf	Western Gulf of Mexico	Gas	 Flash Gas 	Royalties	394701.18	14
2009	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	129962803.09	14
2009	Gulf	Western Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	-140764830.95	18
2009	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	14957792.72	14
2009	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	68297040.75	17
2010	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	17053433.63	18
2010	Gulf	Western Gulf of Mexico	Gas	 Flash Gas 	Royalties	712318.91	14
2010	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	126457459.19	16
2010	Gulf	Western Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	49163542.07	18
2010	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	41242431.62	15
2010	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	153193167.73	18
2011	Gulf	Western Gulf of Mexico	Oil & Gas		Other Royalties	11194595.51	19
2011	Gulf	Western Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	114548952.90	15
2011	Gulf	Western Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	55287234.34	18
2011	Gulf	Western Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	53193144.69	14
2011	Gulf	Western Gulf of Mexico	Oil	 Condensate 	Royalties	275327072.62	17
2011	Gulf	Western Gulf of Mexico	Oil	 Inlet Scrubber 	Royalties	65969.50	5
