CY,St,Commodity,Revenue Type,Sum of Total
,,Oil,Royalties,4666469.07
,,Oil & Gas (Non-Royalty),Bonus,63380
,,,Other Revenues,1365209.64
,,,Rents,400625
,,Sulfur,Royalties,203.4
,MD,Oil & Gas (Non-Royalty),Other Revenues,21739.63
,,,Rents,496
,MI,Gas,Royalties,862512.73
,,NGL,Royalties,35243.26
,,Oil,Royalties,301653.62
,,Oil & Gas (Non-Royalty),Bonus,254792
,,,Other Revenues,8884.86
,,,Rents,128183.5
,MN,Hardrock,Other Revenues,48660
,,,Rents,9131
,MO,Hardrock,Other Revenues,29439.69
,,,Rents,1160
,,,Royalties,10763097.75
,MS,Gas,Royalties,146214.17
,,Oil,Royalties,4511265.56
,,Oil & Gas (Non-Royalty),Bonus,68962
,,,Other Revenues,5861.22
,,,Rents,653129.5
,MT,Coal,Other Revenues,476.17
,,,Rents,116445.25
,,,Royalties,42528055.88
,,Gas,Royalties,7458046.21
,,Hardrock,Rents,164
,,NGL,Royalties,135083.32
,,Oil,Royalties,28514624.82
,,Oil & Gas (Non-Royalty),Bonus,1355361
,,,Other Revenues,997918.9
,,,Rents,1487789.27
,,Phosphate,Other Revenues,4280.21
,,Sulfur,Royalties,2783.01
,NC,Hardrock,Other Revenues,474
,ND,Coal,Bonus,32000
,,,Rents,33887
,,,Royalties,2259620.24
,,Gas,Royalties,10806912.38
,,NGL,Royalties,3203068.52
,,Oil,Royalties,205994943.6
,,Oil & Gas (Non-Royalty),Bonus,21161975
,,,Other Revenues,5801071.37
,,,Rents,783089.9
,NE,Gas,Royalties,4109.27
,,Oil,Royalties,269605.16
,,Oil & Gas (Non-Royalty),Bonus,22200
,,,Other Revenues,51437.81
,,,Rents,4986
,NM,CO2,Royalties,1518194.33
,,Coal,Bonus,460000
,,,Other Revenues,69437.79
,,,Rents,78234
,,,Royalties,18120819.66
,,Gas,Bonus,216.79
,,,Royalties,350157500.2
,,Geothermal,Other Revenues,3788.83
,,,Rents,25768.88
,,,Royalties,12966.12
,,NGL,Royalties,95871804.19
,,Oil,Other Revenues,0.35
,,,Royalties,662018698.2
,,Oil & Gas (Non-Royalty),Bonus,136311825
,,,Other Revenues,15812860.8
,,,Rents,1887984.55
,,Potassium,Other Revenues,271519.19
,,,Rents,17300.41
,,,Royalties,20899174.82
,,Sodium,Rents,-40
,,,Royalties,573646.54
,NV,Geothermal,Bonus,6450
,,,Other Revenues,162211.21
,,,Rents,1311915.18
,,,Royalties,3202431.48
,,Oil,Royalties,3179480.32
,,Oil & Gas (Non-Royalty),Bonus,1763118
,,,Other Revenues,574.64
,,,Rents,4982345.5
,,Potassium,Other Revenues,7532.19
,,,Rents,-9834.14
,NY,Gas,Royalties,69198.29
,,Oil & Gas (Non-Royalty),Other Revenues,5340.96
,OH,Gas,Royalties,206896.08
,,NGL,Royalties,1891.84
,,Oil,Royalties,167208.13
,,Oil & Gas (Non-Royalty),Other Revenues,147151.92
,,,Rents,23977
,OK,Asphalt,Other Revenues,1062.52
,,Coal,Other Revenues,148.14
,,,Rents,34113
,,,Royalties,727476.47
,,Gas,Royalties,7835975.16
,,Helium,Royalties,0.16
,,NGL,Royalties,2052875.18
,,Oil,Royalties,7128780.88
,,Oil & Gas (Non-Royalty),Bonus,712562
,,,Other Revenues,356202.11
,,,Rents,313558.1
,OR,Geothermal,Other Revenues,54592.5
,,,Rents,235811.09
,,Oil & Gas (Non-Royalty),Rents,367384
,PA,Gas,Royalties,4549.36
,,NGL,Royalties,1444.62
,,Oil,Royalties,13135.43
,,Oil & Gas (Non-Royalty),Other Revenues,209941.66
,SC,Hardrock,Other Revenues,6731.04
,,,Rents,0.61
,SD,Gas,Royalties,45345.97
,,Oil,Royalties,3058612.72
,,Oil & Gas (Non-Royalty),Bonus,974629
,,,Other Revenues,9675.87
,,,Rents,235945
,TX,Gas,Royalties,24654653.07
,,NGL,Royalties,567062.88
,,Oil,Royalties,4668711.88
,,Oil & Gas (Non-Royalty),Bonus,2496145
,,,Other Revenues,-88043.7
,,,Rents,475081.34
,UT,Clay,Other Revenues,-2378.32
,,,Rents,-2962
,,,Royalties,6092.47
,,CO2,Royalties,26048.23
,,Coal,Bonus,200000
,,,Other Revenues,623427.83
,,,Rents,231197.89
,,,Royalties,40397460.75
,,Gas,Royalties,111097869.6
,,Geothermal,Other Revenues,104.41
,,,Rents,265927
,,,Royalties,518791.61
,,Gilsonite,Other Revenues,5480.29
,,,Rents,-1315.5
,,,Royalties,1951014.88
,,NGL,Royalties,38758939.5
,,Oil,Royalties,138294179.2
,,Oil  ,Rents,320
,,Oil & Gas (Non-Royalty),Bonus,6056557.5
,,,Other Revenues,1379197.87
,,,Rents,3027441.76
,,Phosphate,Other Revenues,25804.84
,,Potassium,Other Revenues,-23501.41
,,,Rents,75550.5
,,,Royalties,359371.94
,,Sodium,Royalties,3334.5
,VA,Gas,Royalties,56813.13
,,Hardrock,Royalties,22222.89
,,Oil & Gas (Non-Royalty),Other Revenues,10773.29
,,,Rents,20991
,WA,Coal,Other Revenues,38.15
,,,Rents,726
,,Geothermal,Rents,8437
,WV,Gas,Royalties,80378.76
,,Oil,Royalties,52.35
,,Oil & Gas (Non-Royalty),Other Revenues,573436
,,,Rents,66444
,WY,CO2,Royalties,1064886.82
,,Coal,Bonus,448080675.6
,,,Other Revenues,2511759.6
,,,Rents,604479.9
,,,Royalties,574907683.3
,,Gas,Royalties,510473718.6
,,NGL,Other Revenues,34695.1
,,,Royalties,121405277.3
,,Oil,Other Revenues,-118.14
,,,Royalties,382255864.2
,,Oil & Gas (Non-Royalty),Bonus,50962039
,,,Other Revenues,6410086
,,,Rents,11380524.14
,,Sodium,Other Revenues,195000.12
,,,Rents,32334
,,,Royalties,33994035.23
,,Sulfur,Royalties,428276
2015,AK,Gas,Royalties,9586074.37
,,Geothermal,Rents,7680
,,NGL,Royalties,101508.84
,,Oil,Royalties,4752531.65
,,Oil & Gas (Non-Royalty),Bonus,658978.2
,,,Other Revenues,276607.38
,,,Rents,4291631.6
,AL,Coal,Other Revenues,-150037.81
,,,Royalties,235138.55
,,Gas,Royalties,152733.1
,,NGL,Royalties,344.8
,,Oil,Royalties,228078.91
,,Oil & Gas (Non-Royalty),Other Revenues,13807.53
,,,Rents,117063.5
,,Sulfur,Royalties,1161.64
,AR,Gas,Royalties,4125080.59
,,Hardrock,Other Revenues,1271.3
,,,Royalties,102.7
,,Oil,Royalties,6.69
,,Oil & Gas (Non-Royalty),Bonus,1240
,,,Other Revenues,20066
,,,Rents,132124
,AZ,Oil & Gas (Non-Royalty),Rents,90497
,,Sodium,Other Revenues,-12
,,,Royalties,914.8
,CA,Gas,Other Revenues,-6.69
,,,Royalties,3143007.07
,,Geothermal,Other Revenues,10009.59
,,,Rents,407142
,,,Royalties,8255859.54
,,Hardrock,Rents,42
,,NGL,Royalties,717277.54
,,Oil,Royalties,76891906.5
,,Oil & Gas (Non-Royalty),Bonus,3840
,,,Other Revenues,46537.63
,,,Rents,185625.5
,,Sodium,Other Revenues,14874.57
,,,Rents,-1863.99
,,,Royalties,7978040.65
,,Sulfur,Royalties,111.69
,CO,CO2,Royalties,55903924.65
,,Coal,Bonus,1155540
,,,Other Revenues,57871.31
,,,Rents,189677.32
,,,Royalties,42565258.74
,,Gas,Royalties,85912456.13
,,Geothermal,Rents,32262
,,Helium,Royalties,56.28
,,NGL,Royalties,5718473.46
,,Oil,Royalties,33963587.39
,,Oil  ,Rents,664
,,Oil & Gas (Non-Royalty),Bonus,-15144777
,,,Other Revenues,-2393199.26
,,,Rents,3050316.96
,,Sodium,Other Revenues,51775.87
,,,Rents,-6904
,,,Royalties,1468093.5
,FL,Phosphate,Other Revenues,1391
,,,Royalties,79565.84
,ID,Geothermal,Rents,135420
,,Hardrock,Other Revenues,366
,,,Rents,80
,,Oil & Gas (Non-Royalty),Bonus,3868194
,,,Rents,9714
,,Phosphate,Bonus,240
,,,Other Revenues,113301
,,,Rents,-1732
,,,Royalties,10438557.22
,IL,Oil,Royalties,92971.01
,,Oil & Gas (Non-Royalty),Other Revenues,314871.02
,IN,Oil & Gas (Non-Royalty),Other Revenues,8713.88
,,,Rents,23314
,KS,Gas,Royalties,1128665.7
,,Helium,Royalties,-2642.34
,,NGL,Royalties,306213.21
,,Oil,Royalties,1233453.61
,,Oil & Gas (Non-Royalty),Other Revenues,-147593.34
,,,Rents,44485.02
,KY,Coal,Rents,8592
,,,Royalties,27652.03
,,Gas,Royalties,27427.72
,,Oil,Royalties,56552.4
,,Oil & Gas (Non-Royalty),Other Revenues,86617.86
,,,Rents,5754
,LA,Gas,Royalties,4156785.325
,,NGL,Royalties,395601.45
,,Oil,Royalties,1680763.8
,,Oil & Gas (Non-Royalty),Bonus,424508
,,,Other Revenues,-414830.25
,,,Rents,427691.16
,MD,Oil & Gas (Non-Royalty),Other Revenues,18340.13
,,,Rents,496
,MI,Gas,Royalties,479812.27
,,NGL,Royalties,39216.98
,,Oil,Royalties,134955.91
,,Oil & Gas (Non-Royalty),Bonus,114604
,,,Other Revenues,-65715.61
,,,Rents,136621.5
,MN,Hardrock,Other Revenues,48660
,,,Rents,1198
,MO,Hardrock,Other Revenues,35701.22
,,,Rents,-400
,,,Royalties,9208621.4
,,Oil & Gas (Non-Royalty),Other Revenues,14074.4
,MS,Gas,Royalties,48351.69
,,Oil,Royalties,2073194.73
,,Oil & Gas (Non-Royalty),Other Revenues,8201.45
,,,Rents,480183
,MT,Coal,Other Revenues,235.18
,,,Rents,112460.13
,,,Royalties,39740689.05
,,Gas,Other Revenues,-320
,,,Royalties,3410667.19
,,Hardrock,Rents,97
,,NGL,Royalties,69722.84
,,Oil,Royalties,20147569.62
,,Oil & Gas (Non-Royalty),Bonus,119180
,,,Other Revenues,604985.72
,,,Rents,1159561.52
,,Phosphate,Other Revenues,4227
,,Sulfur,Royalties,9168
,NC,Hardrock,Other Revenues,474
,ND,Coal,Other Revenues,475.05
,,,Rents,32022
,,,Royalties,4273846.47
,,Gas,Royalties,8881084.66
,,NGL,Royalties,1321526.28
,,Oil,Other Revenues,-834.72
,,,Royalties,135320730
,,Oil & Gas (Non-Royalty),Bonus,4289405
,,,Other Revenues,-2176812.81
,,,Rents,496837.25
,NE,Gas,Royalties,291.26
,,Oil,Royalties,114299.46
,,Oil & Gas (Non-Royalty),Other Revenues,38008.59
,,,Rents,2247
,NM,CO2,Royalties,784354.12
,,Coal,Bonus,460000
,,,Other Revenues,52661.99
,,,Rents,78234
,,,Royalties,18866852.81
,,Gas,Royalties,230104991.9
,,Geothermal,Other Revenues,4339.66
,,,Rents,26209.66
,,,Royalties,17603.03
,,NGL,Royalties,43933670.17
,,Oil,Royalties,477323945.6
,,Oil & Gas (Non-Royalty),Bonus,73706834
,,,Other Revenues,-2355018.14
,,,Rents,1668133.88
,,Potassium,Other Revenues,276144.41
,,,Rents,20557.25
,,,Royalties,14196526.7
,,Sodium,Royalties,549410.43
,NV,Geothermal,Other Revenues,188558
,,,Rents,967048.72
,,,Royalties,3083493.11
,,Oil,Royalties,1538342.73
,,Oil & Gas (Non-Royalty),Bonus,31384
,,,Other Revenues,22801.89
,,,Rents,2594335.25
,,Potassium,Other Revenues,14734.68
,,,Royalties,271.32
,NY,Gas,Royalties,1187.02
,,Oil & Gas (Non-Royalty),Other Revenues,277.13
,OH,Gas,Royalties,101919.7
,,Oil,Royalties,87548.87
,,Oil & Gas (Non-Royalty),Other Revenues,79930.66
,,,Rents,21104.81
,OK,Asphalt,Other Revenues,563.95
,,Coal,Other Revenues,104.4
,,,Rents,34113
,,,Royalties,775986.41
,,Gas,Other Revenues,17.5
,,,Royalties,5918925.31
,,NGL,Royalties,1571622.62
,,Oil,Royalties,10429789.71
,,Oil & Gas (Non-Royalty),Bonus,699700
,,,Other Revenues,519887.61
,,,Rents,253538.58
,OR,Geothermal,Other Revenues,87667.83
,,,Rents,90590.83
,PA,Gas,Royalties,2121.87
,,NGL,Royalties,790.13
,,Oil,Royalties,7125.79
,,Oil & Gas (Non-Royalty),Bonus,339840
,,,Other Revenues,81377.74
,,,Rents,7795.5
,SC,Hardrock,Other Revenues,3330
,,,Rents,-0.61
,SD,Gas,Royalties,27019.78
,,Oil,Royalties,403280.48
,,Oil & Gas (Non-Royalty),Other Revenues,-9644.47
,,,Rents,205843
,TX,Gas,Royalties,10575021.83
,,NGL,Royalties,353943.83
,,Oil,Royalties,2215701.73
,,Oil & Gas (Non-Royalty),Bonus,62900
,,,Other Revenues,-585184.52
,,,Rents,374385.5
,UT,Clay,Other Revenues,589.66
,,,Royalties,8109.91
,,CO2,Royalties,29713.79
,,Coal,Bonus,3412797.97
,,,Other Revenues,494402.88
,,,Rents,267472.15
,,,Royalties,28213154.65
,,Gas,Royalties,69043198.78
,,Geothermal,Rents,63049
,,,Royalties,629061.2
,,Gilsonite,Other Revenues,4867.94
,,,Rents,-1943.5
,,,Royalties,1956057.07
,,Gold,Other Revenues,1953
,,,Rents,651
,,NGL,Royalties,8339714.75
,,Oil,Royalties,64882036.38
,,Oil  ,Rents,320
,,Oil & Gas (Non-Royalty),Bonus,5776815
,,,Other Revenues,-6035964.12
,,,Rents,2046731.01
,,Phosphate,Other Revenues,24360
,,Potassium,Other Revenues,401137
,,,Rents,180542
,,,Royalties,306463.02
,,Sodium,Royalties,2250.78
,VA,Gas,Royalties,79756.29
,,Hardrock,Other Revenues,1065
,,,Royalties,5984.9
,,Oil & Gas (Non-Royalty),Other Revenues,19012.3
,,,Rents,20991
,WA,Geothermal,Rents,8437
,WV,Coal,Bonus,155000
,,,Rents,22920
,,Gas,Royalties,37175.26
,,Oil & Gas (Non-Royalty),Other Revenues,398367.65
,,,Rents,41364
,WY,CO2,Royalties,246840.67
,,Coal,Bonus,448080675.6
,,,Other Revenues,5405648.69
,,,Rents,601565
,,,Royalties,536754650.2
,,Gas,Royalties,333459445.5
,,NGL,Other Revenues,-1935.85
,,,Royalties,42806449.21
,,Oil,Other Revenues,92.41
,,,Royalties,232006194.2
,,Oil & Gas (Non-Royalty),Bonus,14346795
,,,Other Revenues,-20886036.71
,,,Rents,9118989.92
,,Sodium,Other Revenues,99575
,,,Rents,-39583
,,,Royalties,34420375.38
,,Sulfur,Royalties,-257513.23
(blank),(blank),(blank),(blank),
Grand Total,,,,45078611904
