CY,St,Commodity,Revenue Type,Sum of Total
,,,Royalties,3940260.63
,,Oil & Gas (Non-Royalty),Bonus,56720
,,,Other Revenues,15539.67
,,,Rents,33568.4
,KY,Coal,Bonus,501002.81
,,,Other Revenues,20000
,,,Rents,30135
,,,Royalties,1420959.21
,,Gas,Royalties,181435.89
,,Oil,Royalties,6002.08
,,Oil & Gas (Non-Royalty),Bonus,39629
,,,Other Revenues,27210.36
,,,Rents,19535.3
,LA,Gas,Royalties,34130980.06
,,NGL,Royalties,1229701.38
,,Oil,Royalties,3319581.347
,,Oil & Gas (Non-Royalty),Bonus,595815
,,,Other Revenues,-673135.0123
,,,Rents,48149
,MD,Oil & Gas (Non-Royalty),Other Revenues,11799.33
,,,Rents,496
,MI,Gas,Royalties,2124034.76
,,NGL,Royalties,102903.75
,,Oil,Royalties,214631.89
,,Oil & Gas (Non-Royalty),Bonus,8160
,,,Other Revenues,12272.66
,,,Rents,36434.5
,MN,Hardrock,Other Revenues,48685.16
,,,Rents,4070
,MO,Hardrock,Other Revenues,139552
,,,Rents,9741
,,,Royalties,10348011.6
,MS,Gas,Royalties,425134.22
,,Oil,Royalties,2009165.81
,,Oil & Gas (Non-Royalty),Bonus,875076.5
,,,Other Revenues,5245.72
,,,Rents,602477.5
,MT,Coal,Bonus,456320
,,,Other Revenues,742861.13
,,,Rents,132630.3
,,,Royalties,29069968.33
,,Gas,Royalties,18469949.95
,,Hardrock,Rents,2210.5
,,NGL,Royalties,422625.68
,,Oil,Other Revenues,-2.5
,,,Rents,-59.09
,,,Royalties,22521373.98
,,Oil & Gas (Non-Royalty),Bonus,926627.5
,,,Other Revenues,798041.99
,,,Rents,3244275.59
,,Phosphate,Other Revenues,12681
,,Sulfur,Royalties,2321.49
,ND,Coal,Bonus,117536
,,,Rents,33558
,,,Royalties,767025.06
,,Gas,Royalties,5457309.31
,,NGL,Royalties,478298.09
,,Oil,Royalties,43951093.81
,,Oil & Gas (Non-Royalty),Bonus,14602862.5
,,,Other Revenues,764253.27
,,,Rents,1058140.68
,,Sulfur,Royalties,91.57
,NE,Oil,Other Revenues,-6
,,,Royalties,280939.69
,,Oil & Gas (Non-Royalty),Other Revenues,148709.74
,,,Rents,17602
,NM,CO2,Royalties,661304.77
,,Coal,Bonus,16060
,,,Other Revenues,2713214.45
,,,Rents,87396
,,,Royalties,7406158.15
,,Gas,Other Revenues,2422.17
,,,Royalties,680609202.1
,,Geothermal,Other Revenues,560
,,,Rents,4603
,,,Royalties,-7956.86
,,NGL,Other Revenues,487458.94
,,,Royalties,108848909.9
,,Oil,Other Revenues,-527.35
,,,Rents,-2
,,,Royalties,174694242.1
,,Oil & Gas (Non-Royalty),Bonus,78379647
,,,Other Revenues,38123888.78
,,,Rents,3385217.09
,,Potassium,Bonus,9638.54
,,,Other Revenues,514881.36
,,,Rents,8708
,,,Royalties,5922227.16
,,Sodium,Other Revenues,5571.38
,,,Rents,1760
,,,Royalties,238378.41
,NV,Geothermal,Other Revenues,-59310.04
,,,Rents,516146
,,,Royalties,1295189.54
,,Oil,Royalties,2732321.1
,,Oil & Gas (Non-Royalty),Bonus,3855798.25
,,,Other Revenues,5624.61
,,,Rents,6988189
,,Potassium,Other Revenues,6960
,,,Rents,2320
,,,Royalties,2339.42
,,Sand & Gravel,Royalties,2.4
,NY,Gas,Royalties,13365.04
,,Oil & Gas (Non-Royalty),Other Revenues,187.34
,OH,Gas,Royalties,596130.95
,,Oil,Royalties,191104.48
,,Oil & Gas (Non-Royalty),Other Revenues,36078.45
,,,Rents,7958.09
,OK,Asphalt,Rents,959
,,Coal,Bonus,158197.75
,,,Other Revenues,295984.9
,,,Rents,48051
,,,Royalties,426020.56
,,Gas,Royalties,10897536.96
,,NGL,Royalties,359716.41
,,Oil,Other Revenues,-127.51
,,,Royalties,982741.47
,,Oil & Gas (Non-Royalty),Bonus,2775870
,,,Other Revenues,56976.12
,,,Rents,270443.53
,OR,Geothermal,Rents,3111
,,Oil & Gas (Non-Royalty),Bonus,893603
,,,Rents,421302
,PA,Gas,Royalties,67242.09
,,Oil & Gas (Non-Royalty),Bonus,114805
,,,Other Revenues,16057.71
,,,Rents,153
,SC,Hardrock,Rents,1110
,SD,Gas,Royalties,130031.12
,,Oil,Royalties,1308521.66
,,Oil & Gas (Non-Royalty),Bonus,45968
,,,Other Revenues,3056.3
,,,Rents,172880
,TX,Gas,Royalties,19219211.07
,,NGL,Royalties,143345.04
,,Oil,Royalties,2591405.08
,,Oil & Gas (Non-Royalty),Bonus,2301402
,,,Other Revenues,137240.9
,,,Rents,601829.76
,UT,Clay,Other Revenues,163.94
,,,Rents,314
,,,Royalties,3219.45
,,Coal,Bonus,4264820
,,,Other Revenues,-479838.62
,,,Rents,237027
,,,Royalties,27167183.6
,,Gas,Royalties,153622021.2
,,Geothermal,Other Revenues,2166.34
,,,Rents,23457
,,,Royalties,203218.28
,,Gilsonite,Other Revenues,10686.24
,,,Rents,1489.5
,,,Royalties,499699.59
,,Hardrock,Rents,1489
,,NGL,Royalties,2076104.61
,,Oil,Other Revenues,-0.01
,,,Rents,-186
,,,Royalties,52604754.37
,,Oil & Gas (Non-Royalty),Bonus,94065589.5
,,,Other Revenues,1176766.51
,,,Rents,7780033.76
,,Phosphate,Other Revenues,22422
,,,Rents,-11104
,,Potassium,Other Revenues,-7488.37
,,,Rents,24904
,,,Royalties,124179.04
,,Sodium,Royalties,1343.85
,VA,Gas,Royalties,342675.11
,,Hardrock,Other Revenues,532.5
,,,Rents,177.5
,,,Royalties,31648.77
,,Oil & Gas (Non-Royalty),Other Revenues,13565.04
,,,Rents,14329
,WA,Coal,Rents,840
,,,Royalties,11394.65
,,Oil & Gas (Non-Royalty),Bonus,4600044
,,,Rents,1012206
,WV,Gas,Royalties,702255.57
,,Oil,Royalties,995.82
,,Oil & Gas (Non-Royalty),Bonus,166394
,,,Other Revenues,161610.95
,,,Rents,95502.76
,WY,CO2,Royalties,60733.7
,,Coal,Bonus,415863088.3
,,,Other Revenues,-4494011.86
,,,Rents,505344.5
,,,Royalties,412875313.4
,,Gas,Other Revenues,235421.68
,,,Royalties,934236036.2
,,Helium,Royalties,-234.17
,,NGL,Royalties,27267737.04
,,Oil,Other Revenues,-267.7
,,,Rents,-2887.02
,,,Royalties,197131143.1
,,Oil & Gas (Non-Royalty),Bonus,52692427
,,,Other Revenues,-22095639.01
,,,Rents,19064768.49
,,Sodium,Other Revenues,397375.82
,,,Rents,-21033.91
,,,Royalties,24852731.71
,,Sulfur,Royalties,15499.79
2007,AK,Coal,Rents,5120
,,Gas,Other Revenues,107431.34
,,,Royalties,15393058.48
,,NGL,Royalties,34629.51
,,Oil,Royalties,1587414.5
,,Oil & Gas (Non-Royalty),Bonus,13763715
,,,Other Revenues,2125016.02
,,,Rents,11255194.58
,AL,Clay,Royalties,12892.8
,,Coal,Bonus,64113.6
,,,Rents,13494
,,,Royalties,6613.15
,,Gas,Royalties,623369.25
,,Hardrock,Other Revenues,123
,,NGL,Royalties,418.11
,,Oil,Royalties,552449.27
,,Oil & Gas (Non-Royalty),Bonus,999834
,,,Other Revenues,3603.43
,,,Rents,168771.5
,,Sulfur,Royalties,369.54
,AR,Gas,Royalties,6670803.98
,,Hardrock,Other Revenues,2313.28
,,,Rents,-655
,,,Royalties,323.8
,,Oil,Royalties,193.36
,,Oil & Gas (Non-Royalty),Bonus,18577847
,,,Other Revenues,-69266.41
,,,Rents,2532367.1
,AZ,Geothermal,Rents,2084
,,Oil & Gas (Non-Royalty),Bonus,1280
,,,Rents,527954
,,Sodium,Other Revenues,117.79
,,,Rents,4
,,,Royalties,823.88
,CA,Gas,Royalties,4359548.21
,,Geothermal,Bonus,8006800
,,,Other Revenues,50584.56
,,,Rents,171671
,,,Royalties,9001457.39
,,NGL,Royalties,181130.89
,,Oil,Royalties,106117353.1
,,Oil & Gas (Non-Royalty),Bonus,29458
,,,Other Revenues,427390.78
,,,Rents,544761.29
,,Potassium,Other Revenues,3459.76
,,Sodium,Bonus,120
,,,Other Revenues,12399.23
,,,Rents,240
,,,Royalties,1816490.7
,CO,CO2,Royalties,22749872.26
,,Coal,Bonus,4289424.87
,,,Other Revenues,125100.42
,,,Rents,203319.78
,,,Royalties,45601100.1
,,Gas,Royalties,130941181.5
,,NGL,Royalties,5665173.12
,,Oil,Royalties,35455854.96
,,Oil & Gas (Non-Royalty),Bonus,21761105
,,,Other Revenues,5648298.1
,,,Rents,7145235.65
,,Sodium,Other Revenues,7333.1
,,,Royalties,245418.56
,FL,Oil & Gas (Non-Royalty),Other Revenues,864.01
,,,Rents,9089.5
,,Phosphate,Other Revenues,948.26
,,,Rents,884
,ID,Geothermal,Bonus,5707750
,,,Rents,19262
,,Hardrock,Rents,418
,,,Royalties,1445.4
,,Oil & Gas (Non-Royalty),Bonus,86061
,,,Rents,29177
,,Phosphate,Other Revenues,175093.18
,,,Rents,2182
,,,Royalties,2152071.29
,IL,Oil,Royalties,259427.81
,,Oil & Gas (Non-Royalty),Other Revenues,1507.41
,KS,Gas,Other Revenues,29.53
,,,Royalties,5117804.2
,,NGL,Royalties,495736.01
,,Oil,Royalties,2515227.62
,,Oil & Gas (Non-Royalty),Bonus,6826
,,,Other Revenues,-36856.92
,,,Rents,42983.1
,KY,Coal,Bonus,9450
,,,Other Revenues,68234.58
,,,Rents,5067
,,,Royalties,2560888.92
,,Gas,Royalties,166057.99
,,Oil,Royalties,153985.27
,,Oil & Gas (Non-Royalty),Other Revenues,28904.08
,,,Rents,4998.92
,LA,Gas,Royalties,33025527.22
,,NGL,Royalties,1362132.72
,,Oil,Royalties,3862214.74
,,Oil & Gas (Non-Royalty),Bonus,170800
,,,Other Revenues,1556604.23
,,,Rents,31942.73
,MD,Oil & Gas (Non-Royalty),Other Revenues,13426.06
,,,Rents,496
,MI,Gas,Royalties,2416860.28
,,NGL,Royalties,134440.25
,,Oil,Royalties,207460.07
,,Oil & Gas (Non-Royalty),Bonus,51130
,,,Other Revenues,34616.95
,,,Rents,26476.14
,MN,Hardrock,Other Revenues,48660
,,,Rents,1904
,MO,Hardrock,Other Revenues,-17410.53
,,,Rents,3415.5
,,,Royalties,17770435.97
,,Oil & Gas (Non-Royalty),Other Revenues,1680
,MS,Gas,Royalties,258584.91
,,Oil,Royalties,2218347.92
,,Oil & Gas (Non-Royalty),Bonus,3053449
,,,Other Revenues,30857.59
,,,Rents,633062
,MT,Coal,Bonus,3980440
,,,Other Revenues,834189.7
,,,Rents,129711
,,,Royalties,33697867.35
,,Gas,Royalties,20150033.55
,,Hardrock,Rents,15
,,NGL,Royalties,349342.47
,,Oil,Royalties,24457287.32
,,Oil & Gas (Non-Royalty),Bonus,1405618
,,,Other Revenues,518962.61
,,,Rents,3422258.73
,,Phosphate,Other Revenues,49.03
,,Sulfur,Royalties,1881.74
,ND,Coal,Bonus,113880
,,,Other Revenues,5064.8
,,,Rents,30549
,,,Royalties,924824.02
,,Gas,Royalties,6229778.68
,,NGL,Royalties,426090.47
,,Oil,Royalties,53193591.04
,,Oil & Gas (Non-Royalty),Bonus,7925422
,,,Other Revenues,505205.42
,,,Rents,852428.76
,,Sulfur,Royalties,0.82
,NE,Gas,Royalties,123992.24
,,Oil,Royalties,507966.66
,,Oil & Gas (Non-Royalty),Other Revenues,-72503.44
,,,Rents,12602
,NM,CO2,Royalties,824195.01
,,Coal,Other Revenues,1135187.02
,,,Rents,76311
,,,Royalties,10959149.17
,,Gas,Other Revenues,709.5
,,,Royalties,642726707.9
,,Geothermal,Other Revenues,15849.96
,,,Rents,8517
,,NGL,Royalties,112025760.3
,,Oil,Other Revenues,6771.08
,,,Royalties,199224359
,,Oil & Gas (Non-Royalty),Bonus,33140143
,,,Other Revenues,97809611.86
,,,Rents,2969809.92
