CY	St	Commodity	Revenue Type	Total
		Oil & Gas (Non-Royalty)	Bonus	$999,834.00 
			Other Revenues	$3,603.43 
			Rents	$168,771.50 
		Sulfur	Royalties	$369.54 
	AR	Gas	Royalties	$6,670,803.98 
		Hardrock	Other Revenues	$2,313.28 
			Rents	($655.00)
			Royalties	$323.80 
		Oil	Royalties	$193.36 
		Oil & Gas (Non-Royalty)	Bonus	$18,577,847.00 
			Other Revenues	($69,266.41)
			Rents	$2,532,367.10 
	AZ	Geothermal	Rents	$2,084.00 
		Oil & Gas (Non-Royalty)	Bonus	$1,280.00 
			Rents	$527,954.00 
		Sodium	Other Revenues	$117.79 
			Rents	$4.00 
			Royalties	$823.88 
	CA	Gas	Royalties	$4,359,548.21 
		Geothermal	Bonus	$8,006,800.00 
			Other Revenues	$50,584.56 
			Rents	$171,671.00 
			Royalties	$9,001,457.39 
		NGL	Royalties	$181,130.89 
		Oil	Royalties	$106,117,353.10 
		Oil & Gas (Non-Royalty)	Bonus	$29,458.00 
			Other Revenues	$427,390.78 
			Rents	$544,761.29 
		Potassium	Other Revenues	$3,459.76 
		Sodium	Bonus	$120.00 
			Other Revenues	$12,399.23 
			Rents	$240.00 
			Royalties	$1,816,490.70 
	CO	CO2	Royalties	$22,749,872.26 
		Coal	Bonus	$4,289,424.87 
			Other Revenues	$125,100.42 
			Rents	$203,319.78 
			Royalties	$45,601,100.10 
		Gas	Royalties	$130,941,181.54 
		NGL	Royalties	$5,665,173.12 
		Oil	Royalties	$35,455,854.96 
		Oil & Gas (Non-Royalty)	Bonus	$21,761,105.00 
			Other Revenues	$5,648,298.10 
			Rents	$7,145,235.65 
		Sodium	Other Revenues	$7,333.10 
			Royalties	$245,418.56 
	FL	Oil & Gas (Non-Royalty)	Other Revenues	$864.01 
			Rents	$9,089.50 
		Phosphate	Other Revenues	$948.26 
			Rents	$884.00 
	ID	Geothermal	Bonus	$5,707,750.00 
			Rents	$19,262.00 
		Hardrock	Rents	$418.00 
			Royalties	$1,445.40 
		Oil & Gas (Non-Royalty)	Bonus	$86,061.00 
			Rents	$29,177.00 
		Phosphate	Other Revenues	$175,093.18 
			Rents	$2,182.00 
			Royalties	$2,152,071.29 
	IL	Oil	Royalties	$259,427.81 
		Oil & Gas (Non-Royalty)	Other Revenues	$1,507.41 
	KS	Gas	Other Revenues	$29.53 
			Royalties	$5,117,804.20 
		NGL	Royalties	$495,736.01 
		Oil	Royalties	$2,515,227.62 
		Oil & Gas (Non-Royalty)	Bonus	$6,826.00 
			Other Revenues	($36,856.92)
			Rents	$42,983.10 
	KY	Coal	Bonus	$9,450.00 
			Other Revenues	$68,234.58 
			Rents	$5,067.00 
			Royalties	$2,560,888.92 
		Gas	Royalties	$166,057.99 
		Oil	Royalties	$153,985.27 
		Oil & Gas (Non-Royalty)	Other Revenues	$28,904.08 
			Rents	$4,998.92 
	LA	Gas	Royalties	$33,025,527.22 
		NGL	Royalties	$1,362,132.72 
		Oil	Royalties	$3,862,214.74 
		Oil & Gas (Non-Royalty)	Bonus	$170,800.00 
			Other Revenues	$1,556,604.23 
			Rents	$31,942.73 
	MD	Oil & Gas (Non-Royalty)	Other Revenues	$13,426.06 
			Rents	$496.00 
	MI	Gas	Royalties	$2,416,860.28 
		NGL	Royalties	$134,440.25 
		Oil	Royalties	$207,460.07 
		Oil & Gas (Non-Royalty)	Bonus	$51,130.00 
			Other Revenues	$34,616.95 
			Rents	$26,476.14 
	MN	Hardrock	Other Revenues	$48,660.00 
			Rents	$1,904.00 
	MO	Hardrock	Other Revenues	($17,410.53)
			Rents	$3,415.50 
			Royalties	$17,770,435.97 
		Oil & Gas (Non-Royalty)	Other Revenues	$1,680.00 
	MS	Gas	Royalties	$258,584.91 
		Oil	Royalties	$2,218,347.92 
		Oil & Gas (Non-Royalty)	Bonus	$3,053,449.00 
			Other Revenues	$30,857.59 
			Rents	$633,062.00 
	MT	Coal	Bonus	$3,980,440.00 
			Other Revenues	$834,189.70 
			Rents	$129,711.00 
			Royalties	$33,697,867.35 
		Gas	Royalties	$20,150,033.55 
		Hardrock	Rents	$15.00 
		NGL	Royalties	$349,342.47 
		Oil	Royalties	$24,457,287.32 
		Oil & Gas (Non-Royalty)	Bonus	$1,405,618.00 
			Other Revenues	$518,962.61 
			Rents	$3,422,258.73 
		Phosphate	Other Revenues	$49.03 
		Sulfur	Royalties	$1,881.74 
	ND	Coal	Bonus	$113,880.00 
			Other Revenues	$5,064.80 
			Rents	$30,549.00 
			Royalties	$924,824.02 
		Gas	Royalties	$6,229,778.68 
		NGL	Royalties	$426,090.47 
		Oil	Royalties	$53,193,591.04 
		Oil & Gas (Non-Royalty)	Bonus	$7,925,422.00 
			Other Revenues	$505,205.42 
			Rents	$852,428.76 
		Sulfur	Royalties	$0.82 
	NE	Gas	Royalties	$123,992.24 
		Oil	Royalties	$507,966.66 
		Oil & Gas (Non-Royalty)	Other Revenues	($72,503.44)
			Rents	$12,602.00 
	NM	CO2	Royalties	$824,195.01 
		Coal	Other Revenues	$1,135,187.02 
			Rents	$76,311.00 
			Royalties	$10,959,149.17 
		Gas	Other Revenues	$709.50 
			Royalties	$642,726,707.91 
		Geothermal	Other Revenues	$15,849.96 
			Rents	$8,517.00 
		NGL	Royalties	$112,025,760.26 
		Oil	Other Revenues	$6,771.08 
			Royalties	$199,224,359.00 
		Oil & Gas (Non-Royalty)	Bonus	$33,140,143.00 
			Other Revenues	$97,809,611.86 
			Rents	$2,969,809.92 
		Potassium	Bonus	$5,559.75 
			Other Revenues	$210,297.25 
			Rents	($26,942.25)
			Royalties	$9,187,693.91 
		Sodium	Other Revenues	$23,280.00 
			Rents	($3,160.00)
			Royalties	$199,760.86 
	NV	Geothermal	Bonus	$11,418,509.00 
			Other Revenues	$131,007.57 
			Rents	$877,381.24 
			Royalties	$2,352,838.69 
		Oil	Royalties	$2,886,796.44 
		Oil & Gas (Non-Royalty)	Bonus	$1,103,517.00 
			Other Revenues	$12,510.24 
			Rents	$7,187,345.00 
		Potassium	Rents	$1,740.00 
			Royalties	$159.00 
	NY	Gas	Royalties	$10,451.48 
		Oil & Gas (Non-Royalty)	Other Revenues	$521.15 
	OH	Gas	Royalties	$613,382.07 
		Oil	Royalties	$233,140.13 
		Oil & Gas (Non-Royalty)	Other Revenues	$12,645.83 
			Rents	$4,980.50 
	OK	Coal	Bonus	$175,197.75 
			Other Revenues	($61,624.34)
			Rents	$23,194.50 
			Royalties	$581,982.11 
		Gas	Other Revenues	$191.37 
			Royalties	$10,329,685.83 
		NGL	Royalties	$305,578.30 
		Oil	Royalties	$1,750,663.62 
		Oil & Gas (Non-Royalty)	Bonus	$6,748,765.00 
			Other Revenues	$544,860.55 
			Rents	$274,655.49 
	OR	Geothermal	Other Revenues	($7,680.00)
			Rents	$200,769.09 
		Oil & Gas (Non-Royalty)	Bonus	$476,255.00 
			Rents	$477,239.00 
	PA	Gas	Royalties	$68,185.65 
		Oil	Royalties	$374.17 
		Oil & Gas (Non-Royalty)	Other Revenues	$8,912.12 
			Rents	$153.00 
	SD	Gas	Royalties	$84,898.43 
		Oil	Royalties	$1,374,578.21 
		Oil & Gas (Non-Royalty)	Bonus	$485,969.50 
			Other Revenues	$8,478.36 
			Rents	$181,435.00 
	TN	Oil & Gas (Non-Royalty)	Other Revenues	$132.00 
	TX	Gas	Royalties	$20,617,999.97 
		NGL	Royalties	$151,745.84 
		Oil	Royalties	$3,239,395.04 
		Oil & Gas (Non-Royalty)	Bonus	$3,832,771.00 
			Other Revenues	$375,671.95 
			Rents	$602,523.90 
	UT	Clay	Other Revenues	$462.00 
			Rents	$314.00 
			Royalties	$5,306.17 
		Coal	Bonus	$2,012,040.00 
			Other Revenues	$76,870.09 
			Rents	$103,173.00 
			Royalties	$22,826,036.50 
		Gas	Royalties	$120,192,052.90 
		Geothermal	Other Revenues	$5,224.66 
			Rents	$3,854.00 
			Royalties	$255,496.78 
		Gilsonite	Other Revenues	$8,362.93 
			Rents	$2,128.00 
			Royalties	$608,423.50 
		Hardrock	Rents	$1,168.00 
		NGL	Royalties	$2,879,772.72 
		Oil	Royalties	$64,165,921.33 
		Oil & Gas (Non-Royalty)	Bonus	$34,788,390.00 
			Other Revenues	$5,946,925.27 
			Rents	$6,258,762.59 
		Phosphate	Other Revenues	$22,422.00 
			Rents	$840.00 
		Potassium	Other Revenues	$221.11 
			Rents	$24,504.00 
			Royalties	$177,944.00 
		Sodium	Royalties	$839.73 
		Tar Sands	Other Revenues	$122.91 
			Rents	$24,380.00 
	VA	Gas	Royalties	$361,354.93 
		Hardrock	Other Revenues	$650.91 
			Rents	$177.50 
			Royalties	$75,816.59 
		Oil & Gas (Non-Royalty)	Other Revenues	$9,069.13 
			Rents	$14,052.50 
	WA	Coal	Rents	$726.00 
			Royalties	($46,664.18)
		Oil & Gas (Non-Royalty)	Bonus	$9,406.00 
			Rents	$1,025,782.00 
	WV	Gas	Royalties	$848,054.85 
		Oil	Royalties	$606.05 
		Oil & Gas (Non-Royalty)	Other Revenues	$116,353.36 
			Rents	$64,853.24 
	WY	CO2	Royalties	$85,873.69 
		Coal	Bonus	$340,091,981.86 
			Other Revenues	($4,084,009.41)
			Rents	$497,128.75 
			Royalties	$471,289,965.95 
		Gas	Royalties	$703,132,330.45 
		NGL	Royalties	$58,637,672.71 
		Oil	Royalties	$226,192,878.17 
		Oil & Gas (Non-Royalty)	Bonus	$38,504,105.50 
			Other Revenues	($14,703,814.25)
			Rents	$17,443,214.72 
		Sodium	Other Revenues	$258,336.78 
			Rents	($17,317.00)
			Royalties	$11,575,138.30 
		Sulfur	Royalties	$65,834.88 
2007 Total				$4,033,795,256.24 
2008	AK	Coal	Rents	$5,120.00 
		Gas	Other Revenues	$35,338.98 
			Royalties	$14,702,605.24 
		NGL	Royalties	$40,379.74 
		Oil	Royalties	$2,061,165.51 
		Oil & Gas (Non-Royalty)	Other Revenues	($1,755,917.47)
			Rents	$11,919,906.12 
	AL	Coal	Bonus	$64,113.60 
			Other Revenues	($126,878.91)
			Rents	$13,494.00 
			Royalties	$1,549,517.93 
		Gas	Royalties	$785,303.49 
		Hardrock	Other Revenues	$123.00 
		NGL	Royalties	$905.51 
		Oil	Royalties	$705,017.89 
		Oil & Gas (Non-Royalty)	Bonus	$125,982.00 
			Other Revenues	$1,271.69 
			Rents	$201,749.50 
		Sulfur	Royalties	$12,259.80 
	AR	Gas	Royalties	$8,920,579.24 
		Hardrock	Other Revenues	$2,303.02 
			Rents	($45.45)
			Royalties	$2,933.87 
		Oil	Royalties	$151.05 
		Oil & Gas (Non-Royalty)	Bonus	$20,888,380.50 
			Other Revenues	$158,765.53 
			Rents	$1,696,199.88 
	AZ	Geothermal	Rents	$2,084.00 
		Oil & Gas (Non-Royalty)	Bonus	$15,560.00 
			Rents	$511,932.00 
		Sodium	Other Revenues	$12.00 
			Rents	$4.00 
			Royalties	$311.67 
	CA	Gas	Royalties	$5,496,320.78 
		Geothermal	Other Revenues	$26,287.02 
			Rents	$158,630.12 
			Royalties	$12,257,704.04 
		Hardrock	Rents	$21.00 
		NGL	Royalties	$286,771.49 
		Oil	Royalties	$162,991,005.13 
		Oil & Gas (Non-Royalty)	Bonus	$1,812,610.75 
			Other Revenues	$390,644.51 
			Rents	$614,643.91 
		Potassium	Other Revenues	$3,502.04 
		Sodium	Bonus	$120.00 
			Other Revenues	$4,708.39 
			Rents	($1,883.00)
			Royalties	$2,291,712.29 
	CO	CO2	Royalties	$57,278,855.03 
		Coal	Bonus	$4,367,898.87 
			Other Revenues	$214,042.65 
			Rents	$232,756.69 
			Royalties	$56,553,148.67 
		Gas	Royalties	$219,803,614.07 
		NGL	Royalties	$11,164,525.95 
		Oil	Royalties	$49,899,773.04 
		Oil & Gas (Non-Royalty)	Bonus	$140,483,871.00 
			Other Revenues	$5,298,593.79 
			Rents	$6,873,465.23 
		Sodium	Other Revenues	$365,222.20 
			Rents	($28,581.73)
			Royalties	$282,035.96 
	FL	Oil & Gas (Non-Royalty)	Rents	$10,774.00 
		Phosphate	Other Revenues	$1,275.55 
			Rents	$115.00 
			Royalties	$1,570.27 
	ID	Geothermal	Rents	$30,874.70 
		Hardrock	Other Revenues	$486.00 
			Rents	$636.00 
			Royalties	$731.30 
		Oil & Gas (Non-Royalty)	Bonus	$39,869.75 
			Rents	$40,899.50 
		Phosphate	Other Revenues	$130,532.31 
			Rents	$1,463.00 
			Royalties	$2,485,359.85 
	IL	Hardrock	Bonus	$1,147.00 
		Oil	Royalties	$415,406.28 
	KS	Gas	Other Revenues	($25.87)
			Royalties	$6,435,099.03 
		NGL	Royalties	$772,345.23 
		Oil	Royalties	$4,467,247.62 
		Oil & Gas (Non-Royalty)	Bonus	$20,196.00 
			Other Revenues	$394,782.17 
			Rents	$51,323.50 
	KY	Coal	Bonus	$18,900.00 
			Other Revenues	$23,651.26 
			Rents	$34,713.00 
			Royalties	$909,763.86 
		Gas	Royalties	$213,081.53 
		Oil	Royalties	$158,808.40 
		Oil & Gas (Non-Royalty)	Bonus	$946.00 
			Other Revenues	$38,117.75 
			Rents	$5,708.58 
	LA	Gas	Royalties	$40,437,371.68 
		NGL	Royalties	$1,337,105.74 
		Oil	Royalties	$5,313,224.17 
		Oil & Gas (Non-Royalty)	Bonus	$4,255,024.00 
			Other Revenues	$568,000.41 
			Rents	$99,810.00 
	MD	Oil & Gas (Non-Royalty)	Other Revenues	$11,902.91 
			Rents	$496.00 
	MI	Gas	Royalties	$2,907,403.95 
		NGL	Royalties	$207,501.47 
		Oil	Royalties	$398,412.12 
		Oil & Gas (Non-Royalty)	Bonus	$304,430.00 
			Other Revenues	$115,626.28 
			Rents	$80,201.50 
	MN	Hardrock	Other Revenues	$48,660.00 
			Rents	$1,749.50 
	MO	Hardrock	Other Revenues	$10,345.00 
			Rents	($27,641.60)
			Royalties	$14,161,006.55 
		Oil & Gas (Non-Royalty)	Other Revenues	$840.00 
	MS	Gas	Royalties	$411,983.73 
		Oil	Royalties	$2,764,255.97 
		Oil & Gas (Non-Royalty)	Bonus	$194,693.00 
			Other Revenues	$69,201.09 
			Rents	$529,022.74 
	MT	Coal	Bonus	$3,980,440.00 
			Other Revenues	$933,101.04 
			Rents	$142,131.00 
			Royalties	$37,411,561.07 
		Gas	Royalties	$23,468,649.78 
		Hardrock	Other Revenues	$31.45 
			Rents	$559.00 
		NGL	Royalties	$659,548.42 
		Oil	Royalties	$37,324,702.49 
		Oil & Gas (Non-Royalty)	Bonus	$1,517,347.50 
			Other Revenues	$596,057.04 
			Rents	$3,158,642.94 
		Phosphate	Other Revenues	$8,454.00 
			Rents	$1,409.00 
		Sulfur	Royalties	$27,255.51 
	ND	Coal	Bonus	$113,080.00 
			Other Revenues	$10,745.00 
			Rents	$31,635.00 
			Royalties	$983,321.35 
		Gas	Royalties	$7,884,857.77 
		NGL	Royalties	$1,089,791.49 
		Oil	Royalties	$82,206,235.71 
		Oil & Gas (Non-Royalty)	Bonus	$27,406,443.50 
			Other Revenues	$1,236,809.53 
			Rents	$858,031.44 
	NE	Gas	Royalties	$8,118.31 
		NGL	Royalties	$11,101.25 
		Oil	Royalties	$631,893.06 
		Oil & Gas (Non-Royalty)	Bonus	($640.00)
			Other Revenues	$41,577.33 
			Rents	$5,109.72 
	NM	CO2	Royalties	$1,167,084.72 
		Coal	Other Revenues	$1,296,403.07 
			Rents	$76,775.51 
			Royalties	$14,191,843.15 
		Gas	Other Revenues	$1,043.39 
			Royalties	$749,579,674.21 
		Geothermal	Other Revenues	$5,671.18 
			Rents	$3,280.00 
		NGL	Royalties	$164,599,129.22 
		Oil	Other Revenues	$24,435.90 
			Royalties	$316,287,951.87 
		Oil & Gas (Non-Royalty)	Bonus	$65,034,187.00 
			Other Revenues	$1,054,089.23 
			Rents	$3,290,862.62 
		Potassium	Bonus	$787,103.75 
			Other Revenues	$592,438.72 
			Rents	$68,915.25 
			Royalties	$10,687,482.48 
		Sodium	Other Revenues	$5,583.82 
			Rents	($40.93)
			Royalties	$144,851.64 
	NV	Geothermal	Bonus	$27,992,464.00 
			Other Revenues	$94,122.87 
			Rents	$1,098,300.76 
			Royalties	$2,288,160.44 
		Oil	Royalties	$4,318,250.62 
		Oil & Gas (Non-Royalty)	Bonus	$2,355,220.00 
			Other Revenues	$7,504.76 
			Rents	$7,435,019.50 
		Potassium	Other Revenues	$13,786.00 
			Rents	($1,160.00)
		Sand & Gravel	Other Revenues	$320.59 
	NY	Gas	Royalties	$11,517.23 
		Oil & Gas (Non-Royalty)	Other Revenues	$176.68 
	OH	Gas	Royalties	$677,345.37 
		Oil	Royalties	$362,989.06 
