Year	State	County	FIPS	Commodity	Product	Volume
2012	ND	Dunn County	38025		Gas (mcf)	1789961.1
2009	ND	Billings County	38007		Oil (bbl)	1798348.7
2011	ND	Mercer County	38057		Coal (tons)	1802904.95
2005	ND	Billings County	38007		Gas (mcf)	1835541.61
2013	ND	Dunn County	38025		Oil (bbl)	1836039.57
2012	ND	Billings County	38007		Gas (mcf)	1867884.78
2013	ND	Billings County	38007		Gas (mcf)	1994940.8
2011	ND	Bowman County	38011		Gas (mcf)	1999727.46
2008	ND	Billings County	38007		Oil (bbl)	2035200.62
2011	ND	Billings County	38007		Oil (bbl)	2036290.25
2005	ND	Billings County	38007		Oil (bbl)	2086829.74
2006	ND	Billings County	38007		Oil (bbl)	2096333.82
2009	ND	McKenzie County	38053		Oil (bbl)	2124735.03
2007	ND	Billings County	38007		Oil (bbl)	2143817.25
2008	ND	Bowman County	38011		Oil (bbl)	2149457.36
2012	ND	Billings County	38007		Oil (bbl)	2152264.4
2005	ND	Mercer County	38057		Coal (tons)	2169980.45
2013	ND	Billings County	38007		Oil (bbl)	2176648.39
2005	ND	McKenzie County	38053		Gas (mcf)	2237831.31
2006	ND	Bowman County	38011		Oil (bbl)	2264028.51
2013	ND	Dunn County	38025		Gas (mcf)	2277780.09
2012	ND	Mercer County	38057		Coal (tons)	2278424.95
2012	ND	Mountrail County	38061		Gas (mcf)	2282494.22
2006	ND	McKenzie County	38053		Gas (mcf)	2296290.37
2014	ND	Billings County	38007		Oil (bbl)	2314539.1
2013	ND	Mountrail County	38061		Gas (mcf)	2321712.09
2007	ND	Bowman County	38011		Oil (bbl)	2355350.03
2007	ND	McKenzie County	38053		Gas (mcf)	2388712.4
2008	ND	McKenzie County	38053		Gas (mcf)	2444436.6
2014	ND	Billings County	38007		Gas (mcf)	2445011.1
2007	ND	Billings County	38007		Gas (mcf)	2463422.61
2005	ND	Bowman County	38011		Gas (mcf)	2493772.88
2011	ND	Mountrail County	38061		Oil (bbl)	2597286.86
2014	ND	Dunn County	38025		Oil (bbl)	2697995.77
2009	ND	McKenzie County	38053		Gas (mcf)	2712134.42
2010	ND	Bowman County	38011		Gas (mcf)	2788020.46
2014	ND	Mountrail County	38061		Gas (mcf)	2882819.87
2013	ND	Mercer County	38057		Coal (tons)	3030603.03
2014	ND	Dunn County	38025		Gas (mcf)	3102376.98
2010	ND	McKenzie County	38053		Oil (bbl)	3110525.07
2006	ND	Mercer County	38057		Coal (tons)	3196317.49
2014	ND	Mountrail County	38061		Oil (bbl)	3327106.53
2012	ND	Mountrail County	38061		Oil (bbl)	3395254.32
