State	Revenue Type	Commodity	Revenue
NV	Rents	Potassium	2501
CA	Rents	Potassium	0
MT	Rents	Phosphate	-4227
MS	Bonus	Oil & Gas	333880
UT	Rents	Phosphate	-7560
LA	Bonus	Oil & Gas	-21202
CO	Bonus	Coal	2069201.35
NM	Rents	Potassium	-25543.5
AR	Bonus	Oil & Gas	25000
VA	Rents	Hardrock	-710
NV	Bonus	Geothermal	13844
OK	Rents	Coal	34113
NM	Bonus	Potassium	504944
NC	Rents	Hardrock	-316
AK	Bonus	Oil & Gas	1058899
NE	Rents	Oil & Gas	3726
AR	Rents	Hardrock	-100
KY	Rents	Oil & Gas	5754
FL	Rents	Phosphate	0
WY	Bonus	Coal	457930360.44
NV	Bonus	Oil & Gas	1989254
AZ	Rents	Oil & Gas	35167
AZ	Bonus	Oil & Gas	24436
MI	Bonus	Oil & Gas	277614
AK	Rents	Geothermal	7680
UT	Rents	Oil Shale	320
MT	Bonus	Oil & Gas	552566.75
CA	Rents	Hardrock	105
KS	Bonus	Oil & Gas	24000
CA	Bonus	Oil & Gas	190982
MD	Rents	Oil & Gas	496
SD	Bonus	Oil & Gas	502153
UT	Rents	Clay	314
CO	Rents	Potassium	8720
UT	Bonus	Coal	40320
NE	Bonus	Oil & Gas	26824
ID	Rents	Oil & Gas	8274
SC	Rents	Hardrock	1110
CO	Rents	Oil Shale	1556
