year	volume	commodity	region	units
2013	652.0897300000001	All Other Renewables	CT	thousand megawatthours
2012	666.52491	All Other Renewables	CT	thousand megawatthours
2011	659.70865	All Other Renewables	CT	thousand megawatthours
2010	739.66009	All Other Renewables	CT	thousand megawatthours
2009	758.73019	All Other Renewables	CT	thousand megawatthours
2008	733.51416	All Other Renewables	CT	thousand megawatthours
2007	729.8391399999999	All Other Renewables	CT	thousand megawatthours
2006	763.3202799999999	All Other Renewables	CT	thousand megawatthours
2015	143.76754999999997	All Other Renewables	DE	thousand megawatthours
2014	131.08038000000002	All Other Renewables	DE	thousand megawatthours
2013	106.532	All Other Renewables	DE	thousand megawatthours
2012	131.05062	All Other Renewables	DE	thousand megawatthours
2011	157.83647000000002	All Other Renewables	DE	thousand megawatthours
2010	138.19742000000002	All Other Renewables	DE	thousand megawatthours
2009	125.61136	All Other Renewables	DE	thousand megawatthours
2008	163.37464	All Other Renewables	DE	thousand megawatthours
2007	48.116	All Other Renewables	DE	thousand megawatthours
2006	0.41700000000000004	All Other Renewables	DE	thousand megawatthours
2015	4991.69378	All Other Renewables	FL	thousand megawatthours
2014	5073.10834	All Other Renewables	FL	thousand megawatthours
2013	4658.74561	All Other Renewables	FL	thousand megawatthours
2012	4523.797979999999	All Other Renewables	FL	thousand megawatthours
2011	4670.14348	All Other Renewables	FL	thousand megawatthours
2010	4486.7234	All Other Renewables	FL	thousand megawatthours
2009	4340.3318	All Other Renewables	FL	thousand megawatthours
2008	4302.86811	All Other Renewables	FL	thousand megawatthours
2007	4302.8178	All Other Renewables	FL	thousand megawatthours
2006	4330.689530000001	All Other Renewables	FL	thousand megawatthours
2015	4524.65381	All Other Renewables	GA	thousand megawatthours
2014	4282.6088	All Other Renewables	GA	thousand megawatthours
2013	3839.17825	All Other Renewables	GA	thousand megawatthours
2012	3278.53621	All Other Renewables	GA	thousand megawatthours
2011	3189.5195900000003	All Other Renewables	GA	thousand megawatthours
2010	3180.56251	All Other Renewables	GA	thousand megawatthours
2009	2825.1696599999996	All Other Renewables	GA	thousand megawatthours
2008	2781.9698	All Other Renewables	GA	thousand megawatthours
2007	3415.4216300000003	All Other Renewables	GA	thousand megawatthours
2006	3418.9177100000006	All Other Renewables	GA	thousand megawatthours
2015	1248.14609	All Other Renewables	HI	thousand megawatthours
2014	1205.74983	All Other Renewables	HI	thousand megawatthours
2013	1126.98121	All Other Renewables	HI	thousand megawatthours
2012	924.8150999999999	All Other Renewables	HI	thousand megawatthours
2011	880.9199199999999	All Other Renewables	HI	thousand megawatthours
2010	746.9677599999999	All Other Renewables	HI	thousand megawatthours
2009	704.8346799999999	All Other Renewables	HI	thousand megawatthours
2008	776.7971	All Other Renewables	HI	thousand megawatthours
2007	753.3470999999998	All Other Renewables	HI	thousand megawatthours
2006	617.6422899999999	All Other Renewables	HI	thousand megawatthours
2015	3151.70615	All Other Renewables	ID	thousand megawatthours
2014	3477.11834	All Other Renewables	ID	thousand megawatthours
2013	3152.05348	All Other Renewables	ID	thousand megawatthours
2012	2514.50217	All Other Renewables	ID	thousand megawatthours
2011	1892.1742199999997	All Other Renewables	ID	thousand megawatthours
2010	1014.01001	All Other Renewables	ID	thousand megawatthours
2009	867.3162799999999	All Other Renewables	ID	thousand megawatthours
2008	748.4122199999998	All Other Renewables	ID	thousand megawatthours
2007	652.8485199999999	All Other Renewables	ID	thousand megawatthours
2006	689.9569499999999	All Other Renewables	ID	thousand megawatthours
2015	11358.73518	All Other Renewables	IL	thousand megawatthours
2014	10699.38326	All Other Renewables	IL	thousand megawatthours
2013	10285.33545	All Other Renewables	IL	thousand megawatthours
2012	8372.659909999998	All Other Renewables	IL	thousand megawatthours
2011	6865.2936899999995	All Other Renewables	IL	thousand megawatthours
2010	5138.159160000001	All Other Renewables	IL	thousand megawatthours
2009	3529.75236	All Other Renewables	IL	thousand megawatthours
2008	3034.97679	All Other Renewables	IL	thousand megawatthours
2007	1284.7522199999999	All Other Renewables	IL	thousand megawatthours
2006	848.83237	All Other Renewables	IL	thousand megawatthours
2015	5130.7231600000005	All Other Renewables	IN	thousand megawatthours
2014	3988.70734	All Other Renewables	IN	thousand megawatthours
2013	3887.9357600000003	All Other Renewables	IN	thousand megawatthours
2012	3546.3674	All Other Renewables	IN	thousand megawatthours
2011	3620.9985500000003	All Other Renewables	IN	thousand megawatthours
2010	3245.6659999999997	All Other Renewables	IN	thousand megawatthours
2009	1705.83553	All Other Renewables	IN	thousand megawatthours
2008	511.39318	All Other Renewables	IN	thousand megawatthours
2007	231.24723	All Other Renewables	IN	thousand megawatthours
2006	220.21214	All Other Renewables	IN	thousand megawatthours
2015	18138.574269999997	All Other Renewables	IA	thousand megawatthours
2014	16572.99992	All Other Renewables	IA	thousand megawatthours
2013	15727.03687	All Other Renewables	IA	thousand megawatthours
2012	14183.424140000001	All Other Renewables	IA	thousand megawatthours
2011	10869.768619999999	All Other Renewables	IA	thousand megawatthours
2010	9360.48289	All Other Renewables	IA	thousand megawatthours
2009	7588.60074	All Other Renewables	IA	thousand megawatthours
2008	4251.09909	All Other Renewables	IA	thousand megawatthours
2007	2907.77529	All Other Renewables	IA	thousand megawatthours
2006	2454.71716	All Other Renewables	IA	thousand megawatthours
2015	10996.544140000002	All Other Renewables	KS	thousand megawatthours
2014	10904.077689999998	All Other Renewables	KS	thousand megawatthours
2013	9491.198400000001	All Other Renewables	KS	thousand megawatthours
2012	5252.65335	All Other Renewables	KS	thousand megawatthours
2011	3778.732	All Other Renewables	KS	thousand megawatthours
2010	3459.3505600000003	All Other Renewables	KS	thousand megawatthours
2009	2863.26655	All Other Renewables	KS	thousand megawatthours
2008	1759.41189	All Other Renewables	KS	thousand megawatthours
2007	1152.538	All Other Renewables	KS	thousand megawatthours
2006	991.89	All Other Renewables	KS	thousand megawatthours
2015	438.1546800000001	All Other Renewables	KY	thousand megawatthours
2014	447.98936999999995	All Other Renewables	KY	thousand megawatthours
2013	326.68074	All Other Renewables	KY	thousand megawatthours
2012	332.87946000000005	All Other Renewables	KY	thousand megawatthours
2011	436.2305099999999	All Other Renewables	KY	thousand megawatthours
2010	439.87474000000003	All Other Renewables	KY	thousand megawatthours
2009	363.53428	All Other Renewables	KY	thousand megawatthours
2008	459.61911	All Other Renewables	KY	thousand megawatthours
2007	465.62304	All Other Renewables	KY	thousand megawatthours
2006	458.79817999999995	All Other Renewables	KY	thousand megawatthours
2015	2728.74619	All Other Renewables	LA	thousand megawatthours
2014	2779.60417	All Other Renewables	LA	thousand megawatthours
2013	2786.60279	All Other Renewables	LA	thousand megawatthours
2012	2430.04223	All Other Renewables	LA	thousand megawatthours
2011	2442.53084	All Other Renewables	LA	thousand megawatthours
2010	2467.77643	All Other Renewables	LA	thousand megawatthours
2009	2363.9592500000003	All Other Renewables	LA	thousand megawatthours
2008	2709.67452	All Other Renewables	LA	thousand megawatthours
2007	2979.88296	All Other Renewables	LA	thousand megawatthours
2006	2962.36281	All Other Renewables	LA	thousand megawatthours
2015	4443.60539	All Other Renewables	ME	thousand megawatthours
2014	4491.71476	All Other Renewables	ME	thousand megawatthours
2013	4893.36385	All Other Renewables	ME	thousand megawatthours
2012	4098.79534	All Other Renewables	ME	thousand megawatthours
2011	4494.69397	All Other Renewables	ME	thousand megawatthours
2010	4152.283009999999	All Other Renewables	ME	thousand megawatthours
2009	3938.2442899999996	All Other Renewables	ME	thousand megawatthours
2008	4057.98454	All Other Renewables	ME	thousand megawatthours
2007	4206.97946	All Other Renewables	ME	thousand megawatthours
2006	3967.65082	All Other Renewables	ME	thousand megawatthours
2015	1115.94191	All Other Renewables	MD	thousand megawatthours
2014	988.87444	All Other Renewables	MD	thousand megawatthours
2013	941.16406	All Other Renewables	MD	thousand megawatthours
2012	898.1524599999999	All Other Renewables	MD	thousand megawatthours
2011	821.74115	All Other Renewables	MD	thousand megawatthours
2010	573.6654199999999	All Other Renewables	MD	thousand megawatthours
2009	550.77966	All Other Renewables	MD	thousand megawatthours
2008	612.48539	All Other Renewables	MD	thousand megawatthours
2007	603.4617	All Other Renewables	MD	thousand megawatthours
2006	626.16075	All Other Renewables	MD	thousand megawatthours
2015	2119.59169	All Other Renewables	MA	thousand megawatthours
2014	1729.95097	All Other Renewables	MA	thousand megawatthours
2013	1448.4260700000002	All Other Renewables	MA	thousand megawatthours
2012	1843.4189900000001	All Other Renewables	MA	thousand megawatthours
2011	1206.57335	All Other Renewables	MA	thousand megawatthours
2010	1273.73409	All Other Renewables	MA	thousand megawatthours
2009	1229.25728	All Other Renewables	MA	thousand megawatthours
2008	1255.37805	All Other Renewables	MA	thousand megawatthours
2007	1240.22387	All Other Renewables	MA	thousand megawatthours
2006	1278.82886	All Other Renewables	MA	thousand megawatthours
2015	7330.1760300000005	All Other Renewables	MI	thousand megawatthours
2014	6674.35187	All Other Renewables	MI	thousand megawatthours
2013	5514.38443	All Other Renewables	MI	thousand megawatthours
2012	3785.4391200000005	All Other Renewables	MI	thousand megawatthours
2011	2962.32464	All Other Renewables	MI	thousand megawatthours
2010	2832.4518300000004	All Other Renewables	MI	thousand megawatthours
2009	2623.18415	All Other Renewables	MI	thousand megawatthours
2008	2591.1411000000003	All Other Renewables	MI	thousand megawatthours
2007	2416.7468299999996	All Other Renewables	MI	thousand megawatthours
2006	2442.55856	All Other Renewables	MI	thousand megawatthours
2015	11600.48965	All Other Renewables	MN	thousand megawatthours
2014	11456.84002	All Other Renewables	MN	thousand megawatthours
2013	9871.286979999999	All Other Renewables	MN	thousand megawatthours
2012	9453.870509999999	All Other Renewables	MN	thousand megawatthours
2011	8406.1115	All Other Renewables	MN	thousand megawatthours
2010	6639.63284	All Other Renewables	MN	thousand megawatthours
2009	6736.65738	All Other Renewables	MN	thousand megawatthours
2008	5850.882500000001	All Other Renewables	MN	thousand megawatthours
2007	3932.6378799999998	All Other Renewables	MN	thousand megawatthours
2006	3058.88385	All Other Renewables	MN	thousand megawatthours
2015	1472.06496	All Other Renewables	MS	thousand megawatthours
2014	1507.9485600000003	All Other Renewables	MS	thousand megawatthours
2013	1448.3871	All Other Renewables	MS	thousand megawatthours
2012	1509.1899299999998	All Other Renewables	MS	thousand megawatthours
2011	1506.0765000000001	All Other Renewables	MS	thousand megawatthours
2010	1504.27003	All Other Renewables	MS	thousand megawatthours
2009	1424.27903	All Other Renewables	MS	thousand megawatthours
2008	1391.3256700000002	All Other Renewables	MS	thousand megawatthours
2007	1493.36458	All Other Renewables	MS	thousand megawatthours
2006	1541.0819999999999	All Other Renewables	MS	thousand megawatthours
2015	1157.9732099999999	All Other Renewables	MO	thousand megawatthours
2014	1255.4465800000003	All Other Renewables	MO	thousand megawatthours
2013	1240.8770399999999	All Other Renewables	MO	thousand megawatthours
2012	1298.5789	All Other Renewables	MO	thousand megawatthours
2011	1240.40489	All Other Renewables	MO	thousand megawatthours
2010	987.5972499999999	All Other Renewables	MO	thousand megawatthours
2009	574.80464	All Other Renewables	MO	thousand megawatthours
2008	246.02571	All Other Renewables	MO	thousand megawatthours
2007	29.30938	All Other Renewables	MO	thousand megawatthours
2006	23.970860000000002	All Other Renewables	MO	thousand megawatthours
2015	1974.8770399999999	All Other Renewables	MT	thousand megawatthours
2014	1986.80308	All Other Renewables	MT	thousand megawatthours
2013	1759.76153	All Other Renewables	MT	thousand megawatthours
2012	1261.7522199999999	All Other Renewables	MT	thousand megawatthours
2011	1265.16761	All Other Renewables	MT	thousand megawatthours
2010	1027.1573399999997	All Other Renewables	MT	thousand megawatthours
2009	915.5658999999999	All Other Renewables	MT	thousand megawatthours
2008	704.09594	All Other Renewables	MT	thousand megawatthours
2007	606.7207300000001	All Other Renewables	MT	thousand megawatthours
2006	530.3847800000001	All Other Renewables	MT	thousand megawatthours
2015	3221.94562	All Other Renewables	NE	thousand megawatthours
2014	2801.12425	All Other Renewables	NE	thousand megawatthours
2013	1869.03874	All Other Renewables	NE	thousand megawatthours
2012	1346.76178	All Other Renewables	NE	thousand megawatthours
2011	1116.3045	All Other Renewables	NE	thousand megawatthours
2010	493.1531	All Other Renewables	NE	thousand megawatthours
2009	448.82944000000003	All Other Renewables	NE	thousand megawatthours
2008	275.11266000000006	All Other Renewables	NE	thousand megawatthours
2007	278.02426	All Other Renewables	NE	thousand megawatthours
2006	313.2606	All Other Renewables	NE	thousand megawatthours
2015	5428.633089999999	All Other Renewables	NV	thousand megawatthours
2014	4067.172	All Other Renewables	NV	thousand megawatthours
2013	3690.16108	All Other Renewables	NV	thousand megawatthours
2012	2968.63034	All Other Renewables	NV	thousand megawatthours
2011	2437.3435100000006	All Other Renewables	NV	thousand megawatthours
2010	2286.6468299999997	All Other Renewables	NV	thousand megawatthours
2009	1808.41238	All Other Renewables	NV	thousand megawatthours
2008	1538.83256	All Other Renewables	NV	thousand megawatthours
2007	1296.658	All Other Renewables	NV	thousand megawatthours
2006	1343.711	All Other Renewables	NV	thousand megawatthours
2015	2064.95638	All Other Renewables	NH	thousand megawatthours
2014	1952.38871	All Other Renewables	NH	thousand megawatthours
2013	1695.40294	All Other Renewables	NH	thousand megawatthours
2012	1381.2850700000001	All Other Renewables	NH	thousand megawatthours
2011	1091.22288	All Other Renewables	NH	thousand megawatthours
2010	1232.21832	All Other Renewables	NH	thousand megawatthours
2009	1197.93639	All Other Renewables	NH	thousand megawatthours
2008	1174.98379	All Other Renewables	NH	thousand megawatthours
2007	1123.27172	All Other Renewables	NH	thousand megawatthours
2006	746.3797800000001	All Other Renewables	NH	thousand megawatthours
2015	1827.18557	All Other Renewables	NJ	thousand megawatthours
2014	1535.5337299999999	All Other Renewables	NJ	thousand megawatthours
2013	1447.11796	All Other Renewables	NJ	thousand megawatthours
2012	1280.71464	All Other Renewables	NJ	thousand megawatthours
2011	955.51178	All Other Renewables	NJ	thousand megawatthours
2010	850.05364	All Other Renewables	NJ	thousand megawatthours
2009	959.8310999999999	All Other Renewables	NJ	thousand megawatthours
2008	905.2895500000001	All Other Renewables	NJ	thousand megawatthours
2007	843.57756	All Other Renewables	NJ	thousand megawatthours
2006	916.7833700000002	All Other Renewables	NJ	thousand megawatthours
2015	2740.4751000000006	All Other Renewables	NM	thousand megawatthours
2014	2812.71964	All Other Renewables	NM	thousand megawatthours
2013	2600.04939	All Other Renewables	NM	thousand megawatthours
2012	2573.851310000001	All Other Renewables	NM	thousand megawatthours
2011	2241.7254199999998	All Other Renewables	NM	thousand megawatthours
2010	1854.79164	All Other Renewables	NM	thousand megawatthours
2009	1580.3819999999998	All Other Renewables	NM	thousand megawatthours
2008	1661.6716	All Other Renewables	NM	thousand megawatthours
2007	1409.23293	All Other Renewables	NM	thousand megawatthours
2006	1277.32068	All Other Renewables	NM	thousand megawatthours
2015	6540.65591	All Other Renewables	NY	thousand megawatthours
2014	6446.62495	All Other Renewables	NY	thousand megawatthours
2013	5888.110570000001	All Other Renewables	NY	thousand megawatthours
2012	5192.4274399999995	All Other Renewables	NY	thousand megawatthours
2011	4895.78852	All Other Renewables	NY	thousand megawatthours
2010	4814.547739999999	All Other Renewables	NY	thousand megawatthours
2009	4467.00772	All Other Renewables	NY	thousand megawatthours
2008	3318.6571100000006	All Other Renewables	NY	thousand megawatthours
2007	2775.0835100000004	All Other Renewables	NY	thousand megawatthours
2006	2596.6411300000004	All Other Renewables	NY	thousand megawatthours
2015	4238.995389999999	All Other Renewables	NC	thousand megawatthours
2014	3275.8312800000003	All Other Renewables	NC	thousand megawatthours
2013	2954.8502300000005	All Other Renewables	NC	thousand megawatthours
2012	2703.9193200000004	All Other Renewables	NC	thousand megawatthours
2011	2345.48445	All Other Renewables	NC	thousand megawatthours
2010	2083.1418	All Other Renewables	NC	thousand megawatthours
2009	1893.40392	All Other Renewables	NC	thousand megawatthours
2008	1922.21251	All Other Renewables	NC	thousand megawatthours
2007	1672.21871	All Other Renewables	NC	thousand megawatthours
2006	1828.30538	All Other Renewables	NC	thousand megawatthours
2015	6537.711200000001	All Other Renewables	ND	thousand megawatthours
2014	6205.064	All Other Renewables	ND	thousand megawatthours
2013	5524.438999999999	All Other Renewables	ND	thousand megawatthours
2012	5280.052000000001	All Other Renewables	ND	thousand megawatthours
2011	5245.452	All Other Renewables	ND	thousand megawatthours
2010	4108.02781	All Other Renewables	ND	thousand megawatthours
2009	3009.10197	All Other Renewables	ND	thousand megawatthours
2008	1706.38485	All Other Renewables	ND	thousand megawatthours
2007	634.2788800000002	All Other Renewables	ND	thousand megawatthours
2006	373.02938	All Other Renewables	ND	thousand megawatthours
2015	2097.0530700000004	All Other Renewables	OH	thousand megawatthours
2014	2025.7934899999998	All Other Renewables	OH	thousand megawatthours
2013	2009.2592399999999	All Other Renewables	OH	thousand megawatthours
2012	1738.62176	All Other Renewables	OH	thousand megawatthours
2011	935.6915	All Other Renewables	OH	thousand megawatthours
2010	700.08896	All Other Renewables	OH	thousand megawatthours
2009	633.4100099999999	All Other Renewables	OH	thousand megawatthours
2008	623.37582	All Other Renewables	OH	thousand megawatthours
2007	435.14348000000007	All Other Renewables	OH	thousand megawatthours
2006	458.61510999999996	All Other Renewables	OH	thousand megawatthours
2015	14340.713010000001	All Other Renewables	OK	thousand megawatthours
2014	12275.18816	All Other Renewables	OK	thousand megawatthours
2013	11506.40415	All Other Renewables	OK	thousand megawatthours
2012	8520.724050000003	All Other Renewables	OK	thousand megawatthours
2011	5919.23152	All Other Renewables	OK	thousand megawatthours
2010	4159.95554	All Other Renewables	OK	thousand megawatthours
2009	2929.2733200000002	All Other Renewables	OK	thousand megawatthours
2008	2550.7038199999997	All Other Renewables	OK	thousand megawatthours
2007	2128.9979900000003	All Other Renewables	OK	thousand megawatthours
2006	2009.72381	All Other Renewables	OK	thousand megawatthours
2015	7971.34054	All Other Renewables	OR	thousand megawatthours
2014	8913.532470000002	All Other Renewables	OR	thousand megawatthours
2013	8634.91472	All Other Renewables	OR	thousand megawatthours
2012	7207.22937	All Other Renewables	OR	thousand megawatthours
2011	5489.81781	All Other Renewables	OR	thousand megawatthours
2010	4756.88011	All Other Renewables	OR	thousand megawatthours
2009	4272.42688	All Other Renewables	OR	thousand megawatthours
2008	3423.0985	All Other Renewables	OR	thousand megawatthours
2007	2228.29295	All Other Renewables	OR	thousand megawatthours
2006	1828.98836	All Other Renewables	OR	thousand megawatthours
2015	5950.913839999999	All Other Renewables	PA	thousand megawatthours
2014	6080.42333	All Other Renewables	PA	thousand megawatthours
2013	5753.98661	All Other Renewables	PA	thousand megawatthours
2012	4459.1176000000005	All Other Renewables	PA	thousand megawatthours
2011	4098.99004	All Other Renewables	PA	thousand megawatthours
2010	4245.1754200000005	All Other Renewables	PA	thousand megawatthours
2009	3351.92819	All Other Renewables	PA	thousand megawatthours
2008	2803.77601	All Other Renewables	PA	thousand megawatthours
2007	2546.1955300000004	All Other Renewables	PA	thousand megawatthours
2006	2472.94615	All Other Renewables	PA	thousand megawatthours
2015	239.80394	All Other Renewables	RI	thousand megawatthours
2014	226.41439	All Other Renewables	RI	thousand megawatthours
2013	52.72898000000001	All Other Renewables	RI	thousand megawatthours
2012	101.895	All Other Renewables	RI	thousand megawatthours
2011	130.317	All Other Renewables	RI	thousand megawatthours
2010	140.07299999999998	All Other Renewables	RI	thousand megawatthours
2009	144.6	All Other Renewables	RI	thousand megawatthours
2008	158.407	All Other Renewables	RI	thousand megawatthours
2007	154.757	All Other Renewables	RI	thousand megawatthours
2006	148.91299999999998	All Other Renewables	RI	thousand megawatthours
2015	2235.0224599999997	All Other Renewables	SC	thousand megawatthours
2014	2442.4952700000003	All Other Renewables	SC	thousand megawatthours
2013	2225.99882	All Other Renewables	SC	thousand megawatthours
2012	2143.47262	All Other Renewables	SC	thousand megawatthours
2011	2129.1681599999997	All Other Renewables	SC	thousand megawatthours
2010	1873.06385	All Other Renewables	SC	thousand megawatthours
2009	1747.9714399999998	All Other Renewables	SC	thousand megawatthours
2008	1815.82531	All Other Renewables	SC	thousand megawatthours
2007	1996.0342399999997	All Other Renewables	SC	thousand megawatthours
2006	1910.4366300000002	All Other Renewables	SC	thousand megawatthours
2015	2480.90495	All Other Renewables	SD	thousand megawatthours
2014	2336.293	All Other Renewables	SD	thousand megawatthours
2013	2687.699	All Other Renewables	SD	thousand megawatthours
2012	2914.6659999999997	All Other Renewables	SD	thousand megawatthours
2011	2668.3	All Other Renewables	SD	thousand megawatthours
2010	1371.74963	All Other Renewables	SD	thousand megawatthours
2009	426.75583	All Other Renewables	SD	thousand megawatthours
2008	146.80051	All Other Renewables	SD	thousand megawatthours
2007	150.018	All Other Renewables	SD	thousand megawatthours
2006	148.965	All Other Renewables	SD	thousand megawatthours
2015	1200.91543	All Other Renewables	TN	thousand megawatthours
2014	1140.9985500000003	All Other Renewables	TN	thousand megawatthours
2013	1110.1893399999997	All Other Renewables	TN	thousand megawatthours
2012	836.4578499999999	All Other Renewables	TN	thousand megawatthours
2011	1019.77661	All Other Renewables	TN	thousand megawatthours
2010	987.5495599999999	All Other Renewables	TN	thousand megawatthours
2009	950.46807	All Other Renewables	TN	thousand megawatthours
2008	965.3102299999999	All Other Renewables	TN	thousand megawatthours
2007	970.5264	All Other Renewables	TN	thousand megawatthours
2006	810.59928	All Other Renewables	TN	thousand megawatthours
2015	47158.90843	All Other Renewables	TX	thousand megawatthours
2014	42095.71367999999	All Other Renewables	TX	thousand megawatthours
2013	37759.55742	All Other Renewables	TX	thousand megawatthours
2012	34016.69653	All Other Renewables	TX	thousand megawatthours
2011	32183.133459999997	All Other Renewables	TX	thousand megawatthours
2010	27704.82791	All Other Renewables	TX	thousand megawatthours
2009	21104.476420000003	All Other Renewables	TX	thousand megawatthours
2008	17639.09431	All Other Renewables	TX	thousand megawatthours
2007	10287.612250000002	All Other Renewables	TX	thousand megawatthours
2006	7818.25987	All Other Renewables	TX	thousand megawatthours
2015	1225.2727399999999	All Other Renewables	UT	thousand megawatthours
2014	1256.29817	All Other Renewables	UT	thousand megawatthours
2013	931.74024	All Other Renewables	UT	thousand megawatthours
2012	1099.7239399999999	All Other Renewables	UT	thousand megawatthours
2011	960.9848400000001	All Other Renewables	UT	thousand megawatthours
2010	780.9671999999998	All Other Renewables	UT	thousand megawatthours
2009	486.53596	All Other Renewables	UT	thousand megawatthours
2008	301.86242000000004	All Other Renewables	UT	thousand megawatthours
2007	194.95548000000002	All Other Renewables	UT	thousand megawatthours
2006	205.47604	All Other Renewables	UT	thousand megawatthours
2015	841.7764300000001	All Other Renewables	VT	thousand megawatthours
2014	787.55339	All Other Renewables	VT	thousand megawatthours
2013	744.53841	All Other Renewables	VT	thousand megawatthours
2012	465.16859	All Other Renewables	VT	thousand megawatthours
2011	432.69561	All Other Renewables	VT	thousand megawatthours
2010	482.3386	All Other Renewables	VT	thousand megawatthours
2009	429.0453	All Other Renewables	VT	thousand megawatthours
2008	425.33787	All Other Renewables	VT	thousand megawatthours
2007	463.54879	All Other Renewables	VT	thousand megawatthours
2006	449.90985	All Other Renewables	VT	thousand megawatthours
2015	4076.46437	All Other Renewables	VA	thousand megawatthours
2014	3851.8032500000004	All Other Renewables	VA	thousand megawatthours
2013	2905.9415000000004	All Other Renewables	VA	thousand megawatthours
2012	2358.4436	All Other Renewables	VA	thousand megawatthours
2011	2195.64059	All Other Renewables	VA	thousand megawatthours
2010	2219.64907	All Other Renewables	VA	thousand megawatthours
2009	2417.5191900000004	All Other Renewables	VA	thousand megawatthours
2008	2698.4595000000004	All Other Renewables	VA	thousand megawatthours
2007	2565.5712000000003	All Other Renewables	VA	thousand megawatthours
