year	volume	commodity	region	units
2011	125.726	Solar	FL	MMWh
2010	80.44000000000001	Solar	FL	MMWh
2009	9.47	Solar	FL	MMWh
2015	152.84964	Solar	GA	MMWh
2014	119.22666000000001	Solar	GA	MMWh
2013	14.4973	Solar	GA	MMWh
2012	2.92069	Solar	GA	MMWh
2015	80.35403	Solar	HI	MMWh
2014	39.261750000000006	Solar	HI	MMWh
2013	19.46596	Solar	HI	MMWh
2012	4.608	Solar	HI	MMWh
2011	3.593	Solar	HI	MMWh
2010	1.7700000000000002	Solar	HI	MMWh
2009	1.3900000000000001	Solar	HI	MMWh
2008	0.018000000000000002	Solar	HI	MMWh
2015	63.37471	Solar	IL	MMWh
2014	50.1169	Solar	IL	MMWh
2013	52.120000000000005	Solar	IL	MMWh
2012	30.657000000000004	Solar	IL	MMWh
2011	14.062000000000001	Solar	IL	MMWh
2010	14.145	Solar	IL	MMWh
2009	0.016	Solar	IL	MMWh
2015	219.83295	Solar	IN	MMWh
2014	102.12689999999999	Solar	IN	MMWh
2013	30.54	Solar	IN	MMWh
2012		Solar	IN	MMWh
2015	140.80628000000002	Solar	MD	MMWh
2014	98.11772	Solar	MD	MMWh
2013	63.48539	Solar	MD	MMWh
2012	22.473399999999998	Solar	MD	MMWh
2011	2.706	Solar	MD	MMWh
2010	0.08034999999999999	Solar	MD	MMWh
2015	690.12171	Solar	MA	MMWh
2014	306.32138999999995	Solar	MA	MMWh
2013	106.45701000000001	Solar	MA	MMWh
2012	29.614210000000003	Solar	MA	MMWh
2011	4.764469999999999	Solar	MA	MMWh
2010	0.92757	Solar	MA	MMWh
2009	0.042570000000000004	Solar	MA	MMWh
2008	0.08019000000000001	Solar	MA	MMWh
2015	3.61054	Solar	MN	MMWh
2014	2.653	Solar	MN	MMWh
2013	2.706	Solar	MN	MMWh
2012	0	Solar	MN	MMWh
2015	23.0699	Solar	MO	MMWh
2014	8.706999999999999	Solar	MO	MMWh
2015	1693.9876700000002	Solar	NV	MMWh
2014	1013.682	Solar	NV	MMWh
2013	745.382	Solar	NV	MMWh
2012	473.4165299999999	Solar	NV	MMWh
2011	291.22450999999995	Solar	NV	MMWh
2010	216.91683	Solar	NV	MMWh
2009	174.309	Solar	NV	MMWh
2008	156.01299999999998	Solar	NV	MMWh
2007	43.967	Solar	NV	MMWh
2015	824.25274	Solar	NJ	MMWh
2014	514.2524	Solar	NJ	MMWh
2013	437.40878	Solar	NJ	MMWh
2012	304.32604	Solar	NJ	MMWh
2011	68.87761	Solar	NJ	MMWh
2010	21.08382	Solar	NJ	MMWh
2009	10.706999999999999	Solar	NJ	MMWh
2008	2.669	Solar	NJ	MMWh
2015	646.1510999999999	Solar	NM	MMWh
2014	515.0542099999999	Solar	NM	MMWh
2013	388.04121	Solar	NM	MMWh
2012	333.79699999999997	Solar	NM	MMWh
2011	127.80199999999999	Solar	NM	MMWh
2010	8.93	Solar	NM	MMWh
2015	103.20709000000001	Solar	NY	MMWh
2014	70.61564	Solar	NY	MMWh
2013	67.01716000000002	Solar	NY	MMWh
2012	52.713	Solar	NY	MMWh
2011	6.4430000000000005	Solar	NY	MMWh
2015	1833.52361	Solar	NC	MMWh
2014	729.13048	Solar	NC	MMWh
2013	344.66281000000004	Solar	NC	MMWh
2012	139.49074000000002	Solar	NC	MMWh
2011	17.38045	Solar	NC	MMWh
2010	11.34005	Solar	NC	MMWh
2009	4.5632600000000005	Solar	NC	MMWh
2008	1.801	Solar	NC	MMWh
2015	77.09208	Solar	OH	MMWh
2014	53.90827	Solar	OH	MMWh
2013	46.30954	Solar	OH	MMWh
2012	36.636540000000004	Solar	OH	MMWh
2011	15.495000000000001	Solar	OH	MMWh
2010	12.84768	Solar	OH	MMWh
2015	1.556	Solar	OK	MMWh
2015	33.156710000000004	Solar	OR	MMWh
2014	24.04205	Solar	OR	MMWh
2013	20.493	Solar	OR	MMWh
2012	6.412	Solar	OR	MMWh
2011	0.09	Solar	OR	MMWh
2015	86.24868000000001	Solar	PA	MMWh
2014	62.39242	Solar	PA	MMWh
2013	63.105810000000005	Solar	PA	MMWh
2012	32.14666	Solar	PA	MMWh
2011	23.14403	Solar	PA	MMWh
2010	7.9096600000000015	Solar	PA	MMWh
2009	3.562	Solar	PA	MMWh
2008	0.1746	Solar	PA	MMWh
2015	14.02985	Solar	RI	MMWh
2014	9.803	Solar	RI	MMWh
2013	2.0065999999999997	Solar	RI	MMWh
2015	5.4415700000000005	Solar	SC	MMWh
2014	4.785	Solar	SC	MMWh
2013	0.115	Solar	SC	MMWh
2015	105.29296000000001	Solar	TN	MMWh
2014	27.480999999999998	Solar	TN	MMWh
2013	20.394000000000002	Solar	TN	MMWh
2012	12.18323	Solar	TN	MMWh
2015	423.0562	Solar	TX	MMWh
2014	282.3513	Solar	TX	MMWh
2013	163.01293	Solar	TX	MMWh
2012	118.265	Solar	TX	MMWh
2011	28.639000000000003	Solar	TX	MMWh
2010	8.207999999999998	Solar	TX	MMWh
2015	29.07311	Solar	UT	MMWh
2014	2.235	Solar	UT	MMWh
2013	2.1	Solar	UT	MMWh
2012	1.619	Solar	UT	MMWh
2015	65.82171	Solar	VT	MMWh
2014	23.535970000000002	Solar	VT	MMWh
2013	17.293	Solar	VT	MMWh
2012	5.064109999999999	Solar	VT	MMWh
2011	1.815	Solar	VT	MMWh
2015	0.79	Solar	WA	MMWh
2014	0.7290000000000001	Solar	WA	MMWh
2013	0.762	Solar	WA	MMWh
2012	0.794	Solar	WA	MMWh
2011	0.8400000000000001	Solar	WA	MMWh
2010	0	Solar	WA	MMWh
2009	0	Solar	WA	MMWh
2008	0	Solar	WA	MMWh
2015		Solar	WI	MMWh
2014	1.1940000000000002	Solar	WI	MMWh
