year	volume	commodity	region	units
2008	29928	Crude Oil	CO	Mbbl
2007	26172	Crude Oil	CO	Mbbl
2006	24494	Crude Oil	CO	Mbbl
2015	2208	Crude Oil	FL	Mbbl
2014	2227	Crude Oil	FL	Mbbl
2013	2174	Crude Oil	FL	Mbbl
2012	2135	Crude Oil	FL	Mbbl
2011	2023	Crude Oil	FL	Mbbl
2010	1777	Crude Oil	FL	Mbbl
2009	696	Crude Oil	FL	Mbbl
2008	1953	Crude Oil	FL	Mbbl
2007	2078	Crude Oil	FL	Mbbl
2006	2360	Crude Oil	FL	Mbbl
2015	9521	Crude Oil	IL	Mbbl
2014	9547	Crude Oil	IL	Mbbl
2013	9539	Crude Oil	IL	Mbbl
2012	8908	Crude Oil	IL	Mbbl
2011	9158	Crude Oil	IL	Mbbl
2010	9067	Crude Oil	IL	Mbbl
2009	9097	Crude Oil	IL	Mbbl
2008	9448	Crude Oil	IL	Mbbl
2007	9608	Crude Oil	IL	Mbbl
2006	10325	Crude Oil	IL	Mbbl
2015	2219	Crude Oil	IN	Mbbl
2014	2507	Crude Oil	IN	Mbbl
2013	2399	Crude Oil	IN	Mbbl
2012	2350	Crude Oil	IN	Mbbl
2011	1987	Crude Oil	IN	Mbbl
2010	1835	Crude Oil	IN	Mbbl
2009	1803	Crude Oil	IN	Mbbl
2008	1859	Crude Oil	IN	Mbbl
2007	1727	Crude Oil	IN	Mbbl
2006	1773	Crude Oil	IN	Mbbl
2015	44618	Crude Oil	KS	Mbbl
2014	49510	Crude Oil	KS	Mbbl
2013	46845	Crude Oil	KS	Mbbl
2012	43743	Crude Oil	KS	Mbbl
2011	41507	Crude Oil	KS	Mbbl
2010	40468	Crude Oil	KS	Mbbl
2009	39466	Crude Oil	KS	Mbbl
2008	39663	Crude Oil	KS	Mbbl
2007	36590	Crude Oil	KS	Mbbl
2006	35668	Crude Oil	KS	Mbbl
2015	2862	Crude Oil	KY	Mbbl
2014	3376	Crude Oil	KY	Mbbl
2013	2893	Crude Oil	KY	Mbbl
2012	3198	Crude Oil	KY	Mbbl
2011	2326	Crude Oil	KY	Mbbl
2010	2519	Crude Oil	KY	Mbbl
2009	2609	Crude Oil	KY	Mbbl
2008	2645	Crude Oil	KY	Mbbl
2007	2666	Crude Oil	KY	Mbbl
2006	2340	Crude Oil	KY	Mbbl
2015	63311	Crude Oil	LA	Mbbl
2014	68356	Crude Oil	LA	Mbbl
2013	71825	Crude Oil	LA	Mbbl
2012	70644	Crude Oil	LA	Mbbl
2011	68965	Crude Oil	LA	Mbbl
2010	67280	Crude Oil	LA	Mbbl
2009	68824	Crude Oil	LA	Mbbl
2008	72353	Crude Oil	LA	Mbbl
2007	76979	Crude Oil	LA	Mbbl
2006	73621	Crude Oil	LA	Mbbl
2015	24929	Crude Oil	MS	Mbbl
2014	24346	Crude Oil	MS	Mbbl
2013	24345	Crude Oil	MS	Mbbl
2012	24593	Crude Oil	MS	Mbbl
2011	24246	Crude Oil	MS	Mbbl
2010	24080	Crude Oil	MS	Mbbl
2009	23232	Crude Oil	MS	Mbbl
2008	22104	Crude Oil	MS	Mbbl
2007	20672	Crude Oil	MS	Mbbl
2006	17356	Crude Oil	MS	Mbbl
2015	138	Crude Oil	MO	Mbbl
2014	196	Crude Oil	MO	Mbbl
2013	199	Crude Oil	MO	Mbbl
2012	175	Crude Oil	MO	Mbbl
2011	118	Crude Oil	MO	Mbbl
2010	146	Crude Oil	MO	Mbbl
2009	106	Crude Oil	MO	Mbbl
2008	99	Crude Oil	MO	Mbbl
2007	80	Crude Oil	MO	Mbbl
2006	87	Crude Oil	MO	Mbbl
2015	28641	Crude Oil	MT	Mbbl
2014	29880	Crude Oil	MT	Mbbl
2013	29288	Crude Oil	MT	Mbbl
2012	26495	Crude Oil	MT	Mbbl
2011	24155	Crude Oil	MT	Mbbl
2010	25332	Crude Oil	MT	Mbbl
2009	27835	Crude Oil	MT	Mbbl
2008	31596	Crude Oil	MT	Mbbl
2007	34907	Crude Oil	MT	Mbbl
2006	36294	Crude Oil	MT	Mbbl
2015	2956	Crude Oil	NE	Mbbl
2014	3050	Crude Oil	NE	Mbbl
2013	2808	Crude Oil	NE	Mbbl
2012	3025	Crude Oil	NE	Mbbl
2011	2544	Crude Oil	NE	Mbbl
2010	2331	Crude Oil	NE	Mbbl
2009	2239	Crude Oil	NE	Mbbl
2008	2394	Crude Oil	NE	Mbbl
2007	2335	Crude Oil	NE	Mbbl
2006	2313	Crude Oil	NE	Mbbl
2015	281	Crude Oil	NV	Mbbl
2014	316	Crude Oil	NV	Mbbl
2013	334	Crude Oil	NV	Mbbl
2012	368	Crude Oil	NV	Mbbl
2011	408	Crude Oil	NV	Mbbl
2010	426	Crude Oil	NV	Mbbl
2009	438	Crude Oil	NV	Mbbl
2008	436	Crude Oil	NV	Mbbl
2007	408	Crude Oil	NV	Mbbl
2006	426	Crude Oil	NV	Mbbl
2015	149403	Crude Oil	NM	Mbbl
2014	123686	Crude Oil	NM	Mbbl
2013	101450	Crude Oil	NM	Mbbl
2012	85334	Crude Oil	NM	Mbbl
2011	71249	Crude Oil	NM	Mbbl
2010	65373	Crude Oil	NM	Mbbl
2009	61156	Crude Oil	NM	Mbbl
2008	60156	Crude Oil	NM	Mbbl
2007	59179	Crude Oil	NM	Mbbl
2006	59452	Crude Oil	NM	Mbbl
2015	341	Crude Oil	NY	Mbbl
2014	341	Crude Oil	NY	Mbbl
2013	313	Crude Oil	NY	Mbbl
2012	360	Crude Oil	NY	Mbbl
2011	375	Crude Oil	NY	Mbbl
2010	381	Crude Oil	NY	Mbbl
2009	333	Crude Oil	NY	Mbbl
2008	387	Crude Oil	NY	Mbbl
2007	379	Crude Oil	NY	Mbbl
2006	312	Crude Oil	NY	Mbbl
2015	428550	Crude Oil	ND	Mbbl
2014	396866	Crude Oil	ND	Mbbl
2013	313815	Crude Oil	ND	Mbbl
2012	243285	Crude Oil	ND	Mbbl
2011	153010	Crude Oil	ND	Mbbl
2010	113035	Crude Oil	ND	Mbbl
2009	79728	Crude Oil	ND	Mbbl
2008	62780	Crude Oil	ND	Mbbl
2007	45122	Crude Oil	ND	Mbbl
2006	39943	Crude Oil	ND	Mbbl
2015	26330	Crude Oil	OH	Mbbl
2014	14918	Crude Oil	OH	Mbbl
2013	7963	Crude Oil	OH	Mbbl
2012	5109	Crude Oil	OH	Mbbl
2011	4654	Crude Oil	OH	Mbbl
2010	4769	Crude Oil	OH	Mbbl
2009	4877	Crude Oil	OH	Mbbl
2008	5113	Crude Oil	OH	Mbbl
2007	5155	Crude Oil	OH	Mbbl
2006	5439	Crude Oil	OH	Mbbl
2015	157770	Crude Oil	OK	Mbbl
2014	127047	Crude Oil	OK	Mbbl
2013	109566	Crude Oil	OK	Mbbl
2012	89863	Crude Oil	OK	Mbbl
2011	74735	Crude Oil	OK	Mbbl
2010	67418	Crude Oil	OK	Mbbl
2009	66637	Crude Oil	OK	Mbbl
2008	67357	Crude Oil	OK	Mbbl
2007	63951	Crude Oil	OK	Mbbl
2006	64236	Crude Oil	OK	Mbbl
2015	7369	Crude Oil	PA	Mbbl
2014	6692	Crude Oil	PA	Mbbl
2013	5246	Crude Oil	PA	Mbbl
2012	4304	Crude Oil	PA	Mbbl
2011	3463	Crude Oil	PA	Mbbl
2010	3236	Crude Oil	PA	Mbbl
2009	2967	Crude Oil	PA	Mbbl
2008	2999	Crude Oil	PA	Mbbl
2007	2788	Crude Oil	PA	Mbbl
2006	2589	Crude Oil	PA	Mbbl
2015	1631	Crude Oil	SD	Mbbl
2014	1798	Crude Oil	SD	Mbbl
2013	1847	Crude Oil	SD	Mbbl
2012	1754	Crude Oil	SD	Mbbl
2011	1625	Crude Oil	SD	Mbbl
2010	1604	Crude Oil	SD	Mbbl
2009	1676	Crude Oil	SD	Mbbl
2008	1713	Crude Oil	SD	Mbbl
2007	1632	Crude Oil	SD	Mbbl
2006	1389	Crude Oil	SD	Mbbl
2015	342	Crude Oil	TN	Mbbl
2014	330	Crude Oil	TN	Mbbl
2013	334	Crude Oil	TN	Mbbl
2012	371	Crude Oil	TN	Mbbl
2011	296	Crude Oil	TN	Mbbl
2010	257	Crude Oil	TN	Mbbl
2009	268	Crude Oil	TN	Mbbl
2008	338	Crude Oil	TN	Mbbl
2007	284	Crude Oil	TN	Mbbl
2006	192	Crude Oil	TN	Mbbl
2015	1262011	Crude Oil	TX	Mbbl
2014	1155684	Crude Oil	TX	Mbbl
2013	923439	Crude Oil	TX	Mbbl
2012	722130	Crude Oil	TX	Mbbl
2011	528844	Crude Oil	TX	Mbbl
2010	426666	Crude Oil	TX	Mbbl
2009	399344	Crude Oil	TX	Mbbl
2008	406007	Crude Oil	TX	Mbbl
2007	391270	Crude Oil	TX	Mbbl
2006	392481	Crude Oil	TX	Mbbl
2015	36970	Crude Oil	UT	Mbbl
2014	40905	Crude Oil	UT	Mbbl
2013	34931	Crude Oil	UT	Mbbl
2012	30289	Crude Oil	UT	Mbbl
2011	26331	Crude Oil	UT	Mbbl
2010	24674	Crude Oil	UT	Mbbl
2009	22943	Crude Oil	UT	Mbbl
2008	22041	Crude Oil	UT	Mbbl
2007	19535	Crude Oil	UT	Mbbl
2006	17927	Crude Oil	UT	Mbbl
2015	15	Crude Oil	VA	Mbbl
2014	14	Crude Oil	VA	Mbbl
2013	9	Crude Oil	VA	Mbbl
2012	9	Crude Oil	VA	Mbbl
2011	11	Crude Oil	VA	Mbbl
2010	12	Crude Oil	VA	Mbbl
2009	11	Crude Oil	VA	Mbbl
2008	16	Crude Oil	VA	Mbbl
2007	19	Crude Oil	VA	Mbbl
2006	17	Crude Oil	VA	Mbbl
2015	8282	Crude Oil	WV	Mbbl
2014	7524	Crude Oil	WV	Mbbl
2013	6937	Crude Oil	WV	Mbbl
2012	2573	Crude Oil	WV	Mbbl
2011	2146	Crude Oil	WV	Mbbl
2010	1842	Crude Oil	WV	Mbbl
2009	1501	Crude Oil	WV	Mbbl
2008	2126	Crude Oil	WV	Mbbl
2007	1992	Crude Oil	WV	Mbbl
2006	1726	Crude Oil	WV	Mbbl
2015	87537	Crude Oil	WY	Mbbl
2014	76078	Crude Oil	WY	Mbbl
2013	63285	Crude Oil	WY	Mbbl
2012	57830	Crude Oil	WY	Mbbl
2011	54670	Crude Oil	WY	Mbbl
2010	53891	Crude Oil	WY	Mbbl
2009	51533	Crude Oil	WY	Mbbl
2008	53045	Crude Oil	WY	Mbbl
2007	54116	Crude Oil	WY	Mbbl
2006	52974	Crude Oil	WY	Mbbl
