year	volume	commodity	region	series_id	units
2010	319891	Gas	CA	NG.N9010CA2.A	MMcf
2009	306263	Gas	CA	NG.N9010CA2.A	MMcf
2008	333019	Gas	CA	NG.N9010CA2.A	MMcf
2007	339389	Gas	CA	NG.N9010CA2.A	MMcf
2006	349137	Gas	CA	NG.N9010CA2.A	MMcf
2015	1671787	Gas	CO	NG.N9010CO2.A	MMcf
2014	1631390	Gas	CO	NG.N9010CO2.A	MMcf
2013	1604860	Gas	CO	NG.N9010CO2.A	MMcf
2012	1709376	Gas	CO	NG.N9010CO2.A	MMcf
2011	1649306	Gas	CO	NG.N9010CO2.A	MMcf
2010	1589664	Gas	CO	NG.N9010CO2.A	MMcf
2009	1511654	Gas	CO	NG.N9010CO2.A	MMcf
2008	1402845	Gas	CO	NG.N9010CO2.A	MMcf
2007	1254529	Gas	CO	NG.N9010CO2.A	MMcf
2006	1214396	Gas	CO	NG.N9010CO2.A	MMcf
2014	21259	Gas	FL	NG.N9010FL2.A	MMcf
2013	18011	Gas	FL	NG.N9010FL2.A	MMcf
2012	18681	Gas	FL	NG.N9010FL2.A	MMcf
2011	17129	Gas	FL	NG.N9010FL2.A	MMcf
2010	13938	Gas	FL	NG.N9010FL2.A	MMcf
2009	290	Gas	FL	NG.N9010FL2.A	MMcf
2008	2742	Gas	FL	NG.N9010FL2.A	MMcf
2007	2000	Gas	FL	NG.N9010FL2.A	MMcf
2006	2845	Gas	FL	NG.N9010FL2.A	MMcf
2014	2626	Gas	IL	NG.N9010IL2.A	MMcf
2013	2887	Gas	IL	NG.N9010IL2.A	MMcf
2012	2125	Gas	IL	NG.N9010IL2.A	MMcf
2011	2121	Gas	IL	NG.N9010IL2.A	MMcf
2010	1702	Gas	IL	NG.N9010IL2.A	MMcf
2009	1443	Gas	IL	NG.N9010IL2.A	MMcf
2008	1193	Gas	IL	NG.N9010IL2.A	MMcf
2007	1394	Gas	IL	NG.N9010IL2.A	MMcf
2006	170	Gas	IL	NG.N9010IL2.A	MMcf
2014	6616	Gas	IN	NG.N9010IN2.A	MMcf
2013	7938	Gas	IN	NG.N9010IN2.A	MMcf
2012	8814	Gas	IN	NG.N9010IN2.A	MMcf
2011	9075	Gas	IN	NG.N9010IN2.A	MMcf
2010	6802	Gas	IN	NG.N9010IN2.A	MMcf
2009	4927	Gas	IN	NG.N9010IN2.A	MMcf
2008	4701	Gas	IN	NG.N9010IN2.A	MMcf
2007	3606	Gas	IN	NG.N9010IN2.A	MMcf
2006	2921	Gas	IN	NG.N9010IN2.A	MMcf
2015	292450	Gas	KS	NG.N9010KS2.A	MMcf
2014	286080	Gas	KS	NG.N9010KS2.A	MMcf
2013	292467	Gas	KS	NG.N9010KS2.A	MMcf
2012	296299	Gas	KS	NG.N9010KS2.A	MMcf
2011	309952	Gas	KS	NG.N9010KS2.A	MMcf
2010	325591	Gas	KS	NG.N9010KS2.A	MMcf
2009	355394	Gas	KS	NG.N9010KS2.A	MMcf
2008	375314	Gas	KS	NG.N9010KS2.A	MMcf
2007	366859	Gas	KS	NG.N9010KS2.A	MMcf
2006	372029	Gas	KS	NG.N9010KS2.A	MMcf
2014	78737	Gas	KY	NG.N9010KY2.A	MMcf
2013	94665	Gas	KY	NG.N9010KY2.A	MMcf
2012	106122	Gas	KY	NG.N9010KY2.A	MMcf
2011	124243	Gas	KY	NG.N9010KY2.A	MMcf
2010	135330	Gas	KY	NG.N9010KY2.A	MMcf
2009	113300	Gas	KY	NG.N9010KY2.A	MMcf
2008	114116	Gas	KY	NG.N9010KY2.A	MMcf
2007	95437	Gas	KY	NG.N9010KY2.A	MMcf
2006	95320	Gas	KY	NG.N9010KY2.A	MMcf
2015	1941727	Gas	LA	NG.N9010LA2.A	MMcf
2014	1987630	Gas	LA	NG.N9010LA2.A	MMcf
2013	2366943	Gas	LA	NG.N9010LA2.A	MMcf
2012	2955437	Gas	LA	NG.N9010LA2.A	MMcf
2011	3040523	Gas	LA	NG.N9010LA2.A	MMcf
2010	2218283	Gas	LA	NG.N9010LA2.A	MMcf
2009	1558638	Gas	LA	NG.N9010LA2.A	MMcf
2008	1387722	Gas	LA	NG.N9010LA2.A	MMcf
2007	1382828	Gas	LA	NG.N9010LA2.A	MMcf
2006	1378238	Gas	LA	NG.N9010LA2.A	MMcf
2014	20	Gas	MD	NG.N9010MD2.A	MMcf
2013	32	Gas	MD	NG.N9010MD2.A	MMcf
2012	44	Gas	MD	NG.N9010MD2.A	MMcf
2011	34	Gas	MD	NG.N9010MD2.A	MMcf
2010	43	Gas	MD	NG.N9010MD2.A	MMcf
2009	43	Gas	MD	NG.N9010MD2.A	MMcf
2008	28	Gas	MD	NG.N9010MD2.A	MMcf
