Month,Calendar Year,Land Class,Land Category,Commodity,Volume
March,2009,Federal,Offshore,Oil Prod Vol (bbl)," 43,423,086 "
March,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,238,167 "
March,2009,Federal,Onshore,Gas Prod Vol (mcf)," 348,491,654 "
March,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,755,194 "
March,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,147,583 "
March,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,595,627 "
March,2009,Native American,Onshore,Oil Prod Vol (bbl)," 998,759 "
April,2009,Federal,Offshore,Gas Prod Vol (mcf)," 207,718,687 "
April,2009,Federal,Offshore,Oil Prod Vol (bbl)," 46,005,495 "
April,2009,Federal,Onshore,Coal Prod Vol (ton)," 33,485,662 "
April,2009,Federal,Onshore,Gas Prod Vol (mcf)," 331,693,969 "
April,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,438,735 "
April,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,319,185 "
April,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,527,956 "
April,2009,Native American,Onshore,Oil Prod Vol (bbl)," 961,711 "
May,2009,Federal,Offshore,Gas Prod Vol (mcf)," 211,512,189 "
May,2009,Federal,Offshore,Oil Prod Vol (bbl)," 50,180,149 "
May,2009,Federal,Onshore,Coal Prod Vol (ton)," 35,278,770 "
May,2009,Federal,Onshore,Gas Prod Vol (mcf)," 338,839,988 "
May,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,678,949 "
May,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,234,668 "
May,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,113,352 "
May,2009,Native American,Onshore,Oil Prod Vol (bbl)," 996,833 "
June,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,496,774 "
June,2009,Federal,Offshore,Oil Prod Vol (bbl)," 48,907,994 "
June,2009,Federal,Onshore,Coal Prod Vol (ton)," 32,689,883 "
June,2009,Federal,Onshore,Gas Prod Vol (mcf)," 324,443,741 "
June,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,387,026 "
June,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,309,024 "
June,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,403,675 "
June,2009,Native American,Onshore,Oil Prod Vol (bbl)," 959,037 "
July,2009,Federal,Offshore,Gas Prod Vol (mcf)," 230,755,180 "
July,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,925,639 "
July,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,422,436 "
July,2009,Federal,Onshore,Gas Prod Vol (mcf)," 319,859,834 "
July,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,500,254 "
July,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,345,725 "
July,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,111,605 "
July,2009,Native American,Onshore,Oil Prod Vol (bbl)," 987,911 "
August,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,092,121 "
August,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,884,224 "
August,2009,Federal,Onshore,Coal Prod Vol (ton)," 39,778,093 "
August,2009,Federal,Onshore,Gas Prod Vol (mcf)," 331,235,352 "
August,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,554,116 "
August,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,209,028 "
August,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,137,020 "
August,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,005,406 "
September,2009,Federal,Offshore,Gas Prod Vol (mcf)," 206,471,070 "
September,2009,Federal,Offshore,Oil Prod Vol (bbl)," 54,473,596 "
September,2009,Federal,Onshore,Coal Prod Vol (ton)," 39,392,564 "
September,2009,Federal,Onshore,Gas Prod Vol (mcf)," 309,666,297 "
September,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,357,730 "
September,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,364,021 "
September,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,774,673 "
September,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,007,136 "
October,2009,Federal,Offshore,Gas Prod Vol (mcf)," 215,060,894 "
October,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,599,927 "
October,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,081,263 "
October,2009,Federal,Onshore,Gas Prod Vol (mcf)," 337,879,787 "
October,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,699,906 "
October,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,966,556 "
October,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,526,007 "
October,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,091,648 "
November,2009,Federal,Offshore,Gas Prod Vol (mcf)," 200,143,475 "
November,2009,Federal,Offshore,Oil Prod Vol (bbl)," 48,909,581 "
November,2009,Federal,Onshore,Coal Prod Vol (ton)," 37,614,021 "
November,2009,Federal,Onshore,Gas Prod Vol (mcf)," 334,001,373 "
November,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,582,732 "
November,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,840,979 "
November,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,547,046 "
November,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,035,686 "
December,2009,Federal,Offshore,Gas Prod Vol (mcf)," 207,337,256 "
