Fiscal Year,Land Category,Land Class,State,County,FIPS Code,Offshore Region,Product, Volume 
2003,Onshore,Federal,CO,Moffat County,08081,,Coal (tons)," 6,395,636 "
2003,Onshore,Federal,CO,Moffat County,08081,,Gas (mcf)," 16,507,729 "
2003,Onshore,Federal,CO,Montezuma County,08083,,Oil (bbl)," 306,647 "
2003,Onshore,Federal,CO,Montezuma County,08083,,Gas (mcf)," 103,672,373 "
2003,Onshore,Federal,CO,Morgan County,08087,,Oil (bbl)," 1,254 "
2003,Onshore,Federal,CO,Prowers County,08099,,Gas (mcf)," 10,717 "
2003,Onshore,Federal,CO,Rio Blanco County,08103,,Carbon Dioxide (tons)," 2,553 "
2003,Onshore,Federal,CO,Rio Blanco County,08103,,Sodium Bi-Carbonate (tons)," 151,916 "
2003,Onshore,Federal,CO,Rio Blanco County,08103,,Soda Ash (tons)," 574,741 "
2003,Onshore,Federal,CO,Rio Blanco County,08103,,Coal (tons)," 1,738,129 "
2003,Onshore,Federal,CO,Rio Blanco County,08103,,Oil (bbl)," 3,030,203 "
2003,Onshore,Federal,CO,Rio Blanco County,08103,,Gas (mcf)," 50,478,530 "
2003,Onshore,Federal,CO,Routt County,08107,,Oil (bbl)," 13,805 "
2003,Onshore,Federal,CO,Routt County,08107,,Gas (mcf)," 14,593 "
2003,Onshore,Federal,CO,Routt County,08107,,Coal (tons)," 555,249 "
2003,Onshore,Federal,CO,San Miguel County,08113,,Oil (bbl)," 23,986 "
2003,Onshore,Federal,CO,San Miguel County,08113,,Gas (mcf)," 17,624,591 "
2003,Onshore,Federal,CO,Washington County,08121,,Oil (bbl)," 12,150 "
2003,Onshore,Federal,CO,Washington County,08121,,Gas (mcf)," 94,959 "
2003,Onshore,Federal,CO,Weld County,08123,,Oil (bbl)," 186,713 "
2003,Onshore,Federal,CO,Weld County,08123,,Gas (mcf)," 2,643,629 "
2003,Onshore,Federal,CO,Yuma County,08125,,Gas (mcf)," 864,579 "
2003,Onshore,Federal,FL,Polk County,12105,,Phosphate Raw Ore (tons)," 558,663 "
2003,Onshore,Federal,FL,Santa Rosa County,12113,,Gas (mcf), 57 
2003,Onshore,Federal,FL,Santa Rosa County,12113,,Oil (bbl)," 1,145 "
2003,Onshore,Federal,ID,Caribou County,16029,,Phosphate Raw Ore (tons)," 4,721,828 "
2003,Onshore,Federal,IL,Clinton County,17027,,Gas (mcf), 300 
2003,Onshore,Federal,IL,Clinton County,17027,,Oil (bbl)," 26,146 "
2003,Onshore,Federal,IL,Fayette County,17051,,Oil (bbl), 97 
2003,Onshore,Federal,IL,Franklin County,17055,,Gas (mcf)," 7,853 "
2003,Onshore,Federal,IL,Franklin County,17055,,Oil (bbl)," 14,987 "
2003,Onshore,Federal,KS,Comanche County,20033,,Gas (mcf)," 9,066 "
2003,Onshore,Federal,KS,Ellsworth County,20053,,Gas (mcf)," 20,776 "
2003,Onshore,Federal,KS,Finney County,20055,,Oil (bbl)," 23,230 "
2003,Onshore,Federal,KS,Finney County,20055,,Gas (mcf)," 1,846,284 "
2003,Onshore,Federal,KS,Gove County,20063,,Oil (bbl)," 1,990 "
2003,Onshore,Federal,KS,Grant County,20067,,Gas (mcf)," 206,723 "
2003,Onshore,Federal,KS,Hamilton County,20075,,Gas (mcf)," 64,599 "
2003,Onshore,Federal,KS,Haskell County,20081,,Oil (bbl)," 30,175 "
2003,Onshore,Federal,KS,Haskell County,20081,,Gas (mcf)," 546,589 "
2003,Onshore,Federal,KS,Kearny County,20093,,Oil (bbl)," 21,395 "
2003,Onshore,Federal,KS,Kearny County,20093,,Gas (mcf)," 3,238,687 "
2003,Onshore,Federal,KS,Lane County,20101,,Oil (bbl)," 5,693 "
2003,Onshore,Federal,KS,Meade County,20119,,Oil (bbl), 17 
2003,Onshore,Federal,KS,Meade County,20119,,Gas (mcf)," 12,713 "
2003,Onshore,Federal,KS,Morton County,20129,,Oil (bbl)," 37,954 "
2003,Onshore,Federal,KS,Morton County,20129,,Gas (mcf)," 4,960,584 "
2003,Onshore,Federal,KS,Seward County,20175,,Oil (bbl), 587 
2003,Onshore,Federal,KS,Seward County,20175,,Gas (mcf)," 253,458 "
2003,Onshore,Federal,KS,Stanton County,20187,,Gas (mcf)," 59,950 "
2003,Onshore,Federal,KS,Stevens County,20189,,Oil (bbl), 58 
2003,Onshore,Federal,KS,Stevens County,20189,,Gas (mcf)," 543,046 "
2003,Onshore,Federal,KS,Trego County,20195,,Oil (bbl)," 2,555 "
2003,Onshore,Federal,KY,Clay County,21051,,Gas (mcf)," 47,353 "
2003,Onshore,Federal,KY,Floyd County,21071,,Gas (mcf)," 14,645 "
2003,Onshore,Federal,KY,Henderson County,21101,,Oil (bbl)," 9,308 "
2003,Onshore,Federal,KY,Lawrence County,21127,,Gas (mcf)," 2,166 "
2003,Onshore,Federal,KY,Leslie County,21131,,Oil (bbl), 714 
2003,Onshore,Federal,KY,Leslie County,21131,,Gas (mcf)," 97,454 "
2003,Onshore,Federal,KY,Letcher County,21133,,Gas (mcf), 866 
2003,Onshore,Federal,KY,McCreary County,21147,,Gas (mcf)," 1,036 "
2003,Onshore,Federal,KY,Pike County,21195,,Gas (mcf)," 41,482 "
2003,Onshore,Federal,KY,Whitley County,21235,,Gas (mcf)," 18,820 "
2003,Onshore,Federal,LA,Beauregard Parish,22011,,Oil (bbl), 179 
2003,Onshore,Federal,LA,Beauregard Parish,22011,,Gas (mcf), 996 
2003,Onshore,Federal,LA,Bienville Parish,22013,,Oil (bbl), 65 
2003,Onshore,Federal,LA,Bienville Parish,22013,,Gas (mcf)," 46,668 "
2003,Onshore,Federal,LA,Bossier Parish,22015,,Oil (bbl)," 33,725 "
2003,Onshore,Federal,LA,Bossier Parish,22015,,Gas (mcf)," 7,455,488 "
2003,Onshore,Federal,LA,Caddo Parish,22017,,Oil (bbl)," 8,993 "
2003,Onshore,Federal,LA,Caddo Parish,22017,,Gas (mcf)," 10,543 "
2003,Onshore,Federal,LA,Calcasieu Parish,22019,,Oil (bbl), 538 
2003,Onshore,Federal,LA,Calcasieu Parish,22019,,Gas (mcf)," 115,509 "
2003,Onshore,Federal,LA,Cameron Parish,22023,,Oil (bbl), 7 
2003,Onshore,Federal,LA,Cameron Parish,22023,,Gas (mcf), 289 
2003,Onshore,Federal,LA,Claiborne Parish,22027,,Oil (bbl)," 31,216 "
2003,Onshore,Federal,LA,Claiborne Parish,22027,,Gas (mcf)," 241,267 "
2003,Onshore,Federal,LA,De Soto Parish,22031,,Gas (mcf)," 10,374 "
2003,Onshore,Federal,LA,East Baton Rouge Parish,22033,,Oil (bbl)," 20,352 "
2003,Onshore,Federal,LA,East Baton Rouge Parish,22033,,Gas (mcf)," 209,444 "
2003,Onshore,Federal,LA,La Salle Parish,22059,,Oil (bbl)," 1,010 "
2003,Onshore,Federal,LA,La Salle Parish,22059,,Gas (mcf)," 1,418 "
2003,Onshore,Federal,LA,Lafourche Parish,22057,,Gas (mcf)," 1,349 "
2003,Onshore,Federal,LA,Lafourche Parish,22057,,Oil (bbl)," 1,377 "
2003,Onshore,Federal,LA,Lincoln Parish,22061,,Oil (bbl), 889 
2003,Onshore,Federal,LA,Lincoln Parish,22061,,Gas (mcf)," 41,497 "
2003,Onshore,Federal,LA,Morehouse Parish,22067,,Gas (mcf)," 1,516 "
2003,Onshore,Federal,LA,Natchitoches Parish,22069,,Oil (bbl), 463 
2003,Onshore,Federal,LA,Natchitoches Parish,22069,,Gas (mcf)," 15,982 "
2003,Onshore,Federal,LA,Ouachita Parish,22073,,Gas (mcf), 626 
2003,Onshore,Federal,LA,Plaquemines Parish,22075,,Oil (bbl)," 234,077 "
2003,Onshore,Federal,LA,Plaquemines Parish,22075,,Gas (mcf)," 4,096,455 "
2003,Onshore,Federal,LA,Rapides Parish,22079,,Oil (bbl)," 52,341 "
2003,Onshore,Federal,LA,Rapides Parish,22079,,Gas (mcf)," 122,972 "
2003,Onshore,Federal,LA,South Pass,22721,,Gas (mcf)," 19,817 "
2003,Onshore,Federal,LA,South Pass,22721,,Oil (bbl)," 23,546 "
2003,Onshore,Federal,LA,St. Martin Parish,22099,,Oil (bbl), 936 
2003,Onshore,Federal,LA,St. Martin Parish,22099,,Gas (mcf)," 1,810 "
2003,Onshore,Federal,LA,Terrebonne Parish,22109,,Oil (bbl), 560 
2003,Onshore,Federal,LA,Terrebonne Parish,22109,,Gas (mcf)," 261,161 "
2003,Onshore,Federal,LA,Union Parish,22111,,Gas (mcf)," 6,072 "
2003,Onshore,Federal,LA,Vermilion Parish,22113,,Gas (mcf), 483 
2003,Onshore,Federal,LA,Vermilion Parish,22113,,Oil (bbl)," 9,057 "
2003,Onshore,Federal,LA,Vernon Parish,22115,,Oil (bbl)," 43,331 "
2003,Onshore,Federal,LA,Vernon Parish,22115,,Gas (mcf)," 157,082 "
2003,Onshore,Federal,LA,Webster Parish,22119,,Oil (bbl)," 4,921 "
2003,Onshore,Federal,LA,Webster Parish,22119,,Gas (mcf)," 43,384 "
2003,Onshore,Federal,LA,West Delta,22719,,Oil (bbl), 520 
2003,Onshore,Federal,LA,West Delta,22719,,Gas (mcf)," 22,371 "
2003,Onshore,Federal,LA,Winn Parish,22127,,Oil (bbl)," 4,145 "
2003,Onshore,Federal,LA,Winn Parish,22127,,Gas (mcf)," 143,737 "
2003,Onshore,Federal,MI,Alcona County,26001,,Gas (mcf), 392 
2003,Onshore,Federal,MI,Allegan County,26005,,Oil (bbl), 217 
2003,Onshore,Federal,MI,Clare County,26035,,Oil (bbl)," 1,719 "
2003,Onshore,Federal,MI,Clare County,26035,,Gas (mcf)," 100,713 "
2003,Onshore,Federal,MI,Crawford County,26039,,Gas (mcf)," 244,648 "
2003,Onshore,Federal,MI,Grand Traverse County,26055,,Gas (mcf)," 16,828 "
2003,Onshore,Federal,MI,Kalkaska County,26079,,Oil (bbl)," 5,406 "
2003,Onshore,Federal,MI,Kalkaska County,26079,,Gas (mcf)," 81,317 "
2003,Onshore,Federal,MI,Montmorency County,26119,,Gas (mcf)," 1,087,202 "
2003,Onshore,Federal,MI,Oscoda County,26135,,Oil (bbl)," 13,061 "
2003,Onshore,Federal,MI,Oscoda County,26135,,Gas (mcf)," 1,265,432 "
2003,Onshore,Federal,MI,Otsego County,26137,,Gas (mcf)," 18,799 "
2003,Onshore,Federal,MI,Roscommon County,26143,,Oil (bbl)," 6,294 "
2003,Onshore,Federal,MI,Roscommon County,26143,,Gas (mcf)," 14,671 "
2003,Onshore,Federal,MO,Dent County,29065,,Copper Concentrate (tons)," 1,886 "
2003,Onshore,Federal,MO,Dent County,29065,,Zinc Concentrate (tons)," 7,120 "
2003,Onshore,Federal,MO,Dent County,29065,,Lead Concentrate (tons)," 31,010 "
2003,Onshore,Federal,MO,Iron County,29093,,Copper Concentrate (tons)," 5,570 "
2003,Onshore,Federal,MO,Iron County,29093,,Zinc Concentrate (tons)," 8,514 "
2003,Onshore,Federal,MO,Iron County,29093,,Lead Concentrate (tons)," 40,976 "
2003,Onshore,Federal,MO,Reynolds County,29179,,Copper Concentrate (tons)," 2,137 "
2003,Onshore,Federal,MO,Reynolds County,29179,,Zinc Concentrate (tons)," 53,928 "
2003,Onshore,Federal,MO,Reynolds County,29179,,Lead Concentrate (tons)," 199,574 "
2003,Onshore,Federal,MS,Adams County,28001,,Oil (bbl)," 31,960 "
2003,Onshore,Federal,MS,Chickasaw County,28017,,Gas (mcf)," 43,926 "
2003,Onshore,Federal,MS,Covington County,28031,,Oil (bbl), 390 
2003,Onshore,Federal,MS,Covington County,28031,,Gas (mcf)," 1,232 "
2003,Onshore,Federal,MS,Forrest County,28035,,Oil (bbl), 251 
2003,Onshore,Federal,MS,Forrest County,28035,,Gas (mcf)," 37,082 "
2003,Onshore,Federal,MS,Franklin County,28037,,Gas (mcf)," 15,036 "
2003,Onshore,Federal,MS,Franklin County,28037,,Oil (bbl)," 105,260 "
2003,Onshore,Federal,MS,Hancock County,28045,,Oil (bbl), 26 
2003,Onshore,Federal,MS,Hancock County,28045,,Gas (mcf)," 2,879 "
2003,Onshore,Federal,MS,Jasper County,28061,,Oil (bbl), 1 
2003,Onshore,Federal,MS,Jasper County,28061,,Gas (mcf), 277 
2003,Onshore,Federal,MS,Jefferson Davis County,28065,,Oil (bbl), 44 
2003,Onshore,Federal,MS,Jefferson Davis County,28065,,Gas (mcf)," 13,517 "
2003,Onshore,Federal,MS,Jones County,28067,,Oil (bbl), 629 
2003,Onshore,Federal,MS,Jones County,28067,,Gas (mcf)," 1,886 "
2003,Onshore,Federal,MS,Lamar County,28073,,Gas (mcf)," 4,422 "
2003,Onshore,Federal,MS,Lamar County,28073,,Oil (bbl)," 23,062 "
2003,Onshore,Federal,MS,Lawrence County,28077,,Oil (bbl), 12 
2003,Onshore,Federal,MS,Lawrence County,28077,,Gas (mcf)," 1,107 "
2003,Onshore,Federal,MS,Lowndes County,28087,,Oil (bbl), 407 
2003,Onshore,Federal,MS,Lowndes County,28087,,Gas (mcf)," 135,028 "
2003,Onshore,Federal,MS,Monroe County,28095,,Oil (bbl), 3 
2003,Onshore,Federal,MS,Monroe County,28095,,Gas (mcf)," 159,930 "
2003,Onshore,Federal,MS,Pearl River County,28109,,Oil (bbl)," 7,040 "
2003,Onshore,Federal,MS,Pearl River County,28109,,Gas (mcf)," 31,100 "
2003,Onshore,Federal,MS,Perry County,28111,,Gas (mcf)," 67,430 "
2003,Onshore,Federal,MS,Perry County,28111,,Oil (bbl)," 236,333 "
2003,Onshore,Federal,MS,Scott County,28123,,Oil (bbl)," 10,316 "
2003,Onshore,Federal,MS,Stone County,28131,,Gas (mcf)," 98,973 "
2003,Onshore,Federal,MS,Wayne County,28153,,Gas (mcf)," 70,068 "
2003,Onshore,Federal,MS,Wayne County,28153,,Oil (bbl)," 74,282 "
2003,Onshore,Federal,MS,Wilkinson County,28157,,Oil (bbl)," 9,286 "
2003,Onshore,Federal,MS,Wilkinson County,28157,,Gas (mcf)," 104,977 "
2003,Onshore,Federal,MT,Big Horn County,30003,,Gas (mcf)," 619,662 "
2003,Onshore,Federal,MT,Big Horn County,30003,,Coal (tons)," 14,097,625 "
2003,Onshore,Federal,MT,Blaine County,30005,,Oil (bbl)," 37,276 "
2003,Onshore,Federal,MT,Blaine County,30005,,Gas (mcf)," 3,177,324 "
2003,Onshore,Federal,MT,Carbon County,30009,,Oil (bbl)," 555,553 "
2003,Onshore,Federal,MT,Carbon County,30009,,Gas (mcf)," 1,215,171 "
2003,Onshore,Federal,MT,Carter County,30011,,Oil (bbl)," 21,013 "
2003,Onshore,Federal,MT,Chouteau County,30015,,Gas (mcf)," 573,261 "
2003,Onshore,Federal,MT,Custer County,30017,,Gas (mcf)," 54,483 "
2003,Onshore,Federal,MT,Dawson County,30021,,Gas (mcf)," 100,647 "
2003,Onshore,Federal,MT,Dawson County,30021,,Oil (bbl)," 327,785 "
2003,Onshore,Federal,MT,Fallon County,30025,,Oil (bbl)," 2,527,772 "
2003,Onshore,Federal,MT,Fallon County,30025,,Gas (mcf)," 5,185,113 "
2003,Onshore,Federal,MT,Fergus County,30027,,Gas (mcf)," 24,230 "
2003,Onshore,Federal,MT,Garfield County,30033,,Oil (bbl)," 4,625 "
2003,Onshore,Federal,MT,Glacier County,30035,,Oil (bbl)," 5,757 "
2003,Onshore,Federal,MT,Glacier County,30035,,Gas (mcf)," 13,291 "
2003,Onshore,Federal,MT,Hill County,30041,,Gas (mcf)," 220,233 "
2003,Onshore,Federal,MT,Liberty County,30051,,Oil (bbl)," 6,817 "
2003,Onshore,Federal,MT,Liberty County,30051,,Gas (mcf)," 140,731 "
2003,Onshore,Federal,MT,Musselshell County,30065,,Oil (bbl)," 6,685 "
2003,Onshore,Federal,MT,Petroleum County,30069,,Oil (bbl)," 17,429 "
2003,Onshore,Federal,MT,Phillips County,30071,,Gas (mcf)," 9,207,287 "
2003,Onshore,Federal,MT,Pondera County,30073,,Gas (mcf)," 11,374 "
2003,Onshore,Federal,MT,Powder River County,30075,,Oil (bbl)," 29,999 "
2003,Onshore,Federal,MT,Powder River County,30075,,Gas (mcf)," 35,264 "
2003,Onshore,Federal,MT,Prairie County,30079,,Gas (mcf)," 32,304 "
2003,Onshore,Federal,MT,Prairie County,30079,,Oil (bbl)," 161,851 "
2003,Onshore,Federal,MT,Richland County,30083,,Coal (tons)," 142,825 "
2003,Onshore,Federal,MT,Richland County,30083,,Gas (mcf)," 197,924 "
2003,Onshore,Federal,MT,Richland County,30083,,Oil (bbl)," 201,427 "
2003,Onshore,Federal,MT,Roosevelt County,30085,,Oil (bbl)," 6,399 "
2003,Onshore,Federal,MT,Roosevelt County,30085,,Gas (mcf)," 7,930 "
2003,Onshore,Federal,MT,Rosebud County,30087,,Gas (mcf)," 1,338 "
2003,Onshore,Federal,MT,Rosebud County,30087,,Oil (bbl)," 18,380 "
2003,Onshore,Federal,MT,Rosebud County,30087,,Coal (tons)," 7,687,487 "
2003,Onshore,Federal,MT,Sheridan County,30091,,Gas (mcf)," 38,721 "
2003,Onshore,Federal,MT,Sheridan County,30091,,Oil (bbl)," 49,042 "
2003,Onshore,Federal,MT,Stillwater County,30095,,Oil (bbl), 13 
2003,Onshore,Federal,MT,Toole County,30101,,Oil (bbl)," 48,336 "
2003,Onshore,Federal,MT,Toole County,30101,,Gas (mcf)," 238,953 "
2003,Onshore,Federal,MT,Valley County,30105,,Gas (mcf)," 1,423,566 "
2003,Onshore,Federal,MT,Wibaux County,30109,,Oil (bbl)," 129,533 "
2003,Onshore,Federal,MT,Wibaux County,30109,,Gas (mcf)," 266,001 "
2003,Onshore,Federal,MT,Yellowstone County,30111,,Oil (bbl), 96 
2003,Onshore,Federal,ND,Billings County,38007,,Oil (bbl)," 2,327,563 "
2003,Onshore,Federal,ND,Billings County,38007,,Gas (mcf)," 2,384,493 "
2003,Onshore,Federal,ND,Bottineau County,38009,,Gas (mcf)," 2,456 "
2003,Onshore,Federal,ND,Bottineau County,38009,,Oil (bbl)," 40,023 "
2003,Onshore,Federal,ND,Bowman County,38011,,Oil (bbl)," 549,678 "
2003,Onshore,Federal,ND,Bowman County,38011,,Gas (mcf)," 1,215,343 "
