Month,Calendar Year,Land Class,Land Category,Revenue Type,Commodity, Revenue ,,
April,2008,Native American,Onshore,Other Revenues,Oil," $(4,464.78)",,
April,2008,Native American,Onshore,Other Revenues,Oil & Gas," $707,498.98 ",,
April,2008,Native American,Onshore,Rents,Oil & Gas," $74,157.13 ",,
April,2008,Native American,Onshore,Rents,Sand & Gravel, $541.66 ,,
April,2008,Native American,Onshore,Royalties,Coal," $6,366,592.11 ",,
April,2008,Native American,Onshore,Royalties,Gas," $23,549,276.13 ",,
April,2008,Native American,Onshore,Royalties,NGL," $1,625,752.07 ",,
April,2008,Native American,Onshore,Royalties,Oil," $10,339,228.96 ",,
April,2008,Native American,Onshore,Royalties,Other Products," $251,649.99 ",,
May,2008,Federal,Offshore,Bonus,Oil & Gas," $2,882,444,092.00 ",,
May,2008,Federal,Offshore,Other Revenues,Gas," $13,324.35 ",,
May,2008,Federal,Offshore,Other Revenues,NGL," $1,114.63 ",,
May,2008,Federal,Offshore,Other Revenues,Oil," $(78,446.53)",,
May,2008,Federal,Offshore,Other Revenues,Oil & Gas," $4,609,057.32 ",,
May,2008,Federal,Offshore,Rents,Oil & Gas," $35,681,210.87 ",,
May,2008,Federal,Offshore,Royalties,Gas," $234,394,980.49 ",,
May,2008,Federal,Offshore,Royalties,NGL," $16,785,212.98 ",,
May,2008,Federal,Offshore,Royalties,Oil," $306,067,150.97 ",,
May,2008,Federal,Offshore,Royalties,Other Products," $30,974.26 ",,
May,2008,Federal,Onshore,Bonus,Coal," $88,479,700.00 ",,
May,2008,Federal,Onshore,Bonus,Oil & Gas," $25,093,423.50 ",,
May,2008,Federal,Onshore,Other Revenues,Coal," $117,975.03 ",,
May,2008,Federal,Onshore,Other Revenues,Gas," $2,319.21 ",,
May,2008,Federal,Onshore,Other Revenues,Geothermal," $12,506.69 ",,
May,2008,Federal,Onshore,Other Revenues,Hardrock," $(23,866.00)",,
May,2008,Federal,Onshore,Other Revenues,Oil & Gas," $18,539,207.54 ",,
May,2008,Federal,Onshore,Other Revenues,Phosphate," $8,589.00 ",,
May,2008,Federal,Onshore,Other Revenues,Potassium," $(25,060.05)",,
May,2008,Federal,Onshore,Other Revenues,Sodium," $(36,374.12)",,
May,2008,Federal,Onshore,Rents,Coal," $34,315.00 ",,
May,2008,Federal,Onshore,Rents,Geothermal," $106,109.42 ",,
May,2008,Federal,Onshore,Rents,Hardrock," $(8,130.00)",,
May,2008,Federal,Onshore,Rents,Oil & Gas," $5,748,835.38 ",,
May,2008,Federal,Onshore,Rents,Phosphate," $2,953.00 ",,
May,2008,Federal,Onshore,Rents,Potassium," $(2,320.00)",,
May,2008,Federal,Onshore,Rents,Sodium," $(23,302.00)",,
May,2008,Federal,Onshore,Royalties,Coal," $61,054,758.69 ",,
May,2008,Federal,Onshore,Royalties,Gas," $209,804,635.82 ",,
May,2008,Federal,Onshore,Royalties,NGL," $26,234,343.07 ",,
May,2008,Federal,Onshore,Royalties,Oil," $84,127,604.00 ",,
May,2008,Federal,Onshore,Royalties,Other Products," $7,681,871.25 ",,
May,2008,Federal,,Civil Penalties,," $171,211.20 ",,
May,2008,Federal,,Other Revenues,," $(14,267.25)",,
May,2008,Native American,Onshore,Other Revenues,Coal, $838.96 ,,
May,2008,Native American,Onshore,Other Revenues,Copper," $8,022.91 ",,
May,2008,Native American,Onshore,Other Revenues,Gas," $5,319.87 ",,
May,2008,Native American,Onshore,Other Revenues,NGL," $3,896.97 ",,
May,2008,Native American,Onshore,Other Revenues,Oil," $(19,265.63)",,
May,2008,Native American,Onshore,Other Revenues,Oil & Gas," $533,931.50 ",,
May,2008,Native American,Onshore,Other Revenues,Sand & Gravel," $1,666.67 ",,
May,2008,Native American,Onshore,Rents,Coal," $14,745.92 ",,
May,2008,Native American,Onshore,Rents,Oil & Gas," $122,582.76 ",,
May,2008,Native American,Onshore,Rents,Sand & Gravel, $541.66 ,,
May,2008,Native American,Onshore,Royalties,Coal," $5,476,992.89 ",,
May,2008,Native American,Onshore,Royalties,Gas," $25,023,516.69 ",,
May,2008,Native American,Onshore,Royalties,NGL," $1,162,837.23 ",,
May,2008,Native American,Onshore,Royalties,Oil," $14,298,960.63 ",,
May,2008,Native American,Onshore,Royalties,Other Products," $119,568.24 ",,
June,2008,Federal,Offshore,Bonus,Oil & Gas," $1,896,223,962.00 ",,
June,2008,Federal,Offshore,Other Revenues,Gas," $40,638.66 ",,
June,2008,Federal,Offshore,Other Revenues,NGL," $2,658.06 ",,
June,2008,Federal,Offshore,Other Revenues,Oil," $1,155,217.53 ",,
June,2008,Federal,Offshore,Other Revenues,Oil & Gas," $11,953,520.98 ",,
June,2008,Federal,Offshore,Other Revenues,Sulfur, $(67.00),,
June,2008,Federal,Offshore,Rents,Oil & Gas," $32,608,686.73 ",,
June,2008,Federal,Offshore,Royalties,Gas," $325,978,505.21 ",,
June,2008,Federal,Offshore,Royalties,NGL," $27,849,627.51 ",,
June,2008,Federal,Offshore,Royalties,Oil," $483,360,070.09 ",,
June,2008,Federal,Offshore,Royalties,Other Products," $47,589.11 ",,
June,2008,Federal,Onshore,Bonus,Coal," $(18,099.41)",,
June,2008,Federal,Onshore,Bonus,Oil & Gas," $6,098,922.25 ",,
June,2008,Federal,Onshore,Bonus,Sodium, $120.00 ,,
June,2008,Federal,Onshore,Other Revenues,Coal," $129,678.09 ",,
June,2008,Federal,Onshore,Other Revenues,Gas," $9,563.27 ",,
June,2008,Federal,Onshore,Other Revenues,Geothermal," $8,605.81 ",,
June,2008,Federal,Onshore,Other Revenues,Gilsonite," $8,508.00 ",,
June,2008,Federal,Onshore,Other Revenues,Hardrock," $49,200.24 ",,
June,2008,Federal,Onshore,Other Revenues,Oil," $24,435.90 ",,
June,2008,Federal,Onshore,Other Revenues,Oil & Gas," $13,555,921.73 ",,
June,2008,Federal,Onshore,Other Revenues,Phosphate," $8,271.00 ",,
June,2008,Federal,Onshore,Other Revenues,Potassium, $400.00 ,,
June,2008,Federal,Onshore,Other Revenues,Sodium," $22,825.82 ",,
