Reporting Companies	Royalties Government	Royalties Company	Royalties Variance $	Royalties Variance %	Rents Government	Rents Company	Rents Variance $	Rents Variance %	Bonus Government	Bonus Company	Bonus Variance $	Bonus Variance %	Other Revenue Government	Other Revenue Company	Other Revenue Variance $	Other Revenue Variance %	Offshore Inspection Fee Government	Offshore Inspection Fee Company	Offshore Inspection Fee Variance $	Offshore Inspection Fee Variance %	ONRR Civil Penalties Government	ONRR Civil Penalties Company	ONRR Civil Penalties Variance $	ONRR Civil Penalties Variance %	Bonus & 1st Year Rental Government	Bonus & 1st Year Rental Company	Bonus & 1st Year Rental Variance $	Bonus & 1st Year Rental Variance %	Permit Fees Government	Permit Fees Company	Permit Fees Variance $	Permit Fees Variance %	Renewables Government	Renewables Company	Renewables Variance $	Renewables Variance %	AML Fees Government	AML Fees Company	AML Fees Variance $	AML Fees Variance %	OSMRE Civil Penalties Government	OSMRE Civil Penalties Company	OSMRE Civil Penalties Variance $	OSMRE Civil Penalties Variance %	Corporate Income Tax Company
Linn Energy, LLC	 $53,783,298 	 DNP 	 N/A 	N/A	 $141,294 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $2,614,438 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $239,263 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
LLOG Exploration Company LLC	 $142,476,680 	 DNP 	 N/A 	N/A	 $4,964,836 	 DNP 	 N/A 	N/A	 $4,952,164 	 DNP 	 N/A 	N/A	 $2,636,690 	 DNP 	 N/A 	N/A	 $939,000 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Marathon Oil Company	 $52,388,973 	 $52,348,305 	 $40,668 	0.08%	 $3,716,777 	 $3,717,446 	 $669 	0.02%	 $5,635,636 	 $5,635,636 	 $- 	0.00%	 $33,994 	 $34,115 	 $121 	0.36%	 $367,000 	 $367,000 	 $- 	0.00%	 $(40,000)	 $- 	 $40,000 	100.00%	 $- 	 $- 	 $- 	0.00%	 $332,730 	 $332,500 	 $230 	0.07%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Murphy Oil USA Inc. 	 $21,880,568 	 DNP 	 N/A 	N/A	 $5,076,445 	 DNP 	 N/A 	N/A	 $24,198,856 	 DNP 	 N/A 	N/A	 $(639,459)	 DNP 	 N/A 	N/A	 $649,500 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Noble Energy, Inc. 	 $40,943,600 	 $40,989,063 	 $45,463 	0.11%	 $4,276,995 	 $4,300,998 	 $24,003 	0.56%	 $- 	 $- 	 $- 	0.00%	 $(24,086)	 $1,667 	 $25,753 	106.92%	 $275,500 	 $275,500 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $332,500 	 $332,760 	 $260 	0.08%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Oxy USA, Inc. 	 $52,139,320 	 DNP 	 N/A 	N/A	 $261,966 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $127,379 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $289,520 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Peabody Energy Corporation	 $225,793,399 	 $225,594,179 	 $199,220 	0.09%	 $190,534 	 $190,534 	 $- 	0.00%	 $277,177,576 	 $277,177,576 	 $- 	0.00%	 $1,095 	 $- 	 $1,095 	100.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $85,136 	 $85,316 	 $180 	0.21%	 $- 	 $- 	 $- 	0.00%	 $48,411,042 	 $48,267,960 	 $143,082 	0.30%	 $3,420 	 $5,630 	 $2,210 	64.62%	 DNR 
QEP Resources, Inc.	 $72,485,760 	 DNP 	 N/A 	N/A	 $371,788 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $(3,267,324)	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $1,443,170 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Red Willow Offshore, LLC	 $482,510 	 $482,510 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 N/A 
Shell E&P Company	 $535,415,811 	 $478,190,688 	 $57,225,123 	10.69%	 $24,771,195 	 $24,755,972 	 $15,223 	0.06%	 $37,887,325 	 $37,887,325 	 $- 	0.00%	 $455,533 	 $442,974 	 $12,559 	2.76%	 $2,898,700 	 $2,898,700 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $(242,478,106)
Statoil	 $58,944,352 	 $58,629,414 	 $314,938 	0.53%	 $7,454,512 	 $7,532,317 	 $77,805 	1.04%	 $69,413,541 	 $69,413,541 	 $- 	0.00%	 $(3,492,933)	 $(3,449,925)	 $43,008 	1.23%	 $419,487 	 $427,841 	 $8,354 	1.99%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $78,450 	 $78,450 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 
Stone Energy Corporation	 $46,672,034 	 $46,672,041 	 $7 	0.00%	 $1,701,632 	 $1,701,632 	 $- 	0.00%	 $1,555,555 	 $1,555,555 	 $- 	0.00%	 $753,862 	 $753,862 	 $- 	0.00%	 $1,047,000 	 $1,047,000 	 $- 	0.00%	 $40,000 	 $40,000 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $(7,187,950)
Talos Energy LLC	 $49,277,016 	 DNP 	 N/A 	N/A	 $1,778,409 	 DNP 	 N/A 	N/A	 $2,184,870 	 DNP 	 N/A 	N/A	 $(983,805)	 DNP 	 N/A 	N/A	 $1,771,300 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Ultra Resources Inc.	 $107,727,673 	 $99,204,910 	 $8,522,763 	7.91%	 $6,006 	 $9,908 	 $3,902 	64.97%	 $- 	 $- 	 $- 	0.00%	 $76,907 	 $45,690 	 $31,217 	40.59%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $1,094,310 	 $1,074,810 	 $19,500 	1.78%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 
W&T Offshore, Inc. 	 $64,564,832 	 $64,564,832 	 $- 	0.00%	 $1,394,703 	 $1,394,703 	 $- 	0.00%	 $284,000 	 $284,000 	 $- 	0.00%	 $(4,968,640)	 $(4,968,640)	 $- 	0.00%	 $4,344,700 	 $4,344,700 	 $- 	0.00%	 $170,000 	 $170,000 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $(60,532)
WPX Energy, Inc. 	 $68,730,517 	 $68,895,241 	 $164,724 	0.24%	 $261,419 	 $261,419 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $(366,662)	 $(365,796)	 $866 	0.24%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $1,109,150 	 $1,101,000 	 $8,150 	0.73%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $(11,000,000)
