Year	State	County	FIPS	Volume
2012	TX	Lee County	48287	2
2009	TX	Nueces County	48355	2
2006	TX	Wilbarger County	48487	2
2013	TX	Chambers County	48071	1
2014	TX	Lee County	48287	2
2014	TX	Live Oak County	48297	1
2010	TX	Lee County	48287	2
2013	TX	Live Oak County	48297	1
2012	TX	Live Oak County	48297	1
2011	TX	Live Oak County	48297	1
2010	TX	Live Oak County	48297	2
2009	TX	Live Oak County	48297	2
2008	TX	Live Oak County	48297	2
2009	TX	Nacogdoches County	48347	2
2013	TX	Lee County	48287	2
2005	TX	Nueces County	48355	2
2007	TX	Live Oak County	48297	2
2009	TX	Lee County	48287	2
2011	TX	Lee County	48287	2
2007	TX	Bowie County	48037	2
2006	TX	Live Oak County	48297	2
2008	TX	Lee County	48287	2
2005	TX	Live Oak County	48297	2
2014	TX	Washington County	48477	2
2005	TX	Wilbarger County	48487	2
2014	TX	Tarrant County	48439	2
2005	TX	Nacogdoches County	48347	1
2007	TX	Chambers County	48071	2
2008	TX	Jackson County	48239	1
2011	TX	Gray County	48179	1
2013	TX	Montague County	48337	2
2010	TX	Jasper County	48241	2
2007	TX	Nueces County	48355	2
2013	TX	Washington County	48477	2
2014	TX	Montgomery County	48339	2
2008	TX	Harrison County	48203	2
2012	TX	Montague County	48337	2
2009	TX	Montgomery County	48339	2
2008	TX	Nueces County	48355	2
2012	TX	Washington County	48477	2
2007	TX	Lee County	48287	2
2006	TX	Lee County	48287	2
2013	TX	Montgomery County	48339	2
2005	TX	Lee County	48287	2
2011	TX	Washington County	48477	2
2007	TX	Jasper County	48241	2
2014	TX	Gray County	48179	1
2012	TX	Montgomery County	48339	2
2012	TX	Gray County	48179	1
2008	TX	Jones County	48253	2
2010	TX	Gray County	48179	1
2011	TX	Montgomery County	48339	2
2010	TX	Montgomery County	48339	2
2009	TX	Jasper County	48241	1
2007	TX	Harrison County	48203	2
2014	TX	Sabine County	48403	2
2013	TX	Gray County	48179	1
2005	TX	Jasper County	48241	2
2006	TX	Nueces County	48355	2
2007	TX	Jones County	48253	2
2009	TX	Chambers County	48071	1
2006	TX	Bowie County	48037	2
2014	TX	Grayson County	48181	2
2011	TX	Taylor County	48441	1
2008	TX	Jasper County	48241	1
2012	TX	Walker County	48471	1
2014	TX	McMullen County	48311	2
2005	TX	Bowie County	48037	2
2008	TX	Tarrant County	48439	2
2013	TX	Tarrant County	48439	2
2010	TX	Tarrant County	48439	2
2014	TX	Taylor County	48441	1
2006	TX	Chambers County	48071	2
2006	TX	Jasper County	48241	2
2011	TX	Tarrant County	48439	2
2010	TX	McMullen County	48311	2
2010	TX	Washington County	48477	2
2009	TX	Sabine County	48403	2
2013	TX	Harrison County	48203	1
2011	TX	McMullen County	48311	2
2013	TX	Grayson County	48181	2
2012	TX	McMullen County	48311	2
2013	TX	McMullen County	48311	2
2009	TX	Gray County	48179	1
2005	TX	Chambers County	48071	2
2009	TX	Washington County	48477	2
2009	TX	Taylor County	48441	1
2014	TX	Ochiltree County	48357	1
2008	TX	Sabine County	48403	2
2008	TX	Chambers County	48071	1
2008	TX	Gray County	48179	1
2008	TX	McMullen County	48311	2
2005	TX	Sabine County	48403	2
2010	TX	Taylor County	48441	1
2013	TX	Taylor County	48441	1
2005	TX	McMullen County	48311	2
2009	TX	McMullen County	48311	2
2007	TX	Sabine County	48403	2
2012	TX	Taylor County	48441	1
2005	TX	Jones County	48253	2
2007	TX	McMullen County	48311	2
2008	TX	Washington County	48477	2
2008	TX	Taylor County	48441	1
2006	TX	Jones County	48253	2
2012	TX	Chambers County	48071	1
2010	TX	Chambers County	48071	1
2006	TX	Sabine County	48403	2
2013	TX	Sabine County	48403	2
2011	TX	Sabine County	48403	2
2007	TX	Washington County	48477	2
2011	TX	Walker County	48471	1
2012	TX	Tarrant County	48439	2
2014	TX	Harrison County	48203	1
2011	TX	Harrison County	48203	1
2011	TX	Chambers County	48071	1
2007	TX	Gray County	48179	1
2006	TX	McMullen County	48311	2
2007	TX	Taylor County	48441	1
2009	TX	Tarrant County	48439	2
2006	TX	Washington County	48477	2
2005	TX	Taylor County	48441	1
2006	TX	Gray County	48179	1
2014	TX	Shelby County	48419	3
2007	TX	Grayson County	48181	2
2012	TX	Grayson County	48181	2
2005	TX	Washington County	48477	2
2008	TX	Grayson County	48181	2
2006	TX	Taylor County	48441	1
2009	TX	Burleson County	48051	2
2006	TX	Grayson County	48181	2
2010	TX	Grayson County	48181	2
2011	TX	Grayson County	48181	2
2010	TX	Walker County	48471	1
2012	TX	Harrison County	48203	1
2009	TX	Grayson County	48181	2
2013	TX	Shelby County	48419	3
2012	TX	Sabine County	48403	2
2005	TX	Grayson County	48181	2
2010	TX	Sabine County	48403	2
2006	TX	San Jacinto County	48407	2
2005	TX	Gray County	48179	1
2008	TX	San Jacinto County	48407	2
2012	TX	Shelby County	48419	3
2006	TX	Walker County	48471	1
2009	TX	San Jacinto County	48407	2
2007	TX	Walker County	48471	1
2008	TX	Walker County	48471	1
2009	TX	Walker County	48471	1
2014	TX	Jackson County	48239	2
2014	TX	San Jacinto County	48407	2
2005	TX	San Jacinto County	48407	2
2010	TX	Parker County	48367	1
2012	TX	Parker County	48367	1
2006	TX	Wise County	48497	2
2005	TX	Parker County	48367	1
2005	TX	Wise County	48497	2
2008	TX	Shelby County	48419	2
2014	TX	Galveston County	48167	2
2011	TX	Shelby County	48419	3
2010	TX	Shelby County	48419	3
2008	TX	Burleson County	48051	2
2007	TX	Wise County	48497	2
2007	TX	San Jacinto County	48407	2
2008	TX	Wise County	48497	2
2013	TX	Galveston County	48167	2
2009	TX	Wise County	48497	2
2014	TX	Wise County	48497	2
2010	TX	San Jacinto County	48407	2
2013	TX	San Jacinto County	48407	2
2007	TX	Shelby County	48419	2
2012	TX	Galveston County	48167	2
2007	TX	Galveston County	48167	2
2006	TX	Shelby County	48419	2
2013	TX	Jackson County	48239	2
2011	TX	San Jacinto County	48407	2
2010	TX	Wise County	48497	2
2011	TX	Galveston County	48167	2
2013	TX	Wise County	48497	2
2010	TX	Galveston County	48167	2
2012	TX	San Jacinto County	48407	2
2014	TX	Houston County	48225	2
2009	TX	Galveston County	48167	2
2013	TX	Houston County	48225	2
2009	TX	Shelby County	48419	2
2008	TX	Galveston County	48167	2
2008	TX	Hill County	48217	1
2012	TX	Houston County	48225	2
2011	TX	Wise County	48497	2
2005	TX	Shelby County	48419	2
2012	TX	Wise County	48497	2
2011	TX	Houston County	48225	2
2006	TX	Galveston County	48167	2
2010	TX	Houston County	48225	2
2008	TX	Freestone County	48161	1
2009	TX	Houston County	48225	2
2005	TX	Galveston County	48167	2
2009	TX	Hill County	48217	1
2007	TX	Freestone County	48161	1
2008	TX	Houston County	48225	2
2006	TX	Houston County	48225	2
