Company	Revenue Type	Commodity	Revenue		
ECOPETROL AMERICA INC	ONRR - Other Revenues	Oil & Gas	$2,033.03 		
ECOPETROL AMERICA INC	ONRR - Royalties	Gas	($148,365.53)		
ECOPETROL AMERICA INC	ONRR - Royalties	Oil	$4,637,243.47 		
ECOPETROL AMERICA INC	ONRR/BLM - Rents	Oil & Gas	$311,040.00 		
ELAND ENERGY INC	BLM - Permit Fees	Oil & Gas	$190.00 		
ELAND ENERGY INC	ONRR - Other Revenues	Oil & Gas	$5,264.02 		
ELAND ENERGY INC	ONRR - Royalties	Gas	$15,271.62 		
ELAND ENERGY INC	ONRR - Royalties	Oil	$178,058.93 		
ELM RIDGE RESOURCES INC	ONRR - Other Revenues	N/A	$872.00 		
ELM RIDGE RESOURCES INC	ONRR - Other Revenues	Oil & Gas	($3,656.80)		
ELM RIDGE RESOURCES INC	ONRR - Royalties	Gas	$194,215.77 		
ELM RIDGE RESOURCES INC	ONRR - Royalties	Oil	$52,989.02 		
ELM RIDGE RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$1,358.00 		
EMBER ENERGY LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$121,075.22 		
ENCANA CORP	BLM - Permit Fees	Oil & Gas	$59,930.00 		
ENCANA CORP	ONRR - Other Revenues	N/A	$729.00 		
ENCANA CORP	ONRR - Other Revenues	Oil & Gas	($2,628,476.13)		
ENCANA CORP	ONRR - Royalties	Gas	$6,253,553.10 		
ENCANA CORP	ONRR - Royalties	Oil	$7,971,765.79 		
ENCANA CORP	ONRR/BLM - Rents	Oil & Gas	$510,725.50 		
ENCAP INVESTMENTS LLP	ONRR/BLM - Bonus	Oil & Gas	$1,620,000.00 		
ENCAP INVESTMENTS LLP	ONRR/BLM - Rents	Oil & Gas	$180.00 		
ENDEAVOR ENERGY RESOURCES LP	BLM - Permit Fees	Oil & Gas	$190.00 		
ENDEAVOR ENERGY RESOURCES LP	ONRR - Other Revenues	Oil & Gas	$5,866.65 		
ENDEAVOR ENERGY RESOURCES LP	ONRR - Royalties	Gas	$112,348.11 		
ENDEAVOR ENERGY RESOURCES LP	ONRR - Royalties	Oil	$36,174.20 		
ENDURANCE RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	$10,427.14 		
ENDURANCE RESOURCES LLC	ONRR - Royalties	Gas	$194,261.40 		
ENDURANCE RESOURCES LLC	ONRR - Royalties	Oil	$523,395.77 		
ENDURANCE RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	$3,480,000.00 		
ENDURANCE RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$620.00 		
ENDURING RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	$28,678.53 		
ENDURING RESOURCES LLC	ONRR - Royalties	Gas	$82,229.81 		
ENDURING RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$9,380.00 		
ENDURO OPERATING LLC	BLM - Permit Fees	Oil & Gas	$190.00 		
ENDURO OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$20,077.51 		
ENDURO OPERATING LLC	ONRR - Royalties	Gas	$39,190.81 		
ENDURO OPERATING LLC	ONRR - Royalties	Oil	$1,703,820.23 		
ENDURO OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$15,025.00 		
ENEL GREEN POWER NORTH AMERICA INC	ONRR - Other Revenues	N/A	$1,254.60 		
ENEL GREEN POWER NORTH AMERICA INC	ONRR - Royalties	Geothermal	$318,865.85 		
ENEL GREEN POWER NORTH AMERICA INC	ONRR/BLM - Rents	Geothermal	$78,525.00 		
ENERGEN RESOURCES CORP	ONRR - Other Revenues	N/A	$679.00 		
ENERGEN RESOURCES CORP	ONRR - Other Revenues	Oil & Gas	$49,883.13 		
ENERGEN RESOURCES CORP	ONRR - Royalties	Gas	$72,416.29 		
ENERGEN RESOURCES CORP	ONRR - Royalties	Oil	$433,992.30 		
ENERGEN RESOURCES CORP	ONRR/BLM - Bonus	Oil & Gas	$76,715,500.00 		
ENERGEN RESOURCES CORP	ONRR/BLM - Rents	Oil & Gas	$3,241.50 		
ENERGY CAPITAL PARTNERS	ONRR - Other Revenues	Geothermal	$8,135.04 		
ENERGY CAPITAL PARTNERS	ONRR - Royalties	Geothermal	$1,367,772.47 		
ENERGY CAPITAL PARTNERS	ONRR/BLM - Rents	Geothermal	$27,902.00 		
ENERGY FUELS RESOURCES (USA) INC	BLM - Permit Fees	Locatable Minerals	$194,215.00 		
ENERGY TRANSFER EQUITY	ONRR - Other Revenues	Oil & Gas	$193.80 		
ENERGY TRANSFER EQUITY	ONRR - Royalties	Gas	$4,951.56 		
ENERGY TRANSFER EQUITY	ONRR - Royalties	Oil	$921,876.68 		
ENERGY TRANSFER EQUITY	ONRR/BLM - Rents	Oil & Gas	$10,290.00 		
ENERGY XXI LLC	ONRR - Civil Penalties	N/A	$1,216,250.00 		
ENERGY XXI LLC	ONRR - Inspection Fees	Oil & Gas	$4,769,700.00 		
ENERGY XXI LLC	ONRR - Other Revenues	N/A	$8,526.67 		
ENERGY XXI LLC	ONRR - Other Revenues	Oil & Gas	$479,037.22 		
ENERGY XXI LLC	ONRR - Royalties	Gas	$6,304,277.53 		
ENERGY XXI LLC	ONRR - Royalties	Oil	$70,165,454.31 		
ENERGY XXI LLC	ONRR/BLM - Rents	Oil & Gas	$130,519.75 		
ENERPLUS RESOURCES CORP	BLM - Permit Fees	Oil & Gas	$703,425.00 		
ENERVEST LTD	ONRR - Civil Penalties	N/A	$97,816.00 		
ENERVEST LTD	ONRR - Other Revenues	N/A	$4,374.00 		
ENERVEST LTD	ONRR - Other Revenues	Oil & Gas	$80,246.74 		
ENERVEST LTD	ONRR - Royalties	Gas	$6,007,445.15 		
ENERVEST LTD	ONRR - Royalties	Oil	$427,257.34 		
ENERVEST LTD	ONRR/BLM - Rents	Oil & Gas	$13,833.33 		
ENI USA INC	ONRR - Inspection Fees	Oil & Gas	$292,000.00 		
ENI USA INC	ONRR - Other Revenues	N/A	$754.80 		
ENI USA INC	ONRR - Other Revenues	N/A	$3,113.17 		
ENI USA INC	ONRR - Other Revenues	Oil & Gas	$598,094.96 		
ENI USA INC	ONRR - Royalties	Gas	$7,638,849.82 		
ENI USA INC	ONRR - Royalties	Oil	$28,742,587.80 		
ENI USA INC	ONRR/BLM - Rents	Oil & Gas	$1,493,970.00 		
ENSIGHT	ONRR - Other Revenues	Oil & Gas	$366.23 		
ENSIGHT	ONRR - Royalties	Gas	$538,164.99 		
ENSIGHT	ONRR - Royalties	Oil	$62,888.59 		
ENSIGHT IV ENERGY MANAGEMENT LLC	ONRR - Other Revenues	Oil & Gas	$56,500.00 		
ENSIGHT IV ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	$355,628.75 		
ENSIGHT IV ENERGY MANAGEMENT LLC	ONRR - Royalties	Oil	$46,172.70 		
ENTERPRISE PRODUCTS PARTNERS LP	ONRR - Other Revenues	Oil & Gas	$10,556.94 		
ENTERPRISE PRODUCTS PARTNERS LP	ONRR - Royalties	Gas	$14,437.98 		
ENTERPRISE PRODUCTS PARTNERS LP	ONRR - Royalties	Oil	$542,445.37 		
ENTERPRISE PRODUCTS PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	$23,384.00 		
ENTERPRISE PRODUCTS PARTNERS LP	ONRR/BLM - Rents	Wind	$900.00 		
ENVEN ENERGY VENTURES LLC	ONRR - Inspection Fees	Oil & Gas	$668,800.00 		
ENVEN ENERGY VENTURES LLC	ONRR - Other Revenues	Oil & Gas	($97,214.14)		
ENVEN ENERGY VENTURES LLC	ONRR - Royalties	Gas	$6,001,268.57 		
ENVEN ENERGY VENTURES LLC	ONRR - Royalties	Oil	$56,580,690.29 		
ENVEN ENERGY VENTURES LLC	ONRR/BLM - Bonus	Oil & Gas	$746,000.00 		
ENVEN ENERGY VENTURES LLC	ONRR/BLM - Rents	Oil & Gas	$704,972.00 		
EOG RESOURCES INC	BLM - Permit Fees	Oil & Gas	$1,710,005.00 		
EOG RESOURCES INC	ONRR - Other Revenues	N/A	$486.00 		
EOG RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$7,747,927.62 		
EOG RESOURCES INC	ONRR - Royalties	Gas	$26,133,932.06 		
EOG RESOURCES INC	ONRR - Royalties	Oil	$65,989,886.69 		
EOG RESOURCES INC	ONRR - Royalties	Other Commodities	$43,984.57 		
EOG RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$95,173.50 		
EP ENERGY CORP	ONRR - Other Revenues	Oil & Gas	$14,923.24 		
EP ENERGY CORP	ONRR - Royalties	Gas	$68,446.83 		
EP ENERGY CORP	ONRR - Royalties	Oil	$156,284.75 		
EP ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$28,200.00 		
EP MINERALS LLC	BLM - Permit Fees	Locatable Minerals	$184,588.00 		
ERP COMPLIANT FUELS	OSMRE - AML Fees including Audits and Late Charges 	Coal	$546,978.74 		
ESCALERA RESOURCES CO	ONRR - Other Revenues	Oil & Gas	($4,407.10)		
ESCALERA RESOURCES CO	ONRR - Royalties	Gas	$1,078,296.27 		
ESCALERA RESOURCES CO	ONRR/BLM - Rents	Oil & Gas	$5,556.00 		
EUREKA MOLY LLC	BLM - Permit Fees	Locatable Minerals	$235,755.00 		
EVEREST OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	$64.30 		
EVEREST OIL & GAS LLC	ONRR - Royalties	Oil	$131,004.69 		
EXARO ENERGY III LLC	ONRR - Other Revenues	Oil & Gas	($69,364.15)		
EXARO ENERGY III LLC	ONRR - Royalties	Gas	$3,820,178.25 		
EXCO RESOURCES INC	ONRR - Other Revenues	N/A	$436.00 		
EXCO RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$263.55 		
EXCO RESOURCES INC	ONRR - Royalties	Gas	$103,927.64 		
EXTRACTION OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	$644,060.00 		
EXTRACTION OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	$27,218.13 		
EXTRACTION OIL & GAS LLC	ONRR - Royalties	Gas	$201,310.86 		
EXTRACTION OIL & GAS LLC	ONRR - Royalties	Oil	$410,285.09 		
EXTRACTION OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	$231.00 		
EXXON MOBIL CORP	BLM - Permit Fees	Oil & Gas	$1,603,285.00 		
EXXON MOBIL CORP	ONRR - Inspection Fees	Oil & Gas	$335,500.00 		
EXXON MOBIL CORP	ONRR - Other Revenues	N/A	($2,031.36)		
EXXON MOBIL CORP	ONRR - Other Revenues	Oil & Gas	$14,386,641.41 		
EXXON MOBIL CORP	ONRR - Royalties	Gas	$65,452,355.21 		
EXXON MOBIL CORP	ONRR - Royalties	Oil	$158,155,247.62 		
EXXON MOBIL CORP	ONRR - Royalties	Other Commodities	$18,628,378.85 		
EXXON MOBIL CORP	ONRR/BLM - Bonus	Oil & Gas	$41,524,043.00 		
EXXON MOBIL CORP	ONRR/BLM - Rents	Oil & Gas	$6,492,517.08 		
F3 GOLD LLC	BLM - Permit Fees	Locatable Minerals	$167,926.00 		
FAIR OIL LTD	ONRR - Other Revenues	Oil & Gas	($897.94)		
FAIR OIL LTD	ONRR - Royalties	Gas	$49,079.25 		
FAIR OIL LTD	ONRR - Royalties	Oil	$221,382.92 		
FAIR OIL LTD	ONRR/BLM - Rents	Oil & Gas	$320.00 		
FARRELL-COOPER MINING CO	ONRR - Royalties	Coal	$266,722.66 		
FARRELL-COOPER MINING CO	ONRR/BLM - Rents	Coal	$8,106.00 		
FASKEN LAND & MINERALS LTD	ONRR - Other Revenues	Oil & Gas	$26,775.45 		
FASKEN LAND & MINERALS LTD	ONRR - Royalties	Gas	$586,145.52 		
FASKEN LAND & MINERALS LTD	ONRR - Royalties	Oil	$1,851,915.11 		
FASKEN LAND & MINERALS LTD	ONRR/BLM - Rents	Oil & Gas	$80.00 		
FDL OPERATING LLC	BLM - Permit Fees	Oil & Gas	$19,220.00 		
FDL OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$12,013.75 		
FDL OPERATING LLC	ONRR - Royalties	Gas	$161,617.68 		
FDL OPERATING LLC	ONRR - Royalties	Oil	$27,866,452.08 		
FDL OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$7,133.75 		
FEATHERSTONE DEVELOPMENT CORP	ONRR - Other Revenues	N/A	$436.00 		
FEATHERSTONE DEVELOPMENT CORP	ONRR - Other Revenues	Oil & Gas	$3,582.57 		
FEATHERSTONE DEVELOPMENT CORP	ONRR/BLM - Bonus	Oil & Gas	$101,600.00 		
FEATHERSTONE DEVELOPMENT CORP	ONRR/BLM - Rents	Oil & Gas	$2,991.50 		
FENNEMORE CRAIG PC	BLM - Permit Fees	Locatable Minerals	$266,600.00 		
FIELDWOOD ENERGY LLC	ONRR - Civil Penalties	N/A	$42,704.00 		
FIELDWOOD ENERGY LLC	ONRR - Inspection Fees	Oil & Gas	$141,200.00 		
FIELDWOOD ENERGY LLC	ONRR - Other Revenues	N/A	$872.00 		
FIELDWOOD ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$4,404,291.74 		
FIELDWOOD ENERGY LLC	ONRR - Royalties	Gas	$37,418,995.39 		
FIELDWOOD ENERGY LLC	ONRR - Royalties	Oil	$144,139,256.49 		
FIELDWOOD ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	$4,797,000.00 		
FIELDWOOD ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$2,829,975.18 		
FINLEY RESOURCES INC	BLM - Permit Fees	Oil & Gas	$244,950.00 		
FINLEY RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$665,109.20 		
FINLEY RESOURCES INC	ONRR - Royalties	Gas	$396,949.59 		
FINLEY RESOURCES INC	ONRR - Royalties	Oil	$4,601,083.31 		
FINLEY RESOURCES INC	ONRR/BLM - Bonus	Oil & Gas	$106,700.00 		
FINLEY RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$6,629.50 		
FLAT ROCK DEVELOPMENT LLC	ONRR/BLM - Bonus	Oil & Gas	$1,701,125.00 		
FLAT ROCK DEVELOPMENT LLC	ONRR/BLM - Rents	Oil & Gas	$412.50 		
FMC CORP	ONRR - Other Revenues	Phosphate	$2,280.00 		
FMC CORP	ONRR - Other Revenues	Sodium	$49,551.00 		
FMC CORP	ONRR - Royalties	Other Commodities	$5,964,237.45 		
FMC CORP	ONRR/BLM - Rents	Phosphate	$760.00 		
FOCUS EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	$610,239.46 		
FORELAND REFINING CORP	ONRR - Royalties	Oil	$196,055.21 		
FORESIGHT ENERGY LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$2,337,244.86 		
FORMATION CAPITAL CORPORATION, U.S.	BLM - Permit Fees	Locatable Minerals	$106,652.00 		
FOUNDATION ENERGY MANAGEMENT	ONRR - Other Revenues	Oil & Gas	$1,208,134.98 		
FOUNDATION ENERGY MANAGEMENT	ONRR - Royalties	Gas	$881,630.16 		
FOUNDATION ENERGY MANAGEMENT	ONRR - Royalties	Oil	$543,309.87 		
FOUNDATION ENERGY MANAGEMENT	ONRR/BLM - Rents	Oil & Gas	$34,734.00 		
FOUR CORNERS PETROLEUM LLC	ONRR - Other Revenues	Oil & Gas	$3,150.41 		
FOUR CORNERS PETROLEUM LLC	ONRR - Royalties	Gas	$10,741.92 		
FOUR CORNERS PETROLEUM LLC	ONRR - Royalties	Oil	$329,601.25 		
FOURPOINT ENERGY LLC	BLM - Permit Fees	Oil & Gas	$665.00 		
FOURPOINT ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$51,907.82 		
FOURPOINT ENERGY LLC	ONRR - Royalties	Gas	$343,180.03 		
FOURPOINT ENERGY LLC	ONRR - Royalties	Oil	$295,330.55 		
FOURPOINT ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$3,669.50 		
FREEPOINT RESOURCES LLC	ONRR - Royalties	Gas	$628,264.28 		
FREEPORT-MCMORAN INC	BLM - Permit Fees	Locatable Minerals	$2,329,179.00 		
FREEPORT-MCMORAN INC	BLM - Permit Fees	Other Leasable Minerals	$60.00 		
FREEPORT-MCMORAN O&G LLC	ONRR - Civil Penalties	N/A	$37,000.00 		
FREEPORT-MCMORAN O&G LLC	ONRR - Inspection Fees	Oil & Gas	$16,700.00 		
FREEPORT-MCMORAN O&G LLC	ONRR - Other Revenues	Oil & Gas	($238,181.15)		
FREEPORT-MCMORAN O&G LLC	ONRR - Other Revenues	Sulfur	$12,945.50 		
FREEPORT-MCMORAN O&G LLC	ONRR - Royalties	Gas	$7,177,660.14 		
FREEPORT-MCMORAN O&G LLC	ONRR - Royalties	Oil	$28,723,061.79 		
FREEPORT-MCMORAN O&G LLC	ONRR - Royalties	Other Commodities	$737.50 		
FREEPORT-MCMORAN O&G LLC	ONRR/BLM - Rents	Oil & Gas	$6,930.00 		
FRONTEER DEVELOPMENT (USA) INC	BLM - Permit Fees	Locatable Minerals	$269,700.00 		
GAS VENTURES LLC	ONRR - Other Revenues	N/A	$436.00 		
GAS VENTURES LLC	ONRR - Other Revenues	Oil & Gas	$4,731.13 		
GAS VENTURES LLC	ONRR - Royalties	Oil	$104,706.22 		
GASCO PRODUCTION CO	ONRR - Other Revenues	Oil & Gas	$2,786.14 		
GASCO PRODUCTION CO	ONRR - Royalties	Gas	$281,261.89 		
GASCO PRODUCTION CO	ONRR - Royalties	Oil	$162,892.87 		
GASCO PRODUCTION CO	ONRR/BLM - Rents	Oil & Gas	$2,140.50 		
GCC ENERGY LLC	ONRR - Royalties	Coal	Withheld		
GCC ENERGY LLC	ONRR/BLM - Rents	Coal	Withheld		
GCC ENERGY LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$65,658.44 		
GENERAL PRODUCTION SERVICE	ONRR - Other Revenues	Oil & Gas	$129,656.84 		
GENERAL PRODUCTION SERVICE	ONRR - Royalties	Oil	$10,006.99 		
GENESIS CRUDE OIL LP	ONRR - Royalties	Oil	$155,304.15 		
GENESIS ST OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$21,582.82 		
GENESIS ST OPERATING LLC	ONRR - Royalties	Gas	$79,370.33 		
GENESIS ST OPERATING LLC	ONRR - Royalties	Oil	$14,295.36 		
GENESIS ST OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$11,688.50 		
GEORGES COLLIERS INC	ONRR - Other Revenues	Coal	$1,949.32 		
GEORGES COLLIERS INC	ONRR - Royalties	Coal	$249,183.95 		
GEORGES COLLIERS INC	ONRR/BLM - Rents	Coal	$10,800.00 		
GFG RESOURCES (US) INC.	BLM - Permit Fees	Locatable Minerals	$267,711.00 		
GMT EXPLORATION CO LLC	ONRR - Other Revenues	Oil & Gas	$8,468.86 		
GMT EXPLORATION CO LLC	ONRR - Royalties	Gas	$274,016.84 		
GMT EXPLORATION CO LLC	ONRR - Royalties	Oil	$560,196.95 		
GMT EXPLORATION CO LLC	ONRR/BLM - Rents	Oil & Gas	$44,510.00 		
GOLD SPRINGS LLC	BLM - Permit Fees	Locatable Minerals	$148,955.00 		
GOLD STANDARD VENTURES US INC	BLM - Permit Fees	Locatable Minerals	$610,059.00 		
GOLDEN EAGLE PETROLEUM LIMITED	ONRR/BLM - Rents	Oil & Gas	$583,743.00 		
GOLDEN GRYPHON USA INC	BLM - Permit Fees	Locatable Minerals	$157,968.00 		
GOMEX ENERGY OFFSHORE LTD	ONRR - Inspection Fees	Oil & Gas	$50,400.00 		
GOMEX ENERGY OFFSHORE LTD	ONRR - Other Revenues	N/A	$119.31 		
GOMEX ENERGY OFFSHORE LTD	ONRR - Other Revenues	Oil & Gas	$3,457.30 		
GOMEX ENERGY OFFSHORE LTD	ONRR - Royalties	Gas	$60,778.78 		
GOMEX ENERGY OFFSHORE LTD	ONRR - Royalties	Oil	$2,627,763.44 		
GRANT CANYON OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	$95.00 		
GRANT CANYON OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	$1,495.39 		
GRANT CANYON OIL & GAS LLC	ONRR - Royalties	Oil	$309,768.51 		
GRANT CANYON OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	$59,419.50 		
GRAYMONT INC	BLM - Permit Fees	Locatable Minerals	$253,360.00 		
GREAT BASIN OIL LLC	BLM - Permit Fees	Locatable Minerals	$119,986.00 		
GREAT WESTERN DRILLING CO	ONRR - Other Revenues	Oil & Gas	$1,578.46 		
GREAT WESTERN DRILLING CO	ONRR - Royalties	Gas	$139,004.95 		
GREAT WESTERN DRILLING CO	ONRR - Royalties	Oil	$24,289.08 		
GREAT WESTERN DRILLING CO	ONRR/BLM - Rents	Oil & Gas	$380.00 		
GREAT WESTERN MINING CORP	BLM - Permit Fees	Locatable Minerals	$138,880.00 		
GREEN ENERGY RESOURCES INC	BLM - Permit Fees	Locatable Minerals	$103,148.00 		
GREEN MOUNTAIN MINING VENTURE	BLM - Permit Fees	Locatable Minerals	$402,690.00 		
GRMR OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	$8,855.59 		
GRMR OIL & GAS LLC	ONRR - Royalties	Oil	$114,622.28 		
GRMR OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	$196,415.70 		
GRP ELAND, LLC	BLM - Permit Fees	Locatable Minerals	$196,454.00 		
GSOE I LLC	ONRR/BLM - Rents	Wind	$289,290.00 		
GULFPORT ENERGY CORPORATION	ONRR/BLM - Bonus	Oil & Gas	$271,980.00 		
GULFPORT ENERGY CORPORATION	ONRR/BLM - Rents	Oil & Gas	$3,451.48 		
GULFSLOPE ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	$131,989.00 		
GULFSLOPE ENERGY INC	ONRR/BLM - Rents	Oil & Gas	$411,368.00 		
H. L. BROWN OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$846.35 		
H. L. BROWN OPERATING LLC	ONRR - Royalties	Gas	$144,754.93 		
HALCON RESOURCES CORP	ONRR - Other Revenues	N/A	$486.00 		
HALCON RESOURCES CORP	ONRR - Other Revenues	Oil & Gas	$6,768.97 		
HALCON RESOURCES CORP	ONRR - Royalties	Gas	$117,018.27 		
HALCON RESOURCES CORP	ONRR - Royalties	Oil	$1,145,486.17 		
HALLADOR PETROLEUM CO	ONRR - Royalties	Gas	$170,544.62 		
HALLADOR PETROLEUM CO	ONRR - Royalties	Oil	$1,565.26 		
HANNON & ASSOCIATES INC	BLM - Permit Fees	Oil & Gas	$2,880.00 		
HANNON & ASSOCIATES INC	ONRR - Other Revenues	Oil & Gas	$2.57 		
HANNON & ASSOCIATES INC	ONRR/BLM - Bonus	Oil & Gas	$6,314,090.00 		
HANNON & ASSOCIATES INC	ONRR/BLM - Rents	Oil & Gas	$26,442.00 		
HARRINGTON SW ENERGY LTD	ONRR - Other Revenues	Oil & Gas	$116.17 		
HARRINGTON SW ENERGY LTD	ONRR - Royalties	Gas	$132,271.05 		
HARRINGTON SW ENERGY LTD	ONRR - Royalties	Oil	$3,299.29 		
HARRIS, THOMPSON & FAILLERS	BLM - Permit Fees	Locatable Minerals	$231,105.00 		
HARVARD PETROLEUM CO LLC	ONRR - Royalties	Gas	$44,469.07 		
HARVARD PETROLEUM CO LLC	ONRR - Royalties	Oil	$177,889.02 		
HAT CREEK RESOURCES LLC	BLM - Permit Fees	Oil & Gas	$960.00 		
HAT CREEK RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	$820,250.00 		
HAT CREEK RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$9,849.00 		
HE&D OFFSHORE LP	ONRR - Other Revenues	Oil & Gas	$50,443.75 		
HE&D OFFSHORE LP	ONRR - Royalties	Gas	$37,827.76 		
HE&D OFFSHORE LP	ONRR - Royalties	Oil	$194,892.81 		
HEADINGTON OIL CO LLC	ONRR - Royalties	Gas	$22,190.98 		
HEADINGTON OIL CO LLC	ONRR - Royalties	Oil	$107,876.52 		
HECLA MINING CO	BLM - Permit Fees	Locatable Minerals	$304,110.00 		
HELIS OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	$735.00 		
HELIS OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	$41,506.57 		
HELIS OIL & GAS LLC	ONRR - Royalties	Gas	$2,143,816.22 		
HELIS OIL & GAS LLC	ONRR - Royalties	Oil	$4,371,816.43 		
HELIS OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	$15,829.00 		
HERBALY	ONRR - Other Revenues	Oil & Gas	$1,201.00 		
HERBALY	ONRR/BLM - Bonus	Oil & Gas	$191,680.00 		
HERBALY	ONRR/BLM - Rents	Oil & Gas	$16,787.00 		
HESS BAKKEN INVESTEMENTS I LLC	BLM - Permit Fees	Oil & Gas	$105,890.00 		
HESS CORP	BLM - Permit Fees	Oil & Gas	$184,770.00 		
HESS CORP	ONRR - Civil Penalties	N/A	$31,500.00 		
HESS CORP	ONRR - Inspection Fees	Oil & Gas	$976,000.00 		
HESS CORP	ONRR - Other Revenues	N/A	$1,536.27 		
HESS CORP	ONRR - Other Revenues	Oil & Gas	$822,216.35 		
HESS CORP	ONRR - Royalties	Gas	$12,724,416.81 		
HESS CORP	ONRR - Royalties	Oil	$93,287,286.01 		
HESS CORP	ONRR - Royalties	Other Commodities	$396,051.89 		
HESS CORP	ONRR/BLM - Bonus	Oil & Gas	$43,873,740.00 		
HESS CORP	ONRR/BLM - Rents	Oil & Gas	$2,451,306.50 		
HESTER'S GRANITE CO	BLM - Permit Fees	Mineral Materials	$106,502.71 		
HIAWATHA COAL COMPANY	ONRR - Other Revenues	Coal	Withheld		
HIAWATHA COAL COMPANY	ONRR - Royalties	Coal	Withheld		
HIAWATHA COAL COMPANY	ONRR/BLM - Rents	Coal	Withheld		
HILCORP ENERGY CO	BLM - Permit Fees	Mineral Materials	$825.00 		
HILCORP ENERGY CO	BLM - Permit Fees	Oil & Gas	$335,905.00 		
HILCORP ENERGY CO	ONRR - Inspection Fees	Oil & Gas	$17,000.00 		
HILCORP ENERGY CO	ONRR - Other Revenues	N/A	$872.00 		
HILCORP ENERGY CO	ONRR - Other Revenues	Oil & Gas	$131,554.17 		
HILCORP ENERGY CO	ONRR - Royalties	Gas	$10,615,514.26 		
HILCORP ENERGY CO	ONRR - Royalties	Oil	$8,895,516.52 		
HILCORP ENERGY CO	ONRR/BLM - Bonus	Oil & Gas	$3,034,815.00 		
HILCORP ENERGY CO	ONRR/BLM - Rents	Oil & Gas	$465,669.35 		
HILCORP SAN JUAN LP	ONRR - Other Revenues	Oil & Gas	$6,716,179.85 		
HILCORP SAN JUAN LP	ONRR - Royalties	Gas	$18,916,481.86 		
HILCORP SAN JUAN LP	ONRR - Royalties	Oil	$627,409.95 		
HILCORP SAN JUAN LP	ONRR/BLM - Rents	Oil & Gas	$9,106.50 		
HILINE RESOURCES LLC	BLM - Permit Fees	Oil & Gas	$480.00 		
HILINE RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	$1,095,474.00 		
HILINE RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$603.00 		
HOACTZIN PARTNERS LP	ONRR - Civil Penalties	N/A	$21,000.00 		
HOACTZIN PARTNERS LP	ONRR - Other Revenues	Oil & Gas	$104.78 		
HOACTZIN PARTNERS LP	ONRR - Royalties	Gas	$61,902.99 		
HOACTZIN PARTNERS LP	ONRR - Royalties	Oil	$6,479.78 		
HOACTZIN PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	$35,045.00 		
HOLLYFRONTIER CORP	ONRR - Royalties	Oil	$3,077,401.82 		
HOLMES WESTERN OIL CORP	ONRR - Other Revenues	Oil & Gas	$300.00 		
HOLMES WESTERN OIL CORP	ONRR - Royalties	Gas	$24,633.22 		
