Company	Revenue Type	Commodity	Revenue		
BERENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$1,120.00 		
BERRY PETROLEUM COMPANY	BLM - Permit Fees	Oil & Gas	$137,915.00 		
BETA OPERATING COMPANY LLC	ONRR - Royalties	Oil	$9,572,444.00 		
BH MINERALS USA INC	BLM - Permit Fees	Locatable Minerals	$181,040.00 		
BHP BILLITON LTD	BLM - Permit Fees	Locatable Minerals	$233,400.00 		
BHP BILLITON LTD	ONRR - Inspection Fees	Oil & Gas	$305,000.00 		
BHP BILLITON LTD	ONRR - Other Revenues	N/A	$514.71 		
BHP BILLITON LTD	ONRR - Other Revenues	Oil & Gas	$1,199,420.10 		
BHP BILLITON LTD	ONRR - Royalties	Gas	($9,967,935.11)		
BHP BILLITON LTD	ONRR - Royalties	Oil	$153,647,685.80 		
BHP BILLITON LTD	ONRR/BLM - Bonus	Oil & Gas	$1,152,000.00 		
BHP BILLITON LTD	ONRR/BLM - Rents	Oil & Gas	$13,406,028.88 		
BILL BARRETT CORP	BLM - Permit Fees	Oil & Gas	$29,370.00 		
BILL BARRETT CORP	ONRR - Other Revenues	N/A	$486.00 		
BILL BARRETT CORP	ONRR - Other Revenues	Oil & Gas	$225,408.97 		
BILL BARRETT CORP	ONRR - Royalties	Gas	$205,934.55 		
BILL BARRETT CORP	ONRR - Royalties	Oil	$2,555,611.50 		
BILL BARRETT CORP	ONRR/BLM - Rents	Oil & Gas	($114,713.16)		
BISON OIL & GAS II LLC	BLM - Permit Fees	Oil & Gas	$3,485.00 		
BISON OIL & GAS II LLC	ONRR - Other Revenues	Oil & Gas	$2,100.00 		
BISON OIL & GAS II LLC	ONRR - Royalties	Oil	$5,153.52 		
BISON OIL & GAS II LLC	ONRR/BLM - Bonus	Oil & Gas	$601,440.00 		
BISON OIL & GAS II LLC	ONRR/BLM - Rents	Oil & Gas	$120.00 		
BLACK BEAR OIL CORP	ONRR - Other Revenues	Oil & Gas	$1,510.87 		
BLACK BEAR OIL CORP	ONRR - Royalties	Gas	$31,516.29 		
BLACK BEAR OIL CORP	ONRR - Royalties	Oil	$515,601.00 		
BLACK BEAR OIL CORP	ONRR/BLM - Rents	Oil & Gas	$4,493.00 		
BLACK HILLS CORP	BLM - Permit Fees	Oil & Gas	$1,440.00 		
BLACK HILLS CORP	ONRR - Other Revenues	Other Commodities	Withheld		
BLACK HILLS CORP	ONRR - Royalties	Coal	Withheld		
BLACK HILLS CORP	ONRR - Royalties	Other Commodities	Withheld		
BLACK HILLS CORP	ONRR/BLM - Bonus	Other Commodities	Withheld		
BLACK HILLS CORP	ONRR/BLM - Rents	Coal	Withheld		
BLACK HILLS CORP	ONRR/BLM - Rents	Other Commodities	Withheld		
BLACK HILLS CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$1,182,022.68 		
BLACK WARRIOR MINERALS INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$102,823.54 		
BLACKHAWK MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$2,062,619.62 		
BLUE MOUNTAIN ENERGY INC	ONRR - Royalties	Coal	Withheld		
BLUE MOUNTAIN ENERGY INC	ONRR/BLM - Bonus	Coal	Withheld		
BLUE MOUNTAIN ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$230,333.04 		
