Company	Revenue Type	Commodity	Revenue
BEARTOOTH OIL & GAS CO	ONRR/BLM - Rents	Oil & Gas	$14,662
BEARTOOTH OIL & GAS CO	BLM - Permit Fees	Oil & Gas	$555
BENNU OIL & GAS LLC	ONRR - Inspection Fees	Oil & Gas	$98,500
BENNU OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	-$1,756,051
BENNU OIL & GAS LLC	ONRR - Royalties	Gas	$295,072
BENNU OIL & GAS LLC	ONRR - Royalties	Oil	$5,546,038
BENNU OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	$257,258
BENSING AND ASSOCIATES INC	BLM - Permit Fees	Locatable Minerals	$126,325
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Civil Penalties	N/A	$128,480
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	N/A	$436
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	Oil & Gas	$1,571
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Gas	$240,151
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Oil	$298,232
BENSON-MONTIN-GREER DRILLING CORP	ONRR/BLM - Rents	Oil & Gas	$2,773
BENTONITE PERFORMANCE MINERALS LLC	BLM - Permit Fees	Locatable Minerals	$196,206
BETA OPERATING CO LLC	ONRR - Inspection Fees	Oil & Gas	$187,500
BETA OPERATING CO LLC	ONRR - Royalties	Oil	$11,599,592
BHP BILLITON LTD	ONRR - Inspection Fees	Oil & Gas	$357,994
BHP BILLITON LTD	ONRR - Other Revenues	N/A	$2,670
BHP BILLITON LTD	ONRR - Other Revenues	Oil & Gas	-$687,677
BHP BILLITON LTD	ONRR - Royalties	Gas	$5,781,784
BHP BILLITON LTD	ONRR - Royalties	Oil	$117,509,295
BHP BILLITON LTD	ONRR/BLM - Bonus	Oil & Gas	$28,597,264
BHP BILLITON LTD	ONRR/BLM - Rents	Oil & Gas	$9,988,218
BHP BILLITON LTD	BLM - Permit Fees	Locatable Minerals	$391,385
BIG SMOKEY EXPLORATION LLC	BLM - Permit Fees	Locatable Minerals	$273,048
BILL BARRETT CORP	ONRR - Civil Penalties	N/A	$57,052
BILL BARRETT CORP	ONRR - Other Revenues	Oil & Gas	$26,257
BILL BARRETT CORP	ONRR - Royalties	Gas	$91,352
BILL BARRETT CORP	ONRR - Royalties	Oil	$1,793,038
BILL BARRETT CORP	ONRR/BLM - Bonus	Oil & Gas	-$6,464
BILL BARRETT CORP	ONRR/BLM - Rents	Oil & Gas	$12,454
