Company Name,Revenue Type,Commodity,Revenue,
ANGELLE & DONAHUE OIL & GAS PROPERTIES,Rents,Oil & Gas,64944,
ANKOR ENERGY LLC,Inspection Fees,Oil & Gas,1049300,
ANKOR ENERGY LLC,Other Revenues,Oil & Gas,-12222.13,
ANKOR ENERGY LLC,Rents,Oil & Gas,177490,
ANKOR ENERGY LLC,Royalties,Gas,6475447.17,
ANKOR ENERGY LLC,Royalties,Oil,51616337.48,
ANTERO RESOURCES CORP,Other Revenues,Oil & Gas,-63285.55,
ANTERO RESOURCES CORP,Rents,Oil & Gas,25720,
ANTERO RESOURCES CORP,Royalties,Gas,232174.38,
ANTERO RESOURCES CORP,Royalties,Oil,88834.77,
APEX OIL & GAS INC,Bonus,Oil & Gas,23017,
APEX OIL & GAS INC,Other Revenues,Oil & Gas,1025.8,
APEX OIL & GAS INC,Rents,Oil & Gas,36594,
APEX OIL & GAS INC,Royalties,Gas,1371662.56,
APEX OIL & GAS INC,Royalties,Oil,58140.09,
ARCH COAL INC,Bonus,Coal,60436982.34,
ARCH COAL INC,Other Revenues,Coal,3583452.5,
ARCH COAL INC,Rents,Coal,205384.75,
ARCH COAL INC,Rents,Oil & Gas,30196.5,
ARCH COAL INC,Royalties,Coal,182167078.35,
ARENA ENERGY,Bonus,Oil & Gas,1307000,
ARENA ENERGY,Civil Penalties,N/A,90000,
ARENA ENERGY,Inspection Fees,Oil & Gas,2030000,
ARENA ENERGY,Other Revenues,N/A,201.95,
ARENA ENERGY,Other Revenues,Oil & Gas,81220.39,
ARENA ENERGY,Rents,Oil & Gas,1182339.84,
ARENA ENERGY,Royalties,Gas,12154105.69,
ARENA ENERGY,Royalties,Oil,73382409.31,
ARMSTRONG CORP,Rents,Oil & Gas,8213,
ARMSTRONG CORP,Royalties,Oil,254665.13,
ARNELL OIL COMPANY,Royalties,Oil,246470,
ARROWHEAD RESOURCES (USA) LTD,Other Revenues,Oil & Gas,5266.73,
ARROWHEAD RESOURCES (USA) LTD,Royalties,Gas,534357.36,
ARSENAL ENERGY INC,Royalties,Gas,537.47,
ARSENAL ENERGY INC,Royalties,Oil,147072.45,
ASPEN OPERATING COMPANY LLC,Other Revenues,Oil & Gas,617.99,
ASPEN OPERATING COMPANY LLC,Royalties,Gas,13342.13,
ASPEN OPERATING COMPANY LLC,Royalties,Oil,93386.99,
ATLAS RESOURCES LLC,Other Revenues,Oil & Gas,4708.28,
ATLAS RESOURCES LLC,Rents,Oil & Gas,669,
ATLAS RESOURCES LLC,Royalties,Gas,326599.86,
ATLAS RESOURCES LLC,Royalties,Oil,79751.86,
ATP OIL & GAS,Other Revenues,Oil & Gas,-175931.83,
ATP OIL & GAS,Rents,Oil & Gas,532190,
ATP OIL & GAS,Royalties,Gas,505095.1,
ATP OIL & GAS,Royalties,Oil,30488069.9,
AUGUSTUS ENERGY PARTNERS LLC,Other Revenues,Oil & Gas,3603.68,
AUGUSTUS ENERGY PARTNERS LLC,Rents,Oil & Gas,19334.5,
AUGUSTUS ENERGY PARTNERS LLC,Royalties,Gas,470732.71,
AUGUSTUS ENERGY PARTNERS LLC,Royalties,Oil,2464.36,
AVALANCHE ENERGY INC,Bonus,Oil & Gas,794960,
AVALANCHE ENERGY INC,Rents,Oil & Gas,3339,
AXIA ENERGY LLC,Other Revenues,Oil & Gas,21262.05,
AXIA ENERGY LLC,Rents,Oil & Gas,16944,
AXIA ENERGY LLC,Royalties,Gas,135688.02,
AXIA ENERGY LLC,Royalties,Oil,1655367.8,
B.C. OPERATING INC,Other Revenues,Oil & Gas,7059.06,
B.C. OPERATING INC,Rents,Oil & Gas,2000,
B.C. OPERATING INC,Royalties,Gas,51654.56,
B.C. OPERATING INC,Royalties,Oil,150235.19,
BADGER OIL CORP,Inspection Fees,Oil & Gas,17000,
BADGER OIL CORP,Other Revenues,Oil & Gas,-1435.27,
BADGER OIL CORP,Royalties,Gas,-3882.87,
BADGER OIL CORP,Royalties,Oil,401583.07,
BALLARD PETROLEUM HOLDINGS LLC,Bonus,Oil & Gas,9568,
BALLARD PETROLEUM HOLDINGS LLC,Other Revenues,Oil & Gas,6138.08,
BALLARD PETROLEUM HOLDINGS LLC,Rents,Oil & Gas,20736.5,
BALLARD PETROLEUM HOLDINGS LLC,Royalties,Gas,91910.03,
BALLARD PETROLEUM HOLDINGS LLC,Royalties,Oil,4845688.28,
BARNES LAND & ENERGY COMPANY,Bonus,Oil & Gas,295145,
BARNES LAND & ENERGY COMPANY,Rents,Oil & Gas,50730,
"BARTON, ROY G JR",Bonus,Oil & Gas,17050,
"BARTON, ROY G JR",Rents,Geothermal,6300,
"BARTON, ROY G JR",Rents,Oil & Gas,156336.5,
BAYTEX ENERGY USA LTD,Bonus,Oil & Gas,209000,
BAYTEX ENERGY USA LTD,Other Revenues,Oil & Gas,3179.25,
BAYTEX ENERGY USA LTD,Rents,Oil & Gas,4602,
BAYTEX ENERGY USA LTD,Royalties,Gas,172.88,
BAYTEX ENERGY USA LTD,Royalties,Oil,217009.49,
BEARCAT ENERGY LLC,Other Revenues,Oil & Gas,3367.27,
BEARCAT ENERGY LLC,Royalties,Gas,322682.99,
BEARTOOTH OIL & GAS COMPANY,Other Revenues,Oil & Gas,2515.97,
BEARTOOTH OIL & GAS COMPANY,Rents,Oil & Gas,13008,
BEARTOOTH OIL & GAS COMPANY,Royalties,Gas,211251.41,
BEARTOOTH OIL & GAS COMPANY,Royalties,Oil,30406.09,
BELOW THRESHOLD,Bonus,Geothermal,2462,
BELOW THRESHOLD,Bonus,Oil & Gas,3152137.75,
BELOW THRESHOLD,Civil Penalties,N/A,690408.9,
BELOW THRESHOLD,Inspection Fees,Oil & Gas,809434.9,
BELOW THRESHOLD,Other Revenues,Clay,942,
BELOW THRESHOLD,Other Revenues,Coal,83088.67,
BELOW THRESHOLD,Other Revenues,Copper,26110,
BELOW THRESHOLD,Other Revenues,Geothermal,120060.41,
BELOW THRESHOLD,Other Revenues,Gilsonite,7077,
BELOW THRESHOLD,Other Revenues,Hardrock,21751.04,
BELOW THRESHOLD,Other Revenues,N/A,45971.01,
BELOW THRESHOLD,Other Revenues,Oil & Gas,1511468.7,
BELOW THRESHOLD,Other Revenues,Phosphate,10278,
BELOW THRESHOLD,Other Revenues,Potassium,54873.63,
BELOW THRESHOLD,Other Revenues,Sodium,73.93,
BELOW THRESHOLD,Rents,Clay,314,
BELOW THRESHOLD,Rents,Coal,-17729.5,
BELOW THRESHOLD,Rents,Copper,-2611,
BELOW THRESHOLD,Rents,Geothermal,619644,
BELOW THRESHOLD,Rents,Gilsonite,1086.5,
BELOW THRESHOLD,Rents,Hardrock,19973,
BELOW THRESHOLD,Rents,Oil & Gas,7146194.67,
BELOW THRESHOLD,Rents,Oil Shale,640,
BELOW THRESHOLD,Rents,Phosphate,-7371.5,
BELOW THRESHOLD,Rents,Potassium,83790,
BELOW THRESHOLD,Rents,Sodium,-70.5,
BELOW THRESHOLD,Rents,Wind,111762.92,
BELOW THRESHOLD,Royalties,Coal,20996.3,
BELOW THRESHOLD,Royalties,Gas,7407967.73,
BELOW THRESHOLD,Royalties,Geothermal,72080.7,
BELOW THRESHOLD,Royalties,Oil,7901996.84,
BELOW THRESHOLD,Royalties,Other Commodities,153684.3,
BENSON-MONTIN-GREER DRILLING CORP,Other Revenues,Oil & Gas,106991.98,
BENSON-MONTIN-GREER DRILLING CORP,Rents,Oil & Gas,3813,
BENSON-MONTIN-GREER DRILLING CORP,Royalties,Gas,1008817.9,
BENSON-MONTIN-GREER DRILLING CORP,Royalties,Oil,1028275.6,
BERENERGY CORP,Other Revenues,Oil & Gas,523.24,
BERENERGY CORP,Rents,Oil & Gas,1120,
BERENERGY CORP,Royalties,Gas,193172.26,
BERENERGY CORP,Royalties,Oil,68672.04,
BETA OPERATING COMPANY LLC,Civil Penalties,N/A,30000,
BETA OPERATING COMPANY LLC,Inspection Fees,Oil & Gas,50100,
BETA OPERATING COMPANY LLC,Royalties,Oil,34524340.11,
BHP BILLITON LTD,Bonus,Oil & Gas,121705398,
BHP BILLITON LTD,Inspection Fees,Oil & Gas,505980.11,
BHP BILLITON LTD,Other Revenues,Coal,25449.02,
BHP BILLITON LTD,Other Revenues,N/A,2112.48,
BHP BILLITON LTD,Other Revenues,Oil & Gas,162636.82,
BHP BILLITON LTD,Rents,Coal,52716,
BHP BILLITON LTD,Rents,Oil & Gas,11478349,
BHP BILLITON LTD,Royalties,Coal,14827533.41,
BHP BILLITON LTD,Royalties,Gas,9202424.26,
BHP BILLITON LTD,Royalties,Oil,266913554.86,
BILL BARRETT CORP,Bonus,Oil & Gas,54730,
BILL BARRETT CORP,Other Revenues,Oil & Gas,-2536704.98,
BILL BARRETT CORP,Rents,Oil & Gas,364275,
BILL BARRETT CORP,Royalties,Gas,18906767.74,
BILL BARRETT CORP,Royalties,Oil,10042925.95,
BISSELL EXPLORATION LLC,Rents,Oil & Gas,273088.5,
BLACK BEAR OIL CORP,Other Revenues,Oil & Gas,-5543.51,
BLACK BEAR OIL CORP,Rents,Oil & Gas,1022,
BLACK BEAR OIL CORP,Royalties,Gas,79048.28,
BLACK BEAR OIL CORP,Royalties,Oil,1124104.06,
BLACK DIAMOND MINERALS LLC,Other Revenues,Oil & Gas,6762.2,
BLACK DIAMOND MINERALS LLC,Rents,Oil & Gas,169118.5,
BLACK DIAMOND MINERALS LLC,Royalties,Gas,245309.88,
BLACK DIAMOND MINERALS LLC,Royalties,Oil,46924.05,
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,Civil Penalties,N/A,351250,
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,Inspection Fees,Oil & Gas,1662900,
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,Other Revenues,N/A,11712.82,
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,Other Revenues,Oil & Gas,-123200.84,
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,Rents,Oil & Gas,12330,
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,Royalties,Gas,10305139.55,
BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,Royalties,Oil,32309483.97,
BLACK HILLS CORP,Other Revenues,Oil & Gas,-8923.73,
BLACK HILLS CORP,Rents,Coal,10014,
BLACK HILLS CORP,Rents,Oil & Gas,29127,
BLACK HILLS CORP,Royalties,Coal,7350396.81,
BLACK HILLS CORP,Royalties,Gas,1352588.87,
BLACK HILLS CORP,Royalties,Oil,1590185.24,
BLAIR HOUSE LLC,Bonus,Oil & Gas,125692,
BLAIR HOUSE LLC,Rents,Oil & Gas,6489,
BLUE MOUNTAIN ENERGY INC,Bonus,Coal,1278000,
BLUE MOUNTAIN ENERGY INC,Rents,Coal,9465,
BLUE MOUNTAIN ENERGY INC,Royalties,Coal,1197051.16,
BLUE TIP ENERGY LLC,Other Revenues,Oil & Gas,31790.96,
BLUE TIP ENERGY LLC,Rents,Oil & Gas,14582,
BLUE TIP ENERGY LLC,Royalties,Gas,92702.04,
BLUEWATER WIND DELAWARE LLC,Bonus,Wind,24107.5,
BLUEWATER WIND DELAWARE LLC,Rents,Wind,578580,
BML INC,Other Revenues,Oil & Gas,238.31,
BML INC,Royalties,Oil,942155.07,
BNI COAL LTD,Rents,Coal,8886,
BNI COAL LTD,Royalties,Coal,360930.22,
BOIS D ARC EXPLORATION LLC,Civil Penalties,N/A,20000,
BOIS D ARC EXPLORATION LLC,Inspection Fees,Oil & Gas,77300,
BOIS D ARC EXPLORATION LLC,Rents,Oil & Gas,210270,
BONANZA CREEK ENERGY OPERATING COMPANY LLC,Other Revenues,Oil & Gas,12748.99,
BONANZA CREEK ENERGY OPERATING COMPANY LLC,Rents,Oil & Gas,42936.85,
BONANZA CREEK ENERGY OPERATING COMPANY LLC,Royalties,Gas,60911.97,
BONANZA CREEK ENERGY OPERATING COMPANY LLC,Royalties,Oil,493043.7,
BONANZA CREEK ENERGY OPERATING COMPANY LLC,Royalties,Other Commodities,18266.08,
BOPCO LP,Other Revenues,Oil & Gas,32679.79,
BOPCO LP,Rents,Oil & Gas,52115,
BOPCO LP,Royalties,Gas,14269898.01,
BOPCO LP,Royalties,Oil,64404678.25,
BOWIE RESOURCES LLC,Bonus,Coal,-118.65,
BOWIE RESOURCES LLC,Other Revenues,Coal,12342.92,
BOWIE RESOURCES LLC,Rents,Coal,-68896.99,
BOWIE RESOURCES LLC,Royalties,Coal,31416536.58,
BP AMERICA INC,Civil Penalties,N/A,60000,
BP AMERICA INC,Inspection Fees,Oil & Gas,1944000,
BP AMERICA INC,Other Revenues,N/A,214,
BP AMERICA INC,Other Revenues,Oil & Gas,3004112.56,
BP AMERICA INC,Rents,Oil & Gas,27127585,
BP AMERICA INC,Royalties,Gas,91086143.07,
BP AMERICA INC,Royalties,Oil,756069921.96,
BRADEN EXPLORATION LLC,Other Revenues,Oil & Gas,8264.18,
BRADEN EXPLORATION LLC,Royalties,Gas,151030.53,
BRADEN EXPLORATION LLC,Royalties,Oil,145535.48,
BRAZOS LP,Other Revenues,Oil & Gas,0,
BRAZOS LP,Royalties,Gas,127211.73,
BRAZOS LP,Royalties,Oil,80239.21,
BREITBURN ENERGY PARTNERS LP,Other Revenues,N/A,473.08,
BREITBURN ENERGY PARTNERS LP,Other Revenues,Oil & Gas,20762.88,
BREITBURN ENERGY PARTNERS LP,Rents,Oil & Gas,15434.75,
BREITBURN ENERGY PARTNERS LP,Royalties,Gas,4593520.2,
BREITBURN ENERGY PARTNERS LP,Royalties,Oil,8393611.8,
BROWER OIL AND GAS COMPANY INC,Other Revenues,Oil & Gas,376.03,
BROWER OIL AND GAS COMPANY INC,Royalties,Oil,232391.08,
BTA OIL PRODUCERS LLC,Other Revenues,Oil & Gas,2674.23,
BTA OIL PRODUCERS LLC,Rents,Oil & Gas,16805,
BTA OIL PRODUCERS LLC,Royalties,Gas,208381.1,
BTA OIL PRODUCERS LLC,Royalties,Oil,675361.31,
BULLOCK CORP,Bonus,Oil & Gas,399245,
BULLOCK CORP,Rents,Oil & Gas,81563,
BURGUNDY OIL & GAS OF NEW MEXICO INC,Other Revenues,Oil & Gas,100.46,
BURGUNDY OIL & GAS OF NEW MEXICO INC,Royalties,Gas,32233.36,
BURGUNDY OIL & GAS OF NEW MEXICO INC,Royalties,Oil,127150.28,
BURNETT OIL COMPANY INC,Other Revenues,Oil & Gas,14181.28,
BURNETT OIL COMPANY INC,Rents,Oil & Gas,25446,
BURNETT OIL COMPANY INC,Royalties,Gas,3146260.71,
BURR OIL & GAS INC,Other Revenues,Oil & Gas,880,
BURR OIL & GAS INC,Royalties,Gas,80088.5,
BURR OIL & GAS INC,Royalties,Oil,40031.39,
BYRON ENERGY INC,Bonus,Oil & Gas,946560,
BYRON ENERGY INC,Rents,Oil & Gas,756098,
CABOT OIL & GAS CORP,Other Revenues,Oil & Gas,3238669.29,
CABOT OIL & GAS CORP,Rents,Oil & Gas,189098,
CABOT OIL & GAS CORP,Royalties,Gas,70828.67,
CABOT OIL & GAS CORP,Royalties,Oil,17786.41,
CAERUS OIL AND GAS LLC,Other Revenues,Oil & Gas,12018.15,
CAERUS OIL AND GAS LLC,Rents,Oil & Gas,7154,
CAERUS OIL AND GAS LLC,Royalties,Gas,622347.32,
CAERUS OIL AND GAS LLC,Royalties,Oil,43747.31,
CAERUS OIL AND GAS LLC,Royalties,Other Commodities,1.2,
CALLON PETROLEUM COMPANY,Inspection Fees,Oil & Gas,34000,
CALLON PETROLEUM COMPANY,Other Revenues,Oil & Gas,-1238.16,
CALLON PETROLEUM COMPANY,Rents,Oil & Gas,235295.5,
CALLON PETROLEUM COMPANY,Royalties,Gas,979549.26,
CALLON PETROLEUM COMPANY,Royalties,Oil,126577.7,
CALPINE CORP,Other Revenues,Geothermal,11.58,
CALPINE CORP,Rents,Geothermal,109620,
CALPINE CORP,Royalties,Geothermal,6532479.85,
CALYPSO EXPLORATION LLC,Bonus,Oil & Gas,197890,
CALYPSO EXPLORATION LLC,Other Revenues,Oil & Gas,16237.77,
CALYPSO EXPLORATION LLC,Rents,Oil & Gas,39737,
CALYPSO EXPLORATION LLC,Royalties,Gas,35210.95,
CALYPSO EXPLORATION LLC,Royalties,Oil,1619901.92,
CALYX ENERGY LLC,Bonus,Oil & Gas,213980,
CALYX ENERGY LLC,Rents,Oil & Gas,7635,
CANO PETROLEUM OF NEW MEXICO INC,Other Revenues,Oil & Gas,974.22,
CANO PETROLEUM OF NEW MEXICO INC,Royalties,Gas,13100.98,
CANO PETROLEUM OF NEW MEXICO INC,Royalties,Oil,359400.54,
CARRELL OIL COMPANY,Rents,Oil & Gas,966,
CARRELL OIL COMPANY,Royalties,Oil,99810.78,
CASTEX OFFSHORE INC,Bonus,Oil & Gas,6207425,
CASTEX OFFSHORE INC,Inspection Fees,Oil & Gas,375900,
CASTEX OFFSHORE INC,Other Revenues,Oil & Gas,151814.27,
CASTEX OFFSHORE INC,Rents,Oil & Gas,1019255,
CASTEX OFFSHORE INC,Royalties,Gas,6525891.81,
CASTEX OFFSHORE INC,Royalties,Oil,15514770.56,
CASTLETON COMMODITIES INTERNATIONAL LLC,Other Revenues,Oil & Gas,22072.98,
CASTLETON COMMODITIES INTERNATIONAL LLC,Rents,Oil & Gas,61517,
CASTLETON COMMODITIES INTERNATIONAL LLC,Royalties,Gas,1869187.01,
CASTLETON COMMODITIES INTERNATIONAL LLC,Royalties,Oil,662737.65,
CBM GAS COMPANY LLC,Other Revenues,Oil & Gas,231.78,
CBM GAS COMPANY LLC,Royalties,Gas,234790.74,
CHACO ENERGY COMPANY,Other Revenues,Oil & Gas,664.47,
CHACO ENERGY COMPANY,Rents,Oil & Gas,1280,
CHACO ENERGY COMPANY,Royalties,Gas,124018.34,
CHACO ENERGY COMPANY,Royalties,Oil,216330.53,
CHAPARRAL ENERGY LLC,Other Revenues,N/A,428,
CHAPARRAL ENERGY LLC,Other Revenues,Oil & Gas,3307.51,
CHAPARRAL ENERGY LLC,Rents,Oil & Gas,1588,
CHAPARRAL ENERGY LLC,Royalties,Gas,192677.27,
CHAPARRAL ENERGY LLC,Royalties,Oil,312604.93,
CHARGER RESOURCES LLC,Other Revenues,N/A,214,
CHARGER RESOURCES LLC,Other Revenues,Oil & Gas,208422.36,
CHARGER RESOURCES LLC,Rents,Oil & Gas,658,
CHARGER RESOURCES LLC,Royalties,Gas,196943.05,
CHARGER RESOURCES LLC,Royalties,Oil,460897.86,
CHEMILY MANAGEMENT COMPANY,Other Revenues,Oil & Gas,509.34,
CHEMILY MANAGEMENT COMPANY,Royalties,Gas,51900.48,
CHEMILY MANAGEMENT COMPANY,Royalties,Oil,416563.84,
CHESAPEAKE EXPLORATION LLC,Bonus,Oil & Gas,646120,
CHESAPEAKE EXPLORATION LLC,Civil Penalties,N/A,765000,
CHESAPEAKE EXPLORATION LLC,Other Revenues,N/A,1078,
CHESAPEAKE EXPLORATION LLC,Other Revenues,Oil & Gas,15981.88,
CHESAPEAKE EXPLORATION LLC,Rents,Oil & Gas,1166915.5,
CHESAPEAKE EXPLORATION LLC,Royalties,Gas,9223454.84,
CHESAPEAKE EXPLORATION LLC,Royalties,Oil,10162579.58,
CHEVRON CORP,Bonus,Oil & Gas,101636143,
CHEVRON CORP,Civil Penalties,N/A,40000,
CHEVRON CORP,Inspection Fees,Oil & Gas,7394900,
CHEVRON CORP,Other Revenues,Coal,339.19,
CHEVRON CORP,Other Revenues,N/A,1459.41,
CHEVRON CORP,Other Revenues,Oil & Gas,3162766.99,
CHEVRON CORP,Rents,Coal,23598,
CHEVRON CORP,Rents,Oil & Gas,19125162.22,
CHEVRON CORP,Rents,Oil Shale,304,
CHEVRON CORP,Royalties,Coal,598650.4,
CHEVRON CORP,Royalties,Gas,118284944.65,
CHEVRON CORP,Royalties,Oil,708123645.93,
CHEVRON CORP,Royalties,Other Commodities,390526.29,
CHISOS LTD,Other Revenues,Oil & Gas,3527.77,
CHISOS LTD,Rents,Oil & Gas,13056,
CHISOS LTD,Royalties,Gas,57405.87,
CHISOS LTD,Royalties,Oil,90698.92,
CHUZA OIL COMPANY,Other Revenues,Oil & Gas,382.45,
CHUZA OIL COMPANY,Rents,Oil & Gas,516,
CHUZA OIL COMPANY,Royalties,Oil,99984.01,
CIMAREX ENERGY INC,Civil Penalties,N/A,327450,
CIMAREX ENERGY INC,Inspection Fees,Oil & Gas,134800,
CIMAREX ENERGY INC,Other Revenues,N/A,42739.95,
CIMAREX ENERGY INC,Other Revenues,Oil & Gas,3669039.13,
CIMAREX ENERGY INC,Rents,Oil & Gas,45254,
CIMAREX ENERGY INC,Royalties,Gas,12570333.21,
CIMAREX ENERGY INC,Royalties,Oil,54449822.88,
CIMARRON EXPLORATION COMPANY,Rents,Oil & Gas,-1280,
CIMARRON EXPLORATION COMPANY,Royalties,Oil,113550.03,
CIRIS ENERGY INC,Other Revenues,Oil & Gas,295.51,
CIRIS ENERGY INC,Royalties,Gas,146177.92,
CIRQUE RESOURCES LP,Bonus,Oil & Gas,38050,
CIRQUE RESOURCES LP,Rents,Oil & Gas,208937,
CITATION OIL & GAS CORP,Other Revenues,Oil & Gas,96301.17,
CITATION OIL & GAS CORP,Rents,Oil & Gas,25844.25,
CITATION OIL & GAS CORP,Royalties,Gas,702088.78,
CITATION OIL & GAS CORP,Royalties,Oil,12998990.91,
CLAYTON WILLIAMS ENERGY INC,Other Revenues,Oil & Gas,965.48,
CLAYTON WILLIAMS ENERGY INC,Rents,Oil & Gas,9560,
CLAYTON WILLIAMS ENERGY INC,Royalties,Gas,175883.55,
CLAYTON WILLIAMS ENERGY INC,Royalties,Oil,646331.74,
CLOUD PEAK ENERGY INC,Bonus,Coal,79026630.4,
CLOUD PEAK ENERGY INC,Other Revenues,N/A,214,
CLOUD PEAK ENERGY INC,Rents,Coal,100997,
CLOUD PEAK ENERGY INC,Royalties,Coal,120674727.46,
CML EXPLORATION LLC,Other Revenues,Oil & Gas,103.19,
CML EXPLORATION LLC,Royalties,Gas,40737.5,
CML EXPLORATION LLC,Royalties,Oil,86203.64,
COBALT INTERNATIONAL ENERGY LP,Bonus,Oil & Gas,54536650,
COBALT INTERNATIONAL ENERGY LP,Inspection Fees,Oil & Gas,335500,
COBALT INTERNATIONAL ENERGY LP,Rents,Oil & Gas,9652834.5,
COCHRAN WILLIAM,Bonus,Oil & Gas,99803,
COCHRAN WILLIAM,Rents,Oil & Gas,3481.5,
COLEMAN OIL & GAS INC,Bonus,Oil & Gas,3286969,
COLEMAN OIL & GAS INC,Other Revenues,Oil & Gas,-21167.54,
COLEMAN OIL & GAS INC,Rents,Oil & Gas,29501,
COLEMAN OIL & GAS INC,Royalties,Gas,709898.81,
COLEMAN OIL & GAS INC,Royalties,Oil,75223.67,
COLUMBIA PIPELINE GROUP,Other Revenues,Oil & Gas,344727.17,
COLUMBIA PIPELINE GROUP,Rents,Oil & Gas,715,
CONCHO RESOURCES INC,Other Revenues,N/A,436,
CONCHO RESOURCES INC,Other Revenues,Oil & Gas,-99414.61,
CONCHO RESOURCES INC,Other Revenues,Sodium,-9236.31,
CONCHO RESOURCES INC,Rents,Oil & Gas,102367.49,
CONCHO RESOURCES INC,Rents,Sodium,-2200,
CONCHO RESOURCES INC,Royalties,Gas,19028587.01,
CONCHO RESOURCES INC,Royalties,Oil,70407106.28,
CONOCOPHILLIPS,Bonus,Oil & Gas,131941971,
CONOCOPHILLIPS,Inspection Fees,Oil & Gas,322000,
CONOCOPHILLIPS,Other Revenues,N/A,4007.24,
CONOCOPHILLIPS,Other Revenues,Oil & Gas,2628274.54,
CONOCOPHILLIPS,Rents,Oil & Gas,24564118.93,
CONOCOPHILLIPS,Royalties,Gas,161896487.89,
CONOCOPHILLIPS,Royalties,Oil,99208646.74,
CONOCOPHILLIPS,Royalties,Other Commodities,45333.62,
CONSOL ENERGY,Bonus,Coal,40320,
CONSOL ENERGY,Other Revenues,Coal,330.35,
CONSOL ENERGY,Other Revenues,Oil & Gas,15523.52,
CONSOL ENERGY,Rents,Coal,3000,
CONSOL ENERGY,Royalties,Coal,130476.34,
CONTANGO OPERATORS INC,Bonus,Oil & Gas,1743331,
CONTANGO OPERATORS INC,Civil Penalties,N/A,20000,
CONTANGO OPERATORS INC,Inspection Fees,Oil & Gas,150500,
CONTANGO OPERATORS INC,Other Revenues,Oil & Gas,568308.6,
CONTANGO OPERATORS INC,Rents,Oil & Gas,320759,
CONTANGO OPERATORS INC,Royalties,Gas,17060265.28,
CONTANGO OPERATORS INC,Royalties,Oil,6299535.15,
CONTEX ENERGY COMPANY,Bonus,Oil & Gas,58376,
CONTEX ENERGY COMPANY,Rents,Oil & Gas,75754.5,
CONTINENTAL RESOURCES INC,Bonus,Oil & Gas,26000510,
CONTINENTAL RESOURCES INC,Other Revenues,N/A,1934,
CONTINENTAL RESOURCES INC,Other Revenues,Oil & Gas,27857.78,
