Year,Revenue Type,Commodity,Revenue
2010,Other Revenues,Geothermal,101622.42
2010,Other Revenues,Gilsonite,327
2010,Other Revenues,Hardrock,39552.77
2010,Other Revenues,Oil & Gas,161821443.14
2010,Other Revenues,Oil Shale,0
2010,Other Revenues,Phosphate,159661
2010,Other Revenues,Potassium,201397.97
2010,Other Revenues,Sodium,154421.45
2010,Other Revenues,Sulfur,12551.32
2010,Bonus,Coal,109259486.55
2010,Bonus,Geothermal,2772303
2010,Bonus,Gilsonite,1500
2010,Bonus,Oil & Gas,1047068867.08
2010,Bonus,Phosphate,6892
2010,Bonus,Sodium,120
2010,Rents,Asphalt,-2397.5
2010,Rents,Clay,154
2010,Rents,Coal,1349863.35
2010,Rents,Garnet,80
2010,Rents,Geothermal,3177496.7
2010,Rents,Gilsonite,1120.5
2010,Rents,Hardrock,1386.93
2010,Rents,Limestone,-200
2010,Rents,Oil & Gas,283010427.18
2010,Rents,Phosphate,-3650
2010,Rents,Potassium,-78692
2010,Rents,Sodium,-13140.66
2010,Rents,Tar Sands,7732
2010,Rents,Wind,139517.76
2011,Royalties,Coal,786436267.06
2011,Royalties,Gas,2758830313.81
2011,Royalties,Geothermal,11642243.05
2011,Royalties,Oil,6424132283.49002
2011,Royalties,Other Commodities,132042156.19
2011,Other Revenues,Clay,462
2011,Other Revenues,Coal,4882054.32
2011,Other Revenues,Copper,26110
2011,Other Revenues,Geothermal,39969.6
2011,Other Revenues,Gilsonite,14058
2011,Other Revenues,Hardrock,40478.05
2011,Other Revenues,Oil & Gas,65973081.9000001
2011,Other Revenues,Oil Shale,0
2011,Other Revenues,Phosphate,160807
2011,Other Revenues,Potassium,304066.4
2011,Other Revenues,Sodium,184332.34
2011,Other Revenues,Sulfur,12670.72
2011,Bonus,Coal,246413527.16
2011,Bonus,Geothermal,432591
2011,Bonus,Oil & Gas,327336225.25
2011,Bonus,Phosphate,755824
2011,Bonus,Potassium,20962776.73
2011,Bonus,Sodium,120
2011,Rents,Clay,314
2011,Rents,Coal,1317319.26
2011,Rents,Geothermal,3341120
2011,Rents,Gilsonite,-1329.5
2011,Rents,Hardrock,-1448.5
2011,Rents,Oil & Gas,258377585.44
2011,Rents,Oil Shale,1252
2011,Rents,Phosphate,-3367.5
2011,Rents,Potassium,112209.25
2011,Rents,Sodium,-5843.3
2011,Rents,Wind,135247.84
2012,Royalties,Coal,783918575.19
2012,Royalties,Gas,1848461588.39
2012,Royalties,Geothermal,11853626.24
2012,Royalties,Oil,6631392919.90001
2012,Royalties,Other Commodities,169771086.37
2012,Other Revenues,Clay,462
2012,Other Revenues,Coal,5876638.46
2012,Other Revenues,Copper,26110
2012,Other Revenues,Geothermal,12621.36
2012,Other Revenues,Gilsonite,-1533
2012,Other Revenues,Hardrock,46501.96
2012,Other Revenues,Oil & Gas,37689318.98
2012,Other Revenues,Phosphate,138052
2012,Other Revenues,Potassium,328069.62
2012,Other Revenues,Sodium,121166
2012,Other Revenues,Sulfur,12429.6
2012,Bonus,Coal,556656544.43
2012,Bonus,Geothermal,72138
2012,Bonus,Hardrock,30
2012,Bonus,Oil & Gas,2272937980.97
2012,Bonus,Phosphate,799997.74
2012,Bonus,Potassium,2334568
2012,Bonus,Sodium,-480
2012,Rents,Clay,-6
2012,Rents,Coal,1380223.28
2012,Rents,Geothermal,2864406
2012,Rents,Gilsonite,-3201.5
2012,Rents,Hardrock,10230
2012,Rents,Oil & Gas,287040058.84
2012,Rents,Oil Shale,2180
2012,Rents,Phosphate,1921.5
2012,Rents,Potassium,161501.75
2012,Rents,Sodium,26095.49
2012,Rents,Wind,128842.84
2013,Royalties,Coal,667682678.48
2013,Royalties,Gas,1975733147.3
2013,Royalties,Geothermal,12340958.16
2013,Royalties,Oil,7030423790.60001
2013,Royalties,Other Commodities,159846745.18
2013,Other Revenues,Clay,942
2013,Other Revenues,Coal,3934249.85
2013,Other Revenues,Copper,26110
2013,Other Revenues,Geothermal,13180.33
2013,Other Revenues,Gilsonite,4191
2013,Other Revenues,Hardrock,37845.55
2013,Other Revenues,Oil & Gas,42840479.86
2013,Other Revenues,Phosphate,149271
2013,Other Revenues,Potassium,365623
2013,Other Revenues,Sodium,45103.98
2013,Other Revenues,Sulfur,11186
2013,Bonus,Coal,460039881.79
2013,Bonus,Geothermal,96344
2013,Bonus,Oil & Gas,1614412777.25
2013,Bonus,Potassium,504944
2013,Bonus,Wind,4713568.5
2013,Rents,Clay,314
2013,Rents,Coal,1163029.01
2013,Rents,Copper,-2611
2013,Rents,Geothermal,2587597
2013,Rents,Gilsonite,1826.5
2013,Rents,Hardrock,20420
2013,Rents,Oil & Gas,284015521.73
2013,Rents,Oil Shale,1876
2013,Rents,Phosphate,-11769
2013,Rents,Potassium,77372
2013,Rents,Sodium,27486.5
2013,Rents,Wind,1106665.92
