YEAR	STATE	COUNTY	BATTLEFIELD	ACRES	 AMOUNT
2013	VA	Chesterfield	Ware Bottom Church	14.749	 $143,400.00
2013	VA	Prince William	Manassas II	3.16	 $274,179.19
2013	VA	Culpeper	Brandy Station	56.68	 $1,795,600.00
2013	VA	Henrico	Deep Bottom I	30.65	 $297,870.00
2013	WV	Jefferson	Shepherdstown	1.8	 $95,775.00
2013	WV	Jefferson	Shepherdstown	0.62	 $37,812.50
2014	KY	Wayne	Mill Springs	102.6	 $361,475.00
2014	LA	DeSoto	Mansfield	282	 $337,230.00
2014	MD	Frederick	South Mountain	42.5	 $116,492.25
2014	NC	Johnston	Bentonville	14.74	 $41,163.50
2014	NC	Wayne	Bentonville	5.43	 $17,213.00
2014	NM	Santa Fe	Glorieta Pass	16.7	 $22,300.00
2014	PA	Adams	Gettysburg	4.14	 $1,500,000.00
2014	PA	Adams	Gettysburg	3	 $81,752.00
2014	PA	Adams	Gettysburg	0.98	 $31,162.00
2014	PA	Adams	Gettysburg	0.63	 $144,813.75
2014	PA	Adams	Gettysburg	10.5	 $92,352.00
2014	TN	Williamson	Thompson's Station	32	 $202,472.21
2014	VA	Appomattox	Appomattox Courthouse	2.81	 $92,676.00
2014	VA	Loudoun	Aldie	10	 $81,985.00
2014	VA	Appomattox	Appomattox Courthouse	3.67	 $58,595.81
2014	VA	Fauquier	Rappahannock Station II	1.761	 $130,000.00
2014	VA	Caroline	North Anna	10.5	 $57,225.00
2014	VA	Prince William 	Manassas II	2.58	 $230,249.00
2014	VA	Dinwiddie	White Oak Road	4.61	 $154,391.50
2014	VA	Dinwiddie	Reams Station II	10.525	 $24,931.00
2014	WV	Jefferson	Harpers Ferry	12.97	 $1,329,802.00
2015	NC	Cumberland	Averasborough	27.5	 $60,640.00
2015	VA	Culpeper	Brandy Station	3.73	 $125,788.00
2015	VA	Fauquier	Buckland Mills	8.3	 $1,160,000.00
2015	MS	Hinds	Champion Hill	65.9	 $265,613.74
2015	TN	Hamilton	Chattanooga III	11.6	 $254,922.00
2015	MS	Alcorn	Corinth	22.5	 $123,510.00
2015	TN	Williamson	Franklin II	0.2	 $99,610.00
2015	TN	Williamson	Franklin II	1.32	 $1,303,187.00
2015	PA	Adams	Gettysburg	8.85	 $78,531.50
2015	PA	Adams	Gettysburg	9.25	 $484,474.50
2015	PA	Adams	Gettysburg	10.5	 $87,979.75
2015	PA	Adams	Gettysburg	0.63	 $144,813.75
2015	PA	Adams	Gettysburg	0.93	 $29,608.09
2015	PA	Adams	Gettysburg	3.2	 $81,752.00
