Fiscal Year,Fund Type,Onshore/Offshore,State,County, Total 
2009,State,Onshore,OR,Lake County," 197,028.75 "
2009,State,Onshore,OR,," 660,620.50 "
2009,State,Onshore,PA,," 43,462.03 "
2009,State,Onshore,SC,, 477.86 
2009,State,Onshore,SD,," 950,615.99 "
2009,State,Onshore,TN,, 99.00 
2009,State,Onshore,TX,," 7,406,691.52 "
2009,State,Onshore,UT,Beaver County," 97,471.22 "
2009,State,Onshore,UT,Iron County," 15,867.00 "
2009,State,Onshore,UT,Juab County," 272,867.50 "
2009,State,Onshore,UT,Millard County," 1,924,233.35 "
2009,State,Onshore,UT,," 128,636,159.80 "
2009,State,Onshore,VA,," 142,981.33 "
2009,State,Onshore,WA,," 345,553.59 "
2009,State,Onshore,WV,," 399,890.57 "
2009,State,Onshore,WY,," 957,232,075.30 "
2009,State - GoMESA,Offshore,AL,Baldwin County," 712,876.87 "
2009,State - GoMESA,Offshore,AL,Mobile County," 831,892.19 "
2009,State - GoMESA,Offshore,AL,," 6,179,076.25 "
2009,State - GoMESA,Offshore,LA,Assumption Parish," 51,906.72 "
2009,State - GoMESA,Offshore,LA,Calcasieu Parish," 70,168.39 "
2009,State - GoMESA,Offshore,LA,Cameron Parish," 82,446.35 "
2009,State - GoMESA,Offshore,LA,Iberia Parish," 69,563.09 "
2009,State - GoMESA,Offshore,LA,Jefferson Parish," 139,357.71 "
2009,State - GoMESA,Offshore,LA,Lafourche Parish," 79,152.27 "
2009,State - GoMESA,Offshore,LA,Livingston Parish," 66,022.77 "
2009,State - GoMESA,Offshore,LA,Orleans Parish," 145,552.11 "
2009,State - GoMESA,Offshore,LA,Plaquemines Parish," 164,699.67 "
2009,State - GoMESA,Offshore,LA,St. Bernard Parish," 97,611.44 "
2009,State - GoMESA,Offshore,LA,St. Charles Parish," 62,920.89 "
2009,State - GoMESA,Offshore,LA,St. James Parish," 53,198.55 "
2009,State - GoMESA,Offshore,LA,St. John the Baptist Parish," 58,394.56 "
2009,State - GoMESA,Offshore,LA,St. Martin Parish," 55,598.09 "
2009,State - GoMESA,Offshore,LA,St. Mary Parish," 57,445.49 "
2009,State - GoMESA,Offshore,LA,St. Tammany Parish," 92,883.26 "
2009,State - GoMESA,Offshore,LA,Tangipahoa Parish," 69,183.81 "
2009,State - GoMESA,Offshore,LA,Terrebonne Parish," 106,721.76 "
2009,State - GoMESA,Offshore,LA,Vermilion Parish," 64,003.35 "
2009,State - GoMESA,Offshore,LA,," 6,347,321.13 "
2009,State - GoMESA,Offshore,MS,Hancock County," 248,870.37 "
2009,State - GoMESA,Offshore,MS,Harrison County," 537,558.48 "
2009,State - GoMESA,Offshore,MS,Jackson County," 590,130.10 "
2009,State - GoMESA,Offshore,MS,," 5,506,235.80 "
2009,State - GoMESA,Offshore,TX,Aransas County," 21,273.54 "
2009,State - GoMESA,Offshore,TX,Brazoria County," 33,378.48 "
2009,State - GoMESA,Offshore,TX,Calhoun County," 27,890.96 "
2009,State - GoMESA,Offshore,TX,Cameron County," 31,982.15 "
2009,State - GoMESA,Offshore,TX,Chambers County," 18,837.01 "
2009,State - GoMESA,Offshore,TX,Galveston County," 45,617.03 "
2009,State - GoMESA,Offshore,TX,Harris County," 104,611.66 "
2009,State - GoMESA,Offshore,TX,Jackson County," 14,713.76 "
2009,State - GoMESA,Offshore,TX,Jefferson County," 37,408.74 "
2009,State - GoMESA,Offshore,TX,Kenedy County," 29,936.17 "
2009,State - GoMESA,Offshore,TX,Kleberg County," 21,766.76 "
2009,State - GoMESA,Offshore,TX,Matagorda County," 39,113.73 "
2009,State - GoMESA,Offshore,TX,Nueces County," 29,024.98 "
2009,State - GoMESA,Offshore,TX,Orange County," 21,207.74 "
2009,State - GoMESA,Offshore,TX,Refugio County," 13,910.08 "
2009,State - GoMESA,Offshore,TX,San Patricio County," 14,923.90 "
2009,State - GoMESA,Offshore,TX,Victoria County," 16,047.67 "
2009,State - GoMESA,Offshore,TX,Willacy County," 18,205.56 "
2009,State - GoMESA,Offshore,TX,," 2,159,399.65 "
2009,State 8(g),Offshore,AL,," 8,829,652.97 "
2009,State 8(g),Offshore,AK,," 9,943,557.99 "
2009,State 8(g),Offshore,CA,," 6,978,830.25 "
2009,State 8(g),Offshore,FL,," 1,376.54 "
2009,State 8(g),Offshore,LA,," 22,317,230.37 "
2009,State 8(g),Offshore,MS,," 451,384.35 "
2009,State 8(g),Offshore,TX,," 6,129,935.49 "
2009,U.S. Treasury,Onshore,,," 640,202,103.00 "
2009,U.S. Treasury,Offshore,,," 5,093,231,404.39 "
2009,U.S. Treasury - GoMESA,Offshore,,," 3,639,656.61 "
2010,American Indian Tribes,Onshore,,," 407,559,568.80 "
2010,Historic Preservation Fund,Offshore,,," 150,000,000.00 "
2010,Land & Water Conservation Fund,Offshore,,," 898,711,346.20 "
2010,Land & Water Conservation Fund - GoMESA,Offshore,,," 288,653.84 "
2010,Reclamation,Onshore,,," 1,363,951,779.00 "
2010,State,Onshore,AL,," 5,002,689.07 "
2010,State,Onshore,AK,," 34,329,221.02 "
2010,State,Onshore,AZ,," 26,249.31 "
2010,State,Onshore,AR,," 3,107,178.28 "
2010,State,Onshore,CA,Imperial County," 65,750.81 "
2010,State,Onshore,CA,Inyo County," 178,786.72 "
2010,State,Onshore,CA,Lake County," 843,695.13 "
2010,State,Onshore,CA,Lassen County," 13,302.63 "
2010,State,Onshore,CA,Mendocino County, 750.00 
2010,State,Onshore,CA,Mono County," 33,369.06 "
2010,State,Onshore,CA,Siskiyou County," 51,807.50 "
