Year	State	County	FIPS	Commodity	Product	Volume
2012	CO	Phillips County	08095		Gas (mcf)	64217
2006	CO	Baca County	08009		Gas (mcf)	64341.51
2006	CO	Delta County	08029		Gas (mcf)	65223.03
2014	CO	Moffat County	08081		Oil (bbl)	67796
2006	CO	Mesa County	08077		Gas (mcf)	68375
2009	CO	Baca County	08009		Gas (mcf)	72546.38
2011	CO	Jackson County	08057		Oil (bbl)	73115
2010	CO	Jackson County	08057		Oil (bbl)	75415.21
2013	CO	Gunnison County	08051		Gas (mcf)	76696.5
2013	CO	Delta County	08029		Gas (mcf)	76929.45
2010	CO	Rio Blanco County	08103		Oil (bbl)	76991.5
2012	CO	Gunnison County	08051		Gas (mcf)	77251.5
2014	CO	Washington County	08121		Gas (mcf)	80132.03
2009	CO	Jackson County	08057		Oil (bbl)	80474.28
2014	CO	Jackson County	08057		Gas (mcf)	80614.95
2008	CO	Jackson County	08057		Oil (bbl)	80871.64
2010	CO	Mesa County	08077		Gas (mcf)	82358.04
2008	CO	Baca County	08009		Gas (mcf)	83032.49
2007	CO	Jackson County	08057		Oil (bbl)	84034.67
2007	CO	Baca County	08009		Gas (mcf)	85314.76
2013	CO	Washington County	08121		Gas (mcf)	86830.09
2006	CO	Moffat County	08081		Gas (mcf)	87936
2005	CO	Washington County	08121		Gas (mcf)	88820.19
2013	CO	Montezuma County	08083		Oil (bbl)	88845.16
2012	CO	Washington County	08121		Gas (mcf)	90276.13
2006	CO	Weld County	08123		Oil (bbl)	90811.42
2007	CO	Weld County	08123		Oil (bbl)	92228.57
2012	CO	Moffat County	08081		Oil (bbl)	94540
2006	CO	Jackson County	08057		Oil (bbl)	95786.35
2008	CO	Washington County	08121		Gas (mcf)	98407.71
2011	CO	Washington County	08121		Gas (mcf)	98972
2005	CO	Jackson County	08057		Oil (bbl)	99632.33
2006	CO	Las Animas County	08071		Gas (mcf)	100279
2012	CO	Montezuma County	08083		Oil (bbl)	101025.28
2008	CO	Rio Blanco County	08103		Sodium Bi-Carbonate (tons)	102512
2005	CO	Weld County	08123		Oil (bbl)	102632.89
2006	CO	Washington County	08121		Gas (mcf)	104565.48
2013	CO	Jackson County	08057		Oil (bbl)	108482.03
2014	CO	Moffat County	08081		Gas (mcf)	108976
2011	CO	Rio Blanco County	08103		Oil (bbl)	110789
2013	CO	Moffat County	08081		Oil (bbl)	111454
2010	CO	Washington County	08121		Gas (mcf)	111829.77
2014	CO	Cheyenne County	08017		Gas (mcf)	113798.38
2009	CO	Washington County	08121		Gas (mcf)	114121.73
2011	CO	Montezuma County	08083		Oil (bbl)	114522.54
2010	CO	Montezuma County	08083		Oil (bbl)	115936.41
2007	CO	Washington County	08121		Gas (mcf)	120001.58
2013	CO	Cheyenne County	08017		Gas (mcf)	123289.23
2014	CO	Montezuma County	08083		Oil (bbl)	123737.95
2014	CO	Jackson County	08057		Oil (bbl)	125039.25
2012	CO	Moffat County	08081		Gas (mcf)	129901
2012	CO	Cheyenne County	08017		Gas (mcf)	130600.14
2009	CO	Montezuma County	08083		Oil (bbl)	133505.52
2010	CO	Cheyenne County	08017		Gas (mcf)	133774.71
2009	CO	Cheyenne County	08017		Gas (mcf)	135645.71
2013	CO	Rio Blanco County	08103		Oil (bbl)	136777
2014	CO	Rio Blanco County	08103		Oil (bbl)	137606
2011	CO	Cheyenne County	08017		Gas (mcf)	141258.08
2009	CO	Weld County	08123		Oil (bbl)	148851.02
2008	CO	Montezuma County	08083		Oil (bbl)	153053.46
2008	CO	Cheyenne County	08017		Gas (mcf)	153061.57
2007	CO	Cheyenne County	08017		Gas (mcf)	155106.79
2007	CO	Montezuma County	08083		Oil (bbl)	167489.15
2008	CO	Weld County	08123		Oil (bbl)	179318.39
2008	CO	Mesa County	08077		Gas (mcf)	179368.98
2011	CO	San Miguel County	08113		Gas (mcf)	186523
2006	CO	Cheyenne County	08017		Gas (mcf)	192555.48
2012	CO	Rio Blanco County	08103		Oil (bbl)	193991.5
2007	CO	Moffat County	08081		Oil (bbl)	197354.58
2014	CO	Moffat County	08081		Oil (bbl)	200702.97
2005	CO	Montezuma County	08083		Oil (bbl)	201016.03
2014	CO	Archuleta County	08007		Gas (mcf)	202762.78
2005	CO	Moffat County	08081		Oil (bbl)	202994.1
2006	CO	Montezuma County	08083		Oil (bbl)	205965.99
2006	CO	Moffat County	08081		Oil (bbl)	206752.12
2007	CO	Gunnison County	08051		Gas (mcf)	207447.88
2007	CO	Mesa County	08077		Gas (mcf)	208146.16
2011	CO	Weld County	08123		Oil (bbl)	210415.57
2008	CO	Moffat County	08081		Oil (bbl)	210955.66
2005	CO	Cheyenne County	08017		Gas (mcf)	212516.1
2008	CO	La Plata County	08067		Coal (tons)	212605
2005	CO	Las Animas County	08071		Gas (mcf)	215957
2007	CO	Gunnison County	08051		Gas (mcf)	226749
2010	CO	Weld County	08123		Oil (bbl)	227087.08
2009	CO	Moffat County	08081		Oil (bbl)	231464.48
2010	CO	Moffat County	08081		Oil (bbl)	232549.77
2012	CO	San Miguel County	08113		Gas (mcf)	234207
2013	CO	Moffat County	08081		Gas (mcf)	245634
2011	CO	Moffat County	08081		Oil (bbl)	249925.7
