Year	State	County	FIPS	Volume
2012	WY	Weston County	56045	2
2011	WY	Weston County	56045	2
2005	WY	Hot Springs County	56017	2
2009	WY	Hot Springs County	56017	2
2010	WY	Weston County	56045	2
2014	WY	Uinta County	56041	2
2011	WY	Niobrara County	56027	2
2009	WY	Weston County	56045	2
2007	WY	Hot Springs County	56017	2
2011	WY	Washakie County	56043	2
2008	WY	Weston County	56045	2
2012	WY	Washakie County	56043	2
2009	WY	Washakie County	56043	2
2013	WY	Washakie County	56043	2
2010	WY	Washakie County	56043	2
2007	WY	Weston County	56045	2
2007	WY	Campbell County	56005	4
2014	WY	Washakie County	56043	2
2006	WY	Weston County	56045	2
2008	WY	Hot Springs County	56017	2
2008	WY	Washakie County	56043	2
2005	WY	Weston County	56045	2
2014	WY	Big Horn County	56003	2
2013	WY	Big Horn County	56003	2
2007	WY	Uinta County	56041	2
2007	WY	Washakie County	56043	2
2009	WY	Campbell County	56005	4
2012	WY	Big Horn County	56003	2
2005	WY	Washakie County	56043	2
2006	WY	Washakie County	56043	2
2011	WY	Big Horn County	56003	2
2010	WY	Big Horn County	56003	2
2011	WY	Campbell County	56005	4
2009	WY	Big Horn County	56003	2
2010	WY	Campbell County	56005	4
2008	WY	Big Horn County	56003	2
2006	WY	Uinta County	56041	2
2012	WY	Converse County	56009	5
2007	WY	Big Horn County	56003	2
2006	WY	Big Horn County	56003	2
2005	WY	Big Horn County	56003	2
2008	WY	Campbell County	56005	4
2005	WY	Johnson County	56019	3
2007	WY	Converse County	56009	3
2005	WY	Converse County	56009	3
2006	WY	Converse County	56009	3
2012	WY	Campbell County	56005	4
2013	WY	Campbell County	56005	4
2013	WY	Converse County	56009	5
2014	WY	Converse County	56009	5
2005	WY	Sheridan County	56033	1
2009	WY	Natrona County	56025	2
2010	WY	Natrona County	56025	2
