Year	State	Commodity	Type	Revenue
2004	ND	Sulfur	Royalties	298.70
2004	NE	Oil & Gas	Rents	14794.00
2004	NE	Oil & Gas	Other Revenues	15234.24
2004	NE	Oil	Royalties	147230.67
2004	NM	Oil & Gas	Rents	3214612.95
2004	NM	Gas	Royalties	514157856.52
2004	NM	Oil & Gas	Bonus	45099624.00
2004	NM	Oil & Gas	Other Revenues	549506.95
2004	NM	Oil & Gas	Other Royalties	7603640.02
2004	NM	NGL	Royalties	76809845.60
2004	NM	Oil	Royalties	108949240.03
2004	NM	Gas	Other Royalties	2829.68
2004	NM	Oil	Other Royalties	32.19
2004	NM	Coal	Bonus	2600000.00
2004	NM	Potassium	Other Revenues	153809.00
2004	NM	Geothermal	Other Royalties	56000.00
2004	NM	Coal	Other Royalties	2444117.90
2004	NM	Coal	Rents	89361.00
2004	NM	Potassium	Rents	33543.00
2004	NM	Coal	Royalties	9423139.18
2004	NM	Brine Barrels	Royalties	1732.99
2004	NM	Carbon Dioxide Gas	Royalties	500513.22
2004	NM	Langbeinite	Royalties	1914818.07
2004	NM	Muriate Of Potash-Granular	Royalties	947720.34
2004	NM	Muriate Of Potash-Standard	Royalties	387036.62
2004	NM	Potash	Royalties	763333.29
2004	NM	Potassium Sulphate-Standard	Royalties	31802.33
2004	NM	Salt	Royalties	155506.13
2004	NV	Oil & Gas	Rents	2461472.05
2004	NV	Oil & Gas	Bonus	453287.00
2004	NV	Oil	Royalties	1665410.91
2004	NV	Oil & Gas	Other Revenues	3312.40
2004	NV	Oil & Gas	Other Royalties	-36.87
2004	NV	Geothermal	Bonus	60895.94
2004	NV	Geothermal	Other Revenues	6165.86
2004	NV	Geothermal	Rents	557839.00
2004	NV	Potassium	Rents	1160.00
2004	NV	Sand & Gravel	Rents	-320.00
2004	NV	Geothermal	Royalties	478339.00
2004	NV	Potash	Royalties	1735.64
2004	NV	Sand/Gravel	Royalties	465124.80
2004	NY	Gas	Royalties	8639.84
2004	OH	Oil & Gas	Rents	27314.50
2004	OH	Gas	Royalties	419791.40
2004	OH	Oil	Royalties	95931.21
2004	OH	Oil & Gas	Bonus	29145.00
2004	OH	Oil & Gas	Other Revenues	3190.52
2004	OH	Oil & Gas	Other Royalties	800.00
2004	OK	Oil & Gas	Other Revenues	6217.75
2004	OK	Oil & Gas	Other Royalties	147520.98
2004	OK	Oil & Gas	Rents	277111.76
2004	OK	Gas	Royalties	9100585.95
2004	OK	Oil	Royalties	541875.23
2004	OK	Oil & Gas	Bonus	1029472.00
2004	OK	NGL	Royalties	102685.64
2004	OK	Coal	Other Revenues	-40797.91
2004	OK	Coal	Rents	47871.00
2004	OK	Coal	Royalties	691430.97
2004	OR	Oil & Gas	Rents	71549.00
2004	PA	Oil & Gas	Other Revenues	19675.49
2004	PA	Gas	Royalties	38905.79
2004	PA	Oil	Royalties	739.19
2004	SC	Hardrock	Rents	408.00
2004	SD	Oil & Gas	Bonus	13766.00
2004	SD	Oil & Gas	Rents	122934.50
2004	SD	Oil	Royalties	659639.70
2004	SD	Oil & Gas	Other Revenues	40.00
2004	SD	Gas	Royalties	122127.44
2004	TX	Oil & Gas	Other Revenues	11133.69
2004	TX	Oil & Gas	Rents	548477.00
2004	TX	Oil & Gas	Bonus	72086.00
2004	TX	Oil	Royalties	1925374.62
2004	TX	Gas	Royalties	15369447.13
2004	TX	Oil & Gas	Other Royalties	-217136.83
2004	TX	NGL	Royalties	142021.93
2004	UT	Oil & Gas	Bonus	2121277.75
2004	UT	Oil & Gas	Other Revenues	675610.36
2004	UT	Oil & Gas	Other Royalties	1785755.14
2004	UT	Oil & Gas	Rents	3831169.85
2004	UT	Gas	Royalties	79723829.46
2004	UT	Oil	Royalties	16335400.72
2004	UT	NGL	Royalties	1261699.53
2004	UT	Coal	Bonus	3719719.41
2004	UT	Geothermal	Bonus	9407.24
2004	UT	Clay	Other Revenues	545.30
2004	UT	Gilsonite	Other Revenues	21825.00
2004	UT	Hardrock	Other Revenues	2160.00
2004	UT	Phosphate	Other Revenues	32999.00
2004	UT	Potassium	Other Revenues	1475.34
2004	UT	Coal	Other Royalties	2535688.52
2004	UT	Coal	Rents	255570.00
2004	UT	Geothermal	Rents	-84420.51
2004	UT	Gilsonite	Rents	5299.00
2004	UT	Hardrock	Rents	408.00
2004	UT	Phosphate	Rents	7474.00
2004	UT	Potassium	Rents	1920.00
2004	UT	Tar Sands	Rents	12190.00
2004	UT	Coal	Royalties	25985364.85
2004	UT	Geothermal	Royalties	212597.65
2004	UT	Clay	Royalties	1683.29
2004	UT	Gilsonite	Royalties	334416.96
2004	UT	Magnesium Chloride Brine	Royalties	39046.77
2004	UT	Manure Salts	Royalties	6944.70
2004	UT	Potash	Royalties	67308.91
2004	UT	Salt	Royalties	1091.40
2004	VA	Oil & Gas	Other Revenues	8829.92
2004	VA	Oil & Gas	Rents	9691.00
2004	VA	Gas	Royalties	31358.00
2004	VA	Limestone	Royalties	59664.73
2004	WA	Oil & Gas	Bonus	1988440.75
2004	WA	Oil & Gas	Rents	853549.50
2004	WA	Coal	Rents	1566.00
2004	WA	Coal	Royalties	23951.65
2004	WV	Gas	Royalties	664615.22
2004	WV	Oil & Gas	Rents	30589.76
2004	WV	Oil & Gas	Other Revenues	208427.20
2004	WV	Oil	Royalties	922.41
2004	WV	Oil & Gas	Bonus	35845.00
2004	WV	Oil & Gas	Other Royalties	615.00
2004	WY	Oil & Gas	Other Revenues	516940.44
2004	WY	Oil & Gas	Rents	17779967.12
2004	WY	Gas	Royalties	572017015.71
2004	WY	Oil	Royalties	103687635.21
2004	WY	Oil & Gas	Bonus	26994393.99
2004	WY	Oil & Gas	Other Royalties	13166796.97
2004	WY	NGL	Royalties	15889085.10
2004	WY	Gas	Other Royalties	474604.54
2004	WY	Coal	Bonus	149052991.54
2004	WY	Coal	Other Revenues	-1436124.15
2004	WY	Hardrock	Other Revenues	480.00
2004	WY	Sodium	Other Revenues	273076.00
2004	WY	Coal	Rents	561361.67
2004	WY	Hardrock	Rents	-160.00
2004	WY	Sodium	Rents	-6642.00
2004	WY	Coal	Royalties	330301792.84
2004	WY	Carbon Dioxide Gas	Royalties	95123.93
2004	WY	Helium	Royalties	-21423.06
2004	WY	Purge Liquor	Royalties	37024.87
2004	WY	Soda Ash	Royalties	6091944.32
2004	WY	Soda Ash-Granular	Royalties	-583138.03
2004	WY	Sodium Bi-Carbonate	Royalties	51664.70
2004	WY	Sodium Sesquicarbonate	Royalties	207108.66
2004	WY	Sulfur	Royalties	57320.39
2004	WY	Trona Ore	Royalties	18046.05
2005	AK	Oil & Gas	Rents	8974164.12
2005	AK	Oil & Gas	Other Revenues	14469.52
2005	AK	Gas	Other Royalties	267377.24
2005	AK	Oil & Gas	Other Royalties	103709.95
2005	AK	Gas	Royalties	11546781.23
2005	AK	NGL	Royalties	337028.07
2005	AK	Oil	Royalties	1440869.20
2005	AK	Coal	Rents	7680.00
2005	AL	Oil & Gas	Other Revenues	70.69
2005	AL	Oil & Gas	Other Royalties	16397.84
2005	AL	Gas	Royalties	798652.99
2005	AL	Oil	Royalties	877364.64
2005	AL	Oil & Gas	Rents	31853.80
2005	AL	NGL	Royalties	4.69
2005	AL	Coal	Bonus	64113.60
2005	AL	Coal	Other Revenues	736543.11
2005	AL	Hardrock	Other Revenues	123.00
2005	AL	Coal	Rents	21918.00
2005	AL	Hardrock	Rents	-82.00
2005	AL	Clay	Royalties	12279.90
2005	AL	Sulfur	Royalties	533.46
2005	AR	Gas	Royalties	7596905.35
2005	AR	Oil	Royalties	251.75
2005	AR	Oil & Gas	Rents	1167423.00
2005	AR	Oil & Gas	Bonus	12215461.00
2005	AR	Oil & Gas	Other Revenues	7924.59
2005	AR	Oil & Gas	Other Royalties	106479.28
2005	AR	Hardrock	Other Revenues	866.40
2005	AR	Hardrock	Rents	239.75
2005	AR	Quartz Crystal	Royalties	345.85
2005	AZ	Oil & Gas	Bonus	60725.00
2005	AZ	Oil & Gas	Rents	109356.00
2005	AZ	Sodium	Other Revenues	24.00
2005	AZ	Sodium	Rents	8.00
2005	AZ	Salt	Royalties	225.65
2005	CA	Oil & Gas	Other Royalties	24555.00
2005	CA	Gas	Royalties	4448752.07
2005	CA	Oil	Royalties	31919975.76
2005	CA	Oil & Gas	Other Revenues	17762.19
2005	CA	Oil & Gas	Rents	400552.57
2005	CA	NGL	Royalties	76935.00
2005	CA	Oil & Gas	Bonus	9526.25
2005	CA	Geothermal	Other Revenues	1600.00
2005	CA	Sodium	Other Revenues	34456.54
2005	CA	Geothermal	Rents	103077.24
2005	CA	Hardrock	Rents	20.00
2005	CA	Sodium	Rents	-8086.39
2005	CA	Geothermal	Royalties	7392348.58
2005	CA	Anhydrous Sodium Sulfate	Royalties	301048.67
2005	CA	Borax-Anhydrous	Royalties	1541.81
2005	CA	Borax-Decahydrate	Royalties	103261.53
2005	CA	Borax-Pentahydrate	Royalties	150787.69
2005	CA	Boric Acid	Royalties	336003.36
2005	CA	Salt	Royalties	61912.48
2005	CA	Salt-Waste	Royalties	28436.93
2005	CA	Soda Ash	Royalties	3228230.52
2005	CA	Soda Ash-Granular	Royalties	-726947.18
2005	CA	Sodium Bi-Carbonate	Royalties	47544.95
2005	CO	Oil & Gas	Rents	5467067.33
2005	CO	Oil	Royalties	24746559.81
2005	CO	Oil & Gas	Other Revenues	233963.40
2005	CO	Oil & Gas	Other Royalties	6579923.50
2005	CO	Gas	Royalties	138511416.34
2005	CO	Oil & Gas	Bonus	18406150.99
2005	CO	NGL	Royalties	3221590.46
2005	CO	Oil Shale	Other Revenues	30000.00
2005	CO	Coal	Bonus	2289875.05
2005	CO	Coal	Other Revenues	172318.15
2005	CO	Sodium	Other Revenues	6641.00
2005	CO	Coal	Rents	252661.00
2005	CO	Sodium	Rents	-8747.52
2005	CO	Coal	Royalties	37140214.77
2005	CO	Carbon Dioxide Gas	Royalties	19203622.31
2005	CO	Sodium Bi-Carbonate	Royalties	409652.18
2005	FL	Oil & Gas	Rents	5053.50
2005	FL	Phosphate	Rents	122.00
2005	FL	Phosphate Raw Ore	Royalties	837228.40
2005	ID	Oil & Gas	Rents	1730.50
2005	ID	Phosphate	Other Revenues	108069.00
2005	ID	Gemstones	Rents	80.00
2005	ID	Geothermal	Rents	2467.00
2005	ID	Hardrock	Rents	159.00
2005	ID	Phosphate	Rents	-19691.00
2005	ID	Gold	Royalties	924.81
2005	ID	Phosphate Raw Ore	Royalties	2986698.10
2005	IL	Oil	Royalties	188607.69
2005	IL	Oil & Gas	Other Revenues	175.00
2005	IL	Hardrock	Rents	-1147.00
2005	KS	Oil & Gas	Rents	25350.50
2005	KS	Oil & Gas	Other Royalties	-98285.53
2005	KS	Gas	Royalties	6712741.94
2005	KS	Oil & Gas	Bonus	11520.00
2005	KS	Oil & Gas	Other Revenues	33360.34
2005	KS	Gas	Other Royalties	-106.91
2005	KS	NGL	Royalties	374696.62
2005	KS	Oil	Royalties	1170808.30
2005	KY	Oil & Gas	Rents	8516.10
2005	KY	Gas	Royalties	208655.05
2005	KY	Oil	Royalties	5921.14
2005	KY	Oil & Gas	Other Revenues	7869.01
2005	KY	Oil	Other Royalties	286.06
2005	KY	Coal	Other Revenues	16000.00
2005	KY	Coal	Rents	489.00
2005	LA	Oil & Gas	Other Royalties	1729895.51
2005	LA	Oil & Gas	Rents	16868.00
2005	LA	Gas	Royalties	37684857.64
2005	LA	NGL	Royalties	653959.48
2005	LA	Oil	Royalties	2856614.84
2005	LA	Oil & Gas	Other Revenues	4377.88
2005	LA	Oil & Gas	Bonus	30286.00
2005	MD	Oil & Gas	Other Revenues	10055.21
2005	MD	Oil & Gas	Rents	496.00
2005	MI	Oil & Gas	Rents	38540.46
2005	MI	Gas	Royalties	2230514.08
2005	MI	Oil	Royalties	137264.24
2005	MI	Oil & Gas	Other Revenues	1653.46
2005	MI	NGL	Royalties	64064.84
2005	MI	Oil & Gas	Other Royalties	4050.00
2005	MI	Hardrock	Rents	965.50
2005	MN	Copper	Other Revenues	39165.00
2005	MN	Hardrock	Other Revenues	33825.00
2005	MN	Copper	Rents	-20220.50
2005	MN	Hardrock	Rents	-15068.00
2005	MO	Hardrock	Other Revenues	21375.00
2005	MO	Hardrock	Rents	155.00
2005	MO	Copper Concentrate	Royalties	495341.78
2005	MO	Lead Concentrate	Royalties	3604181.92
2005	MO	Zinc Concentrate	Royalties	1005243.50
2005	MS	Oil & Gas	Bonus	203986.00
2005	MS	Oil & Gas	Rents	535355.72
2005	MS	Oil	Royalties	1985758.02
2005	MS	Oil & Gas	Other Revenues	-1145.25
2005	MS	Gas	Royalties	548881.50
2005	MS	Oil & Gas	Other Royalties	-3000.00
2005	MT	Oil & Gas	Bonus	661251.50
2005	MT	Oil & Gas	Other Revenues	386033.34
2005	MT	Oil & Gas	Rents	3365383.62
2005	MT	Gas	Royalties	20179252.78
2005	MT	Oil & Gas	Other Royalties	150462.60
2005	MT	Oil	Royalties	19980966.94
2005	MT	NGL	Royalties	316364.23
2005	MT	Coal	Bonus	348040.01
2005	MT	Coal	Other Revenues	635100.51
2005	MT	Coal	Other Royalties	1875000.00
2005	MT	Coal	Rents	132264.00
2005	MT	Phosphate	Rents	1409.00
2005	MT	Coal	Royalties	30344606.52
2005	MT	Sulfur	Royalties	1617.45
2005	ND	Oil & Gas	Bonus	35196873.00
2005	ND	Oil & Gas	Other Revenues	8021.44
2005	ND	Oil & Gas	Other Royalties	296556.68
2005	ND	Oil & Gas	Rents	1080491.04
2005	ND	Gas	Royalties	5187918.93
2005	ND	NGL	Royalties	479619.16
2005	ND	Oil	Royalties	35718801.32
2005	ND	Coal	Bonus	10856.00
2005	ND	Coal	Rents	9624.00
2005	ND	Coal	Royalties	547475.07
2005	ND	Sulfur	Royalties	35.03
2005	NE	Oil & Gas	Rents	14777.70
2005	NE	Oil & Gas	Other Revenues	21000.71
2005	NE	Oil	Royalties	209690.99
2005	NM	Oil & Gas	Bonus	56491100.00
2005	NM	Oil & Gas	Rents	3190282.06
2005	NM	Gas	Royalties	670238684.15
2005	NM	Oil & Gas	Other Revenues	821372.86
2005	NM	Oil & Gas	Other Royalties	41157461.80
2005	NM	NGL	Royalties	93442934.50
2005	NM	Oil	Royalties	133603209.09
2005	NM	Gas	Other Royalties	3013.46
2005	NM	Coal	Bonus	2600000.00
2005	NM	Potassium	Other Revenues	225631.00
2005	NM	Sodium	Other Revenues	120.00
2005	NM	Coal	Other Royalties	1126515.25
2005	NM	Potassium	Other Royalties	299039.46
2005	NM	Coal	Rents	-51645.01
2005	NM	Geothermal	Rents	6560.00
2005	NM	Potassium	Rents	8771.50
2005	NM	Sodium	Rents	1280.00
2005	NM	Coal	Royalties	14275241.59
2005	NM	Brine Barrels	Royalties	166.67
2005	NM	Carbon Dioxide Gas	Royalties	529547.82
2005	NM	Granulated Langeinite	Royalties	1151.36
2005	NM	Langbeinite	Royalties	1562537.35
2005	NM	Langbeinite-Coarse	Royalties	30464.73
2005	NM	Langbeinite-Granular	Royalties	12767.92
2005	NM	Langbeinite-Special Std	Royalties	106115.94
2005	NM	Langbeinite-Standard	Royalties	67215.96
2005	NM	Muriate Of Potash-Granular	Royalties	1073853.13
2005	NM	Muriate Of Potash-Standard	Royalties	119061.78
2005	NM	Potash	Royalties	1141030.60
2005	NM	Potassium Sulphate Special Std	Royalties	170.60
2005	NM	Potassium Sulphate-Granular	Royalties	1069.72
2005	NM	Potassium Sulphate-Standard	Royalties	2552.08
2005	NM	Salt	Royalties	160260.23
2005	NV	Oil & Gas	Bonus	3931478.25
2005	NV	Oil & Gas	Rents	4824446.69
2005	NV	Oil	Royalties	2158747.47
2005	NV	Oil & Gas	Other Revenues	3715.22
2005	NV	Oil & Gas	Other Royalties	2811.28
2005	NV	Geothermal	Other Revenues	6904.74
2005	NV	Geothermal	Other Royalties	-22709.00
2005	NV	Geothermal	Rents	651661.00
2005	NV	Potassium	Rents	1160.00
2005	NV	Sand & Gravel	Rents	-1280.00
2005	NV	Sodium	Rents	-19836.00
2005	NV	Geothermal	Royalties	4026916.71
2005	NV	Potash	Royalties	238.50
2005	NV	Sand/Gravel	Royalties	-93570.02
2005	NY	Gas	Royalties	20149.72
2005	OH	Gas	Royalties	542090.49
2005	OH	Oil	Royalties	124542.98
2005	OH	Oil & Gas	Rents	12989.24
2005	OH	Oil & Gas	Other Revenues	4.03
2005	OH	Oil & Gas	Other Royalties	775.00
2005	OK	Oil & Gas	Other Revenues	5287.61
2005	OK	Oil & Gas	Other Royalties	161799.94
2005	OK	Oil & Gas	Rents	188757.51
2005	OK	Gas	Royalties	9376499.88
2005	OK	Oil	Royalties	741031.98
2005	OK	Oil & Gas	Bonus	1845964.00
2005	OK	NGL	Royalties	181266.40
2005	OK	Coal	Other Revenues	-21293.25
2005	OK	Coal	Rents	41994.00
2005	OK	Coal	Royalties	285375.60
2005	OR	Oil & Gas	Rents	52178.50
2005	PA	Oil & Gas	Other Revenues	19834.71
2005	PA	Gas	Royalties	54358.32
2005	SC	Hardrock	Rents	1110.00
2005	SD	Oil & Gas	Bonus	62485.00
2005	SD	Oil & Gas	Rents	152240.50
2005	SD	Oil & Gas	Other Royalties	-14422.24
2005	SD	Oil	Royalties	1135530.03
2005	SD	Gas	Royalties	144649.92
2005	TX	Oil & Gas	Other Revenues	23718.34
2005	TX	Oil & Gas	Rents	497491.46
2005	TX	Oil	Royalties	2714384.77
2005	TX	Gas	Royalties	20488349.89
2005	TX	Oil & Gas	Bonus	12577020.00
2005	TX	Oil & Gas	Other Royalties	713955.23
2005	TX	NGL	Royalties	182088.73
2005	UT	Oil & Gas	Bonus	8403186.25
2005	UT	Oil & Gas	Other Revenues	612355.63
2005	UT	Oil & Gas	Other Royalties	3405088.86
2005	UT	Oil & Gas	Rents	4248362.51
2005	UT	Gas	Royalties	127944939.15
2005	UT	Oil	Royalties	32117107.44
2005	UT	NGL	Royalties	1698273.92
2005	UT	Coal	Bonus	3701620.00
2005	UT	Clay	Other Revenues	782.43
2005	UT	Geothermal	Other Revenues	3100.33
2005	UT	Gilsonite	Other Revenues	11151.00
2005	UT	Hardrock	Other Revenues	1920.00
2005	UT	Phosphate	Other Revenues	22422.00
2005	UT	Potassium	Other Revenues	34259.37
2005	UT	Clay	Rents	468.00
2005	UT	Coal	Rents	-58941.80
2005	UT	Geothermal	Rents	229.00
2005	UT	Gilsonite	Rents	1922.00
2005	UT	Hardrock	Rents	1847.00
2005	UT	Phosphate	Rents	-6634.00
2005	UT	Potassium	Rents	27445.00
2005	UT	Tar Sands	Rents	12190.00
2005	UT	Coal	Royalties	27352945.43
2005	UT	Geothermal	Royalties	255075.74
2005	UT	Clay	Royalties	1948.02
2005	UT	Gilsonite	Royalties	347903.04
2005	UT	Magnesium Chloride Brine	Royalties	14362.42
2005	UT	Manure Salts	Royalties	11421.28
2005	UT	Potash	Royalties	78335.40
2005	UT	Salt	Royalties	1183.65
2005	VA	Oil & Gas	Other Revenues	5365.22
2005	VA	Oil & Gas	Rents	12494.00
2005	VA	Gas	Royalties	572724.96
2005	VA	Limestone	Royalties	21419.75
2005	WA	Oil & Gas	Rents	869914.50
2005	WA	Oil & Gas	Bonus	71800.00
2005	WA	Coal	Rents	2292.00
2005	WA	Coal	Royalties	2926.70
2005	WV	Oil & Gas	Other Revenues	214274.99
2005	WV	Gas	Royalties	920338.81
2005	WV	Oil & Gas	Rents	-11386.98
2005	WV	Oil	Royalties	263.20
2005	WV	Oil & Gas	Other Royalties	100.00
2005	WY	Oil & Gas	Other Revenues	417766.19
2005	WY	Oil & Gas	Other Royalties	34452000.56
2005	WY	Oil & Gas	Rents	17960492.47
2005	WY	Gas	Royalties	855590939.97
2005	WY	Oil	Royalties	139160355.27
2005	WY	Oil & Gas	Bonus	45349122.01
2005	WY	NGL	Royalties	21019962.70
2005	WY	Gas	Other Royalties	152510.00
2005	WY	Oil	Other Royalties	18.35
