State	Commodity	HS6	Year	Value	Share	Resource
ME	Gas	271121	2014	210230000	0.076394	oilgas
ME	Oil	270900	2013	63410000	0.023601	oilgas
ME	Oil	270900	2014	67890000	0.024672	oilgas
MI	Gas	271121	2011	1645730000	0.032229	oilgas
MI	Gas	271121	2012	1651360000	0.028945	oilgas
MI	Gas	271121	2013	1931510000	0.032931	oilgas
MI	Gas	271121	2014	2060719999.9999998	0.036962999999999996	oilgas
MI	Iron	260112	2011	582680000	0.011411	minerals
MI	Iron	260112	2012	511080000	0.008958	minerals
MI	Iron	260112	2013	607470000	0.010357	minerals
MI	Iron	260112	2014	433980000	0.007784	minerals
MN	Iron	260112	2011	394540000	0.019031	minerals
MN	Iron	260112	2012	664580000	0.031909	minerals
MN	Iron	260112	2013	314000000	0.015117	minerals
MN	Iron	260112	2014	374140000	0.017506	minerals
MO	Coal	270112	2011	550250000	0.038857	coal
MO	Coal	270112	2012	683350000	0.04915	coal
MO	Coal	270112	2013	515539999.99999994	0.039865	coal
MO	Coal	270112	2014	392850000	0.027780999999999997	coal
MT	Coal	270119	2011	152340000	0.095704	coal
MT	Coal	270119	2012	150790000	0.09568	coal
MT	Coal	270119	2013	144750000	0.09609400000000001	coal
MT	Coal	270119	2014	137940000	0.090192	coal
MT	Coal	270112	2011	21830000	0.013713999999999999	coal
MT	Coal	270112	2012	70340000	0.044631	coal
MT	Coal	270112	2013	74210000	0.049264	coal
MT	Coal	270112	2014	85190000	0.055701	coal
ND	Oil	270900	2011	697830000	0.205682	oilgas
ND	Oil	270900	2012	1128190000	0.26183599999999996	oilgas
ND	Oil	270900	2013	720470000	0.19320199999999998	oilgas
ND	Oil	270900	2014	2155720000	0.40755	oilgas
ND	Gas	271121	2012	2660000	0.0006169999999999999	oilgas
ND	Gas	271121	2013	2610000	0.0007009999999999999	oilgas
ND	Gas	271121	2014	108640000	0.020539	oilgas
NE	Gas	271121	2011	419660000	0.055309	oilgas
NE	Gas	271121	2012	245540000	0.032934	oilgas
NE	Gas	271121	2013	404590000	0.054724	oilgas
NE	Gas	271121	2014	476520000	0.060602	oilgas
NH	Oil	270900	2012	1520000	0.00043700000000000005	oilgas
NH	Oil	270900	2013	673040000	0.160856	oilgas
NH	Oil	270900	2014	199970000	0.045197	oilgas
NV	Copper	260300	2011	835450000	0.104568	minerals
NV	Copper	260300	2012	906910000	0.088379	minerals
NV	Copper	260300	2013	604390000	0.069465	minerals
NV	Copper	260300	2014	574950000	0.074656	minerals
NY	Gas	271121	2011	370380000	0.004357	oilgas
NY	Gas	271121	2012	63460000	0.00078	oilgas
NY	Gas	271121	2013	550250000	0.00636	oilgas
NY	Gas	271121	2014	908640000	0.010565	oilgas
PA	Coal	270112	2011	2597810000	0.063202	coal
PA	Coal	270112	2012	1204440000	0.031002000000000002	coal
PA	Coal	270112	2013	1999120000	0.048568	coal
PA	Coal	270112	2014	1580020000	0.039278	coal
SD	Oil	270900	2012	3070000	0.001971	oilgas
SD	Oil	270900	2014	19890000	0.012506	oilgas
TX	Oil	270900	2011	723260000	0.0028799999999999997	oilgas
TX	Oil	270900	2012	659510000	0.002492	oilgas
TX	Oil	270900	2013	1837170000	0.006573	oilgas
TX	Oil	270900	2014	7355690000	0.02545	oilgas
TX	Gas	271121	2011	2176580000	0.008668	oilgas
TX	Gas	271121	2012	1531190000	0.005785	oilgas
TX	Gas	271121	2013	1997250000	0.0071460000000000004	oilgas
TX	Gas	271121	2014	2769360000	0.009582	oilgas
