Company	Revenue Type	Commodity	Revenue	
DIAMONDBACK ENERGY INC	ONRR - Royalties	Oil	398909.82	
DIAMONDBACK ENERGY INC	ONRR/BLM - Rents	Oil & Gas	5001.5	
DJ SIMMONS CO	ONRR - Other Revenues	Oil & Gas	-15356.49	
DJ SIMMONS CO	ONRR - Royalties	Gas	404600.73	
DJ SIMMONS CO	ONRR - Royalties	Oil	28106.13	
DJ SIMMONS CO	ONRR/BLM - Rents	Oil & Gas	927	
DJR ENERGY LLC	ONRR - Other Revenues	Oil & Gas	-36685.37	
DJR ENERGY LLC	ONRR - Royalties	Gas	497344.16	
DJR ENERGY LLC	ONRR - Royalties	Oil	537941.43	
DJR ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	280	
DJR OPERATING LLC	BLM - Permit Fees	Oil & Gas	117200	
DNR OIL & GAS INC	BLM - Permit Fees	Oil & Gas	1000	
DNR OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	1705	
DNR OIL & GAS INC	ONRR - Royalties	Gas	3910.97	
DNR OIL & GAS INC	ONRR - Royalties	Oil	97618.9	
DOHENY, PATRICK A.	ONRR - Other Revenues	Oil & Gas	120	
DOHENY, PATRICK A.	ONRR - Royalties	Gas	328606.7	
DOMINION PRODUCTION CO LLC	BLM - Permit Fees	Oil & Gas	131870	
DOMINION PRODUCTION CO LLC	ONRR - Other Revenues	Oil & Gas	1148817.45	
DOMINION PRODUCTION CO LLC	ONRR - Royalties	Gas	18232817.08	
DOMINION PRODUCTION CO LLC	ONRR - Royalties	Oil	1659286.2	
DOMINION PRODUCTION CO LLC	ONRR/BLM - Rents	Oil & Gas	117565	
DOMINION PRODUCTION CO LLC	ONRR/BLM - Rents	Wind	676794	
DORADO OIL COMPANY	ONRR - Royalties	Oil	298586.32	
DOS REPUBLICAS COAL PARTNERSHIP	OSMRE - AML Fees including Audits and Late Charges 	Coal	635866.81	
DPOC LLC	BLM - Permit Fees	Oil & Gas	109305	
DPOC LLC	ONRR/BLM - Rents	Oil & Gas	120	
DRUMMOND COMPANY INC	ONRR - Royalties	Coal	2812395.7	
DRUMMOND COMPANY INC	ONRR/BLM - Rents	Coal	4830	
DRUMMOND COMPANY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	253609.06	
DUGAN PRODUCTION CORP	BLM - Permit Fees	Oil & Gas	61730	
DUGAN PRODUCTION CORP	ONRR - Other Revenues	N/A	1215	
DUGAN PRODUCTION CORP	ONRR - Other Revenues	Oil & Gas	49474.89	
DUGAN PRODUCTION CORP	ONRR - Royalties	Gas	2363966.86	
DUGAN PRODUCTION CORP	ONRR - Royalties	Oil	328196.88	
DUGAN PRODUCTION CORP	ONRR/BLM - Rents	Oil & Gas	24446.5	
DUKE CITY REDI-MIX	BLM - Permit Fees	Mineral Materials	202319.4	
EAGLE RIVER COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	264961.54	
ECOPETROL SA	ONRR - Other Revenues	Oil & Gas	289551.6	
ECOPETROL SA	ONRR - Royalties	Gas	279437.68	
ECOPETROL SA	ONRR - Royalties	Oil	38290644.46	
ECOPETROL SA	ONRR/BLM - Bonus	Oil & Gas	3908000	
ECOPETROL SA	ONRR/BLM - Rents	Oil & Gas	345600	
ELAND ENERGY INC	ONRR - Other Revenues	Oil & Gas	-17460	
ELAND ENERGY INC	ONRR - Royalties	Gas	18304.8	
ELAND ENERGY INC	ONRR - Royalties	Oil	191781.22	
ELK PETROLEUM LTD	ONRR - Other Revenues	N/A	243	
ELK PETROLEUM LTD	ONRR - Royalties	Gas	2048.85	
ELK PETROLEUM LTD	ONRR - Royalties	Oil	1743564.35	
ELK PETROLEUM LTD	ONRR/BLM - Rents	Oil & Gas	1761	
ELK RUN COAL CO INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	101846.02	
ELLORA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	122666.87	
ELLORA ENERGY LLC	ONRR - Royalties	Gas	4260069.77	
ELLORA ENERGY LLC	ONRR - Royalties	Oil	8361.05	
ELLORA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	306	
ELM RIDGE RESOURCES INC	ONRR - Other Revenues	N/A	872	
ELM RIDGE RESOURCES INC	ONRR - Other Revenues	Oil & Gas	63707.86	
ELM RIDGE RESOURCES INC	ONRR - Royalties	Gas	291518.08	
ELM RIDGE RESOURCES INC	ONRR - Royalties	Oil	2329.92	
EMERALD HOUSE LLC	BLM - Permit Fees	Oil & Gas	300855	
ENCANA CORP	BLM - Permit Fees	Oil & Gas	737754	
ENCANA CORP	ONRR - Other Revenues	N/A	1651	
ENCANA CORP	ONRR - Other Revenues	Oil & Gas	-844244.2	
ENCANA CORP	ONRR - Royalties	Gas	4549147.06	
ENCANA CORP	ONRR - Royalties	Oil	38422778.4	
ENCANA CORP	ONRR/BLM - Bonus	Oil & Gas	2531681	
ENCANA CORP	ONRR/BLM - Rents	Oil & Gas	-38678.2	
ENDEAVOR ENERGY RESOURCES LP	ONRR - Other Revenues	Oil & Gas	-7580.48	
ENDEAVOR ENERGY RESOURCES LP	ONRR - Royalties	Gas	98366.22	
ENDEAVOR ENERGY RESOURCES LP	ONRR - Royalties	Oil	44244.24	
ENDURANCE PROPERTIES INC	ONRR - Other Revenues	Oil & Gas	52279.81	
ENDURANCE PROPERTIES INC	ONRR - Royalties	Gas	420002.77	
ENDURANCE PROPERTIES INC	ONRR - Royalties	Oil	75342.85	
ENDURING RESOURCES IV LLC	BLM - Permit Fees	Oil & Gas	136420	
ENDURING RESOURCES LLC	BLM - Permit Fees	Oil & Gas	9610	
ENDURING RESOURCES LLC	ONRR - Other Revenues	N/A	486	
ENDURING RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	2262046.43	
ENDURING RESOURCES LLC	ONRR - Royalties	Gas	6914926.25	
ENDURING RESOURCES LLC	ONRR - Royalties	Oil	8383959.26	
ENDURING RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	20938	
ENDURO OPERATING LLC	BLM - Permit Fees	Oil & Gas	570	
ENDURO OPERATING LLC	ONRR - Other Revenues	Oil & Gas	9479.31	
ENDURO OPERATING LLC	ONRR - Royalties	Gas	22573.74	
ENDURO OPERATING LLC	ONRR - Royalties	Oil	1266687.69	
ENDURO OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	-26376	
ENEL GREEN POWER NORTH AMERICA INC	ONRR - Civil Penalties	N/A	14231	
ENEL GREEN POWER NORTH AMERICA INC	ONRR - Other Revenues	N/A	3197.9	
ENEL GREEN POWER NORTH AMERICA INC	ONRR - Other Revenues	Oil & Gas	12000	
ENEL GREEN POWER NORTH AMERICA INC	ONRR - Royalties	Gas	122512.31	
ENEL GREEN POWER NORTH AMERICA INC	ONRR - Royalties	Geothermal	336318.7	
ENEL GREEN POWER NORTH AMERICA INC	ONRR/BLM - Rents	Geothermal	85303	
ENERGY FUELS RESOURCES (USA) INC	BLM - Permit Fees	Locatable Minerals	194215	
ENERGY TRANSFER EQUITY	ONRR - Other Revenues	N/A	243	
ENERGY TRANSFER EQUITY	ONRR - Other Revenues	Oil & Gas	89110.15	
ENERGY TRANSFER EQUITY	ONRR - Royalties	Gas	11385.85	
ENERGY TRANSFER EQUITY	ONRR - Royalties	Oil	1090151.87	
ENERGY TRANSFER EQUITY	ONRR/BLM - Rents	Oil & Gas	270	
ENERPLUS RESOURCES CORP	BLM - Permit Fees	Oil & Gas	922740	
ENERPLUS RESOURCES CORP	ONRR - Other Revenues	N/A	243	
ENERPLUS RESOURCES CORP	ONRR - Other Revenues	Oil & Gas	269.64	
ENERPLUS RESOURCES CORP	ONRR - Royalties	Gas	8350.59	
ENERPLUS RESOURCES CORP	ONRR - Royalties	Oil	94576.9	
ENERPLUS RESOURCES CORP	ONRR/BLM - Rents	Oil & Gas	27561	
ENERQUEST OPERATING LLC	ONRR - Other Revenues	Oil & Gas	7198.01	
ENERQUEST OPERATING LLC	ONRR - Royalties	Gas	42708.11	
ENERQUEST OPERATING LLC	ONRR - Royalties	Oil	56770.28	
ENSIGHT IV ENERGY MANAGEMENT LLC	ONRR - Other Revenues	Oil & Gas	325.93	
ENSIGHT IV ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	903660.67	
ENSIGHT IV ENERGY MANAGEMENT LLC	ONRR - Royalties	Oil	203563.97	
ENTERPRISE PRODUCTS PARTNERS LP	ONRR - Royalties	Oil	171499.9	
ENTERPRISE PRODUCTS PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	450	
EOG RESOURCES INC	BLM - Permit Fees	Locatable Minerals	17596	
EOG RESOURCES INC	BLM - Permit Fees	Oil & Gas	3245805	
EOG RESOURCES INC	ONRR - Other Revenues	Oil & Gas	12723697.21	
EOG RESOURCES INC	ONRR - Royalties	Gas	50926930.27	
EOG RESOURCES INC	ONRR - Royalties	Oil	175896530.41	
EOG RESOURCES INC	ONRR - Royalties	Other Commodities	8630.91	
EOG RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	607257.67	
EON NRG LTD	BLM - Permit Fees	Locatable Minerals	2756	
EON NRG LTD	BLM - Permit Fees	Oil & Gas	1920	
EON NRG LTD	ONRR - Royalties	Gas	77455.55	
EON NRG LTD	ONRR - Royalties	Oil	76217.41	
EON NRG LTD	ONRR/BLM - Bonus	Oil & Gas	180958	
EON NRG LTD	ONRR/BLM - Rents	Oil & Gas	22732.75	
EP ENERGY E&P CO LP	ONRR - Other Revenues	N/A	729	
EP ENERGY E&P CO LP	ONRR - Other Revenues	Oil & Gas	14880.85	
EP ENERGY E&P CO LP	ONRR - Royalties	Gas	14508.8	
EP ENERGY E&P CO LP	ONRR - Royalties	Oil	324500.01	
EP MINERALS LLC	BLM - Permit Fees	Locatable Minerals	134474	
EPIC ENERGY SERVICES LLC	ONRR - Other Revenues	Oil & Gas	59714.52	
EPIC ENERGY SERVICES LLC	ONRR - Royalties	Gas	372663.84	
EPIC ENERGY SERVICES LLC	ONRR - Royalties	Oil	110204.73	
EQUINOR ASA	BLM - Permit Fees	Oil & Gas	30580	
EQUINOR ASA	ONRR - Inspection Fees	Oil & Gas	17000	
EQUINOR ASA	ONRR - Other Revenues	N/A	2673	
EQUINOR ASA	ONRR - Other Revenues	Oil & Gas	-2207717.09	
EQUINOR ASA	ONRR - Royalties	Gas	4306424.57	
EQUINOR ASA	ONRR - Royalties	Oil	106852865.76	
EQUINOR ASA	ONRR/BLM - Bonus	Oil & Gas	16962452	
EQUINOR ASA	ONRR/BLM - Rents	Oil & Gas	6193938	
EQUINOR ASA	ONRR/BLM - Rents	Wind	238050	
ERWIN THOMPSON FAILLERS	BLM - Permit Fees	Locatable Minerals	212195	
ESCALERA RESOURCES CO	BLM - Permit Fees	Oil & Gas	1318	
ESCALERA RESOURCES CO	ONRR - Other Revenues	Oil & Gas	2007.75	
ESCALERA RESOURCES CO	ONRR - Royalties	Gas	468447.48	
ESCALERA RESOURCES CO	ONRR - Royalties	Oil	2692.35	
ESCALERA RESOURCES CO	ONRR/BLM - Rents	Oil & Gas	18503	
EUREKA MOLY LLC	BLM - Permit Fees	Locatable Minerals	218860	
EVEREST OIL & GAS LLC	ONRR - Civil Penalties	N/A	388560	
EVEREST OIL & GAS LLC	ONRR - Other Revenues	N/A	3022.88	
EVEREST OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	31971.32	
EVEREST OIL & GAS LLC	ONRR - Royalties	Gas	4248649.73	
EVEREST OIL & GAS LLC	ONRR - Royalties	Oil	587063.09	
EVEREST OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	21686.5	
EXARO ENERGY III LLC	ONRR - Other Revenues	Oil & Gas	-71170.19	
EXARO ENERGY III LLC	ONRR - Royalties	Gas	3023006.37	
EXTRACTION OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	80285	
EXTRACTION OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	16187.43	
EXTRACTION OIL & GAS LLC	ONRR - Royalties	Gas	162092.01	
EXTRACTION OIL & GAS LLC	ONRR - Royalties	Oil	235958.3	
EXTRACTION OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	8320	
EXTRACTION OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	4151	
EXXON MOBIL CORP	BLM - Permit Fees	Oil & Gas	2918130	
EXXON MOBIL CORP	ONRR - Civil Penalties	N/A	890000	
EXXON MOBIL CORP	ONRR - Inspection Fees	Oil & Gas	458500	
EXXON MOBIL CORP	ONRR - Other Revenues	N/A	101332.56	
EXXON MOBIL CORP	ONRR - Other Revenues	Oil & Gas	18480510.12	
EXXON MOBIL CORP	ONRR - Royalties	Gas	69281666.84	
EXXON MOBIL CORP	ONRR - Royalties	Oil	275454401.37	
EXXON MOBIL CORP	ONRR - Royalties	Other Commodities	22128695.89	
EXXON MOBIL CORP	ONRR/BLM - Bonus	Oil & Gas	50835680	
EXXON MOBIL CORP	ONRR/BLM - Rents	Oil & Gas	6192336.08	
F3 GOLD LLC	BLM - Permit Fees	Locatable Minerals	405453	
FAIR OIL LC	ONRR - Royalties	Gas	45629.18	
FAIR OIL LC	ONRR - Royalties	Oil	206520.81	
FAIR OIL LC	ONRR/BLM - Rents	Oil & Gas	480	
FAIRWAYS OFFSHORE EXPLORATION INC	ONRR - Inspection Fees	Oil & Gas	38000	
FAIRWAYS OFFSHORE EXPLORATION INC	ONRR - Other Revenues	N/A	2331.13	
FAIRWAYS OFFSHORE EXPLORATION INC	ONRR - Other Revenues	Oil & Gas	39620.04	
FAIRWAYS OFFSHORE EXPLORATION INC	ONRR - Royalties	Gas	131286.45	
FAIRWAYS OFFSHORE EXPLORATION INC	ONRR - Royalties	Oil	486348.02	
FARMER KENNETH K	ONRR/BLM - Rents	Oil & Gas	146162	
FARRELL-COOPER MINING CO	ONRR - Royalties	Coal	175420.09	
FARRELL-COOPER MINING CO	ONRR/BLM - Rents	Coal	8106	
FARRELL-COOPER MINING CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	50544.3	
FASKEN LAND & MINERALS LTD	ONRR - Other Revenues	Oil & Gas	-6261.87	
FASKEN LAND & MINERALS LTD	ONRR - Royalties	Gas	554629.31	
FASKEN LAND & MINERALS LTD	ONRR - Royalties	Oil	1296407.12	
FDL OPERATING LLC	BLM - Permit Fees	Oil & Gas	274640	
FEATHERSTONE DEVELOPMENT CORP	BLM - Permit Fees	Oil & Gas	1955	
FEATHERSTONE DEVELOPMENT CORP	ONRR - Other Revenues	Oil & Gas	1008.39	
FEATHERSTONE DEVELOPMENT CORP	ONRR/BLM - Bonus	Oil & Gas	1018210	
FEATHERSTONE DEVELOPMENT CORP	ONRR/BLM - Rents	Oil & Gas	6283	
FEDERAL ABSTRACT CO	BLM - Permit Fees	Geothermal   	165	
FEDERAL ABSTRACT CO	BLM - Permit Fees	Oil & Gas	8820	
FEDERAL ABSTRACT CO	ONRR/BLM - Bonus	Oil & Gas	390259567	
FEDERAL ABSTRACT CO	ONRR/BLM - Rents	Geothermal	4644	
FEDERAL ABSTRACT CO	ONRR/BLM - Rents	Oil & Gas	22790.5	
FIELDWOOD ENERGY LLC	ONRR - Civil Penalties	N/A	408352	
FIELDWOOD ENERGY LLC	ONRR - Inspection Fees	Oil & Gas	7667700	
FIELDWOOD ENERGY LLC	ONRR - Other Revenues	Oil & Gas	4905693.09	
FIELDWOOD ENERGY LLC	ONRR - Royalties	Gas	33011650.67	
FIELDWOOD ENERGY LLC	ONRR - Royalties	Oil	202894932.23	
FIELDWOOD ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	2563552	
FIELDWOOD ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	1295057	
FINLEY RESOURCES INC	BLM - Permit Fees	Oil & Gas	274090	
FINLEY RESOURCES INC	ONRR - Other Revenues	N/A	1944	
FINLEY RESOURCES INC	ONRR - Other Revenues	Oil & Gas	485138.45	
FINLEY RESOURCES INC	ONRR - Royalties	Gas	550047.93	
FINLEY RESOURCES INC	ONRR - Royalties	Oil	7915225.75	
FINLEY RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	15087.2	
FLAT CREEK RESOURCES LLC	BLM - Permit Fees	Oil & Gas	485	
FLAT CREEK RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	1542020	
FLAT CREEK RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	630	
FLEUR DE LIS ENERGY LLC	ONRR - Other Revenues	Oil & Gas	6750.75	
FLEUR DE LIS ENERGY LLC	ONRR - Royalties	Gas	2567090.26	
FLEUR DE LIS ENERGY LLC	ONRR - Royalties	Oil	35755700.12	
FLEUR DE LIS ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	11165.75	
FLEXTREND DEVELOPMENT COMPANY LLC	ONRR - Inspection Fees	Oil & Gas	31500	
FLEXTREND DEVELOPMENT COMPANY LLC	ONRR - Other Revenues	Oil & Gas	34632.11	
FLEXTREND DEVELOPMENT COMPANY LLC	ONRR - Royalties	Gas	172.07	
FLEXTREND DEVELOPMENT COMPANY LLC	ONRR - Royalties	Oil	473528.9	
FOCUS EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	306.75	
FOCUS EXPLORATION LLC	ONRR/BLM - Bonus	Oil & Gas	528924	
FOCUS EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	757834.06	
FORTY ACRES ENERGY LLC	BLM - Permit Fees	Oil & Gas	49520	
FORTY ACRES ENERGY LLC	ONRR - Royalties	Gas	31886.13	
FORTY ACRES ENERGY LLC	ONRR - Royalties	Oil	28448.2	
FOUNDATION ENERGY MANAGEMENT	BLM - Permit Fees	Oil & Gas	4923.44	
FOUNDATION ENERGY MANAGEMENT	ONRR - Other Revenues	Oil & Gas	-485478.97	
FOUNDATION ENERGY MANAGEMENT	ONRR - Royalties	Gas	2226446.05	
FOUNDATION ENERGY MANAGEMENT	ONRR - Royalties	Oil	544723.94	
FOUNDATION ENERGY MANAGEMENT	ONRR/BLM - Rents	Oil & Gas	34336	
FOUR CORNERS PETROLEUM LLC	ONRR - Other Revenues	Oil & Gas	5225.28	
FOUR CORNERS PETROLEUM LLC	ONRR - Royalties	Oil	358299.71	
FOURPOINT ENERGY LLC	BLM - Permit Fees	Oil & Gas	285	
FOURPOINT ENERGY LLC	ONRR - Other Revenues	Oil & Gas	26419.12	
FOURPOINT ENERGY LLC	ONRR - Royalties	Gas	417168.18	
FOURPOINT ENERGY LLC	ONRR - Royalties	Oil	296822.85	
FOURPOINT ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	3937.5	
FRANKLIN MOUNTAIN ENERGY LLC	BLM - Permit Fees	Oil & Gas	1125	
FRANKLIN MOUNTAIN ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	156017522	
FRANKLIN MOUNTAIN ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	6063	
FREEPOINT RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	141.28	
FREEPOINT RESOURCES LLC	ONRR - Royalties	Gas	504584.51	
FREEPORT-MCMORAN INC	BLM - Permit Fees	Locatable Minerals	2122952	
FREEPORT-MCMORAN INC	ONRR - Civil Penalties	N/A	32250	
FREEPORT-MCMORAN INC	ONRR - Inspection Fees	Oil & Gas	999800	
FREEPORT-MCMORAN INC	ONRR - Other Revenues	N/A	109.3	
FREEPORT-MCMORAN INC	ONRR - Other Revenues	Oil & Gas	-67749.36	
FREEPORT-MCMORAN INC	ONRR - Royalties	Gas	1282442.14	
FREEPORT-MCMORAN INC	ONRR - Royalties	Oil	15479386.01	
FREEPORT-MCMORAN INC	ONRR - Royalties	Other Commodities	84.58	
FREEPORT-MCMORAN INC	ONRR/BLM - Rents	Oil & Gas	450	
FRONTEER DEVELOPMENT (USA) INC	BLM - Permit Fees	Locatable Minerals	261640	
GALESI GROUP	BLM - Permit Fees	Oil & Gas	70720	
GALESI GROUP	ONRR - Other Revenues	Oil & Gas	13210.83	
GALESI GROUP	ONRR - Royalties	Gas	30446.91	
GALESI GROUP	ONRR - Royalties	Oil	2644050.33	
GALESI GROUP	ONRR/BLM - Bonus	Oil & Gas	22288	
GALESI GROUP	ONRR/BLM - Rents	Oil & Gas	3711	
GBK CORP	BLM - Permit Fees	Oil & Gas	10050	
GBK CORP	ONRR - Other Revenues	Oil & Gas	191991.66	
GBK CORP	ONRR - Royalties	Gas	1347721.69	
GBK CORP	ONRR - Royalties	Oil	1094602.9	
GBK CORP	ONRR/BLM - Rents	Oil & Gas	4542	
GCC ENERGY LLC	ONRR - Other Revenues	Coal	102.78	
GCC ENERGY LLC	ONRR - Royalties	Coal	2120034.56	
GCC ENERGY LLC	ONRR/BLM - Bonus	Coal	633760	
GCC ENERGY LLC	ONRR/BLM - Rents	Coal	9391.5	
GCC ENERGY LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	75272.95	
GENESIS CRUDE OIL LP	BLM - Permit Fees	Mineral Materials	8624	
GENESIS CRUDE OIL LP	BLM - Permit Fees	Oil & Gas	1318	
GENESIS CRUDE OIL LP	ONRR - Other Revenues	Oil & Gas	9943	
GENESIS CRUDE OIL LP	ONRR - Other Revenues	Sodium	75287.6	
GENESIS CRUDE OIL LP	ONRR - Royalties	Oil	121284.59	
GENESIS CRUDE OIL LP	ONRR - Royalties	Other Commodities	4851892.68	
GENESIS CRUDE OIL LP	ONRR/BLM - Rents	Oil & Gas	54598.5	
GEORGES COLLIERS INC	ONRR - Royalties	Coal	275950.54	
GEORGES COLLIERS INC	ONRR/BLM - Bonus	Coal	10400	
GEORGES COLLIERS INC	ONRR/BLM - Rents	Coal	12620	
GIBSON COUNTY COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	824849.64	
GLOBAL WIND ORGANISATION	ONRR/BLM - Bonus	Oil & Gas	437625	
GLOBAL WIND ORGANISATION	ONRR/BLM - Rents	Oil & Gas	187.5	
GMT EXPLORATION CO LLC	ONRR - Other Revenues	Oil & Gas	8496.61	
GMT EXPLORATION CO LLC	ONRR - Royalties	Gas	140569.52	
GMT EXPLORATION CO LLC	ONRR - Royalties	Oil	3572.34	
GMT EXPLORATION CO LLC	ONRR/BLM - Rents	Oil & Gas	17501	
GOLD STANDARD VENTURES	BLM - Permit Fees	Locatable Minerals	601256	
GOLD STANDARD VENTURES US INC	BLM - Permit Fees	Locatable Minerals	258392	
GOLDEN EAGLE PETROLEUM LIMITED	ONRR/BLM - Rents	Oil & Gas	549399	
GOME 1271 LLC	ONRR/BLM - Bonus	Oil & Gas	556511	
GOME 1271 LLC	ONRR/BLM - Rents	Oil & Gas	115647	
GOMEX ENERGY OFFSHORE LTD	ONRR - Civil Penalties	N/A	21750	
GOMEX ENERGY OFFSHORE LTD	ONRR - Inspection Fees	Oil & Gas	83800	
GOMEX ENERGY OFFSHORE LTD	ONRR - Other Revenues	N/A	731.69	
GOMEX ENERGY OFFSHORE LTD	ONRR - Other Revenues	Oil & Gas	789.74	
GOMEX ENERGY OFFSHORE LTD	ONRR - Royalties	Gas	307456	
GOMEX ENERGY OFFSHORE LTD	ONRR - Royalties	Oil	3632370.16	
GOMEX ENERGY OFFSHORE LTD	ONRR/BLM - Rents	Oil & Gas	255	
GRANITE CANYON QUARRY	BLM - Permit Fees	Mineral Materials	248645.39	
GRANT CANYON OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	10110	
GRANT CANYON OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	80	
GRANT CANYON OIL & GAS LLC	ONRR - Royalties	Oil	469830.69	
GRANT CANYON OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	65604	
GRANT CANYON OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	6069	
GRAYMONT WESTERN US INC	BLM - Permit Fees	Locatable Minerals	261640	
GRAYSON MILL OPERATING LLC	BLM - Permit Fees	Oil & Gas	60040	
GRAYSON MILL OPERATING LLC	ONRR - Other Revenues	Oil & Gas	3358.72	
GRAYSON MILL OPERATING LLC	ONRR - Royalties	Gas	1482.02	
GRAYSON MILL OPERATING LLC	ONRR - Royalties	Oil	26492.14	
GRAYSON MILL OPERATING LLC	ONRR/BLM - Bonus	Oil & Gas	1552000	
GRAYSON MILL OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	17342	
GREAT BASIN RESOURCES INC	BLM - Permit Fees	Locatable Minerals	384396	
GREAT WESTERN DRILLING COMPANY AND NEOFIRMA INC	ONRR - Other Revenues	Oil & Gas	1845.13	
GREAT WESTERN DRILLING COMPANY AND NEOFIRMA INC	ONRR - Royalties	Gas	146427.02	
GREAT WESTERN DRILLING COMPANY AND NEOFIRMA INC	ONRR - Royalties	Oil	28635.02	
GREAT WESTERN DRILLING COMPANY AND NEOFIRMA INC	ONRR/BLM - Rents	Oil & Gas	100	
GREAT WESTERN MINING CORP	BLM - Permit Fees	Locatable Minerals	183616	
GREAT WESTERN OPERATING COMPANY, LLC	BLM - Permit Fees	Oil & Gas	450340	
GRESHAM SAVAGE NOLAN & TILDEN PC	BLM - Permit Fees	Locatable Minerals	119505	
GRMR OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	19765.25	
GRMR OIL & GAS LLC	ONRR - Royalties	Oil	90815.24	
GRMR OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	24709.7	
GROUP TEN USA INC	BLM - Permit Fees	Locatable Minerals	108947	
GRP ELAND, LLC	BLM - Permit Fees	Locatable Minerals	155320	
GRP GOLD ROCK LLC	BLM - Permit Fees	Locatable Minerals	93405	
GRP GOLD ROCK LLC	BLM - Permit Fees	Mineral Materials	21078.59	
GRYNBERG, JACK J.	ONRR - Civil Penalties	N/A	300000	
GRYNBERG, JACK J.	ONRR - Other Revenues	Oil & Gas	10589.07	
GRYNBERG, JACK J.	ONRR - Royalties	Gas	755.91	
GRYNBERG, JACK J.	ONRR/BLM - Rents	Oil & Gas	21562	
GRYPHON GOLD CORP	BLM - Permit Fees	Locatable Minerals	171585	
GULFPORT ENERGY CORPORATION	ONRR - Other Revenues	Oil & Gas	158398.34	
GULFPORT ENERGY CORPORATION	ONRR - Royalties	Gas	2065152.3	
GULFPORT ENERGY CORPORATION	ONRR - Royalties	Oil	2160.15	
GULFSLOPE ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	322022	
GULFSLOPE ENERGY INC	ONRR/BLM - Rents	Oil & Gas	481368	
H. L. BROWN OPERATING LLC	ONRR - Other Revenues	Oil & Gas	102.98	
H. L. BROWN OPERATING LLC	ONRR - Royalties	Gas	250525.75	
HALLADOR PETROLEUM CO	ONRR - Royalties	Gas	162410.73	
HALLADOR PETROLEUM CO	ONRR - Royalties	Oil	6350.24	
HAMILTON COUNTY COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	746204.95	
HAMPDEN COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	132283.96	
HARVARD PETROLEUM CO LLC	ONRR - Royalties	Gas	48121.31	
HARVARD PETROLEUM CO LLC	ONRR - Royalties	Oil	200820.35	
HAZLETON SHAFT CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	107804.03	
HE&D OFFSHORE LP	ONRR - Other Revenues	Oil & Gas	28360.22	
HE&D OFFSHORE LP	ONRR - Royalties	Gas	86402.22	
HE&D OFFSHORE LP	ONRR - Royalties	Oil	747367.82	
HECLA MINING CO	BLM - Permit Fees	Locatable Minerals	443417	
HELIS OIL & GAS LLC	ONRR - Inspection Fees	Oil & Gas	51000	
HELIS OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	-160487.59	
HELIS OIL & GAS LLC	ONRR - Royalties	Gas	2090554.95	
HELIS OIL & GAS LLC	ONRR - Royalties	Oil	3877900.99	
HELIS OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	825.5	
