year	volume	product	region	series_id	units
2014	362813	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2013	413703	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2012	421587	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2011	464738	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2010	458477	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2009	452456	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2008	247049	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2007	236107	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2006	394100	Coal	MO	COAL.PRODUCTION.TOT-MO-TOT.A	short tons
2014	44562048	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2013	42231483	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2012	36693982	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2011	42008238	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2010	44732165	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2009	39485837	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2008	44785700	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2007	43389833	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2006	41822805	Coal	MT	COAL.PRODUCTION.TOT-MT-TOT.A	short tons
2014	21963311	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2013	21968641	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2012	22452275	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2011	21922457	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2010	20990588	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2009	25124096	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2008	25644851	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2007	24450829	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2006	25912523	Coal	NM	COAL.PRODUCTION.TOT-NM-TOT.A	short tons
2014	29157193	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2013	27639060	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2012	27528666	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2011	28231419	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2010	28948944	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2009	29945292	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2008	29627097	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2007	29606266	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2006	30411056	Coal	ND	COAL.PRODUCTION.TOT-ND-TOT.A	short tons
2014	22252365	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2013	25112837	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2012	26327636	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2011	28165714	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2010	26706556	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2009	27500563	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2008	26250924	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2007	22575386	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2006	22722049	Coal	OH	COAL.PRODUCTION.TOT-OH-TOT.A	short tons
2014	904311	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2013	1135797	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2012	1053973	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2011	1144665	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2010	1010411	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2009	956205	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2008	1463496	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2007	1647935	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2006	1998364	Coal	OK	COAL.PRODUCTION.TOT-OK-TOT.A	short tons
2014	60909704	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2013	54008748	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2012	54718802	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2011	59181827	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2010	58593111	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2009	57979452	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2008	65413644	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2007	65048039	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2006	66028815	Coal	PA	COAL.PRODUCTION.TOT-PA-TOT.A	short tons
2014	839249	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2013	1098437	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2012	1090247	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2011	1547035	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2010	1780178	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2009	1996099	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2008	2332776	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2007	2654451	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2006	2803944	Coal	TN	COAL.PRODUCTION.TOT-TN-TOT.A	short tons
2014	43654013	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2013	42850619	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2012	44178225	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2011	45903597	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2010	40982001	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2009	35093268	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2008	39016927	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
2007	41948406	Coal	TX	COAL.PRODUCTION.TOT-TX-TOT.A	short tons
