year	volume	product	region	units	series_id
2007	27327.750890000003	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2006	48047.38008	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2016	1918.11512	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2015	1620.1609999999998	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2014	1769.80092	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2013	1212.8719999999998	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2012	1497.209	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2011	2082.6214	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2010	1578.26359	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2009	1885.724	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2008	2039.327	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2007	1729.53262	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2006	1791.207	Conventional Hydroelectric	CO	MMWh	ELEC.GEN.HYC-CO-99.A
2016	285.5189	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2015	302.46704	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2014	433.96018999999995	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2013	401.9280499999999	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2012	312.141	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2011	567.4419999999999	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2010	390.6673	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2009	509.54559	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2008	556.1772599999999	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2007	363.2608	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2006	543.8919999999999	Conventional Hydroelectric	CT	MMWh	ELEC.GEN.HYC-CT-99.A
2016	219.44994999999997	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2015	244.29399999999998	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2014	211.38800000000003	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2013	254.21399999999997	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2012	150.511	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2011	182.042	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2010	177.474	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2009	208.202	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2008	206.15800000000002	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2007	154.446	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2006	203.42200000000003	Conventional Hydroelectric	FL	MMWh	ELEC.GEN.HYC-FL-99.A
2016	3082.2806599999994	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2015	2983.563	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2014	3064.347	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2013	3713.5901900000003	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2012	2236.3	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2011	2705.0575500000004	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2010	3321.7019999999998	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2009	3259.68291	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2008	2144.6183300000002	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2007	2236.1879999999996	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2006	2568.8370000000004	Conventional Hydroelectric	GA	MMWh	ELEC.GEN.HYC-GA-99.A
2016	117.56949	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2015	121.17030999999999	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2014	94.08309	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2013	78.29464000000002	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2012	114.581	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2011	93.14072999999999	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2010	70.423	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2009	112.64863	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2008	84.34333	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2007	92.34345	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2006	120.08720000000001	Conventional Hydroelectric	HI	MMWh	ELEC.GEN.HYC-HI-99.A
2016	9445.86754	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2015	8756.62187	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2014	9002.21017	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2013	8473.45076	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2012	10940.40473	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2011	13404.799	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2010	9154.243860000002	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2009	10434.263860000001	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2008	9362.500750000001	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2007	9021.69	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2006	11242.37201	Conventional Hydroelectric	ID	MMWh	ELEC.GEN.HYC-ID-99.A
2016	128.68896	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2015	124.45984	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2014	132.298	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2013	120.295	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2012	111.208	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2011	140.46200000000002	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2010	118.543	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2009	136.38000000000002	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2008	138.54899999999998	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2007	153.72737	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2006	173.272	Conventional Hydroelectric	IL	MMWh	ELEC.GEN.HYC-IL-99.A
2016	415.27370999999994	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2015	381.23599999999993	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2014	371.153	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2013	386.92799999999994	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2012	433.505	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2011	408.779	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2010	453.712	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2009	503.46999999999997	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2008	436.78	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2007	449.9359999999999	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2006	489.515	Conventional Hydroelectric	IN	MMWh	ELEC.GEN.HYC-IN-99.A
2016	955.77211	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2015	960.145	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2014	878.605	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2013	749.122	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2012	766.191	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2011	925.3519999999999	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2010	948.168	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2009	971.165	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2008	819.0469999999999	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2007	962.3459999999999	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2006	909.348	Conventional Hydroelectric	IA	MMWh	ELEC.GEN.HYC-IA-99.A
2016		Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2015	18.962999999999997	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2014	16.214000000000002	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2013	14.517999999999999	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2012	10.399000000000001	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2011	14.745	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2010	13.213999999999999	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2009	12.797999999999998	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2008	10.574	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2007	10.501	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2006	9.649	Conventional Hydroelectric	KS	MMWh	ELEC.GEN.HYC-KS-99.A
2016	3450.373510000001	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2015	3403.481	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2014	3143.567	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2013	3275.214	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2012	2361.7819999999997	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2011	2969.3120000000004	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2010	2580.2459999999996	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2009	3317.641	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2008	1917.47	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2007	1668.587	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2006	2591.701	Conventional Hydroelectric	KY	MMWh	ELEC.GEN.HYC-KY-99.A
2016	1103.023	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2015	999.036	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2014	1090.038	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2013	1044.561	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2012	679.944	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2011	1044.019	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2010	1108.7939999999999	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2009	1236.3509999999999	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2008	1064.3729999999998	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2007	826.6419999999999	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2006	713.215	Conventional Hydroelectric	LA	MMWh	ELEC.GEN.HYC-LA-99.A
2016	2967.8597100000006	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2015	3360.52716	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2014	3623.2484999999997	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2013	3560.45481	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2012	3732.60432	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2011	3978.97788	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2010	3810.3812500000004	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2009	4211.67857	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2008	4457.40536	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2007	3738.16758	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2006	4278.132240000001	Conventional Hydroelectric	ME	MMWh	ELEC.GEN.HYC-ME-99.A
2016	1396.61087	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2015	1623.1899999999998	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2014	1615.523	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2013	1727.02	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2012	1656.539	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2011	2547.123	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2010	1667.396	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2009	1888.769	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2008	1974.078	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2007	1652.21646	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2006	2104.275	Conventional Hydroelectric	MD	MMWh	ELEC.GEN.HYC-MD-99.A
2016	770.12928	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2015	827.1844700000001	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2014	902.07707	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2013	991.50405	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2012	912.48205	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2011	1148.76196	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2010	996.3388	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2009	1201.07636	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2008	1155.81128	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2007	797.4821999999999	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2006	1512.64455	Conventional Hydroelectric	MA	MMWh	ELEC.GEN.HYC-MA-99.A
2016	1548.0412999999999	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2015	1499.223	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2014	1600.022	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2013	1419.049	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2012	1206.826	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2011	1357.308	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2010	1250.5529999999999	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2009	1371.9260000000002	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2008	1364.3783199999998	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2007	1269.98926	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2006	1520.3530099999998	Conventional Hydroelectric	MI	MMWh	ELEC.GEN.HYC-MI-99.A
2016	884.4112899999999	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2015	849.0537700000001	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2014	548.48818	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2013	511.11206000000004	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2012	561.02154	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2011	746.1480300000001	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2010	840.4097800000001	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2009	809.08755	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2008	727.0606199999999	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2007	653.8218499999999	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2006	571.73025	Conventional Hydroelectric	MN	MMWh	ELEC.GEN.HYC-MN-99.A
2016	1237.39876	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2015	1595.02	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2014	697.3359999999999	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2013	1136.4270000000001	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2012	714.269	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2011	1185.1439999999998	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2010	1539.347	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2009	1816.6929999999998	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2008	2046.773	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2007	1204.326	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2006	199.21399999999997	Conventional Hydroelectric	MO	MMWh	ELEC.GEN.HYC-MO-99.A
2016	10183.48058	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2015	9887.729000000001	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2014	11482.751	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2013	9638.25978	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2012	11283.464999999998	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2011	12595.88134	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2010	9414.662	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2009	9505.94	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2008	9999.556999999999	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2007	9364.336	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2006	10130.161	Conventional Hydroelectric	MT	MMWh	ELEC.GEN.HYC-MT-99.A
2016	1724.7547299999999	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
2015	1684.98	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
2014	1157.781	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
2013	1123.9150000000002	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
2012	1257.0539999999999	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
2011	1617.228	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
2010	1313.856	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
2009	433.69	Conventional Hydroelectric	NE	MMWh	ELEC.GEN.HYC-NE-99.A
