Year	State	Commodity	Type	Revenue
2004	UT	Other Products	Royalties	450492.03
2004	UT	Potassium	Rents	1920
2004	UT	Gilsonite	Other Revenues	21825
2004	UT	Gilsonite	Rents	5299
2004	UT	Phosphate	Rents	7474
2004	VA	Oil & Gas	Other Revenues	8829.92
2004	VA	Oil & Gas	Rents	9691
2004	VA	Gas	Royalties	31358
2004	WA	Oil & Gas	Bonus	1988440.75
2004	WA	Oil & Gas	Rents	853549.5
2004	WA	Coal	Rents	1566
2004	WV	Gas	Royalties	664615.2200000001
2004	WV	Oil & Gas	Rents	30589.760000000002
2004	WV	Oil & Gas	Other Revenues	208427.2
2004	WV	Oil	Royalties	922.4100000000001
2004	WV	Oil & Gas	Bonus	35845
2004	WV	Oil & Gas	Other Royalties	615
2004	WY	Oil & Gas	Other Revenues	516940.44
2004	WY	Oil & Gas	Rents	17779967.12
2004	WY	Gas	Royalties	572017015.7099999
2004	WY	Oil	Royalties	103687635.21000001
2004	WY	Oil & Gas	Bonus	26994393.990000002
2004	WY	Oil & Gas	Other Royalties	13166796.969999997
2004	WY	NGL	Royalties	15889085.1
2004	WY	Coal	Bonus	149052991.54
2004	WY	Coal	Other Revenues	-1436124.1500000001
2004	WY	Gas	Other Royalties	474604.54
2004	WY	Coal	Rents	561361.6699999999
2004	WY	Coal	Royalties	330301792.84
2004	WY	Other Products	Royalties	5953671.83
2004	WY	Sodium	Other Revenues	273076
2004	WY	Sodium	Rents	-6642
2004	WY	Hardrock	Other Revenues	480
2004	WY	Hardrock	Rents	-160
2005	AK	Oil & Gas	Other Revenues	14469.52
2005	AK	Gas	Other Royalties	267377.24
2005	AK	Oil & Gas	Other Royalties	103709.95
2005	AK	Oil & Gas	Rents	8974164.12
2005	AK	Gas	Royalties	11546781.23
2005	AK	NGL	Royalties	337028.07
2005	AK	Oil	Royalties	1440869.2
2005	AK	Coal	Rents	7680
2005	AL	Oil & Gas	Other Revenues	70.69
2005	AL	Oil & Gas	Other Royalties	16397.84
2005	AL	Gas	Royalties	798652.99
2005	AL	Oil	Royalties	877364.6399999999
2005	AL	Other Products	Royalties	12813.36
2005	AL	Hardrock	Rents	-82
2005	AL	Oil & Gas	Rents	31853.8
2005	AL	Coal	Bonus	64113.6
2005	AL	Coal	Rents	21918
2005	AL	NGL	Royalties	4.69
2005	AR	Gas	Royalties	7596905.35
2005	AR	Oil	Royalties	251.75
2005	AR	Oil & Gas	Rents	1167423
2005	AR	Oil & Gas	Bonus	12215461
2005	AR	Oil & Gas	Other Revenues	7924.59
2005	AR	Oil & Gas	Other Royalties	106479.28
2005	AR	Hardrock	Rents	239.75
