Calendar Year	Product	State/Offshore Region	FIPS Code	CPS/Planning Area	Production Volume	Onshore/Offshore	Category	
2009	Gas (mcf)	MS	28017	Chickasaw County	46,865	Onshore	Federal	
2009	Gas (mcf)	MS	28031	Covington County	974	Onshore	Federal	
2009	Gas (mcf)	MS	28035	Forrest County	129,722	Onshore	Federal	
2009	Gas (mcf)	MS	28037	Franklin County	2,692	Onshore	Federal	
2009	Gas (mcf)	MS	28061	Jasper County	9,505	Onshore	Federal	
2009	Gas (mcf)	MS	28065	Jefferson Davis County	184,059	Onshore	Federal	
2009	Gas (mcf)	MS	28067	Jones County	9,505	Onshore	Federal	
2009	Gas (mcf)	MS	28077	Lawrence County	266	Onshore	Federal	
2009	Gas (mcf)	MS	28087	Lowndes County	72,447	Onshore	Federal	
2009	Gas (mcf)	MS	28095	Monroe County	95,665	Onshore	Federal	
2009	Gas (mcf)	MS	28109	Pearl River County	141,024	Onshore	Federal	
2009	Gas (mcf)	MS	28111	Perry County	3,856	Onshore	Federal	
2009	Gas (mcf)	MS	28131	Stone County	59,655	Onshore	Federal	
2009	Gas (mcf)	MS	28153	Wayne County	14,410	Onshore	Federal	
2009	Gas (mcf)	MS	28157	Wilkinson County	725	Onshore	Federal	
2009	Oil (bbl)	MS	28001	Adams County	7,494	Onshore	Federal	
2009	Oil (bbl)	MS	28031	Covington County	737	Onshore	Federal	
2009	Oil (bbl)	MS	28035	Forrest County	9,029	Onshore	Federal	
2009	Oil (bbl)	MS	28037	Franklin County	77,416	Onshore	Federal	
2009	Oil (bbl)	MS	28061	Jasper County	17	Onshore	Federal	
2009	Oil (bbl)	MS	28065	Jefferson Davis County	912	Onshore	Federal	
2009	Oil (bbl)	MS	28067	Jones County	1,483	Onshore	Federal	
2009	Oil (bbl)	MS	28073	Lamar County	237	Onshore	Federal	
2009	Oil (bbl)	MS	28077	Lawrence County	1	Onshore	Federal	
2009	Oil (bbl)	MS	28087	Lowndes County	356	Onshore	Federal	
2009	Oil (bbl)	MS	28095	Monroe County	82	Onshore	Federal	
2009	Oil (bbl)	MS	28109	Pearl River County	8,610	Onshore	Federal	
2009	Oil (bbl)	MS	28111	Perry County	63,638	Onshore	Federal	
2009	Oil (bbl)	MS	28123	Scott County	5,499	Onshore	Federal	
2009	Oil (bbl)	MS	28153	Wayne County	56,402	Onshore	Federal	
2009	Oil (bbl)	MS	28157	Wilkinson County	3,784	Onshore	Federal	
2009	Coal (tons)	MT	30003	Big Horn County	17,319,320	Onshore	Federal	
2009	Coal (tons)	MT	30087	Rosebud County	W	Onshore	Federal	
2009	Coal (tons)	MT	30103	Treasure County	W	Onshore	Federal	
2009	Gas (mcf)	MT	30003	Big Horn County	5,191,090	Onshore	Federal	
2009	Gas (mcf)	MT	30005	Blaine County	2,905,688	Onshore	Federal	
2009	Gas (mcf)	MT	30009	Carbon County	1,441,483	Onshore	Federal	
2009	Gas (mcf)	MT	30011	Carter County	60,903	Onshore	Federal	
2009	Gas (mcf)	MT	30015	Chouteau County	188,189	Onshore	Federal	
2009	Gas (mcf)	MT	30017	Custer County	24,994	Onshore	Federal	
2009	Gas (mcf)	MT	30021	Dawson County	84,728	Onshore	Federal	
2009	Gas (mcf)	MT	30025	Fallon County	153	Onshore	Mixed Exploratory	
