Shore	Region	Product	Year	Sum of Production Volume
Onshore	AL	Oil (bbl)	2014	23111.52
Onshore	AR	Gas (mcf)	2005	8785746.16
Onshore	AR	Gas (mcf)	2006	9921922.56
Onshore	AR	Gas (mcf)	2007	9861548.21
Onshore	AR	Gas (mcf)	2008	12040946.47
Onshore	AR	Gas (mcf)	2009	17902900.83
Onshore	AR	Gas (mcf)	2010	18909308.5
Onshore	AR	Gas (mcf)	2011	18507184
Onshore	AR	Gas (mcf)	2012	17037008.16
Onshore	AR	Gas (mcf)	2013	16207330.43
Onshore	AR	Gas (mcf)	2014	17724822.33
Onshore	AR	Oil (bbl)	2005	32.14
Onshore	AR	Oil (bbl)	2006	23.47
Onshore	AR	Oil (bbl)	2007	20.96
Onshore	AR	Oil (bbl)	2008	8.03
Onshore	AR	Oil (bbl)	2009	5.68
Onshore	AR	Oil (bbl)	2010	2.24
Onshore	AR	Oil (bbl)	2011	2.04
Onshore	AR	Oil (bbl)	2012	2.35
Onshore	AR	Oil (bbl)	2013	1.4
Onshore	AR	Oil (bbl)	2014	1.02
Onshore	AR	Quartz Crystal (tickets/pounds)	2005	8065
Onshore	AR	Quartz Crystal (tickets/pounds)	2006	6350
Onshore	AR	Quartz Crystal (tickets/pounds)	2007	2400
Onshore	AR	Quartz Crystal (tickets/pounds)	2008	0
Onshore	AR	Quartz Crystal (tickets/pounds)	2009	0
Onshore	AR	Quartz Crystal (tickets/pounds)	2010	0
Onshore	AR	Quartz Crystal (tickets/pounds)	2014	0
Onshore	AR	Wavellite (tons)	2007	0
Onshore	AR	Wavellite (tons)	2008	0
Onshore	AZ	Salt (tons)	2005	0
Onshore	AZ	Salt (tons)	2006	0
Onshore	AZ	Salt (tons)	2007	0
Onshore	AZ	Salt (tons)	2008	0
Onshore	AZ	Salt (tons)	2009	0
Onshore	AZ	Salt (tons)	2010	0
Onshore	AZ	Salt (tons)	2011	0
Onshore	AZ	Salt (tons)	2012	0
Onshore	AZ	Salt (tons)	2013	0
Onshore	AZ	Salt (tons)	2014	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2005	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2006	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2007	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2008	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2009	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2010	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2011	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2012	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2013	0
Onshore	CA	Anhydrous Sodium Sulfate (ton)	2014	0
Onshore	CA	Borax-Anhydrous (ton)	2005	0
Onshore	CA	Borax-Anhydrous (ton)	2011	0
Onshore	CA	Borax-Decahydrate (ton)	2005	0
Onshore	CA	Borax-Decahydrate (ton)	2006	0
Onshore	CA	Borax-Decahydrate (ton)	2007	0
Onshore	CA	Borax-Decahydrate (ton)	2008	0
Onshore	CA	Borax-Decahydrate (ton)	2009	0
Onshore	CA	Borax-Decahydrate (ton)	2010	0
Onshore	CA	Borax-Decahydrate (ton)	2011	0
Onshore	CA	Borax-Decahydrate (ton)	2012	0
Onshore	CA	Borax-Decahydrate (ton)	2013	0
Onshore	CA	Borax-Decahydrate (ton)	2014	0
Onshore	CA	Borax-Pentahydrate (ton)	2005	0
Onshore	CA	Borax-Pentahydrate (ton)	2006	0
Onshore	CA	Borax-Pentahydrate (ton)	2007	0
Onshore	CA	Borax-Pentahydrate (ton)	2008	0
Onshore	CA	Borax-Pentahydrate (ton)	2009	0
Onshore	CA	Borax-Pentahydrate (ton)	2010	0
Onshore	CA	Borax-Pentahydrate (ton)	2011	0
Onshore	CA	Borax-Pentahydrate (ton)	2012	0
Onshore	CA	Borax-Pentahydrate (ton)	2013	0
Onshore	CA	Borax-Pentahydrate (ton)	2014	0
Onshore	CA	Boric Acid (ton)	2005	0
Onshore	CA	Boric Acid (ton)	2006	0
Onshore	CA	Boric Acid (ton)	2007	0
Onshore	CA	Boric Acid (ton)	2008	0
Onshore	CA	Boric Acid (ton)	2009	0
Onshore	CA	Boric Acid (ton)	2010	0
Onshore	CA	Boric Acid (ton)	2011	0
Onshore	CA	Boric Acid (ton)	2012	0
Onshore	CA	Boric Acid (ton)	2013	0
Onshore	CA	Boric Acid (ton)	2014	0
Onshore	CA	Gas (mcf)	2005	18044542.02
Onshore	CA	Gas (mcf)	2006	17147134.03
Onshore	CA	Gas (mcf)	2007	15547452.69
Onshore	CA	Gas (mcf)	2008	13696926.12
Onshore	CA	Gas (mcf)	2009	10922713.17
Onshore	CA	Gas (mcf)	2010	11203439.43
Onshore	CA	Gas (mcf)	2011	15720377.6
Onshore	CA	Gas (mcf)	2012	14658577.4
Onshore	CA	Gas (mcf)	2013	12360114.44
Onshore	CA	Gas (mcf)	2014	12767377.64
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2005	260242.35
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2006	238146.66
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2007	217499.73
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2008	219089.01
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2009	179170.56
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2010	224486.3
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2011	228010.63
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2012	271469.64
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2013	276337.16
Onshore	CA	Geothermal - Direct Utilization, Millions of BTUs	2014	243504.1
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2005	988196801.7
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2006	1015891686
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2007	1092826809
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2008	1070470822
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2009	1088756553
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2010	1003412405
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2011	980959056.9
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2012	918939267.7
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2013	918278007.3
Onshore	CA	Geothermal - Electrical Generation, Kilowatt Hours	2014	896841860.7
Onshore	CA	Geothermal - Electrical Generation, Other	2005	204030.26
Onshore	CA	Geothermal - Electrical Generation, Other	2006	227562
Onshore	CA	Geothermal - Electrical Generation, Other	2007	207155.08
Onshore	CA	Geothermal - Electrical Generation, Other	2008	237415.56
Onshore	CA	Geothermal - Electrical Generation, Other	2009	233953.69
Onshore	CA	Geothermal - Electrical Generation, Other	2010	223938.12
Onshore	CA	Geothermal - Electrical Generation, Other	2011	19883.37
Onshore	CA	Geothermal - Electrical Generation, Other	2014	691756
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2005	53196738.69
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2006	53343898.53
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2007	50375439.62
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2008	49867136.34
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2009	48517752.31
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2010	48523236.7
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2011	48685683.06
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2012	48207755.95
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2013	46144621.79
Onshore	CA	Geothermal - Electrical Generation, Thousands of Pounds	2014	45564160.54
Onshore	CA	Geothermal - sulfur	2010	4669.79
Onshore	CA	Geothermal - sulfur	2011	3469.89
Onshore	CA	Geothermal - sulfur	2012	2598.09
Onshore	CA	Geothermal - sulfur	2013	2448.04
Onshore	CA	Geothermal - sulfur	2014	2089.89
Onshore	CA	Oil (bbl)	2005	14553532.63
Onshore	CA	Oil (bbl)	2006	14463848.95
Onshore	CA	Oil (bbl)	2007	13429378.35
Onshore	CA	Oil (bbl)	2008	13470152.76
Onshore	CA	Oil (bbl)	2009	14033417.2
Onshore	CA	Oil (bbl)	2010	13944825.55
Onshore	CA	Oil (bbl)	2011	14918596.6
Onshore	CA	Oil (bbl)	2012	15203507.38
Onshore	CA	Oil (bbl)	2013	15301739.25
Onshore	CA	Oil (bbl)	2014	14604579.75
Onshore	CA	Salt (tons)	2005	0
Onshore	CA	Salt (tons)	2006	0
Onshore	CA	Salt (tons)	2007	0
Onshore	CA	Salt (tons)	2008	0
Onshore	CA	Salt (tons)	2009	0
Onshore	CA	Salt (tons)	2010	0
Onshore	CA	Salt (tons)	2011	0
Onshore	CA	Salt (tons)	2012	0
Onshore	CA	Salt (tons)	2013	0
Onshore	CA	Salt (tons)	2014	0
Onshore	CA	Soda Ash (tons)	2005	0
Onshore	CA	Soda Ash (tons)	2006	0
Onshore	CA	Soda Ash (tons)	2007	0
Onshore	CA	Soda Ash (tons)	2008	0
Onshore	CA	Soda Ash (tons)	2009	0
Onshore	CA	Soda Ash (tons)	2010	0
Onshore	CA	Soda Ash (tons)	2011	0
Onshore	CA	Soda Ash (tons)	2012	0
Onshore	CA	Soda Ash (tons)	2013	0
Onshore	CA	Soda Ash (tons)	2014	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2005	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2006	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2007	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2008	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2009	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2010	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2011	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2012	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2013	0
Onshore	CA	Sodium Bi-Carbonate (tons)	2014	0
Onshore	CO	Coal (tons)	2005	20602881
Onshore	CO	Coal (tons)	2006	20811927
Onshore	CO	Coal (tons)	2007	21776477
Onshore	CO	Coal (tons)	2008	21138286
Onshore	CO	Coal (tons)	2009	16946752
Onshore	CO	Coal (tons)	2010	16137065
Onshore	CO	Coal (tons)	2011	18017066
Onshore	CO	Coal (tons)	2012	19192211
Onshore	CO	Coal (tons)	2013	15479428
Onshore	CO	Coal (tons)	2014	5881523
Onshore	CO	Gas (mcf)	2005	493289026
Onshore	CO	Gas (mcf)	2006	528393035.5
Onshore	CO	Gas (mcf)	2007	539790992.9
Onshore	CO	Gas (mcf)	2008	624576287.4
Onshore	CO	Gas (mcf)	2009	673583662.3
Onshore	CO	Gas (mcf)	2010	697822855.4
Onshore	CO	Gas (mcf)	2011	730268739.5
Onshore	CO	Gas (mcf)	2012	741299227.9
Onshore	CO	Gas (mcf)	2013	731118406.8
Onshore	CO	Gas (mcf)	2014	743328197
Onshore	CO	Oil (bbl)	2005	4046908.74
Onshore	CO	Oil (bbl)	2006	4082648.71
Onshore	CO	Oil (bbl)	2007	4122013.8
Onshore	CO	Oil (bbl)	2008	4171876.46
Onshore	CO	Oil (bbl)	2009	3959462.09
Onshore	CO	Oil (bbl)	2010	3865141.47
Onshore	CO	Oil (bbl)	2011	4153295.89
Onshore	CO	Oil (bbl)	2012	4429463.97
Onshore	CO	Oil (bbl)	2013	4384038.01
Onshore	CO	Oil (bbl)	2014	5267965.15
Onshore	CO	Sodium Bi-Carbonate (tons)	2005	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2006	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2007	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2008	102512
Onshore	CO	Sodium Bi-Carbonate (tons)	2009	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2010	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2011	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2012	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2013	0
Onshore	CO	Sodium Bi-Carbonate (tons)	2014	0
Onshore	FL	Oil (bbl)	2006	77
Onshore	FL	Phosphate Raw Ore (tons)	2005	0
Onshore	FL	Phosphate Raw Ore (tons)	2010	0
Onshore	FL	Phosphate Raw Ore (tons)	2011	0
Onshore	FL	Phosphate Raw Ore (tons)	2012	0
Onshore	FL	Phosphate Raw Ore (tons)	2013	0
Onshore	ID	Gold (ounces)	2005	0
Onshore	ID	Gold (ounces)	2006	0
Onshore	ID	Gold (ounces)	2007	0
Onshore	ID	Gold (ounces)	2008	0
Onshore	ID	Gold (ounces)	2009	0
Onshore	ID	Gold (ounces)	2011	0
Onshore	ID	Phosphate Raw Ore (tons)	2005	2621832
Onshore	ID	Phosphate Raw Ore (tons)	2006	2381392
Onshore	ID	Phosphate Raw Ore (tons)	2007	2324385
Onshore	ID	Phosphate Raw Ore (tons)	2008	2424258
Onshore	ID	Phosphate Raw Ore (tons)	2009	3423741
Onshore	ID	Phosphate Raw Ore (tons)	2010	3523585
Onshore	ID	Phosphate Raw Ore (tons)	2011	4690032
Onshore	ID	Phosphate Raw Ore (tons)	2012	4467766
Onshore	ID	Phosphate Raw Ore (tons)	2013	4960123
Onshore	ID	Phosphate Raw Ore (tons)	2014	5777094
Onshore	ID	Silver (ounces)	2013	0
Onshore	IL	Gas (mcf)	2005	7836
Onshore	IL	Gas (mcf)	2006	8211
Onshore	IL	Gas (mcf)	2007	8079
Onshore	IL	Gas (mcf)	2008	6965
Onshore	IL	Gas (mcf)	2009	12212.72
Onshore	IL	Gas (mcf)	2010	14073.74
Onshore	IL	Gas (mcf)	2011	14335.74
Onshore	IL	Gas (mcf)	2012	14460.96
Onshore	IL	Gas (mcf)	2013	14384.77
Onshore	IL	Gas (mcf)	2014	26222.65
Onshore	IL	Oil (bbl)	2005	34905.89
Onshore	IL	Oil (bbl)	2006	37056.04
Onshore	IL	Oil (bbl)	2007	38791.55
Onshore	IL	Oil (bbl)	2008	34385.51
Onshore	IL	Oil (bbl)	2009	34241.75
Onshore	IL	Oil (bbl)	2010	31995.34
Onshore	IL	Oil (bbl)	2011	27142.34
Onshore	IL	Oil (bbl)	2012	27870.84
Onshore	IL	Oil (bbl)	2013	26276.28
Onshore	IL	Oil (bbl)	2014	19078.99
Onshore	KS	Gas (mcf)	2005	9484098.46
Onshore	KS	Gas (mcf)	2006	8796164.4
Onshore	KS	Gas (mcf)	2007	8054335.65
Onshore	KS	Gas (mcf)	2008	7908716.02
Onshore	KS	Gas (mcf)	2009	7369921.66
Onshore	KS	Gas (mcf)	2010	7115091.77
Onshore	KS	Gas (mcf)	2011	6321743.2
Onshore	KS	Gas (mcf)	2012	5682402.43
Onshore	KS	Gas (mcf)	2013	5151120.32
Onshore	KS	Gas (mcf)	2014	4617251.65
Onshore	KS	Oil (bbl)	2005	270764.58
Onshore	KS	Oil (bbl)	2006	444652.33
Onshore	KS	Oil (bbl)	2007	311079.29
Onshore	KS	Oil (bbl)	2008	279466.89
Onshore	KS	Oil (bbl)	2009	230259.06
Onshore	KS	Oil (bbl)	2010	220061.94
Onshore	KS	Oil (bbl)	2011	241119.12
Onshore	KS	Oil (bbl)	2012	225588.96
Onshore	KS	Oil (bbl)	2013	199639.8
Onshore	KS	Oil (bbl)	2014	169813.96
Onshore	KY	Coal (tons)	2005	0
Onshore	KY	Coal (tons)	2006	0
Onshore	KY	Coal (tons)	2007	0
Onshore	KY	Coal (tons)	2008	0
Onshore	KY	Coal (tons)	2009	0
Onshore	KY	Coal (tons)	2010	0
Onshore	KY	Coal (tons)	2011	0
Onshore	KY	Coal (tons)	2012	0
Onshore	KY	Coal (tons)	2013	0
Onshore	KY	Coal (tons)	2014	0
Onshore	KY	Gas (mcf)	2005	198301.09
Onshore	KY	Gas (mcf)	2006	212384.51
Onshore	KY	Gas (mcf)	2007	207549.45
Onshore	KY	Gas (mcf)	2008	205519.28
Onshore	KY	Gas (mcf)	2009	189885.02
Onshore	KY	Gas (mcf)	2010	191033.87
Onshore	KY	Gas (mcf)	2011	173874.29
Onshore	KY	Gas (mcf)	2012	145702.53
Onshore	KY	Gas (mcf)	2013	131149.21
Onshore	KY	Gas (mcf)	2014	126830.01
Onshore	KY	Oil (bbl)	2005	12975.51
Onshore	KY	Oil (bbl)	2006	11057.17
Onshore	KY	Oil (bbl)	2007	13104.21
Onshore	KY	Oil (bbl)	2008	13178.47
Onshore	KY	Oil (bbl)	2009	13156.63
Onshore	KY	Oil (bbl)	2010	13047.46
Onshore	KY	Oil (bbl)	2011	12407.67
Onshore	KY	Oil (bbl)	2012	11835.46
Onshore	KY	Oil (bbl)	2013	11748.53
Onshore	KY	Oil (bbl)	2014	10786.28
Onshore	LA	Gas (mcf)	2005	32362046.29
Onshore	LA	Gas (mcf)	2006	31498176.48
Onshore	LA	Gas (mcf)	2007	30582603.66
Onshore	LA	Gas (mcf)	2008	29461755.08
Onshore	LA	Gas (mcf)	2009	20519548.29
Onshore	LA	Gas (mcf)	2010	16590301.92
Onshore	LA	Gas (mcf)	2011	20733556.41
Onshore	LA	Gas (mcf)	2012	20661362.54
Onshore	LA	Gas (mcf)	2013	17123842.73
Onshore	LA	Gas (mcf)	2014	12865872.53
Onshore	LA	Oil (bbl)	2005	391661.67
Onshore	LA	Oil (bbl)	2006	482037.7
Onshore	LA	Oil (bbl)	2007	407946.56
Onshore	LA	Oil (bbl)	2008	357252.22
Onshore	LA	Oil (bbl)	2009	324011.37
Onshore	LA	Oil (bbl)	2010	301030.25
Onshore	LA	Oil (bbl)	2011	332265.79
Onshore	LA	Oil (bbl)	2012	353876.5
Onshore	LA	Oil (bbl)	2013	305414.3
Onshore	LA	Oil (bbl)	2014	286039.88
Onshore	MI	Gas (mcf)	2005	2621449.96
Onshore	MI	Gas (mcf)	2006	2969319.2
Onshore	MI	Gas (mcf)	2007	2993430.55
Onshore	MI	Gas (mcf)	2008	2780866.73
Onshore	MI	Gas (mcf)	2009	2578660.94
Onshore	MI	Gas (mcf)	2010	2199776.08
Onshore	MI	Gas (mcf)	2011	1999969.94
Onshore	MI	Gas (mcf)	2012	1914592.59
Onshore	MI	Gas (mcf)	2013	1632824.86
Onshore	MI	Gas (mcf)	2014	1429120.05
Onshore	MI	Oil (bbl)	2005	22429.34
Onshore	MI	Oil (bbl)	2006	39852.04
Onshore	MI	Oil (bbl)	2007	40480
Onshore	MI	Oil (bbl)	2008	50167.79
Onshore	MI	Oil (bbl)	2009	28092.55
Onshore	MI	Oil (bbl)	2010	33235.48
Onshore	MI	Oil (bbl)	2011	39394.87
Onshore	MI	Oil (bbl)	2012	44874.09
Onshore	MI	Oil (bbl)	2013	43010.9
Onshore	MI	Oil (bbl)	2014	32900.27
Onshore	MO	Copper Concentrate (tons)	2005	13141
Onshore	MO	Copper Concentrate (tons)	2006	19002
Onshore	MO	Copper Concentrate (tons)	2007	10960
Onshore	MO	Copper Concentrate (tons)	2008	11909.01
Onshore	MO	Copper Concentrate (tons)	2009	8726.01
Onshore	MO	Copper Concentrate (tons)	2010	8973.99
Onshore	MO	Copper Concentrate (tons)	2011	8386.01
Onshore	MO	Copper Concentrate (tons)	2012	21424.34
Onshore	MO	Copper Concentrate (tons)	2013	15448
Onshore	MO	Copper Concentrate (tons)	2014	20282
Onshore	MO	Lead Concentrate (tons)	2005	207576
Onshore	MO	Lead Concentrate (tons)	2006	223123
Onshore	MO	Lead Concentrate (tons)	2007	221198
Onshore	MO	Lead Concentrate (tons)	2008	203433
Onshore	MO	Lead Concentrate (tons)	2009	194150.01
Onshore	MO	Lead Concentrate (tons)	2010	184361
Onshore	MO	Lead Concentrate (tons)	2011	176582
Onshore	MO	Lead Concentrate (tons)	2012	155035.01
Onshore	MO	Lead Concentrate (tons)	2013	145983.48
Onshore	MO	Lead Concentrate (tons)	2014	143271.71
Onshore	MO	Zinc Concentrate (tons)	2005	49449
Onshore	MO	Zinc Concentrate (tons)	2006	54880.01
Onshore	MO	Zinc Concentrate (tons)	2007	55968.01
Onshore	MO	Zinc Concentrate (tons)	2008	45452
Onshore	MO	Zinc Concentrate (tons)	2009	50275.99
Onshore	MO	Zinc Concentrate (tons)	2010	43522
Onshore	MO	Zinc Concentrate (tons)	2011	43763
Onshore	MO	Zinc Concentrate (tons)	2012	32595.01
Onshore	MO	Zinc Concentrate (tons)	2013	40418.39
Onshore	MO	Zinc Concentrate (tons)	2014	44650.71
Onshore	MS	Gas (mcf)	2005	700094.74
Onshore	MS	Gas (mcf)	2006	696287.08
Onshore	MS	Gas (mcf)	2007	651005.02
Onshore	MS	Gas (mcf)	2008	690703.3
Onshore	MS	Gas (mcf)	2009	771367.44
Onshore	MS	Gas (mcf)	2010	850446.46
Onshore	MS	Gas (mcf)	2011	774814.03
Onshore	MS	Gas (mcf)	2012	647641.72
Onshore	MS	Gas (mcf)	2013	433934.73
