Region	FIPS	Product	Year	Production Volume
AR	5097	Wavellite (tons)	2007	0
AR	5115	Gas (mcf)	2005	22473.04
AR	5115	Gas (mcf)	2006	21148.1
AR	5115	Gas (mcf)	2007	19939.73
AR	5115	Gas (mcf)	2008	124119.43
AR	5115	Gas (mcf)	2009	87393.52
AR	5115	Gas (mcf)	2010	448133.8
AR	5115	Gas (mcf)	2011	286772.45
AR	5115	Gas (mcf)	2012	205219.54
AR	5115	Gas (mcf)	2013	154871.11
AR	5115	Gas (mcf)	2014	141081.46
AR	5127	Gas (mcf)	2009	18483.04
AR	5127	Gas (mcf)	2010	11810.68
AR	5127	Gas (mcf)	2011	6288.51
AR	5127	Gas (mcf)	2012	3800.74
AR	5127	Gas (mcf)	2013	5656.56
AR	5127	Gas (mcf)	2014	7288.91
AR	5131	Gas (mcf)	2005	4075348.33
AR	5131	Gas (mcf)	2006	4628930.27
AR	5131	Gas (mcf)	2007	4415725.96
AR	5131	Gas (mcf)	2008	4223358.62
AR	5131	Gas (mcf)	2009	3835563.2
AR	5131	Gas (mcf)	2010	3750569.33
AR	5131	Gas (mcf)	2011	3422954.43
AR	5131	Gas (mcf)	2012	3042582.27
AR	5131	Gas (mcf)	2013	2774831.81
AR	5131	Gas (mcf)	2014	2506271.49
AR	5135	Gas (mcf)	2005	35750.61
AR	5135	Gas (mcf)	2006	34327.64
AR	5135	Gas (mcf)	2007	30484.8
AR	5135	Gas (mcf)	2008	32237.3
AR	5135	Gas (mcf)	2009	29010.18
AR	5135	Gas (mcf)	2010	29153.83
AR	5135	Gas (mcf)	2011	27262.58
AR	5135	Gas (mcf)	2012	31334.28
AR	5135	Gas (mcf)	2013	29710.35
AR	5135	Gas (mcf)	2014	29092.75
AR	5141	Gas (mcf)	2006	1676.93
AR	5141	Gas (mcf)	2007	68074.03
AR	5141	Gas (mcf)	2008	735188.73
AR	5141	Gas (mcf)	2009	3149636.53
AR	5141	Gas (mcf)	2010	2305903.54
AR	5141	Gas (mcf)	2011	3470334.73
AR	5141	Gas (mcf)	2012	2606261.34
AR	5141	Gas (mcf)	2013	2394025.17
AR	5141	Gas (mcf)	2014	3875035.51
AR	5145	Gas (mcf)	2008	20387.81
AR	5145	Gas (mcf)	2009	52594.25
AR	5145	Gas (mcf)	2010	47038.69
AR	5145	Gas (mcf)	2011	765344.27
AR	5145	Gas (mcf)	2012	581713.78
AR	5145	Gas (mcf)	2013	907658.84
AR	5145	Gas (mcf)	2014	1654977.26
AR	5149	Gas (mcf)	2005	2987086.38
AR	5149	Gas (mcf)	2006	3642637.64
AR	5149	Gas (mcf)	2007	2600866.27
AR	5149	Gas (mcf)	2008	1573939.3
AR	5149	Gas (mcf)	2009	975999.09
AR	5149	Gas (mcf)	2010	781423.87
AR	5149	Gas (mcf)	2011	626120.71
AR	5149	Gas (mcf)	2012	573094.72
AR	5149	Gas (mcf)	2013	478408.5
AR	5149	Gas (mcf)	2014	430656.42
AZ	4013	Salt (tons)	2005	0
AZ	4013	Salt (tons)	2006	0
AZ	4013	Salt (tons)	2007	0
AZ	4013	Salt (tons)	2008	0
AZ	4013	Salt (tons)	2009	0
AZ	4013	Salt (tons)	2010	0
AZ	4013	Salt (tons)	2011	0
AZ	4013	Salt (tons)	2012	0
AZ	4013	Salt (tons)	2013	0
AZ	4013	Salt (tons)	2014	0
CA	6013	Gas (mcf)	2005	13337.92
CA	6013	Gas (mcf)	2006	11197.6
CA	6013	Gas (mcf)	2007	11182.23
CA	6013	Gas (mcf)	2008	10349.92
CA	6013	Gas (mcf)	2009	4534.33
CA	6013	Gas (mcf)	2010	2968.32
CA	6013	Gas (mcf)	2011	2619.3
CA	6013	Gas (mcf)	2012	1909.75
CA	6013	Gas (mcf)	2013	1641.25
CA	6013	Gas (mcf)	2014	1194.94
CA	6013	Oil (bbl)	2005	26.92
CA	6013	Oil (bbl)	2006	12.74
CA	6013	Oil (bbl)	2007	14.25
CA	6013	Oil (bbl)	2008	12.34
CA	6013	Oil (bbl)	2009	0.82
CA	6013	Oil (bbl)	2012	1.73
CA	6013	Oil (bbl)	2013	2.66
CA	6013	Oil (bbl)	2014	1.7
CA	6019	Gas (mcf)	2005	594249.59
CA	6019	Gas (mcf)	2006	432590.98
CA	6019	Gas (mcf)	2007	113705.1
CA	6019	Gas (mcf)	2008	122984.21
CA	6019	Gas (mcf)	2009	182757.94
CA	6019	Gas (mcf)	2010	193427.09
CA	6019	Gas (mcf)	2011	249999.35
CA	6019	Gas (mcf)	2012	74545
CA	6019	Gas (mcf)	2013	2985.35
CA	6019	Gas (mcf)	2014	10933.83
CA	6019	Oil (bbl)	2005	44959.8
CA	6019	Oil (bbl)	2006	45344.65
CA	6019	Oil (bbl)	2007	21831.76
CA	6019	Oil (bbl)	2008	10854.67
CA	6019	Oil (bbl)	2009	19078.52
CA	6019	Oil (bbl)	2010	19951.15
CA	6019	Oil (bbl)	2011	18122.86
CA	6019	Oil (bbl)	2012	13101.83
CA	6019	Oil (bbl)	2013	13772.54
CA	6019	Oil (bbl)	2014	23438.62
CA	6021	Gas (mcf)	2005	10722.31
CA	6021	Gas (mcf)	2006	8928.86
CA	6021	Gas (mcf)	2007	8103.8
CA	6021	Gas (mcf)	2008	14832.19
CA	6021	Gas (mcf)	2009	13071.29
CA	6021	Gas (mcf)	2010	9654.51
CA	6021	Gas (mcf)	2011	8006.75
CA	6021	Gas (mcf)	2012	7981.36
CA	6021	Gas (mcf)	2013	7582.21
CA	6021	Gas (mcf)	2014	6874.08
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2005	359593960
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2006	334244017
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2007	440260735
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2008	437685000
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2009	423244000
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2010	422385180.8
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2011	430545952.7
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2012	407340165.3
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2013	385979604.5
CA	6025	Geothermal - Electrical Generation, Kilowatt Hours	2014	363631895.2
CA	6025	Geothermal - Electrical Generation, Other	2005	204030.26
CA	6025	Geothermal - Electrical Generation, Other	2006	227562
CA	6025	Geothermal - Electrical Generation, Other	2007	207155.08
CA	6025	Geothermal - Electrical Generation, Other	2008	237415.56
CA	6025	Geothermal - Electrical Generation, Other	2009	233953.69
CA	6025	Geothermal - Electrical Generation, Other	2010	223938.12
CA	6025	Geothermal - Electrical Generation, Other	2011	19883.37
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2005	537748979.7
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2006	504915624.5
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2007	465167155.8
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2008	449420627.7
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2009	460346602.9
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2010	387017462.4
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2011	368106296.6
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2012	345868455
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2013	368059512
CA	6027	Geothermal - Electrical Generation, Kilowatt Hours	2014	337393974
CA	6027	Geothermal - sulfur	2010	4669.79
CA	6027	Geothermal - sulfur	2011	3469.89
CA	6027	Geothermal - sulfur	2012	2598.09
CA	6027	Geothermal - sulfur	2013	2448.04
CA	6027	Geothermal - sulfur	2014	2089.89
CA	6029	Gas (mcf)	2005	2105263.42
CA	6029	Gas (mcf)	2006	3140316.95
CA	6029	Gas (mcf)	2007	3196592.81
CA	6029	Gas (mcf)	2008	3684486.46
CA	6029	Gas (mcf)	2009	4864026.65
CA	6029	Gas (mcf)	2010	6067740.26
CA	6029	Gas (mcf)	2011	10983013.16
CA	6029	Gas (mcf)	2012	10517991.28
CA	6029	Gas (mcf)	2013	8896105.4
CA	6029	Gas (mcf)	2014	9333151.35
CA	6029	Oil (bbl)	2005	13521746.21
CA	6029	Oil (bbl)	2006	13437622.25
CA	6029	Oil (bbl)	2007	12513256.31
CA	6029	Oil (bbl)	2008	12609418.61
CA	6029	Oil (bbl)	2009	13200352.68
CA	6029	Oil (bbl)	2010	13124261.84
CA	6029	Oil (bbl)	2011	14082937.04
CA	6029	Oil (bbl)	2012	14269606.03
CA	6029	Oil (bbl)	2013	14431339.51
CA	6029	Oil (bbl)	2014	13627611.03
CA	6031	Gas (mcf)	2005	158499.06
CA	6031	Gas (mcf)	2006	161244.67
CA	6031	Gas (mcf)	2007	103233.22
CA	6031	Gas (mcf)	2008	33586.03
CA	6031	Gas (mcf)	2009	36907.6
CA	6031	Gas (mcf)	2010	84545.41
CA	6031	Gas (mcf)	2011	176321.26
CA	6031	Gas (mcf)	2012	105383.28
CA	6031	Gas (mcf)	2013	45456.2
CA	6031	Gas (mcf)	2014	66302.66
CA	6031	Oil (bbl)	2005	37331.1
CA	6031	Oil (bbl)	2006	41025.32
CA	6031	Oil (bbl)	2007	38055.11
CA	6031	Oil (bbl)	2008	32285.49
CA	6031	Oil (bbl)	2009	38033.57
CA	6031	Oil (bbl)	2010	37065.69
CA	6031	Oil (bbl)	2011	35706.84
CA	6031	Oil (bbl)	2012	38720.18
CA	6031	Oil (bbl)	2013	37194.35
CA	6031	Oil (bbl)	2014	56084.24
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2005	23325053.02
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2006	23235178.96
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2007	21799180.09
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2008	21265241.42
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2009	20771777.54
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2010	20975267.77
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2011	20965734.74
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2012	20689289.49
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2013	19664634.99
CA	6033	Geothermal - Electrical Generation, Thousands of Pounds	2014	19550547.09
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2005	260242.35
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2006	238146.66
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2007	217499.73
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2008	219089.01
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2009	179170.56
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2010	224486.3
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2011	228010.63
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2012	271469.64
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2013	276337.16
CA	6035	Geothermal - Direct Utilization, Millions of BTUs	2014	243504.1
CA	6035	Geothermal - Electrical Generation, Other	2014	691756
CA	6037	Gas (mcf)	2005	159479.23
CA	6037	Gas (mcf)	2006	151370.01
CA	6037	Gas (mcf)	2007	137894.66
CA	6037	Gas (mcf)	2008	148186.59
CA	6037	Gas (mcf)	2009	129765.88
CA	6037	Gas (mcf)	2010	134192.98
CA	6037	Gas (mcf)	2011	129810.12
CA	6037	Gas (mcf)	2012	172749.62
CA	6037	Gas (mcf)	2013	150289.84
CA	6037	Gas (mcf)	2014	135498.7
CA	6037	Oil (bbl)	2005	507335.67
CA	6037	Oil (bbl)	2006	494001.22
CA	6037	Oil (bbl)	2007	424917.24
CA	6037	Oil (bbl)	2008	398817.68
CA	6037	Oil (bbl)	2009	386843
CA	6037	Oil (bbl)	2010	403222.52
CA	6037	Oil (bbl)	2011	422438.33
CA	6037	Oil (bbl)	2012	483130
CA	6037	Oil (bbl)	2013	477574.13
CA	6037	Oil (bbl)	2014	443801.55
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2005	90853862
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2006	176732044.3
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2007	187398918
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2008	183365194
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2009	205165950.4
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2010	194009762.2
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2011	182306807.6
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2012	165730647.4
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2013	164238890.8
CA	6051	Geothermal - Electrical Generation, Kilowatt Hours	2014	195815991.4
CA	6053	Gas (mcf)	2005	1220.13
CA	6053	Gas (mcf)	2006	1219.24
CA	6053	Gas (mcf)	2007	1403.05
CA	6053	Gas (mcf)	2008	2582.89
CA	6053	Gas (mcf)	2009	3845.06
CA	6053	Gas (mcf)	2010	4199.16
CA	6053	Gas (mcf)	2011	3269.6
CA	6053	Gas (mcf)	2012	2967.52
CA	6053	Gas (mcf)	2013	2657.08
CA	6053	Gas (mcf)	2014	1829.07
CA	6053	Oil (bbl)	2005	4105.47
CA	6053	Oil (bbl)	2006	3683.31
CA	6053	Oil (bbl)	2007	3068.18
CA	6053	Oil (bbl)	2008	4588.5
CA	6053	Oil (bbl)	2009	7600.03
CA	6053	Oil (bbl)	2010	9312.32
CA	6053	Oil (bbl)	2011	11302.96
CA	6053	Oil (bbl)	2012	13611.5
CA	6053	Oil (bbl)	2013	13490.58
CA	6053	Oil (bbl)	2014	14464.4
CA	6067	Gas (mcf)	2005	2703796.18
CA	6067	Gas (mcf)	2006	2317561.6
CA	6067	Gas (mcf)	2007	2126758.49
CA	6067	Gas (mcf)	2008	1665286.45
CA	6067	Gas (mcf)	2009	820533.07
CA	6067	Gas (mcf)	2010	577251.58
CA	6067	Gas (mcf)	2011	509691.01
CA	6067	Gas (mcf)	2012	428566.25
CA	6067	Gas (mcf)	2013	383728.97
CA	6067	Gas (mcf)	2014	356104.84
CA	6067	Oil (bbl)	2005	2768.98
CA	6067	Oil (bbl)	2006	2364.91
CA	6067	Oil (bbl)	2007	3374.86
CA	6067	Oil (bbl)	2008	3103.27
CA	6067	Oil (bbl)	2009	1715.71
CA	6067	Oil (bbl)	2010	1366.13
CA	6067	Oil (bbl)	2011	1144.03
CA	6067	Oil (bbl)	2012	815.44
CA	6067	Oil (bbl)	2013	846.45
CA	6067	Oil (bbl)	2014	670.41
CA	6069	Gas (mcf)	2005	41
CA	6069	Gas (mcf)	2006	7
CA	6069	Gas (mcf)	2008	116
CA	6069	Gas (mcf)	2009	225
CA	6069	Gas (mcf)	2010	139
CA	6069	Gas (mcf)	2011	148
CA	6069	Gas (mcf)	2012	12
CA	6069	Gas (mcf)	2013	7
CA	6069	Gas (mcf)	2014	1
CA	6069	Oil (bbl)	2005	1923
CA	6069	Oil (bbl)	2006	405
CA	6069	Oil (bbl)	2007	16
CA	6069	Oil (bbl)	2008	745
CA	6069	Oil (bbl)	2009	1459
CA	6069	Oil (bbl)	2010	1063
CA	6069	Oil (bbl)	2011	806
CA	6069	Oil (bbl)	2012	190
CA	6069	Oil (bbl)	2013	43
CA	6069	Oil (bbl)	2014	127
CA	6071	Anhydrous Sodium Sulfate (ton)	2005	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2006	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2007	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2008	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2009	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2010	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2011	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2012	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2013	0
CA	6071	Anhydrous Sodium Sulfate (ton)	2014	0
CA	6071	Borax-Anhydrous (ton)	2005	0
CA	6071	Borax-Anhydrous (ton)	2011	0
CA	6071	Borax-Decahydrate (ton)	2005	0
CA	6071	Borax-Decahydrate (ton)	2006	0
CA	6071	Borax-Decahydrate (ton)	2007	0
CA	6071	Borax-Decahydrate (ton)	2008	0
CA	6071	Borax-Decahydrate (ton)	2009	0
CA	6071	Borax-Decahydrate (ton)	2010	0
CA	6071	Borax-Decahydrate (ton)	2011	0
CA	6071	Borax-Decahydrate (ton)	2012	0
