Year	Region	Resource	Revenue
2008	WY	oilgas	1751504590.24
2008	WY	coal	991221909.55
2008	WY	minerals	1233178.18
2008	WY	other	18170660.74
2009	AK	oilgas	51691695.13
2009	AL	oilgas	815654.86
2009	AL	minerals	3000.54
2009	AL	coal	4351314.70
2009	AR	oilgas	9094991.69
2009	AR	minerals	916.12
2009	AZ	oilgas	85552.50
2009	AZ	renewables	2084.00
2009	AZ	minerals	1914.66
2009	CA	oilgas	88288809.10
2009	CA	renewables	8080929.49
2009	CA	minerals	505382.26
2009	CO	oilgas	125974583.06
2009	CO	coal	46238748.49
2009	CO	other	39010563.22
2009	CO	minerals	-142029.00
2009	FL	minerals	9363.00
2009	FL	oilgas	-8397.00
2009	ID	oilgas	38609.00
2009	ID	minerals	118843.88
2009	ID	renewables	108271.00
2009	IL	oilgas	207440.79
2009	IN	oilgas	156856.71
2009	KS	oilgas	4604970.59
2009	KS	other	20.06
2009	KY	coal	1350572.04
2009	KY	oilgas	212083.26
2009	LA	oilgas	15489392.04
2009	MD	oilgas	9418.15
2009	MI	oilgas	2430584.06
2009	MN	minerals	49182.50
2009	MO	minerals	13003.00
2009	MS	oilgas	2332045.24
2009	MT	oilgas	34114566.02
2009	MT	minerals	-5220.96
2009	MT	coal	53140521.14
2009	ND	oilgas	140726676.01
2009	ND	minerals	16815.01
2009	ND	coal	347487.37
2009	NE	oilgas	261747.68
2009	NM	oilgas	554051028.15
2009	NM	minerals	606561.78
2009	NM	other	26915805.60
2009	NM	renewables	-44842.00
2009	NM	coal	1427556.84
2009	NV	renewables	12414465.25
2009	NV	oilgas	9303238.34
2009	NV	other	0.00
2009	NY	oilgas	6748.55
2009	OH	oilgas	596725.13
2009	OK	oilgas	16796615.17
2009	OK	coal	972475.69
2009	OK	minerals	959.00
2009	OR	renewables	975384.41
2009	OR	oilgas	407515.50
2009	PA	oilgas	104755.71
2009	SC	minerals	5550.00
2009	SD	oilgas	1678116.31
2009	TX	oilgas	25714502.84
2009	UT	renewables	9274625.11
2009	UT	oilgas	190011038.71
2009	UT	coal	22215156.47
2009	UT	other	364291.88
2009	UT	minerals	1455484.71
2009	VA	oilgas	71427.41
2009	VA	minerals	110497.77
2009	WA	oilgas	1049563.00
2009	WA	coal	2406.00
2009	WV	oilgas	676162.81
2009	WY	oilgas	822960502.63
2009	WY	coal	956391867.99
2009	WY	minerals	7253374.97
2009	WY	other	14550145.78
2010	AK	oilgas	22957199.40
2010	AL	oilgas	908978.17
2010	AL	minerals	1571.44
2010	AL	coal	10403463.27
2010	AR	oilgas	12810234.22
2010	AR	minerals	953.70
2010	AZ	oilgas	36056.00
2010	AZ	renewables	2084.00
2010	AZ	minerals	4849.53
2010	CA	oilgas	126370089.43
2010	CA	renewables	9083075.45
2010	CA	minerals	928651.02
2010	CO	oilgas	196454126.98
2010	CO	coal	62182004.59
2010	CO	other	42604687.34
2010	CO	minerals	20079.00
2010	FL	oilgas	3200.00
2010	ID	oilgas	10414.50
2010	ID	minerals	135720.00
2010	ID	renewables	84800.00
2010	IL	oilgas	347681.70
2010	IL	minerals	-60.00
2010	IN	oilgas	79493.78
2010	KS	oilgas	6666860.95
2010	KY	coal	148781.28
2010	KY	oilgas	340242.60
2010	LA	oilgas	56286094.40
2010	MD	oilgas	8360.01
2010	MI	oilgas	1696221.97
2010	MN	minerals	49776.50
2010	MO	minerals	13003.00
2010	MO	oilgas	7037.20
2010	MS	oilgas	2760707.06
2010	MT	oilgas	40296773.34
2010	MT	minerals	6943.51
2010	MT	coal	54177418.12
2010	ND	oilgas	99819402.51
2010	ND	coal	264870.15
2010	NE	oilgas	573927.58
2010	NM	oilgas	792143134.45
2010	NM	minerals	304067.05
2010	NM	other	21846312.03
2010	NM	renewables	15646.00
2010	NM	coal	6523309.91
2010	NV	renewables	7640651.18
2010	NV	oilgas	10381603.64
2010	NV	minerals	10542.00
2010	NY	oilgas	6474.30
2010	OH	oilgas	747785.40
2010	OK	oilgas	9513352.89
2010	OK	coal	832964.66
2010	OK	minerals	-2397.50
2010	OR	renewables	283071.00
2010	OR	oilgas	391906.00
2010	PA	oilgas	218066.76
2010	SD	oilgas	1539019.58
2010	TX	oilgas	58468677.43
2010	UT	renewables	1076520.75
2010	UT	oilgas	270773113.81
2010	UT	coal	25229904.79
2010	UT	other	347923.04
2010	UT	minerals	1933718.88
2010	VA	oilgas	140124.65
2010	VA	minerals	117042.69
2010	WA	oilgas	540031.00
2010	WA	coal	726.00
2010	WV	oilgas	615871.58
2010	WY	oilgas	1118425907.33
2010	WY	coal	717034909.52
2010	WY	minerals	501234.85
2010	WY	other	13399753.70
2011	AK	oilgas	16666363.22
2011	AL	oilgas	1283265.58
2011	AL	minerals	4488.73
2011	AL	coal	9735675.57
2011	AR	oilgas	9559338.34
2011	AR	minerals	1166.65
2011	AZ	oilgas	20804.00
2011	AZ	renewables	2084.00
2011	AZ	minerals	7341.28
2011	CA	oilgas	184668184.34
2011	CA	renewables	7759561.63
2011	CA	minerals	1851991.91
2011	CO	oilgas	209687770.74
2011	CO	renewables	32800.00
2011	CO	other	50258135.66
2011	CO	coal	62655417.71
2011	CO	minerals	34450.00
2011	FL	oilgas	3200.00
2011	ID	oilgas	18228.00
2011	ID	minerals	870917.50
2011	ID	renewables	206277.00
2011	IL	oilgas	293429.06
2011	IL	minerals	-60.00
2011	IN	oilgas	26648.36
2011	KS	oilgas	7656476.96
2011	KS	other	32.65
2011	KY	coal	1703681.21
2011	KY	oilgas	264372.27
2011	LA	oilgas	27820282.43
2011	MD	oilgas	10045.32
2011	MI	oilgas	1416918.24
2011	MI	minerals	923.00
2011	MN	minerals	44825.00
2011	MO	minerals	13043.00
2011	MS	oilgas	6307993.12
2011	MT	oilgas	43506186.01
2011	MT	minerals	11319.54
2011	MT	coal	49309611.68
2011	NC	minerals	158.00
2011	ND	oilgas	213915362.43
2011	ND	coal	1097272.54
2011	NE	oilgas	387340.66
2011	NM	oilgas	934520103.30
2011	NM	renewables	24107.00
2011	NM	minerals	590039.69
2011	NM	other	22770508.20
2011	NM	coal	9156086.68
2011	NV	renewables	6432475.83
2011	NV	oilgas	11238575.37
2011	NY	oilgas	21546.22
2011	OH	oilgas	646376.67
2011	OK	oilgas	13767713.62
2011	OK	coal	1145326.18
2011	OR	renewables	265839.00
2011	OR	oilgas	492137.00
2011	PA	oilgas	104471.68
2011	SC	minerals	3400.40
2011	SD	oilgas	2499905.84
2011	TX	oilgas	38037381.06
2011	UT	oilgas	259050529.29
2011	UT	renewables	715905.21
2011	UT	coal	25292989.02
2011	UT	other	457992.90
2011	UT	minerals	23486412.68
2011	VA	oilgas	-40692.65
2011	VA	minerals	113854.96
2011	WA	oilgas	379638.50
2011	WA	coal	1566.00
2011	WA	renewables	16874.00
2011	WV	oilgas	951279.77
2011	WY	oilgas	1207936022.96
2011	WY	coal	878951512.51
2011	WY	minerals	1979505.23
2011	WY	other	25713665.96
2012	AK	oilgas	21464041.48
2012	AL	oilgas	1516030.12
2012	AL	minerals	3997.52
2012	AL	coal	6567765.50
2012	AR	oilgas	4553088.54
2012	AR	minerals	882.70
2012	AZ	oilgas	16520.00
2012	AZ	renewables	2084.00
2012	AZ	minerals	-2038.31
2012	CA	oilgas	196769813.34
2012	CA	renewables	9107885.89
2012	CA	minerals	3768926.60
2012	CO	oilgas	187327008.63
2012	CO	other	61766595.86
2012	CO	coal	56040182.30
2012	CO	renewables	33416.00
2012	CO	minerals	27093.00
2012	FL	oilgas	3200.00
2012	ID	minerals	913174.04
2012	ID	oilgas	14718.00
2012	ID	renewables	168288.00
2012	IL	oilgas	312501.12
2012	IN	oilgas	48381.95
2012	KS	oilgas	5633026.80
2012	KS	other	3.73
2012	KY	coal	1351027.93
2012	KY	oilgas	261408.43
2012	LA	oilgas	18433793.46
2012	MD	oilgas	6193.43
2012	MI	oilgas	1384452.31
2012	MI	minerals	923.00
2012	MN	minerals	58591.00
2012	MO	minerals	16897.00
2012	MS	oilgas	9507600.31
2012	MT	oilgas	40811088.57
2012	MT	minerals	2807.08
2012	MT	coal	56437610.92
2012	NC	minerals	158.00
2012	ND	oilgas	193170579.80
2012	ND	minerals	2726.00
2012	ND	coal	1441457.36
2012	NE	oilgas	318278.07
2012	NM	oilgas	913747367.62
2012	NM	renewables	16037.23
2012	NM	minerals	3043240.33
2012	NM	other	27175712.89
2012	NM	coal	15602807.24
2012	NV	renewables	4536218.26
2012	NV	oilgas	15591872.39
2012	NV	minerals	2501.00
2012	NY	oilgas	4468.71
2012	OH	oilgas	521190.03
2012	OK	oilgas	16319652.97
2012	OK	coal	725947.24
2012	OR	renewables	253422.00
2012	OR	oilgas	427987.00
2012	PA	oilgas	141852.69
2012	SC	minerals	5516.26
2012	SD	oilgas	3587776.49
2012	TX	oilgas	29126382.35
2012	UT	renewables	685440.22
2012	UT	oilgas	298638547.17
2012	UT	coal	37658365.82
2012	UT	other	410299.91
2012	UT	minerals	3516087.74
2012	VA	oilgas	74475.17
2012	VA	minerals	128781.76
2012	WA	oilgas	9555.50
2012	WA	coal	1566.00
2012	WV	oilgas	471794.98
2012	WY	oilgas	877533926.79
2012	WY	coal	1172010472.92
2012	WY	minerals	2135924.06
2012	WY	other	41986993.47
2013	AK	oilgas	19894493.13
2013	AK	renewables	7680.00
2013	AL	oilgas	646088.37
2013	AL	minerals	2064.68
2013	AL	coal	3690556.59
2013	AR	oilgas	5566690.15
2013	AR	minerals	1269.55
2013	AZ	oilgas	59603.00
2013	CA	oilgas	188626630.86
2013	CA	renewables	9471488.38
2013	CA	minerals	3743919.44
2013	CO	oilgas	208071041.84
2013	CO	renewables	28262.00
2013	CO	other	62748536.14
2013	CO	coal	28694452.23
2013	CO	minerals	26198.00
2013	ID	minerals	113968.37
2013	ID	renewables	160841.00
2013	ID	oilgas	8274.00
2013	IL	oilgas	302424.64
2013	IN	oilgas	43690.92
2013	KS	oilgas	5751514.18
2013	KS	other	-0.22
2013	KY	coal	1507762.22
2013	KY	oilgas	258423.62
2013	LA	oilgas	13863774.67
2013	MD	oilgas	7531.88
2013	MI	oilgas	1499035.75
2013	MN	minerals	65620.00
2013	MO	other	9346248.93
2013	MO	minerals	16897.00
2013	MS	oilgas	6095778.59
2013	MT	minerals	3925.96
2013	MT	oilgas	32488729.80
2013	MT	coal	45001173.56
2013	NC	minerals	158.00
2013	ND	oilgas	253180112.76
2013	ND	coal	1941033.85
2013	NE	oilgas	367213.73
2013	NM	oilgas	1025353052.12
2013	NM	renewables	143342.81
2013	NM	minerals	1290243.47
2013	NM	other	21961155.20
2013	NM	coal	14929296.43
2013	NV	renewables	4307806.93
2013	NV	oilgas	11410673.28
2013	NV	minerals	2501.00
2013	NY	oilgas	5222.81
2013	OH	oilgas	483191.26
2013	OK	oilgas	12303142.90
2013	OK	coal	996293.33
2013	OK	other	1.20
2013	OR	renewables	238862.00
2013	OR	oilgas	377474.00
2013	PA	oilgas	86450.17
2013	SC	minerals	1110.00
2013	SD	oilgas	2778710.16
2013	TX	oilgas	31143993.01
2013	UT	renewables	671359.38
2013	UT	oilgas	274245727.30
2013	UT	coal	39709449.44
2013	UT	other	408121.52
2013	UT	minerals	3048916.18
2013	VA	oilgas	86875.53
2013	VA	minerals	57862.52
2013	WA	coal	2406.00
2013	WA	renewables	8437.00
2013	WV	oilgas	548299.22
2013	WY	oilgas	960397583.51
2013	WY	coal	996347415.49
2013	WY	other	42516982.64
2013	WY	minerals	543559.11
2004	AR	other	235.50
2004	CA	other	2459083.07
2004	ID	other	3451909.95
2004	MO	other	811386.29
2004	NV	other	466860.44
2004	VA	minerals	59664.73
2005	AR	other	345.85
2005	FL	other	837228.40
2005	ID	other	2986698.10
2005	MO	other	5104767.20
2005	UT	other	104119.10
2005	VA	minerals	21419.75
2006	AR	other	267.00
2006	CA	other	4561399.21
2006	FL	other	1398.10
2006	ID	other	2064495.78
2006	MO	other	10358659.95
2006	ND	other	13538.71
2006	UT	other	124179.04
2007	AR	other	323.80
2007	CA	other	940805.89
2007	ID	other	2152071.29
2007	MO	other	17761752.73
2007	NV	other	159.00
2008	ID	other	2485359.85
2009	AR	other	968.91
2009	CA	other	1859089.73
2009	ID	other	3566737.10
2009	MO	other	9306934.69
2009	ND	other	15526.55
2009	NV	minerals	-46.50
2009	SC	other	101.16
2010	AR	other	119.35
2010	CA	other	1784290.55
2010	FL	minerals	1768.00
2010	FL	other	90567.06
2010	ID	other	9053379.95
2010	MO	other	13256995.71
2010	ND	other	15925.63
2010	OH	coal	3372.86
2010	SC	minerals	3330.00
2010	SC	other	22.60
2011	AR	other	7.35
2011	CA	other	2408854.93
2011	FL	minerals	1768.00
2011	FL	other	521357.53
2011	ID	other	8534799.04
2011	MO	other	14835289.12
2011	ND	other	897.98
2012	AR	other	11.30
2012	CA	other	5598676.04
2012	FL	minerals	1366.00
2012	FL	other	2169985.21
2012	ID	other	9431323.92
2012	MO	other	11519614.55
2012	ND	other	20100.83
2013	AR	other	4.45
2013	AZ	minerals	4224.65
2013	CA	other	5000918.02
2013	FL	minerals	989.00
2013	FL	other	285731.37
2013	ID	other	9817745.73
2013	ND	other	49709.67
2004	CGM	oilgas	4008874509.05
2005	CGM	oilgas	4657027680.10
2006	CGM	oilgas	5829155086.06
2007	CGM	oilgas	5535660898.87
2008	CGM	oilgas	12319367983.40
2009	CGM	oilgas	3501755644.54
2010	CGM	oilgas	5616721440.89
2011	CGM	oilgas	5376641744.08
2012	CGM	oilgas	6718473462.98
2013	CGM	oilgas	6541964860.82
2004	CGM	minerals	22221.06
2004	CGM	other	20883.00
2005	CGM	minerals	10547.43
2005	CGM	other	22007.88
2006	CGM	minerals	10838.00
2006	CGM	other	13180.56
2007	CGM	minerals	11624.84
2007	CGM	other	3708.41
2008	CGM	minerals	12709.04
2008	CGM	other	65625.39
2009	CGM	minerals	12631.84
2009	CGM	other	12425.40
2010	CGM	minerals	12551.32
2010	CGM	other	-14280.90
2011	CGM	minerals	12670.72
2011	CGM	other	3777.12
2012	CGM	minerals	12429.60
2012	CGM	other	4267.84
2013	CGM	minerals	11186.00
2013	CGM	other	4122.09
2004	WGM	oilgas	1360363375.49
2005	WGM	oilgas	1333740204.79
2006	WGM	oilgas	2094374287.91
2007	WGM	oilgas	1404371866.05
2008	WGM	oilgas	1486683679.29
2009	WGM	oilgas	708671934.96
2010	WGM	oilgas	702984375.34
2011	WGM	oilgas	870305888.03
2012	WGM	oilgas	1180561954.23
2013	WGM	oilgas	1017760462.74
2004	EGM	oilgas	39871937.67
2005	EGM	oilgas	14027332.69
2007	EGM	oilgas	31187791.34
2008	EGM	oilgas	218623120.64
2009	EGM	oilgas	93621236.30
2010	EGM	oilgas	-19609792.40
2011	EGM	oilgas	56575058.22
2012	EGM	oilgas	18953771.17
2013	EGM	oilgas	12339485.89
2006	EGM	oilgas	4805129.71
2004	BFT	oilgas	38470619.28
2004	GUL	oilgas	-28132646.39
