Month,Calendar Year,Land Class,Land Category,Commodity, Volume 
December,2009,Federal,Onshore,Gas Prod Vol (mcf)," 335,530,432 "
December,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,650,743 "
December,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,932,698 "
December,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,295,510 "
December,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,034,155 "
January,2010,Federal,Offshore,Gas Prod Vol (mcf)," 210,471,485 "
January,2010,Federal,Offshore,Oil Prod Vol (bbl)," 53,337,667 "
January,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,385,870 "
January,2010,Federal,Onshore,Gas Prod Vol (mcf)," 335,257,263 "
January,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,665,947 "
January,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,612,890 "
January,2010,Native American,Onshore,Gas Prod Vol (mcf)," 23,515,285 "
January,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,033,578 "
February,2010,Federal,Offshore,Gas Prod Vol (mcf)," 195,269,189 "
February,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,717,833 "
February,2010,Federal,Onshore,Coal Prod Vol (ton)," 36,431,297 "
February,2010,Federal,Onshore,Gas Prod Vol (mcf)," 302,664,532 "
February,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,036,995 "
February,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,892,405 "
February,2010,Native American,Onshore,Gas Prod Vol (mcf)," 21,554,312 "
February,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,009,015 "
March,2010,Federal,Offshore,Gas Prod Vol (mcf)," 217,243,848 "
March,2010,Federal,Offshore,Oil Prod Vol (bbl)," 51,703,864 "
March,2010,Federal,Onshore,Coal Prod Vol (ton)," 39,182,648 "
March,2010,Federal,Onshore,Gas Prod Vol (mcf)," 335,918,712 "
March,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,117,148 "
March,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,743,062 "
March,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,141,864 "
March,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,215,660 "
April,2010,Federal,Offshore,Gas Prod Vol (mcf)," 201,047,323 "
April,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,379,120 "
April,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,425,071 "
April,2010,Federal,Onshore,Gas Prod Vol (mcf)," 327,320,157 "
April,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,721,028 "
April,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,795,669 "
April,2010,Native American,Onshore,Gas Prod Vol (mcf)," 23,736,250 "
April,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,221,028 "
May,2010,Federal,Offshore,Gas Prod Vol (mcf)," 200,016,322 "
May,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,630,049 "
May,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,144,604 "
May,2010,Federal,Onshore,Gas Prod Vol (mcf)," 334,302,782 "
May,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,178,791 "
May,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,742,781 "
May,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,988,233 "
May,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,268,405 "
June,2010,Federal,Offshore,Gas Prod Vol (mcf)," 185,289,258 "
June,2010,Federal,Offshore,Oil Prod Vol (bbl)," 48,245,513 "
June,2010,Federal,Onshore,Coal Prod Vol (ton)," 36,578,041 "
June,2010,Federal,Onshore,Gas Prod Vol (mcf)," 310,790,707 "
June,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,799,734 "
June,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,582,003 "
June,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,319,280 "
June,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,327,508 "
July,2010,Federal,Offshore,Gas Prod Vol (mcf)," 185,138,751 "
July,2010,Federal,Offshore,Oil Prod Vol (bbl)," 46,380,541 "
July,2010,Federal,Onshore,Coal Prod Vol (ton)," 38,135,193 "
July,2010,Federal,Onshore,Gas Prod Vol (mcf)," 328,194,346 "
July,2010,Federal,Onshore,Oil Prod Vol (bbl)," 9,196,602 "
July,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,609,279 "
July,2010,Native American,Onshore,Gas Prod Vol (mcf)," 24,884,572 "
July,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,435,458 "
August,2010,Federal,Offshore,Gas Prod Vol (mcf)," 194,095,849 "
August,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,995,352 "
