Month,Calendar Year,Land Class,Land Category,Commodity, Volume ,
March,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,595,627 "," 25,595,627 "
March,2009,Native American,Onshore,Oil Prod Vol (bbl)," 998,759 "," 998,759 "
April,2009,Federal,Offshore,Gas Prod Vol (mcf)," 207,718,687 "," 207,718,687 "
April,2009,Federal,Offshore,Oil Prod Vol (bbl)," 46,005,495 "," 46,005,495 "
April,2009,Federal,Onshore,Coal Prod Vol (ton)," 33,485,662 "," 33,485,662 "
April,2009,Federal,Onshore,Gas Prod Vol (mcf)," 331,688,579 "," 331,688,579 "
April,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,441,292 "," 8,441,292 "
April,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,319,185 "," 2,319,185 "
April,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,527,956 "," 24,527,956 "
April,2009,Native American,Onshore,Oil Prod Vol (bbl)," 961,711 "," 961,711 "
May,2009,Federal,Offshore,Gas Prod Vol (mcf)," 211,512,189 "," 211,512,189 "
May,2009,Federal,Offshore,Oil Prod Vol (bbl)," 50,180,149 "," 50,180,149 "
May,2009,Federal,Onshore,Coal Prod Vol (ton)," 35,278,770 "," 35,278,770 "
May,2009,Federal,Onshore,Gas Prod Vol (mcf)," 338,836,333 "," 338,836,333 "
May,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,681,461 "," 8,681,461 "
May,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,234,668 "," 2,234,668 "
May,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,113,352 "," 25,113,352 "
May,2009,Native American,Onshore,Oil Prod Vol (bbl)," 996,833 "," 996,833 "
June,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,496,774 "," 217,496,774 "
June,2009,Federal,Offshore,Oil Prod Vol (bbl)," 48,907,994 "," 48,907,994 "
June,2009,Federal,Onshore,Coal Prod Vol (ton)," 32,689,883 "," 32,689,883 "
June,2009,Federal,Onshore,Gas Prod Vol (mcf)," 324,440,210 "," 324,440,210 "
June,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,389,266 "," 8,389,266 "
June,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,309,024 "," 2,309,024 "
June,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,403,675 "," 23,403,675 "
June,2009,Native American,Onshore,Oil Prod Vol (bbl)," 959,037 "," 959,037 "
July,2009,Federal,Offshore,Gas Prod Vol (mcf)," 230,755,180 "," 230,755,180 "
July,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,925,639 "," 55,925,639 "
July,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,422,436 "," 38,422,436 "
July,2009,Federal,Onshore,Gas Prod Vol (mcf)," 319,856,821 "," 319,856,821 "
July,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,502,606 "," 8,502,606 "
July,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,345,725 "," 2,345,725 "
July,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,111,605 "," 25,111,605 "
July,2009,Native American,Onshore,Oil Prod Vol (bbl)," 987,911 "," 987,911 "
August,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,092,121 "," 217,092,121 "
August,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,884,224 "," 55,884,224 "
August,2009,Federal,Onshore,Coal Prod Vol (ton)," 39,778,093 "," 39,778,093 "
August,2009,Federal,Onshore,Gas Prod Vol (mcf)," 331,234,425 "," 331,234,425 "
August,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,556,383 "," 8,556,383 "
August,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,209,028 "," 2,209,028 "
August,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,137,020 "," 25,137,020 "
August,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,005,406 "," 1,005,406 "
September,2009,Federal,Offshore,Gas Prod Vol (mcf)," 206,471,070 "," 206,471,070 "
September,2009,Federal,Offshore,Oil Prod Vol (bbl)," 54,473,596 "," 54,473,596 "
September,2009,Federal,Onshore,Coal Prod Vol (ton)," 39,392,564 "," 39,392,564 "
September,2009,Federal,Onshore,Gas Prod Vol (mcf)," 309,667,438 "," 309,667,438 "
September,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,359,913 "," 8,359,913 "
September,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,364,021 "," 2,364,021 "
September,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,774,673 "," 23,774,673 "
September,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,007,136 "," 1,007,136 "
October,2009,Federal,Offshore,Gas Prod Vol (mcf)," 215,060,894 "," 215,060,894 "
October,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,599,927 "," 55,599,927 "
October,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,081,263 "," 38,081,263 "
October,2009,Federal,Onshore,Gas Prod Vol (mcf)," 337,879,492 "," 337,879,492 "
October,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,702,089 "," 8,702,089 "
October,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,966,556 "," 1,966,556 "
October,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,526,007 "," 24,526,007 "
October,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,091,648 "," 1,091,648 "
November,2009,Federal,Offshore,Gas Prod Vol (mcf)," 200,143,475 "," 200,143,475 "
November,2009,Federal,Offshore,Oil Prod Vol (bbl)," 48,909,581 "," 48,909,581 "
November,2009,Federal,Onshore,Coal Prod Vol (ton)," 37,614,021 "," 37,614,021 "
November,2009,Federal,Onshore,Gas Prod Vol (mcf)," 334,001,648 "," 334,001,648 "
November,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,584,620 "," 8,584,620 "
November,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,840,979 "," 1,840,979 "
November,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,547,046 "," 23,547,046 "
November,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,035,686 "," 1,035,686 "
December,2009,Federal,Offshore,Gas Prod Vol (mcf)," 207,337,256 "," 207,337,256 "
December,2009,Federal,Offshore,Oil Prod Vol (bbl)," 54,068,445 "," 54,068,445 "
December,2009,Federal,Onshore,Coal Prod Vol (ton)," 36,374,086 "," 36,374,086 "
December,2009,Federal,Onshore,Gas Prod Vol (mcf)," 335,541,701 "," 335,541,701 "
December,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,650,792 "," 8,650,792 "
December,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,932,698 "," 1,932,698 "
December,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,295,510 "," 23,295,510 "
December,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,034,155 "," 1,034,155 "
January,2010,Federal,Offshore,Gas Prod Vol (mcf)," 210,355,483 "," 210,355,483 "
January,2010,Federal,Offshore,Oil Prod Vol (bbl)," 53,333,353 "," 53,333,353 "
January,2010,Federal,Onshore,Coal Prod Vol (ton)," 37,385,870 "," 37,385,870 "
January,2010,Federal,Onshore,Gas Prod Vol (mcf)," 335,268,138 "," 335,268,138 "
January,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,665,984 "," 8,665,984 "
January,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,612,890 "," 1,612,890 "
January,2010,Native American,Onshore,Gas Prod Vol (mcf)," 23,515,285 "," 23,515,285 "
January,2010,Native American,Onshore,Oil Prod Vol (bbl)," 1,033,578 "," 1,033,578 "
February,2010,Federal,Offshore,Gas Prod Vol (mcf)," 195,164,307 "," 195,164,307 "
February,2010,Federal,Offshore,Oil Prod Vol (bbl)," 49,713,901 "," 49,713,901 "
February,2010,Federal,Onshore,Coal Prod Vol (ton)," 36,431,297 "," 36,431,297 "
February,2010,Federal,Onshore,Gas Prod Vol (mcf)," 302,672,916 "," 302,672,916 "
February,2010,Federal,Onshore,Oil Prod Vol (bbl)," 8,037,029 "," 8,037,029 "
February,2010,Native American,Onshore,Coal Prod Vol (ton)," 1,892,405 "," 1,892,405 "
