Region	Year	Jobs	Share
HI	2012	1002	0.0012
HI	2008	630	0.0007
HI	2009	648	0.0008
HI	2010	803	0.0010
HI	2011	654	0.0008
HI	2004	266	0.0003
HI	2005	315	0.0004
HI	2006	387	0.0005
HI	2007	458	0.0005
ID	2007	1498	0.0016
ID	2006	1017	0.0011
ID	2005	839	0.0010
ID	2004	876	0.0011
ID	2011	2006	0.0023
ID	2010	2162	0.0025
ID	2009	1665	0.0019
ID	2008	1734	0.0019
ID	2012	3607	0.0041
ID	2013	2860	0.0032
IL	2013	20114	0.0027
IL	2012	18679	0.0025
IL	2008	13522	0.0018
IL	2009	13088	0.0018
IL	2010	16526	0.0023
IL	2011	13225	0.0018
IL	2004	7387	0.0010
IL	2005	7776	0.0011
IL	2006	8561	0.0011
IL	2007	9530	0.0013
IN	2007	3380	0.0009
IN	2006	3017	0.0008
IN	2005	2776	0.0008
IN	2004	2453	0.0007
IN	2011	4680	0.0013
IN	2010	5572	0.0016
IN	2009	4475	0.0013
IN	2008	4646	0.0013
IN	2012	6718	0.0018
IN	2013	7013	0.0019
IA	2013	2962	0.0015
IA	2012	2854	0.0014
IA	2008	1648	0.0008
IA	2009	1648	0.0008
IA	2010	2072	0.0011
IA	2011	1862	0.0009
IA	2004	751	0.0004
IA	2005	810	0.0004
IA	2006	964	0.0005
IA	2007	1240	0.0006
KS	2007	14784	0.0080
KS	2006	13368	0.0074
KS	2005	11923	0.0068
KS	2004	11079	0.0063
KS	2011	22773	0.0125
KS	2010	27778	0.0154
KS	2009	21685	0.0119
KS	2008	21553	0.0116
KS	2012	32689	0.0178
KS	2013	36448	0.0195
KY	2013	9899	0.0041
KY	2012	10004	0.0042
KY	2008	6601	0.0027
KY	2009	6294	0.0027
KY	2010	7982	0.0034
KY	2011	6707	0.0028
KY	2004	3719	0.0016
KY	2005	4146	0.0018
KY	2006	4789	0.0020
KY	2007	5040	0.0021
LA	2007	12787	0.0051
LA	2006	12517	0.0052
LA	2005	10262	0.0043
LA	2004	9080	0.0037
LA	2011	20692	0.0081
LA	2010	25361	0.0100
LA	2009	19551	0.0077
LA	2008	19479	0.0076
LA	2012	30186	0.0116
LA	2013	31879	0.0121
ME	2013	1001	0.0012
ME	2012	0	0.0000
ME	2008	0	0.0000
ME	2009	0	0.0000
ME	2010	690	0.0009
ME	2011	640	0.0008
ME	2004	337	0.0004
ME	2005	353	0.0004
ME	2006	383	0.0005
ME	2007	626	0.0008
MD	2007	1886	0.0005
MD	2006	1544	0.0005
MD	2005	1372	0.0004
MD	2004	1308	0.0004
MD	2011	2384	0.0007
MD	2010	2879	0.0009
MD	2009	2366	0.0007
MD	2008	2428	0.0007
MD	2012	3458	0.0010
MD	2013	3678	0.0011
MA	2013	2744	0.0006
MA	2012	2618	0.0006
MA	2008	1779	0.0004
MA	2009	1768	0.0004
MA	2010	2247	0.0005
MA	2011	1822	0.0004
MA	2004	939	0.0002
MA	2005	1000	0.0002
MA	2006	1117	0.0003
MA	2007	1348	0.0003
MI	2007	8221	0.0015
MI	2006	7303	0.0013
MI	2005	6578	0.0012
MI	2004	6248	0.0011
MI	2011	11217	0.0022
MI	2010	13762	0.0027
MI	2009	10926	0.0022
MI	2008	11144	0.0021
MI	2012	15974	0.0031
MI	2013	16389	0.0031
MN	2013	5622	0.0016
MN	2012	5838	0.0017
MN	2008	3529	0.0010
MN	2009	3490	0.0010
MN	2010	4508	0.0013
MN	2011	3785	0.0011
MN	2004	1679	0.0005
MN	2005	1800	0.0005
MN	2006	2119	0.0006
MN	2007	2665	0.0008
MS	2007	4335	0.0028
MS	2006	3768	0.0025
MS	2005	3392	0.0023
MS	2004	3248	0.0022
MS	2011	6749	0.0045
MS	2010	8282	0.0056
MS	2009	6297	0.0042
MS	2008	6295	0.0041
MS	2012	10085	0.0066
MS	2013	11166	0.0073
MO	2013	6014	0.0017
MO	2012	5665	0.0016
MO	2008	3904	0.0011
MO	2009	3832	0.0011
MO	2010	4646	0.0013
MO	2011	4007	0.0011
MO	2004	2036	0.0006
MO	2005	2134	0.0006
MO	2006	2366	0.0007
MO	2007	2804	0.0008
MT	2007	2778	0.0044
MT	2006	2020	0.0033
MT	2005	1757	0.0029
MT	2004	1690	0.0029
MT	2011	3736	0.0060
MT	2010	4203	0.0068
