Company	Revenue Type	Commodity	Revenue
BXP OPERATING	ONRR - Other Revenues	Oil & Gas	12610.29
BXP OPERATING	ONRR - Royalties	Gas	52197.36
BXP OPERATING	ONRR - Royalties	Oil	615408.94
BXP OPERATING	ONRR/BLM - Rents	Oil & Gas	2226.5
BYRON ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	565553
BYRON ENERGY INC	ONRR/BLM - Rents	Oil & Gas	234619
C & J GRAVEL PRODUCTS INC	BLM - Permit Fees	Mineral Materials	558085.47
C W  MINING COMPANY	ONRR - Other Revenues	Coal	213605.48
C W  MINING COMPANY	ONRR - Royalties	Coal	1221375.59
CABOT OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	2990.91
CABOT OIL & GAS CORP	ONRR/BLM - Rents	Oil & Gas	172382.5
CAERUS OIL AND GAS LLC	BLM - Permit Fees	Oil & Gas	11645
CAERUS OIL AND GAS LLC	ONRR - Other Revenues	Oil & Gas	1840411.75
CAERUS OIL AND GAS LLC	ONRR - Royalties	Gas	1850267.72
CAERUS OIL AND GAS LLC	ONRR - Royalties	Oil	25113.38
CAERUS OIL AND GAS LLC	ONRR/BLM - Rents	Oil & Gas	32330.5
CALIFORNIA RESOURCES PRODUCTION CORPORATION	BLM - Permit Fees	Oil & Gas	234355
CALPINE CORP	BLM - Permit Fees	Locatable Minerals	155
CALPINE CORP	ONRR - Royalties	Geothermal	5938934.08
CALPINE CORP	ONRR/BLM - Rents	Geothermal	6047
CALPORTLAND CO	BLM - Permit Fees	Locatable Minerals	168507
CALYPSO EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	341836.07
CALYPSO EXPLORATION LLC	ONRR - Royalties	Gas	39242.39
CALYPSO EXPLORATION LLC	ONRR - Royalties	Oil	3374303.05
CALYPSO EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	39578
CAM MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	303060.73
CAMBRIAN COAL CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	116040.28
CANTERA OPERATING LLC	ONRR - Other Revenues	Oil & Gas	-115607.79
CANTERA OPERATING LLC	ONRR - Royalties	Gas	672989.78
CANTERA OPERATING LLC	ONRR - Royalties	Oil	3334.85
CANTIUM LLC	ONRR - Other Revenues	Oil & Gas	353332.8
CANTIUM LLC	ONRR - Royalties	Gas	310391.6
CANTIUM LLC	ONRR - Royalties	Oil	11924843.27
